d,c
2009-01-02,55.196798
2009-01-05,55.817369
2009-01-06,52.195956
2009-01-07,51.507377
2009-01-08,51.617890
2009-01-09,51.728402
2009-01-12,51.532880
2009-01-13,52.272465
2009-01-14,50.937812
2009-01-15,50.946313
2009-01-16,51.685898
2009-01-20,49.781680
2009-01-21,49.654166
2009-01-22,49.348131
2009-01-23,48.931583
2009-01-26,50.546768
2009-01-27,51.345859
2009-01-28,51.847416
2009-01-29,51.175839
2009-01-30,50.325742
2009-02-02,50.750791
2009-02-03,51.379863
2009-02-04,50.427754
2009-02-05,51.150336
2009-02-06,52.493490
2009-02-09,52.297967
2009-02-10,51.039824
2009-02-11,50.793296
2009-02-12,53.063055
2009-02-13,53.428596
2009-02-17,52.833529
2009-02-18,52.646507
2009-02-19,53.139563
2009-02-20,52.808026
2009-02-23,51.481874
2009-02-24,51.983432
2009-02-25,50.640278
2009-02-26,48.574543
2009-02-27,46.763836
2009-03-02,46.279281
2009-03-03,46.797840
2009-03-04,47.596931
2009-03-05,46.483304
2009-03-06,46.746834
2009-03-09,45.488690
2009-03-10,46.823343
2009-03-11,45.539696
2009-03-12,47.384407
2009-03-13,48.574543
2009-03-16,48.880578
2009-03-17,49.399137
2009-03-18,49.144108
2009-03-19,48.183498
2009-03-20,48.251506
2009-03-23,49.373634
2009-03-24,49.042096
2009-03-25,49.892193
2009-03-26,50.597773
2009-03-27,49.399137
2009-03-30,49.297125
2009-03-31,49.722174
2009-04-01,49.824185
2009-04-02,50.708286
2009-04-03,50.300239
2009-04-06,50.929311
2009-04-07,50.308740
2009-04-08,50.223731
2009-04-09,50.750791
2009-04-13,50.665781
2009-04-14,50.869804
2009-04-15,51.762406
2009-04-16,52.340472
2009-04-17,53.071556
2009-04-20,52.501991
2009-04-21,53.828142
2009-04-22,53.360589
2009-04-23,52.348973
2009-04-24,51.957929
2009-04-27,53.003548
2009-04-28,53.624119
2009-04-29,54.023664
2009-04-30,54.533723
2009-05-01,53.513606
2009-05-04,54.406208
2009-05-05,54.950270
2009-05-06,54.763249
2009-05-07,55.086286
2009-05-08,55.477330
2009-05-11,55.111789
2009-05-12,54.856759
2009-05-13,54.397707
2009-05-14,53.828142
2009-05-15,52.416981
2009-05-18,52.706014
2009-05-19,52.621004
2009-05-20,52.263964
2009-05-21,51.184340
2009-05-22,50.844302
2009-05-26,51.855917
2009-05-27,51.558383
2009-05-28,52.008934
2009-05-29,51.821913
2009-06-01,52.621004
2009-06-02,52.569998
2009-06-03,52.195956
2009-06-04,52.357474
2009-06-05,52.068441
2009-06-08,51.736903
2009-06-09,51.422368
2009-06-10,51.209843
2009-06-11,51.889921
2009-06-12,53.012049
2009-06-15,52.876033
2009-06-16,53.139563
2009-06-17,55.239303
