d,c
2009-01-02,8.970000
2009-01-05,8.680000
2009-01-06,9.140000
2009-01-07,8.940000
2009-01-08,8.990000
2009-01-09,8.560000
2009-01-12,8.620000
2009-01-13,8.340000
2009-01-14,7.990000
2009-01-15,8.280000
2009-01-16,8.610000
2009-01-20,8.140000
2009-01-21,8.380000
2009-01-22,9.810000
2009-01-23,8.000000
2009-01-26,7.880000
2009-01-27,7.330000
2009-01-28,7.660000
2009-01-29,7.250000
2009-01-30,7.030000
2009-02-02,6.750000
2009-02-03,6.820000
2009-02-04,6.630000
2009-02-05,6.890000
2009-02-06,7.330000
2009-02-09,7.180000
2009-02-10,7.200000
2009-02-11,7.200000
2009-02-12,7.330000
2009-02-13,7.290000
2009-02-17,6.950000
2009-02-18,6.690000
2009-02-19,6.680000
2009-02-20,6.520000
2009-02-23,6.450000
2009-02-24,6.570000
2009-02-25,6.070000
2009-02-26,6.120000
2009-02-27,5.890000
2009-03-02,5.520000
2009-03-03,5.230000
2009-03-04,5.220000
2009-03-05,5.010000
2009-03-06,5.130000
2009-03-09,5.170000
2009-03-10,5.460000
2009-03-11,5.450000
2009-03-12,5.590000
2009-03-13,5.720000
2009-03-16,5.520000
2009-03-17,5.820000
2009-03-18,5.880000
2009-03-19,5.770000
2009-03-20,5.600000
2009-03-23,6.040000
2009-03-24,5.920000
2009-03-25,6.140000
2009-03-26,6.450000
2009-03-27,6.230000
2009-03-30,6.170000
2009-03-31,6.330000
2009-04-01,6.430000
2009-04-02,7.050000
2009-04-03,6.860000
2009-04-06,7.340000
2009-04-07,6.750000
2009-04-08,7.010000
2009-04-09,7.380000
2009-04-13,7.350000
2009-04-14,7.270000
2009-04-15,7.640000
2009-04-16,7.100000
2009-04-17,7.200000
2009-04-20,7.010000
2009-04-21,7.530000
2009-04-22,7.470000
2009-04-23,7.430000
2009-04-24,7.590000
2009-04-27,6.880000
2009-04-28,6.950000
2009-04-29,7.200000
2009-04-30,6.980000
2009-05-01,7.060000
2009-05-04,7.380000
2009-05-05,7.450000
2009-05-06,7.520000
2009-05-07,7.220000
2009-05-08,7.360000
2009-05-11,7.160000
2009-05-12,7.130000
2009-05-13,6.900000
2009-05-14,6.950000
2009-05-15,6.890000
2009-05-18,7.120000
2009-05-19,7.080000
2009-05-20,6.930000
2009-05-21,6.760000
2009-05-22,6.700000
2009-05-26,6.910000
2009-05-27,6.600000
2009-05-28,6.670000
2009-05-29,6.740000
2009-06-01,6.880000
2009-06-02,7.040000
2009-06-03,6.970000
2009-06-04,6.860000
2009-06-05,6.890000
2009-06-08,6.820000
2009-06-09,6.810000
2009-06-10,6.650000
2009-06-11,6.640000
2009-06-12,6.610000
2009-06-15,6.480000
2009-06-16,6.430000
2009-06-17,6.620000
2009-06-18,6.640000
2009-06-19,6.640000
2009-06-22,6.360000
2009-06-23,6.250000
2009-06-24,6.310000
2009-06-25,6.620000
2009-06-26,6.560000
2009-06-29,6.670000
2009-06-30,6.730000
2009-07-01,6.800000
2009-07-02,6.500000
2009-07-06,6.600000
2009-07-07,6.480000
2009-07-08,6.610000
2009-07-09,6.500000
2009-07-10,6.590000
2009-07-13,6.800000
2009-07-14,6.820000
2009-07-15,7.070000
2009-07-16,7.070000
2009-07-17,7.020000
2009-07-20,7.300000
2009-07-21,6.870000
2009-07-22,6.920000
2009-07-23,7.130000
2009-07-24,7.450000
2009-07-27,7.420000
2009-07-28,7.510000
2009-07-29,7.670000
2009-07-30,7.730000
2009-07-31,7.850000
2009-08-03,8.360000
2009-08-04,8.720000
2009-08-05,9.030000
2009-08-06,9.150000
2009-08-07,9.110000
2009-08-10,8.870000
2009-08-11,8.910000
2009-08-12,9.010000
2009-08-13,9.240000
2009-08-14,9.080000
2009-08-17,8.700000
2009-08-18,8.820000
2009-08-19,8.460000
2009-08-20,8.490000
2009-08-21,8.680000
2009-08-24,8.470000
2009-08-25,8.680000
2009-08-26,8.600000
2009-08-27,8.450000
2009-08-28,8.510000
2009-08-31,8.180000
2009-09-01,8.020000
2009-09-02,8.130000
2009-09-03,8.410000
2009-09-04,8.600000
2009-09-08,8.650000
2009-09-09,8.810000
2009-09-10,9.250000
2009-09-11,9.340000
2009-09-14,9.540000
2009-09-15,9.700000
2009-09-16,9.880000
2009-09-17,9.700000
2009-09-18,9.680000
2009-09-21,9.770000
2009-09-22,9.500000
2009-09-23,9.680000
2009-09-24,9.490000
2009-09-25,9.650000
2009-09-28,9.780000
2009-09-29,9.660000
2009-09-30,9.600000
2009-10-01,8.990000
2009-10-02,9.200000
2009-10-05,9.080000
2009-10-06,9.160000
2009-10-07,9.200000
2009-10-08,9.720000
2009-10-09,9.610000
2009-10-12,9.540000
2009-10-13,9.580000
2009-10-14,10.040000
2009-10-15,9.470000
2009-10-16,9.250000
2009-10-19,9.190000
2009-10-20,9.260000
2009-10-21,8.850000
2009-10-22,8.950000
2009-10-23,8.840000
2009-10-26,8.800000
2009-10-27,8.650000
2009-10-28,8.490000
2009-10-29,8.470000
2009-10-30,8.400000
2009-11-02,8.290000
2009-11-03,8.280000
2009-11-04,8.200000
2009-11-05,8.360000
2009-11-06,8.650000
2009-11-09,9.060000
2009-11-10,8.950000
2009-11-11,9.430000
2009-11-12,9.050000
2009-11-13,9.160000
2009-11-16,9.330000
2009-11-17,9.160000
2009-11-18,9.070000
2009-11-19,8.910000
2009-11-20,9.000000
2009-11-23,9.140000
2009-11-24,8.940000
2009-11-25,9.100000
2009-11-27,8.990000
2009-11-30,9.200000
2009-12-01,9.350000
2009-12-02,9.410000
2009-12-03,9.510000
2009-12-04,10.230000
2009-12-07,10.100000
2009-12-08,10.100000
