d,c
2009-01-02,7.090000
2009-01-05,8.480000
2009-01-06,8.400000
2009-01-07,7.400000
2009-01-08,7.240000
2009-01-09,6.990000
2009-01-12,5.930000
2009-01-13,6.450000
2009-01-14,6.080000
2009-01-15,6.140000
2009-01-16,6.270000
2009-01-20,5.040000
2009-01-21,5.550000
2009-01-22,5.810000
2009-01-23,5.960000
2009-01-26,5.810000
2009-01-27,5.660000
2009-01-28,6.060000
2009-01-29,5.650000
2009-01-30,5.150000
2009-02-02,4.370000
2009-02-03,4.060000
2009-02-04,3.470000
2009-02-05,3.800000
2009-02-06,4.140000
2009-02-09,4.430000
2009-02-10,3.750000
2009-02-11,3.980000
2009-02-12,3.490000
2009-02-13,3.360000
2009-02-17,3.030000
2009-02-18,2.950000
2009-02-19,2.750000
2009-02-20,2.600000
2009-02-23,2.500000
2009-02-24,2.590000
2009-02-25,2.160000
2009-02-26,2.850000
2009-02-27,2.280000
2009-03-02,2.190000
2009-03-03,2.300000
2009-03-04,2.230000
2009-03-05,1.990000
2009-03-06,1.770000
2009-03-09,1.420000
2009-03-10,1.660000
2009-03-11,1.550000
2009-03-12,1.770000
2009-03-13,2.270000
2009-03-16,1.990000
2009-03-17,2.270000
2009-03-18,2.330000
2009-03-19,2.570000
2009-03-20,2.410000
2009-03-23,2.650000
2009-03-24,3.050000
2009-03-25,3.030000
2009-03-26,3.120000
2009-03-27,3.140000
2009-03-30,2.850000
2009-03-31,3.010000
2009-04-01,3.740000
2009-04-02,4.400000
2009-04-03,4.480000
2009-04-06,4.960000
2009-04-07,4.030000
2009-04-08,4.020000
2009-04-09,4.440000
2009-04-13,5.210000
2009-04-14,5.150000
2009-04-15,5.150000
2009-04-16,5.100000
2009-04-17,5.030000
2009-04-20,4.640000
2009-04-21,5.030000
2009-04-22,5.660000
2009-04-23,6.260000
2009-04-24,7.420000
2009-04-27,6.910000
2009-04-28,6.980000
2009-04-29,7.720000
2009-04-30,7.820000
2009-05-01,8.000000
2009-05-04,9.500000
2009-05-05,11.340000
2009-05-06,10.250000
2009-05-07,9.490000
2009-05-08,10.500000
2009-05-11,10.900000
2009-05-12,10.260000
2009-05-13,8.650000
2009-05-14,9.430000
2009-05-15,9.230000
2009-05-18,10.300000
2009-05-19,10.010000
2009-05-20,9.790000
2009-05-21,9.380000
2009-05-22,8.960000
2009-05-26,9.330000
2009-05-27,9.660000
2009-05-28,9.940000
2009-05-29,9.910000
2009-06-01,10.770000
2009-06-02,10.410000
2009-06-03,9.780000
2009-06-04,10.180000
2009-06-05,10.010000
2009-06-08,9.960000
2009-06-09,9.750000
2009-06-10,9.490000
2009-06-11,9.270000
2009-06-12,9.100000
2009-06-15,8.050000
2009-06-16,8.380000
2009-06-17,7.920000
2009-06-18,7.730000
2009-06-19,8.140000
2009-06-22,7.330000
2009-06-23,7.370000
2009-06-24,7.740000
2009-06-25,8.160000
2009-06-26,8.250000
2009-06-29,8.170000
2009-06-30,7.860000
2009-07-01,7.700000
2009-07-02,7.360000
2009-07-06,7.020000
2009-07-07,6.900000
2009-07-08,6.650000
2009-07-09,7.400000
2009-07-10,6.840000
2009-07-13,6.940000
2009-07-14,7.140000
2009-07-15,8.110000
2009-07-16,8.720000
2009-07-17,8.590000
2009-07-20,9.860000
2009-07-21,9.740000
2009-07-22,10.250000
2009-07-23,10.150000
2009-07-24,10.880000
2009-07-27,11.280000
2009-07-28,10.970000
2009-07-29,10.200000
2009-07-30,11.150000
2009-07-31,9.350000
2009-08-03,10.060000
2009-08-04,10.910000
2009-08-05,11.170000
2009-08-06,11.130000
2009-08-07,12.520000
2009-08-10,12.250000
2009-08-11,11.600000
2009-08-12,12.290000
2009-08-13,13.050000
2009-08-14,13.320000
2009-08-17,12.270000
2009-08-18,12.900000
2009-08-19,12.750000
2009-08-20,13.190000
2009-08-21,13.990000
2009-08-24,14.180000
2009-08-25,14.420000
2009-08-26,14.350000
2009-08-27,14.620000
2009-08-28,14.720000
2009-08-31,14.260000
2009-09-01,13.450000
2009-09-02,13.930000
2009-09-03,14.330000
2009-09-04,15.510000
2009-09-08,15.930000
2009-09-09,16.840000
2009-09-10,16.240000
2009-09-11,16.730000
2009-09-14,18.060000
2009-09-15,19.560000
2009-09-16,18.670000
2009-09-17,18.990000
2009-09-18,18.860000
2009-09-21,18.640000
2009-09-22,19.270000
2009-09-23,18.740000
2009-09-24,17.400000
2009-09-25,17.600000
2009-09-28,17.640000
2009-09-29,17.370000
2009-09-30,16.840000
2009-10-01,15.450000
2009-10-02,16.130000
2009-10-05,17.450000
2009-10-06,17.360000
2009-10-07,17.350000
2009-10-08,18.280000
2009-10-09,18.050000
2009-10-12,17.720000
2009-10-13,17.740000
2009-10-14,17.940000
2009-10-15,16.930000
2009-10-16,16.850000
2009-10-19,16.640000
2009-10-20,16.460000
2009-10-21,16.350000
2009-10-22,16.820000
2009-10-23,16.510000
2009-10-26,16.060000
2009-10-27,14.310000
2009-10-28,13.170000
2009-10-29,14.760000
2009-10-30,15.090000
2009-11-02,14.290000
2009-11-03,15.140000
2009-11-04,14.860000
2009-11-05,15.470000
2009-11-06,15.350000
2009-11-09,16.790000
2009-11-10,16.970000
2009-11-11,17.630000
2009-11-12,17.010000
2009-11-13,17.390000
2009-11-16,17.640000
2009-11-17,18.120000
2009-11-18,17.600000
2009-11-19,16.950000
2009-11-20,16.350000
2009-11-23,16.040000
2009-11-24,15.810000
2009-11-25,16.490000
2009-11-27,15.790000
2009-11-30,15.320000
2009-12-01,16.120000
2009-12-02,16.120000
2009-12-03,16.130000
2009-12-04,16.170000
