d,c
2009-01-02,14.978000
2009-01-05,15.326000
2009-01-06,16.202000
2009-01-07,15.207000
2009-01-08,15.278000
2009-01-09,15.004000
2009-01-12,14.804000
2009-01-13,15.044000
2009-01-14,14.530000
2009-01-15,13.030000
2009-01-16,12.822000
2009-01-20,11.918000
2009-01-21,13.210000
2009-01-22,12.885000
2009-01-23,12.545000
2009-01-26,12.312000
2009-01-27,12.676000
2009-01-28,13.366000
2009-01-29,12.909000
2009-01-30,13.578000
2009-02-02,13.698000
2009-02-03,13.970000
2009-02-04,14.015000
2009-02-05,15.984000
2009-02-06,16.250000
2009-02-09,16.202000
2009-02-10,15.797000
2009-02-11,16.398000
2009-02-12,16.180000
2009-02-13,16.190000
2009-02-17,15.509000
2009-02-18,15.904000
2009-02-19,15.455000
2009-02-20,15.801000
2009-02-23,15.258000
2009-02-24,16.127000
2009-02-25,16.257000
2009-02-26,15.570000
2009-02-27,15.803000
2009-03-02,15.063000
2009-03-03,15.101000
2009-03-04,15.048000
2009-03-05,14.692000
2009-03-06,14.244000
2009-03-09,14.244000
2009-03-10,14.848000
2009-03-11,14.784000
2009-03-12,15.707000
2009-03-13,15.831000
2009-03-16,15.369000
2009-03-17,16.238000
2009-03-18,15.975000
2009-03-19,15.410000
2009-03-20,15.553000
2009-03-23,16.289000
2009-03-24,16.288000
2009-03-25,16.453000
2009-03-26,16.988000
2009-03-27,16.747000
2009-03-30,16.305000
2009-03-31,16.748000
2009-04-01,16.008000
2009-04-02,16.566000
2009-04-03,17.405000
2009-04-06,17.153000
2009-04-07,16.576000
2009-04-08,16.733000
2009-04-09,17.246000
2009-04-13,17.606000
2009-04-14,16.610000
2009-04-15,16.546000
2009-04-16,16.170000
2009-04-17,16.306000
2009-04-20,15.185000
2009-04-21,16.437000
2009-04-22,16.077000
2009-04-23,16.525000
2009-04-24,17.309000
2009-04-27,16.555000
2009-04-28,16.754000
2009-04-29,17.821000
2009-04-30,18.345000
2009-05-01,17.290000
2009-05-04,17.899000
2009-05-05,18.341000
2009-05-06,18.343000
2009-05-07,18.078000
2009-05-08,18.508000
2009-05-11,18.098000
2009-05-12,17.820000
2009-05-13,17.076000
2009-05-14,17.335000
2009-05-15,17.313000
2009-05-18,17.340000
2009-05-19,16.673000
2009-05-20,16.963000
2009-05-21,17.169000
2009-05-22,16.836000
2009-05-26,16.861000
2009-05-27,16.738000
2009-05-28,17.211000
2009-05-29,17.633000
2009-06-01,17.373000
2009-06-02,16.839000
2009-06-03,16.751000
2009-06-04,16.840000
2009-06-05,16.768000
2009-06-08,16.597000
2009-06-09,16.818000
2009-06-10,17.360000
2009-06-11,16.995000
2009-06-12,16.706000
2009-06-15,16.647000
2009-06-16,16.356000
2009-06-17,16.426000
2009-06-18,16.339000
2009-06-19,16.135000
2009-06-22,15.678000
2009-06-23,16.013000
2009-06-24,16.106000
2009-06-25,16.428000
2009-06-26,16.891000
2009-06-29,16.815000
2009-06-30,16.731000
2009-07-01,16.584000
2009-07-02,16.628000
2009-07-06,16.681000
2009-07-07,16.100000
2009-07-08,16.070000
2009-07-09,16.280000
2009-07-10,16.056000
2009-07-13,16.552000
2009-07-14,16.593000
2009-07-15,17.237000
2009-07-16,17.827000
2009-07-17,17.984000
2009-07-20,18.142000
2009-07-21,18.094000
2009-07-22,18.148000
2009-07-23,18.587000
2009-07-24,18.547000
2009-07-27,18.913000
2009-07-28,18.694000
2009-07-29,18.855000
2009-07-30,19.411000
2009-07-31,19.403000
2009-08-03,20.066000
2009-08-04,20.310000
2009-08-05,20.298000
2009-08-06,20.148000
2009-08-07,20.434000
2009-08-10,20.234000
2009-08-11,20.269000
2009-08-12,20.432000
2009-08-13,20.397000
2009-08-14,20.261000
2009-08-17,19.594000
2009-08-18,19.817000
2009-08-19,19.730000
2009-08-20,20.302000
2009-08-21,20.725000
2009-08-24,20.423000
2009-08-25,20.893000
2009-08-26,20.669000
2009-08-27,20.660000
2009-08-28,20.357000
2009-08-31,20.263000
2009-09-01,20.067000
2009-09-02,20.045000
2009-09-03,20.340000
2009-09-04,20.605000
2009-09-08,20.745000
2009-09-09,21.031000
2009-09-10,21.160000
2009-09-11,20.881000
2009-09-14,20.799000
2009-09-15,21.403000
2009-09-16,21.976000
2009-09-17,22.020000
2009-09-18,22.357000
2009-09-21,22.262000
2009-09-22,22.458000
2009-09-23,21.939000
2009-09-24,21.494000
2009-09-25,20.470000
2009-09-28,20.814000
2009-09-29,20.674000
2009-09-30,20.215000
2009-10-01,19.941000
2009-10-02,19.969000
2009-10-05,20.053000
2009-10-06,20.075000
2009-10-07,21.090000
2009-10-08,21.096000
2009-10-09,21.442000
2009-10-12,21.600000
2009-10-13,21.736000
2009-10-14,21.948000
2009-10-15,22.536000
2009-10-16,22.387000
2009-10-19,22.560000
2009-10-20,22.500000
2009-10-21,22.567000
2009-10-22,22.928000
2009-10-23,22.996000
2009-10-26,22.075000
2009-10-27,22.055000
2009-10-28,22.050000
2009-10-29,22.792000
2009-10-30,21.902000
2009-11-02,22.265000
2009-11-03,21.920000
2009-11-04,22.498000
2009-11-05,23.025000
2009-11-06,23.690000
2009-11-09,24.219000
2009-11-10,23.867000
2009-11-11,23.790000
2009-11-12,23.689000
2009-11-13,23.472000
2009-11-16,23.080000
2009-11-17,23.100000
2009-11-18,22.728000
2009-11-19,23.009000
2009-11-20,23.116000
2009-11-23,23.619000
2009-11-24,23.765000
2009-11-25,23.984000
2009-11-27,23.559000
2009-11-30,24.086000
2009-12-01,24.299000
2009-12-02,24.242000
2009-12-03,23.616000
2009-12-04,24.133000
2009-12-07,23.894000
2009-12-08,23.861000
2009-12-09,24.294000
2009-12-10,24.412000
2009-12-11,24.394000
2009-12-14,24.748000
2009-12-15,24.555000
2009-12-16,24.640000
2009-12-17,24.775000
2009-12-18,25.484000
2009-12-21,25.536000
2009-12-22,25.562000
2009-12-23,25.532000
2009-12-24,25.542000
2009-12-28,25.698000
2009-12-29,25.836000
2009-12-30,25.798000
