d,c
2009-01-02,15.200000
2009-01-05,15.380000
2009-01-06,15.150000
2009-01-07,15.090000
2009-01-08,15.100000
2009-01-09,15.480000
2009-01-12,15.790000
2009-01-13,16.220000
2009-01-14,16.180000
2009-01-15,16.370000
2009-01-16,16.840000
2009-01-20,17.160000
2009-01-21,16.970000
2009-01-22,16.960000
2009-01-23,16.840000
2009-01-26,16.690000
2009-01-27,16.930000
2009-01-28,16.800000
2009-01-29,16.840000
2009-01-30,16.540000
2009-02-02,16.690000
2009-02-03,16.930000
2009-02-04,16.750000
2009-02-05,16.470000
2009-02-06,16.960000
2009-02-09,16.810000
2009-02-10,16.470000
2009-02-11,16.470000
2009-02-12,16.550000
2009-02-13,15.920000
2009-02-17,15.570000
2009-02-18,15.530000
2009-02-19,15.700000
2009-02-20,15.460000
2009-02-23,15.050000
2009-02-24,15.370000
2009-02-25,15.410000
2009-02-26,15.120000
2009-02-27,15.440000
2009-03-02,15.070000
2009-03-03,14.620000
2009-03-04,15.070000
2009-03-05,15.650000
2009-03-06,15.720000
2009-03-09,15.860000
2009-03-10,16.600000
2009-03-11,16.390000
2009-03-12,16.300000
2009-03-13,16.680000
2009-03-16,16.910000
2009-03-17,17.220000
2009-03-18,16.850000
2009-03-19,16.690000
2009-03-20,16.780000
2009-03-23,17.110000
2009-03-24,17.220000
2009-03-25,17.270000
2009-03-26,17.210000
2009-03-27,16.560000
2009-03-30,16.380000
2009-03-31,16.020000
2009-04-01,16.300000
2009-04-02,16.110000
2009-04-03,16.160000
2009-04-06,16.160000
2009-04-07,16.290000
2009-04-08,16.390000
2009-04-09,16.310000
2009-04-13,16.560000
2009-04-14,16.480000
2009-04-15,16.890000
2009-04-16,16.980000
2009-04-17,16.990000
2009-04-20,16.930000
2009-04-21,16.730000
2009-04-22,16.850000
2009-04-23,16.900000
2009-04-24,16.920000
2009-04-27,16.880000
2009-04-28,17.000000
2009-04-29,16.820000
2009-04-30,16.330000
2009-05-01,16.370000
2009-05-04,16.170000
2009-05-05,16.600000
2009-05-06,17.060000
2009-05-07,17.030000
2009-05-08,17.100000
2009-05-11,17.040000
2009-05-12,17.390000
2009-05-13,17.210000
2009-05-14,17.000000
2009-05-15,16.980000
2009-05-18,16.880000
2009-05-19,16.810000
2009-05-20,16.770000
2009-05-21,16.640000
2009-05-22,16.640000
2009-05-26,16.920000
2009-05-27,16.660000
2009-05-28,17.000000
2009-05-29,17.090000
2009-06-01,17.190000
2009-06-02,17.120000
2009-06-03,17.000000
2009-06-04,16.970000
2009-06-05,17.030000
2009-06-08,17.210000
2009-06-09,17.350000
2009-06-10,17.070000
2009-06-11,16.850000
2009-06-12,16.640000
2009-06-15,16.550000
2009-06-16,16.260000
2009-06-17,16.220000
2009-06-18,16.380000
2009-06-19,16.410000
2009-06-22,16.350000
2009-06-23,16.260000
2009-06-24,16.210000
2009-06-25,16.540000
2009-06-26,16.480000
2009-06-29,16.500000
2009-06-30,16.390000
2009-07-01,16.680000
2009-07-02,16.300000
2009-07-06,16.620000
2009-07-07,16.350000
2009-07-08,16.400000
2009-07-09,16.350000
2009-07-10,16.470000
2009-07-13,16.660000
2009-07-14,16.640000
2009-07-15,16.850000
2009-07-16,16.990000
2009-07-17,17.340000
2009-07-20,17.270000
2009-07-21,17.330000
2009-07-22,17.300000
2009-07-23,17.410000
2009-07-24,17.340000
2009-07-27,17.430000
2009-07-28,17.580000
2009-07-29,17.690000
2009-07-30,17.680000
2009-07-31,17.530000
2009-08-03,17.630000
2009-08-04,17.610000
2009-08-05,17.510000
2009-08-06,17.640000
2009-08-07,17.710000
2009-08-10,17.560000
2009-08-11,17.520000
2009-08-12,17.580000
2009-08-13,17.640000
2009-08-14,17.560000
2009-08-17,17.520000
2009-08-18,17.640000
2009-08-19,17.660000
2009-08-20,17.840000
2009-08-21,18.040000
2009-08-24,18.330000
2009-08-25,18.150000
2009-08-26,18.170000
2009-08-27,18.270000
2009-08-28,18.220000
2009-08-31,18.280000
2009-09-01,18.110000
2009-09-02,18.280000
2009-09-03,18.210000
2009-09-04,18.500000
2009-09-08,18.520000
2009-09-09,18.590000
2009-09-10,18.530000
2009-09-11,18.140000
2009-09-14,17.990000
2009-09-15,17.910000
2009-09-16,18.230000
2009-09-17,18.020000
2009-09-18,17.960000
2009-09-21,18.040000
2009-09-22,17.890000
2009-09-23,17.750000
2009-09-24,17.500000
2009-09-25,17.500000
2009-09-28,17.670000
2009-09-29,17.900000
2009-09-30,17.810000
2009-10-01,17.540000
2009-10-02,17.470000
2009-10-05,17.640000
2009-10-06,17.810000
2009-10-07,17.730000
2009-10-08,17.850000
2009-10-09,18.060000
2009-10-12,18.120000
2009-10-13,18.060000
2009-10-14,18.230000
2009-10-15,18.250000
2009-10-16,18.270000
2009-10-19,18.350000
2009-10-20,18.660000
2009-10-21,18.210000
2009-10-22,18.180000
2009-10-23,17.930000
2009-10-26,17.980000
2009-10-27,18.140000
2009-10-28,18.200000
2009-10-29,18.360000
2009-10-30,18.110000
2009-11-02,18.300000
2009-11-03,18.460000
2009-11-04,18.470000
2009-11-05,18.670000
2009-11-06,18.540000
2009-11-09,18.870000
2009-11-10,19.070000
2009-11-11,18.970000
2009-11-12,19.020000
2009-11-13,19.260000
2009-11-16,19.340000
2009-11-17,19.240000
2009-11-18,19.300000
2009-11-19,19.210000
2009-11-20,18.980000
2009-11-23,19.130000
2009-11-24,19.300000
2009-11-25,19.190000
2009-11-27,19.000000
2009-11-30,18.810000
2009-12-01,19.070000
2009-12-02,19.160000
2009-12-03,19.140000
2009-12-04,19.320000
2009-12-07,19.370000
2009-12-08,19.260000
2009-12-09,19.370000
2009-12-10,19.450000
2009-12-11,19.520000
2009-12-14,19.670000
2009-12-15,19.700000
2009-12-16,19.630000
2009-12-17,19.590000
2009-12-18,19.650000
2009-12-21,19.710000
2009-12-22,19.870000
2009-12-23,20.160000
2009-12-24,20.370000
2009-12-28,19.980000
2009-12-29,19.850000
2009-12-30,19.810000
2009-12-31,19.630000
2010-01-04,19.790000
2010-01-05,19.800000
2010-01-06,20.090000
2010-01-07,20.060000
2010-01-08,20.110000
2010-01-11,20.260000
2010-01-12,20.150000
2010-01-13,20.240000
2010-01-14,20.380000
2010-01-15,20.420000
2010-01-19,20.380000
2010-01-20,20.330000
2010-01-21,19.890000
2010-01-22,19.710000
2010-01-25,19.910000
2010-01-26,19.960000
2010-01-27,19.990000
2010-01-28,20.010000
2010-01-29,19.860000
2010-02-01,19.880000
2010-02-02,19.930000
2010-02-03,19.780000
2010-02-04,19.420000
2010-02-05,19.380000
2010-02-08,19.370000
2010-02-09,19.460000
2010-02-10,19.380000
2010-02-11,19.610000
2010-02-12,19.630000
2010-02-16,19.730000
2010-02-17,19.780000
2010-02-18,20.000000
2010-02-19,20.160000
2010-02-22,20.270000
2010-02-23,19.970000
2010-02-24,20.262000
2010-02-25,20.410000
2010-02-26,20.120000
2010-03-01,20.270000
2010-03-02,20.330000
2010-03-03,20.350000
2010-03-04,20.420000
2010-03-05,20.710000
2010-03-08,20.740000
2010-03-09,20.770000
2010-03-10,20.820000
2010-03-11,20.370000
2010-03-12,20.200000
2010-03-15,20.370000
2010-03-16,20.360000
2010-03-17,20.330000
2010-03-18,20.460000
2010-03-19,20.340000
2010-03-22,20.440000
2010-03-23,20.520000
2010-03-24,20.470000
2010-03-25,20.520000
2010-03-26,20.420000
2010-03-29,20.650000
2010-03-30,20.650000
2010-03-31,20.520000
2010-04-01,20.830000
2010-04-05,20.920000
2010-04-06,20.980000
2010-04-07,20.790000
2010-04-08,20.680000
2010-04-09,20.930000
2010-04-12,21.100000
2010-04-13,21.100000
2010-04-14,21.160000
2010-04-15,21.100000
2010-04-16,20.870000
2010-04-19,20.930000
2010-04-20,21.170000
2010-04-21,21.460000
2010-04-22,21.280000
2010-04-23,21.360000
2010-04-26,21.250000
2010-04-27,20.920000
2010-04-28,21.020000
2010-04-29,21.180000
2010-04-30,21.190000
2010-05-03,21.400000
2010-05-04,21.260000
2010-05-05,21.220000
2010-05-06,20.750000
2010-05-07,20.760000
2010-05-10,21.580000
2010-05-11,21.590000
2010-05-12,21.670000
2010-05-13,21.630000
2010-05-14,21.610000
2010-05-17,21.700000
2010-05-18,21.370000
2010-05-19,21.310000
2010-05-20,20.670000
2010-05-21,21.010000
2010-05-24,20.850000
2010-05-25,20.400000
2010-05-26,20.160000
2010-05-27,20.540000
2010-05-28,20.290000
2010-06-01,20.120000
2010-06-02,20.380000
2010-06-03,20.590000
2010-06-04,20.015000
2010-06-07,19.820000
2010-06-08,20.200000
2010-06-09,20.050000
2010-06-10,20.320000
2010-06-11,20.080000
2010-06-14,19.570000
2010-06-15,19.910000
2010-06-16,19.830000
2010-06-17,19.990000
2010-06-18,20.020000
2010-06-21,20.060000
2010-06-22,19.850000
2010-06-23,19.770000
2010-06-24,19.620000
2010-06-25,19.700000
2010-06-28,20.340000
2010-06-29,19.960000
2010-06-30,20.040000
2010-07-01,20.240000
2010-07-02,20.310000
2010-07-06,20.540000
2010-07-07,20.890000
2010-07-08,21.320000
2010-07-09,21.300000
2010-07-12,21.300000
2010-07-13,21.340000
2010-07-14,21.350000
2010-07-15,21.460000
2010-07-16,21.262500
2010-07-19,21.380000
2010-07-20,21.520000
2010-07-21,21.410000
2010-07-22,21.850000
2010-07-23,22.120000
2010-07-26,21.990000
2010-07-27,22.050000
2010-07-28,22.070000
2010-07-29,22.020000
2010-07-30,22.160000
2010-08-02,22.250000
2010-08-03,22.120000
2010-08-04,22.350000
2010-08-05,22.340000
2010-08-06,22.540000
2010-08-09,22.590000
2010-08-10,22.630000
2010-08-11,22.440000
2010-08-12,22.450000
2010-08-13,22.350000
2010-08-16,22.600000
2010-08-17,22.920000
2010-08-18,22.930000
2010-08-19,22.760000
2010-08-20,22.710000
2010-08-23,22.730000
2010-08-24,22.790000
2010-08-25,22.850000
2010-08-26,22.610000
2010-08-27,22.540000
2010-08-30,22.520000
2010-08-31,22.320000
2010-09-01,22.660000
2010-09-02,22.790000
2010-09-03,22.910000
2010-09-07,23.110000
2010-09-08,23.450000
2010-09-09,23.630000
2010-09-10,23.840000
2010-09-13,23.470000
2010-09-14,23.510000
2010-09-15,23.680000
2010-09-16,23.470000
2010-09-17,23.500000
2010-09-20,23.710000
2010-09-21,23.860000
2010-09-22,23.870000
2010-09-23,23.600000
