d,c
2009-01-02,36.860000
2009-01-05,37.670000
2009-01-06,38.560000
2009-01-07,38.440000
2009-01-08,39.770000
2009-01-09,38.790000
2009-01-12,34.560000
2009-01-13,35.080000
2009-01-14,33.210000
2009-01-15,34.470000
2009-01-16,35.450000
2009-01-20,32.150000
2009-01-21,33.640000
2009-01-22,33.950000
2009-01-23,35.390000
2009-01-26,36.530000
2009-01-27,36.540000
2009-01-28,37.770000
2009-01-29,36.130000
2009-01-30,35.670000
2009-02-02,35.550000
2009-02-03,36.340000
2009-02-04,39.000000
2009-02-05,41.350000
2009-02-06,45.050000
2009-02-09,45.640000
2009-02-10,44.170000
2009-02-11,42.190000
2009-02-12,43.050000
2009-02-13,42.880000
2009-02-17,39.540000
2009-02-18,40.880000
2009-02-19,41.730000
2009-02-20,42.520000
2009-02-23,35.890000
2009-02-24,38.860000
2009-02-25,39.120000
2009-02-26,39.660000
2009-02-27,43.050000
2009-03-02,37.720000
2009-03-03,40.150000
2009-03-04,41.880000
2009-03-05,40.090000
2009-03-06,39.160000
2009-03-09,40.350000
2009-03-10,44.090000
2009-03-11,45.530000
2009-03-12,43.210000
2009-03-13,42.080000
2009-03-16,41.350000
2009-03-17,42.260000
2009-03-18,42.540000
2009-03-19,43.500000
2009-03-20,41.620000
2009-03-23,44.770000
2009-03-24,44.810000
2009-03-25,45.470000
2009-03-26,48.200000
2009-03-27,47.050000
2009-03-30,42.740000
2009-03-31,41.980000
2009-04-01,43.930000
2009-04-02,43.870000
2009-04-03,45.640000
2009-04-06,44.890000
2009-04-07,42.940000
2009-04-08,45.610000
2009-04-09,44.570000
2009-04-13,44.250000
2009-04-14,44.510000
2009-04-15,44.620000
2009-04-16,43.690000
2009-04-17,42.180000
2009-04-20,39.330000
2009-04-21,38.880000
2009-04-22,38.590000
2009-04-23,38.210000
2009-04-24,40.960000
2009-04-27,38.970000
2009-04-28,38.900000
2009-04-29,40.030000
2009-04-30,40.450000
2009-05-01,42.350000
2009-05-04,44.270000
2009-05-05,46.270000
2009-05-06,45.800000
2009-05-07,45.530000
2009-05-08,45.450000
2009-05-11,44.570000
2009-05-12,47.670000
2009-05-13,46.340000
2009-05-14,50.330000
2009-05-15,51.300000
2009-05-18,55.000000
2009-05-19,56.870000
2009-05-20,56.820000
2009-05-21,53.350000
2009-05-22,55.360000
2009-05-26,56.370000
2009-05-27,54.560000
2009-05-28,55.180000
2009-05-29,54.700000
2009-06-01,56.470000
2009-06-02,55.970000
2009-06-03,52.440000
2009-06-04,53.680000
2009-06-05,53.130000
2009-06-08,51.760000
2009-06-09,53.730000
2009-06-10,55.280000
2009-06-11,56.330000
2009-06-12,55.480000
2009-06-15,53.120000
2009-06-16,51.210000
2009-06-17,46.250000
2009-06-18,45.780000
2009-06-19,46.450000
2009-06-22,42.270000
2009-06-23,43.850000
2009-06-24,44.090000
2009-06-25,43.790000
2009-06-26,43.350000
2009-06-29,45.940000
2009-06-30,44.300000
2009-07-01,43.800000
2009-07-02,45.110000
2009-07-06,43.640000
2009-07-07,41.250000
2009-07-08,40.670000
2009-07-09,42.760000
2009-07-10,41.130000
2009-07-13,42.460000
2009-07-14,43.220000
2009-07-15,44.550000
2009-07-16,49.980000
2009-07-17,49.560000
2009-07-20,49.120000
2009-07-21,49.130000
2009-07-22,48.420000
2009-07-23,51.450000
2009-07-24,53.450000
2009-07-27,52.720000
2009-07-28,50.850000
2009-07-29,49.230000
2009-07-30,51.710000
2009-07-31,52.150000
2009-08-03,55.130000
2009-08-04,53.680000
2009-08-05,54.050000
2009-08-06,54.390000
2009-08-07,53.780000
2009-08-10,52.900000
2009-08-11,51.920000
2009-08-12,53.040000
2009-08-13,54.650000
2009-08-14,54.070000
2009-08-17,51.120000
2009-08-18,52.680000
2009-08-19,53.340000
2009-08-20,54.470000
2009-08-21,54.460000
2009-08-24,53.660000
2009-08-25,52.050000
2009-08-26,51.680000
2009-08-27,51.380000
2009-08-28,49.810000
2009-08-31,48.470000
2009-09-01,49.410000
2009-09-02,50.650000
2009-09-03,50.870000
2009-09-04,51.360000
2009-09-08,52.330000
2009-09-09,51.590000
2009-09-10,50.720000
2009-09-11,52.260000
2009-09-14,51.540000
2009-09-15,53.670000
2009-09-16,53.040000
2009-09-17,53.730000
2009-09-18,54.250000
2009-09-21,51.410000
2009-09-22,51.910000
2009-09-23,50.400000
2009-09-24,50.400000
2009-09-25,49.210000
2009-09-28,49.540000
2009-09-29,48.770000
2009-09-30,48.070000
2009-10-01,46.430000
2009-10-02,46.180000
2009-10-05,45.960000
2009-10-06,47.890000
2009-10-07,48.240000
2009-10-08,49.660000
2009-10-09,49.240000
2009-10-12,49.260000
2009-10-13,49.050000
2009-10-14,50.440000
2009-10-15,50.670000
2009-10-16,51.610000
2009-10-19,53.630000
2009-10-20,53.210000
2009-10-21,53.300000
2009-10-22,53.220000
2009-10-23,51.790000
2009-10-26,49.880000
2009-10-27,49.090000
2009-10-28,47.480000
2009-10-29,48.960000
2009-10-30,46.730000
2009-11-02,47.440000
2009-11-03,48.140000
2009-11-04,48.770000
2009-11-05,49.490000
2009-11-06,50.350000
2009-11-09,50.220000
2009-11-10,50.990000
2009-11-11,51.780000
2009-11-12,49.710000
2009-11-13,48.120000
2009-11-16,49.890000
2009-11-17,52.770000
2009-11-18,54.440000
2009-11-19,54.060000
2009-11-20,55.310000
2009-11-23,54.980000
2009-11-24,54.100000
2009-11-25,55.980000
2009-11-27,54.350000
2009-11-30,54.450000
2009-12-01,57.170000
2009-12-02,61.690000
2009-12-03,60.580000
2009-12-04,58.290000
2009-12-07,59.940000
2009-12-08,59.270000
2009-12-09,59.630000
2009-12-10,59.690000
2009-12-11,58.990000
2009-12-14,58.980000
2009-12-15,59.100000
2009-12-16,59.680000
2009-12-17,56.030000
2009-12-18,55.220000
2009-12-21,58.310000
2009-12-22,58.650000
2009-12-23,60.300000
2009-12-24,60.610000
2009-12-28,60.830000
2009-12-29,59.680000
2009-12-30,59.760000
2009-12-31,59.730000
2010-01-04,61.710000
2010-01-05,63.150000
2010-01-06,65.570000
2010-01-07,65.760000
2010-01-08,66.700000
2010-01-11,66.310000
2010-01-12,62.490000
2010-01-13,62.540000
2010-01-14,60.840000
2010-01-15,61.560000
2010-01-19,63.040000
2010-01-20,62.030000
2010-01-21,60.070000
2010-01-22,58.630000
2010-01-25,58.760000
2010-01-26,58.580000
2010-01-27,58.040000
2010-01-28,55.560000
2010-01-29,53.510000
2010-02-01,56.270000
2010-02-02,56.350000
2010-02-03,57.640000
2010-02-04,54.010000
2010-02-05,55.180000
2010-02-08,54.540000
2010-02-09,56.910000
2010-02-10,57.420000
2010-02-11,58.420000
2010-02-12,58.830000
2010-02-16,60.380000
2010-02-17,61.260000
2010-02-18,60.560000
2010-02-19,60.780000
2010-02-22,60.680000
2010-02-23,58.880000
2010-02-24,57.620000
2010-02-25,58.520000
2010-02-26,58.390000
2010-03-01,59.450000
2010-03-02,61.490000
2010-03-03,61.270000
2010-03-04,60.430000
2010-03-05,61.600000
2010-03-08,61.380000
2010-03-09,60.980000
2010-03-10,60.350000
2010-03-11,59.930000
2010-03-12,63.800000
2010-03-15,62.390000
2010-03-16,63.040000
2010-03-17,61.910000
2010-03-18,59.560000
2010-03-19,58.420000
2010-03-22,59.190000
2010-03-23,59.140000
2010-03-24,60.280000
2010-03-25,58.440000
2010-03-26,59.350000
2010-03-29,60.220000
2010-03-30,60.050000
2010-03-31,60.770000
2010-04-01,58.330000
2010-04-05,57.990000
2010-04-06,57.540000
2010-04-07,56.990000
2010-04-08,57.590000
2010-04-09,56.650000
2010-04-12,56.750000
2010-04-13,56.780000
2010-04-14,55.400000
2010-04-15,55.160000
2010-04-16,54.130000
2010-04-19,53.190000
2010-04-20,54.920000
2010-04-21,53.230000
2010-04-22,54.080000
2010-04-23,53.780000
2010-04-26,52.190000
2010-04-27,50.580000
2010-04-28,51.950000
2010-04-29,51.510000
2010-04-30,51.140000
2010-05-03,50.980000
2010-05-04,49.100000
2010-05-05,48.300000
2010-05-06,47.660000
2010-05-07,48.160000
2010-05-10,48.730000
2010-05-11,47.670000
2010-05-12,49.400000
2010-05-13,48.030000
2010-05-14,47.760000
2010-05-17,46.860000
2010-05-18,48.000000
2010-05-19,46.860000
2010-05-20,44.970000
2010-05-21,45.710000
2010-05-24,44.940000
2010-05-25,44.680000
2010-05-26,44.000000
2010-05-27,47.020000
2010-05-28,46.170000
2010-06-01,44.610000
2010-06-02,46.300000
2010-06-03,44.740000
2010-06-04,43.060000
2010-06-07,43.190000
2010-06-08,42.700000
2010-06-09,42.520000
2010-06-10,45.310000
2010-06-11,45.240000
2010-06-14,43.970000
2010-06-15,45.460000
2010-06-16,45.270000
2010-06-17,44.320000
2010-06-18,43.460000
2010-06-21,43.590000
2010-06-22,43.320000
2010-06-23,43.740000
2010-06-24,42.610000
2010-06-25,42.440000
2010-06-28,41.650000
2010-06-29,39.350000
2010-06-30,38.980000
2010-07-01,38.900000
2010-07-02,39.430000
2010-07-06,39.130000
2010-07-07,42.740000
2010-07-08,44.720000
2010-07-09,46.130000
2010-07-12,42.480000
2010-07-13,41.700000
2010-07-14,42.020000
2010-07-15,43.250000
2010-07-16,44.760000
2010-07-19,44.770000
2010-07-20,46.550000
2010-07-21,44.830000
2010-07-22,44.950000
2010-07-23,46.800000
2010-07-26,46.190000
2010-07-27,44.930000
2010-07-28,46.450000
2010-07-29,47.590000
2010-07-30,47.650000
2010-08-02,49.390000
2010-08-03,48.100000
2010-08-04,50.380000
2010-08-05,51.290000
2010-08-06,51.190000
2010-08-09,51.140000
2010-08-10,50.840000
2010-08-11,49.420000
2010-08-12,51.300000
2010-08-13,51.200000
2010-08-16,51.130000
2010-08-17,55.600000
2010-08-18,57.880000
2010-08-19,56.560000
2010-08-20,56.640000
2010-08-23,59.770000
2010-08-24,58.110000
2010-08-25,56.290000
2010-08-26,55.790000
2010-08-27,58.270000
2010-08-30,57.250000
2010-08-31,58.660000
2010-09-01,58.470000
2010-09-02,58.350000
2010-09-03,58.100000
2010-09-07,57.860000
2010-09-08,59.670000
2010-09-09,58.670000
2010-09-10,59.350000
2010-09-13,59.660000
2010-09-14,58.820000
2010-09-15,57.590000
2010-09-16,60.550000
2010-09-17,60.020000
2010-09-20,60.960000
2010-09-21,59.340000
2010-09-22,60.270000
2010-09-23,61.350000
2010-09-24,62.090000
