d,c
2011-06-24,18.625000
2011-06-27,18.825000
2011-06-28,19.350000
2011-06-29,20.035000
2011-06-30,20.700000
2011-07-01,21.100000
2011-07-05,21.105000
2011-07-06,20.945000
2011-07-07,20.890000
2011-07-08,20.705000
2011-07-11,20.050000
2011-07-12,20.240000
2011-07-13,19.980000
2011-07-14,19.320000
2011-07-15,19.580000
2011-07-18,19.560000
2011-07-19,19.870000
2011-07-20,19.765000
2011-07-21,20.050000
2011-07-22,20.285000
2011-07-25,20.685000
2011-07-26,21.525000
2011-07-27,21.030000
2011-07-28,21.390000
2011-07-29,21.895000
2011-08-01,22.485000
2011-08-02,21.165000
2011-08-03,20.715000
2011-08-04,19.210000
2011-08-05,18.655000
2011-08-08,16.165000
2011-08-09,18.050000
2011-08-10,17.560000
2011-08-11,18.670000
2011-08-12,18.705000
2011-08-15,19.550000
2011-08-16,19.430000
2011-08-17,19.550000
2011-08-18,18.305000
2011-08-19,17.495000
2011-08-22,16.285000
2011-08-23,17.125000
2011-08-24,17.915000
2011-08-25,17.190000
2011-08-26,17.435000
2011-08-29,18.000000
2011-08-30,18.015000
2011-08-31,18.530000
2011-09-01,18.505000
2011-09-02,17.710000
2011-09-06,17.500000
2011-09-07,18.145000
2011-09-08,18.865000
2011-09-09,18.175000
2011-09-12,18.330000
2011-09-13,17.670000
2011-09-14,17.515000
2011-09-15,17.710000
2011-09-16,17.550000
2011-09-19,16.775000
2011-09-20,16.845000
2011-09-21,16.200000
2011-09-22,14.735000
2011-09-23,14.765000
2011-09-26,15.050000
2011-09-27,14.915000
2011-09-28,14.490000
2011-09-29,13.920000
2011-09-30,13.530000
2011-10-03,13.575000
2011-10-04,14.380000
2011-10-05,15.740000
2011-10-06,16.645000
2011-10-07,15.800000
2011-10-10,16.485000
2011-10-11,16.575000
2011-10-12,16.785000
2011-10-13,16.885000
2011-10-14,18.070000
2011-10-17,17.470000
2011-10-18,18.095000
2011-10-19,17.800000
2011-10-20,18.245000
2011-10-21,18.675000
2011-10-24,17.925000
2011-10-25,16.485000
2011-10-26,17.365000
2011-10-27,18.665000
2011-10-28,18.660000
2011-10-31,17.950000
2011-11-01,18.000000
2011-11-02,19.165000
2011-11-03,19.335000
2011-11-04,19.310000
2011-11-07,19.460000
2011-11-08,19.055000
2011-11-09,18.510000
2011-11-10,18.850000
2011-11-11,18.760000
2011-11-14,18.355000
2011-11-15,18.490000
2011-11-16,16.320000
2011-11-17,15.810000
