d,c
2009-01-02,7.110000
2009-01-05,7.020000
2009-01-06,7.640000
2009-01-07,7.310000
2009-01-08,7.280000
2009-01-09,6.860000
2009-01-12,6.520000
2009-01-13,6.380000
2009-01-14,6.310000
2009-01-15,6.500000
2009-01-16,6.310000
2009-01-20,5.800000
2009-01-21,6.160000
2009-01-22,6.210000
2009-01-23,6.750000
2009-01-26,6.840000
2009-01-27,7.200000
2009-01-28,7.520000
2009-01-29,7.230000
2009-01-30,7.290000
2009-02-02,7.340000
2009-02-03,7.490000
2009-02-04,7.680000
2009-02-05,8.080000
2009-02-06,8.280000
2009-02-09,8.160000
2009-02-10,7.840000
2009-02-11,7.830000
2009-02-12,7.930000
2009-02-13,8.190000
2009-02-17,7.440000
2009-02-18,7.490000
2009-02-19,7.000000
2009-02-20,7.020000
2009-02-23,6.610000
2009-02-24,7.480000
2009-02-25,7.640000
2009-02-26,7.510000
2009-02-27,7.510000
2009-03-02,7.130000
2009-03-03,7.180000
2009-03-04,7.580000
2009-03-05,7.520000
2009-03-06,8.060000
2009-03-09,7.670000
2009-03-10,8.300000
2009-03-11,8.640000
2009-03-12,8.860000
2009-03-13,8.980000
2009-03-16,8.390000
2009-03-17,8.880000
2009-03-18,9.460000
2009-03-19,8.870000
2009-03-20,8.750000
2009-03-23,9.280000
2009-03-24,9.160000
2009-03-25,9.180000
2009-03-26,9.650000
2009-03-27,9.270000
2009-03-30,9.040000
2009-03-31,9.160000
2009-04-01,9.470000
2009-04-02,9.870000
2009-04-03,10.060000
2009-04-06,9.730000
2009-04-07,9.470000
2009-04-08,10.050000
2009-04-09,10.470000
2009-04-13,10.230000
2009-04-14,10.300000
2009-04-15,10.310000
2009-04-16,10.620000
2009-04-17,10.420000
2009-04-20,9.790000
2009-04-21,9.880000
2009-04-22,10.120000
2009-04-23,10.170000
2009-04-24,10.410000
2009-04-27,10.480000
2009-04-28,10.150000
2009-04-29,10.320000
2009-04-30,10.980000
2009-05-01,11.250000
2009-05-04,11.590000
2009-05-05,11.290000
2009-05-06,11.610000
2009-05-07,10.910000
2009-05-08,10.570000
2009-05-11,10.720000
2009-05-12,10.360000
2009-05-13,10.190000
2009-05-14,10.680000
2009-05-15,10.690000
2009-05-18,11.280000
2009-05-19,11.390000
2009-05-20,11.280000
2009-05-21,11.090000
2009-05-22,10.960000
2009-05-26,11.620000
2009-05-27,11.500000
2009-05-28,11.690000
2009-05-29,11.430000
2009-06-01,12.130000
2009-06-02,11.160000
2009-06-03,10.780000
2009-06-04,11.340000
2009-06-05,11.370000
2009-06-08,11.210000
2009-06-09,12.840000
2009-06-10,12.920000
2009-06-11,12.510000
2009-06-12,12.330000
2009-06-15,12.470000
2009-06-16,11.950000
2009-06-17,11.660000
2009-06-18,11.270000
2009-06-19,12.010000
2009-06-22,11.480000
2009-06-23,11.520000
2009-06-24,11.770000
2009-06-25,12.000000
2009-06-26,11.820000
2009-06-29,11.670000
2009-06-30,11.640000
2009-07-01,11.740000
2009-07-02,11.670000
2009-07-06,11.400000
2009-07-07,11.500000
2009-07-08,11.280000
2009-07-09,11.640000
2009-07-10,11.680000
2009-07-13,11.890000
2009-07-14,12.230000
2009-07-15,12.740000
2009-07-16,13.110000
2009-07-17,13.170000
2009-07-20,13.440000
2009-07-21,13.610000
2009-07-22,13.980000
2009-07-23,13.980000
2009-07-24,13.580000
2009-07-27,13.710000
2009-07-28,14.110000
2009-07-29,13.750000
2009-07-30,13.590000
2009-07-31,13.340000
2009-08-03,13.800000
2009-08-04,14.130000
2009-08-05,14.040000
2009-08-06,13.590000
2009-08-07,13.540000
2009-08-10,13.320000
2009-08-11,13.310000
2009-08-12,13.780000
2009-08-13,14.250000
2009-08-14,13.690000
2009-08-17,13.270000
2009-08-18,13.680000
2009-08-19,13.920000
2009-08-20,14.010000
2009-08-21,14.230000
2009-08-24,13.910000
2009-08-25,14.090000
2009-08-26,14.400000
2009-08-27,14.630000
2009-08-28,15.360000
2009-08-31,15.250000
2009-09-01,15.020000
2009-09-02,14.900000
2009-09-03,14.970000
2009-09-04,15.700000
2009-09-08,16.250000
2009-09-09,16.320000
2009-09-10,16.410000
2009-09-11,16.320000
2009-09-14,16.170000
2009-09-15,16.210000
2009-09-16,16.430000
2009-09-17,15.930000
2009-09-18,16.070000
2009-09-21,15.762000
2009-09-22,15.980000
2009-09-23,16.220000
2009-09-24,15.700000
2009-09-25,15.720000
2009-09-28,16.220000
2009-09-29,15.920000
2009-09-30,16.190000
2009-10-01,14.960000
2009-10-02,15.090000
2009-10-05,15.250000
2009-10-06,15.480000
2009-10-07,15.120000
2009-10-08,14.900000
2009-10-09,15.620000
2009-10-12,15.970000
2009-10-13,16.000000
2009-10-14,16.410000
2009-10-15,15.840000
2009-10-16,15.500000
2009-10-19,15.570000
2009-10-20,15.240000
2009-10-21,14.990000
2009-10-22,14.880000
2009-10-23,14.580000
2009-10-26,14.990000
2009-10-27,14.440000
2009-10-28,13.730000
2009-10-29,14.240000
2009-10-30,13.730000
2009-11-02,13.830000
2009-11-03,13.940000
2009-11-04,14.230000
2009-11-05,14.700000
2009-11-06,14.730000
2009-11-09,15.240000
2009-11-10,15.460000
2009-11-11,15.540000
2009-11-12,15.280000
2009-11-13,15.840000
2009-11-16,16.240000
2009-11-17,16.415000
2009-11-18,16.090000
2009-11-19,15.270000
2009-11-20,15.280000
2009-11-23,15.610000
2009-11-24,15.660000
2009-11-25,15.900000
2009-11-27,15.630000
2009-11-30,15.420000
2009-12-01,16.030000
2009-12-02,16.530000
2009-12-03,16.530000
2009-12-04,18.060000
2009-12-07,17.910000
2009-12-08,17.860000
2009-12-09,18.270000
2009-12-10,18.670000
2009-12-11,18.430000
2009-12-14,18.990000
2009-12-15,18.730000
2009-12-16,19.540000
2009-12-17,19.250000
2009-12-18,19.990000
2009-12-21,19.960000
