d,c
2009-01-02,16.990000
2009-01-05,17.620000
2009-01-06,19.580000
2009-01-07,18.100000
2009-01-08,18.820000
2009-01-09,19.060000
2009-01-12,18.790000
2009-01-13,18.860000
2009-01-14,17.190000
2009-01-15,16.260000
2009-01-16,15.590000
2009-01-20,13.100000
2009-01-21,16.860000
2009-01-22,17.580000
2009-01-23,18.710000
2009-01-26,19.080000
2009-01-27,19.790000
2009-01-28,23.000000
2009-01-29,21.380000
2009-01-30,20.230000
2009-02-02,20.800000
2009-02-03,20.940000
2009-02-04,22.010000
2009-02-05,23.190000
2009-02-06,22.870000
2009-02-09,23.610000
2009-02-10,20.790000
2009-02-11,22.910000
2009-02-12,22.990000
2009-02-13,22.930000
2009-02-17,19.760000
2009-02-18,20.180000
2009-02-19,19.930000
2009-02-20,19.430000
2009-02-23,18.820000
2009-02-24,22.070000
2009-02-25,21.760000
2009-02-26,21.330000
2009-02-27,19.540000
2009-03-02,17.950000
2009-03-03,18.180000
2009-03-04,19.400000
2009-03-05,17.980000
2009-03-06,17.180000
2009-03-09,16.480000
2009-03-10,20.840000
2009-03-11,22.510000
2009-03-12,24.180000
2009-03-13,25.430000
2009-03-16,23.040000
2009-03-17,23.810000
2009-03-18,24.190000
2009-03-19,21.040000
2009-03-20,20.240000
2009-03-23,24.430000
2009-03-24,25.120000
2009-03-25,25.910000
2009-03-26,25.650000
2009-03-27,24.350000
2009-03-30,22.130000
2009-03-31,22.770000
2009-04-01,23.730000
2009-04-02,23.110000
2009-04-03,24.060000
2009-04-06,23.310000
2009-04-07,23.320000
2009-04-08,22.690000
2009-04-09,25.350000
2009-04-13,26.890000
2009-04-14,23.670000
2009-04-15,23.450000
2009-04-16,23.970000
2009-04-17,25.000000
2009-04-20,23.520000
2009-04-21,24.650000
2009-04-22,22.440000
2009-04-23,21.960000
2009-04-24,21.960000
2009-04-27,21.260000
2009-04-28,21.080000
2009-04-29,23.070000
2009-04-30,23.640000
2009-05-01,25.820000
2009-05-04,27.020000
2009-05-05,27.210000
2009-05-06,28.510000
2009-05-07,27.140000
2009-05-08,28.200000
2009-05-11,26.070000
2009-05-12,26.420000
2009-05-13,25.100000
2009-05-14,26.570000
2009-05-15,26.130000
2009-05-18,28.280000
2009-05-19,28.910000
2009-05-20,28.000000
2009-05-21,28.090000
2009-05-22,28.230000
2009-05-26,29.020000
2009-05-27,28.610000
2009-05-28,29.430000
2009-05-29,30.320000
2009-06-01,29.890000
2009-06-02,30.090000
2009-06-03,29.720000
2009-06-04,31.200000
2009-06-05,30.970000
2009-06-08,31.390000
2009-06-09,30.980000
2009-06-10,29.260000
2009-06-11,29.490000
2009-06-12,29.700000
2009-06-15,28.400000
2009-06-16,28.100000
2009-06-17,27.480000
2009-06-18,28.030000
2009-06-19,28.270000
2009-06-22,26.630000
2009-06-23,27.700000
2009-06-24,27.650000
2009-06-25,27.870000
2009-06-26,28.620000
2009-06-29,29.100000
2009-06-30,28.510000
2009-07-01,28.360000
2009-07-02,26.990000
2009-07-06,26.850000
2009-07-07,26.150000
2009-07-08,25.500000
2009-07-09,25.880000
2009-07-10,25.940000
2009-07-13,27.910000
2009-07-14,27.880000
2009-07-15,28.800000
2009-07-16,28.560000
2009-07-17,27.990000
2009-07-20,28.340000
2009-07-21,27.560000
2009-07-22,27.540000
2009-07-23,28.540000
2009-07-24,28.250000
2009-07-27,28.050000
2009-07-28,27.430000
2009-07-29,27.160000
2009-07-30,28.360000
2009-07-31,28.500000
2009-08-03,29.310000
2009-08-04,30.070000
2009-08-05,31.050000
2009-08-06,30.550000
2009-08-07,31.220000
2009-08-10,30.830000
2009-08-11,29.890000
2009-08-12,29.980000
2009-08-13,29.880000
2009-08-14,29.790000
2009-08-17,28.540000
2009-08-18,28.780000
2009-08-19,28.830000
2009-08-20,29.360000
2009-08-21,29.690000
2009-08-24,29.650000
2009-08-25,30.190000
2009-08-26,29.530000
2009-08-27,29.840000
2009-08-28,29.510000
2009-08-31,28.960000
2009-09-01,27.450000
2009-09-02,27.090000
2009-09-03,27.650000
2009-09-04,27.650000
2009-09-08,27.800000
2009-09-09,28.550000
2009-09-10,28.640000
2009-09-11,28.820000
2009-09-14,28.750000
2009-09-15,28.740000
2009-09-16,30.150000
2009-09-17,31.050000
2009-09-18,31.380000
2009-09-21,31.610000
2009-09-22,32.980000
2009-09-23,32.030000
2009-09-24,30.730000
2009-09-25,30.550000
2009-09-28,31.250000
2009-09-29,31.090000
2009-09-30,30.880000
2009-10-01,29.870000
2009-10-02,29.460000
2009-10-05,29.840000
2009-10-06,30.790000
2009-10-07,31.160000
2009-10-08,31.940000
2009-10-09,32.090000
2009-10-12,31.760000
2009-10-13,31.140000
2009-10-14,32.830000
2009-10-15,32.710000
2009-10-16,32.990000
2009-10-19,33.110000
2009-10-20,32.520000
2009-10-21,34.080000
2009-10-22,35.740000
2009-10-23,35.000000
2009-10-26,34.800000
2009-10-27,34.110000
2009-10-28,32.310000
2009-10-29,33.670000
2009-10-30,32.120000
2009-11-02,31.980000
2009-11-03,32.140000
2009-11-04,31.480000
2009-11-05,32.420000
2009-11-06,32.600000
2009-11-09,33.950000
2009-11-10,33.700000
2009-11-11,33.750000
2009-11-12,33.010000
2009-11-13,33.090000
2009-11-16,34.230000
2009-11-17,33.470000
2009-11-18,33.330000
2009-11-19,32.310000
2009-11-20,32.100000
2009-11-23,32.620000
2009-11-24,32.120000
2009-11-25,31.420000
2009-11-27,30.510000
2009-11-30,31.580000
2009-12-01,31.520000
2009-12-02,30.600000
2009-12-03,30.200000
2009-12-04,30.970000
2009-12-07,30.380000
2009-12-08,30.150000
2009-12-09,30.350000
2009-12-10,30.230000
2009-12-11,29.780000
2009-12-14,30.170000
2009-12-15,29.850000
2009-12-16,30.340000
2009-12-17,29.120000
2009-12-18,29.210000
2009-12-21,29.660000
2009-12-22,29.600000
2009-12-23,29.410000
2009-12-24,29.600000
2009-12-28,29.290000
2009-12-29,29.430000
2009-12-30,29.490000
2009-12-31,29.600000
2010-01-04,30.910000
2010-01-05,32.040000
2010-01-06,32.450000
2010-01-07,32.920000
2010-01-08,32.250000
2010-01-11,32.040000
2010-01-12,31.130000
2010-01-13,31.260000
2010-01-14,31.200000
2010-01-15,30.380000
2010-01-19,31.160000
2010-01-20,30.630000
2010-01-21,29.340000
