d,c
2009-01-02,20.330000
2009-01-05,20.520000
2009-01-06,20.760000
2009-01-07,19.510000
2009-01-08,20.120000
2009-01-09,19.520000
2009-01-12,19.470000
2009-01-13,19.820000
2009-01-14,19.090000
2009-01-15,19.240000
2009-01-16,19.710000
2009-01-20,18.480000
2009-01-21,19.380000
2009-01-22,17.110000
2009-01-23,17.200000
2009-01-26,17.630000
2009-01-27,17.660000
2009-01-28,18.040000
2009-01-29,17.590000
2009-01-30,17.100000
2009-02-02,17.830000
2009-02-03,18.500000
2009-02-04,18.630000
2009-02-05,19.040000
2009-02-06,19.660000
2009-02-09,19.440000
2009-02-10,18.800000
2009-02-11,19.210000
2009-02-12,19.260000
2009-02-13,19.090000
2009-02-17,18.090000
2009-02-18,18.120000
2009-02-19,17.910000
2009-02-20,18.000000
2009-02-23,17.210000
2009-02-24,17.170000
2009-02-25,16.960000
2009-02-26,16.420000
2009-02-27,16.150000
2009-03-02,15.790000
2009-03-03,15.880000
2009-03-04,16.120000
2009-03-05,15.270000
2009-03-06,15.280000
2009-03-09,15.150000
2009-03-10,16.480000
2009-03-11,17.110000
2009-03-12,17.010000
2009-03-13,16.650000
2009-03-16,16.250000
2009-03-17,16.900000
2009-03-18,16.960000
2009-03-19,17.140000
2009-03-20,17.060000
2009-03-23,18.330000
2009-03-24,17.930000
2009-03-25,17.880000
2009-03-26,18.830000
2009-03-27,18.130000
2009-03-30,17.480000
2009-03-31,18.370000
2009-04-01,19.310000
2009-04-02,19.290000
2009-04-03,18.750000
2009-04-06,18.760000
2009-04-07,18.760000
2009-04-08,19.190000
2009-04-09,19.670000
2009-04-13,19.590000
2009-04-14,19.350000
2009-04-15,18.830000
2009-04-16,19.760000
2009-04-17,19.200000
2009-04-20,18.610000
2009-04-21,18.970000
2009-04-22,18.780000
2009-04-23,18.920000
2009-04-24,20.910000
2009-04-27,20.400000
2009-04-28,19.930000
2009-04-29,20.250000
2009-04-30,20.260000
2009-05-01,20.240000
2009-05-04,20.190000
2009-05-05,19.790000
2009-05-06,19.790000
2009-05-07,19.320000
2009-05-08,19.420000
2009-05-11,19.320000
2009-05-12,19.890000
2009-05-13,19.750000
2009-05-14,20.060000
2009-05-15,20.220000
2009-05-18,20.600000
2009-05-19,20.310000
2009-05-20,20.380000
2009-05-21,19.820000
2009-05-22,19.750000
2009-05-26,20.340000
2009-05-27,20.130000
2009-05-28,20.450000
2009-05-29,20.890000
2009-06-01,21.400000
2009-06-02,21.400000
2009-06-03,21.730000
2009-06-04,21.830000
2009-06-05,22.140000
2009-06-08,22.050000
2009-06-09,22.080000
2009-06-10,22.550000
2009-06-11,22.830000
2009-06-12,23.330000
2009-06-15,23.420000
2009-06-16,23.450000
2009-06-17,23.680000
2009-06-18,23.500000
2009-06-19,24.070000
2009-06-22,23.280000
2009-06-23,23.340000
2009-06-24,23.470000
2009-06-25,23.790000
2009-06-26,23.350000
2009-06-29,23.860000
2009-06-30,23.770000
2009-07-01,24.040000
2009-07-02,23.370000
2009-07-06,23.200000
2009-07-07,22.530000
2009-07-08,22.560000
2009-07-09,22.440000
2009-07-10,22.390000
2009-07-13,23.230000
2009-07-14,23.110000
2009-07-15,24.120000
2009-07-16,24.440000
2009-07-17,24.290000
2009-07-20,24.530000
2009-07-21,24.830000
2009-07-22,24.800000
2009-07-23,25.560000
2009-07-24,23.450000
2009-07-27,23.110000
2009-07-28,23.470000
2009-07-29,23.800000
2009-07-30,23.810000
2009-07-31,23.520000
2009-08-03,23.830000
2009-08-04,23.770000
2009-08-05,23.810000
2009-08-06,23.460000
2009-08-07,23.560000
2009-08-10,23.420000
2009-08-11,23.130000
2009-08-12,23.530000
2009-08-13,23.620000
2009-08-14,23.692000
2009-08-17,23.250000
2009-08-18,23.580000
2009-08-19,23.650000
2009-08-20,23.670000
2009-08-21,24.410000
2009-08-24,24.640000
2009-08-25,24.640000
2009-08-26,24.550000
2009-08-27,24.690000
2009-08-28,24.680000
2009-08-31,24.650000
2009-09-01,24.000000
2009-09-02,23.860000
2009-09-03,24.110000
2009-09-04,24.620000
2009-09-08,24.820000
2009-09-09,24.780000
2009-09-10,25.000000
2009-09-11,24.860000
2009-09-14,25.000000
2009-09-15,25.200000
2009-09-16,25.200000
2009-09-17,25.300000
2009-09-18,25.260000
2009-09-21,25.300000
2009-09-22,25.770000
2009-09-23,25.710000
2009-09-24,25.940000
2009-09-25,25.550000
2009-09-28,25.830000
2009-09-29,25.750000
2009-09-30,25.720000
2009-10-01,24.880000
2009-10-02,24.960000
2009-10-05,24.640000
2009-10-06,25.110000
2009-10-07,25.100000
2009-10-08,25.670000
2009-10-09,25.550000
2009-10-12,25.720000
2009-10-13,25.810000
2009-10-14,25.960000
2009-10-15,26.710000
2009-10-16,26.500000
2009-10-19,26.360000
2009-10-20,26.370000
2009-10-21,26.580000
2009-10-22,26.590000
2009-10-23,28.020000
2009-10-26,28.680000
2009-10-27,28.590000
2009-10-28,28.020000
2009-10-29,28.220000
2009-10-30,27.730000
2009-11-02,27.880000
2009-11-03,27.530000
2009-11-04,28.060000
2009-11-05,28.470000
2009-11-06,28.520000
2009-11-09,28.990000
2009-11-10,29.010000
2009-11-11,29.120000
2009-11-12,29.360000
2009-11-13,29.630000
2009-11-16,29.540000
2009-11-17,30.000000
2009-11-18,30.110000
2009-11-19,29.780000
2009-11-20,29.620000
2009-11-23,29.940000
2009-11-24,29.910000
2009-11-25,29.790000
2009-11-27,29.220000
2009-11-30,29.410000
2009-12-01,30.010000
2009-12-02,29.780000
2009-12-03,29.830000
2009-12-04,29.980000
2009-12-07,29.790000
2009-12-08,29.570000
2009-12-09,29.710000
2009-12-10,29.870000
2009-12-11,29.850000
2009-12-14,30.110000
2009-12-15,30.020000
2009-12-16,30.100000
2009-12-17,29.600000
2009-12-18,30.360000
2009-12-21,30.520000
2009-12-22,30.820000
2009-12-23,30.920000
2009-12-24,31.000000
2009-12-28,31.170000
2009-12-29,31.390000
2009-12-30,30.960000
2009-12-31,30.480000
2010-01-04,30.950000
2010-01-05,30.960000
2010-01-06,30.770000
2010-01-07,30.452000
2010-01-08,30.660000
2010-01-11,30.270000
2010-01-12,30.070000
2010-01-13,30.350000
2010-01-14,30.960000
2010-01-15,30.860000
2010-01-19,31.100000
2010-01-20,30.585000
2010-01-21,30.010000
2010-01-22,28.960000
2010-01-25,29.320000
2010-01-26,29.500000
2010-01-27,29.670000
2010-01-28,29.160000
2010-01-29,28.180000
2010-02-01,28.410000
2010-02-02,28.460000
2010-02-03,28.630000
2010-02-04,27.840000
2010-02-05,28.020000
2010-02-08,27.720000
2010-02-09,28.010000
2010-02-10,27.990000
2010-02-11,28.120000
2010-02-12,27.930000
2010-02-16,28.350000
2010-02-17,28.590000
2010-02-18,28.969000
2010-02-19,28.770000
2010-02-22,28.730000
2010-02-23,28.330000
2010-02-24,28.630000
2010-02-25,28.600000
2010-02-26,28.670000
2010-03-01,29.020000
2010-03-02,28.460000
2010-03-03,28.460000
2010-03-04,28.630000
2010-03-05,28.587500
2010-03-08,28.630000
2010-03-09,28.800000
2010-03-10,28.970000
2010-03-11,29.180000
2010-03-12,29.270000
2010-03-15,29.290000
2010-03-16,29.370000
2010-03-17,29.630000
2010-03-18,29.610000
2010-03-19,29.590000
2010-03-22,29.600000
2010-03-23,29.880000
2010-03-24,29.650000
2010-03-25,30.010000
2010-03-26,29.660000
2010-03-29,29.590000
2010-03-30,29.770000
2010-03-31,29.287500
2010-04-01,29.160000
2010-04-05,29.270000
2010-04-06,29.320000
2010-04-07,29.350000
2010-04-08,29.920000
2010-04-09,30.340000
2010-04-12,30.320000
2010-04-13,30.450000
2010-04-14,30.820000
2010-04-15,30.870000
2010-04-16,30.670000
2010-04-19,31.039000
2010-04-20,31.360000
2010-04-21,31.332000
2010-04-22,31.390000
2010-04-23,30.960000
2010-04-26,31.110000
2010-04-27,30.845000
2010-04-28,30.910000
2010-04-29,31.003000
2010-04-30,30.535000
2010-05-03,30.860000
2010-05-04,30.130000
2010-05-05,29.850000
2010-05-06,28.980000
2010-05-07,28.210000
2010-05-10,28.940000
2010-05-11,28.880000
2010-05-12,29.440000
2010-05-13,29.240000
2010-05-14,28.930000
2010-05-17,28.940000
2010-05-18,28.597500
2010-05-19,28.240000
2010-05-20,27.110000
2010-05-21,26.840000
2010-05-24,26.270000
2010-05-25,26.070000
2010-05-26,25.010000
2010-05-27,26.000000
2010-05-28,25.800000
2010-06-01,25.890000
2010-06-02,26.460000
2010-06-03,26.860000
2010-06-04,25.790000
2010-06-07,25.290000
2010-06-08,25.110000
2010-06-09,24.790000
2010-06-10,25.000000
2010-06-11,25.660000
2010-06-14,25.495000
2010-06-15,26.582500
2010-06-16,26.320000
2010-06-17,26.370000
2010-06-18,26.440000
2010-06-21,25.950000
2010-06-22,25.770000
2010-06-23,25.308000
2010-06-24,25.000000
2010-06-25,24.532500
2010-06-28,24.310000
2010-06-29,23.310000
2010-06-30,23.010000
2010-07-01,23.160000
2010-07-02,23.270000
2010-07-06,23.820000
2010-07-07,24.300000
2010-07-08,24.409500
2010-07-09,24.270000
2010-07-12,24.830000
2010-07-13,25.130000
2010-07-14,25.440000
2010-07-15,25.510000
2010-07-16,24.890000
2010-07-19,25.230000
2010-07-20,25.480000
2010-07-21,25.120000
2010-07-22,25.840000
2010-07-23,25.810000
2010-07-26,26.100000
2010-07-27,26.160000
2010-07-28,25.950000
2010-07-29,26.030000
2010-07-30,25.810000
2010-08-02,26.330000
2010-08-03,26.160000
2010-08-04,25.730000
2010-08-05,25.370000
