d,c
2009-01-02,8.710000
2009-01-05,8.913333
2009-01-06,8.606667
2009-01-07,8.076667
2009-01-08,7.480000
2009-01-09,7.333333
2009-01-12,7.016667
2009-01-13,7.380000
2009-01-14,6.916667
2009-01-15,6.786667
2009-01-16,7.056667
2009-01-20,6.263333
2009-01-21,7.053333
2009-01-22,6.846667
2009-01-23,7.326667
2009-01-26,7.130000
2009-01-27,7.273333
2009-01-28,7.873333
2009-01-29,7.370000
2009-01-30,7.273333
2009-02-02,6.823333
2009-02-03,7.143333
2009-02-04,7.360000
2009-02-05,7.793333
2009-02-06,8.300000
2009-02-09,7.780000
2009-02-10,7.390000
2009-02-11,7.296667
2009-02-12,7.350000
2009-02-13,7.130000
2009-02-17,6.673333
2009-02-18,6.870000
2009-02-19,6.766667
2009-02-20,6.900000
2009-02-23,6.590000
2009-02-24,7.040000
2009-02-25,6.986667
2009-02-26,7.286667
2009-02-27,6.966667
2009-03-02,6.620000
2009-03-03,6.223333
2009-03-04,6.650000
2009-03-05,6.263333
2009-03-06,6.430000
2009-03-09,6.590000
2009-03-10,7.513333
2009-03-11,7.856667
2009-03-12,7.976667
2009-03-13,7.423333
2009-03-16,7.023333
2009-03-17,7.493333
2009-03-18,7.510000
2009-03-19,7.036667
2009-03-20,7.033333
2009-03-23,7.940000
2009-03-24,7.033333
2009-03-25,6.990000
2009-03-26,6.920000
2009-03-27,6.600000
2009-03-30,6.116667
2009-03-31,6.526667
2009-04-01,6.316667
2009-04-02,6.653333
2009-04-03,7.103333
2009-04-06,6.920000
2009-04-07,6.600000
2009-04-08,6.800000
2009-04-09,7.330000
2009-04-13,7.510000
2009-04-14,6.780000
2009-04-15,6.540000
2009-04-16,6.596667
2009-04-17,6.600000
2009-04-20,6.026667
2009-04-21,6.163333
2009-04-22,6.113333
2009-04-23,6.313333
2009-04-24,6.366667
2009-04-27,6.240000
2009-04-28,6.053333
2009-04-29,6.253333
2009-04-30,6.410000
2009-05-01,6.453333
2009-05-04,6.786667
2009-05-05,6.700000
2009-05-06,7.203333
2009-05-07,6.680000
2009-05-08,6.793333
2009-05-11,6.433333
2009-05-12,6.193333
2009-05-13,5.876667
2009-05-14,5.983333
2009-05-15,5.960000
2009-05-18,6.263333
2009-05-19,5.970000
2009-05-20,5.950000
2009-05-21,6.260000
2009-05-22,6.463333
2009-05-26,6.943333
2009-05-27,6.670000
2009-05-28,6.920000
2009-05-29,7.036667
2009-06-01,6.933333
2009-06-02,7.143333
2009-06-03,7.063333
2009-06-04,7.410000
2009-06-05,7.333333
2009-06-08,7.140000
2009-06-09,7.350000
2009-06-10,7.273333
2009-06-11,7.333333
2009-06-12,7.250000
2009-06-15,7.043333
2009-06-16,7.030000
2009-06-17,6.813333
2009-06-18,6.946667
2009-06-19,7.056667
2009-06-22,6.620000
2009-06-23,6.733333
2009-06-24,6.920000
2009-06-25,7.036667
2009-06-26,7.050000
2009-06-29,7.150000
2009-06-30,7.103333
2009-07-01,6.896667
2009-07-02,6.820000
2009-07-06,6.640000
2009-07-07,6.310000
2009-07-08,6.333333
2009-07-09,6.366667
2009-07-10,6.306667
2009-07-13,6.616667
2009-07-14,6.506667
2009-07-15,6.793333
2009-07-16,6.700000
2009-07-17,6.686667
2009-07-20,6.696667
2009-07-21,6.496667
2009-07-22,6.500000
2009-07-23,6.833333
2009-07-24,6.780000
2009-07-27,6.773333
2009-07-28,6.750000
2009-07-29,6.856667
2009-07-30,7.060000
2009-07-31,7.043333
2009-08-03,7.153333
2009-08-04,7.130000
2009-08-05,7.220000
2009-08-06,7.333333
2009-08-07,7.623333
2009-08-10,7.456667
2009-08-11,7.300000
2009-08-12,7.353333
2009-08-13,7.210000
2009-08-14,7.083333
2009-08-17,6.733333
2009-08-18,6.836667
2009-08-19,6.783333
2009-08-20,6.833333
2009-08-21,6.946667
2009-08-24,6.890000
2009-08-25,7.043333
2009-08-26,7.033333
2009-08-27,7.030000
2009-08-28,7.113333
2009-08-31,7.316667
2009-09-01,7.030000
2009-09-02,7.016667
2009-09-03,7.030000
2009-09-04,6.940000
2009-09-08,6.950000
2009-09-09,6.943333
2009-09-10,7.000000
2009-09-11,6.956667
2009-09-14,6.943333
2009-09-15,7.163333
2009-09-16,7.416667
2009-09-17,7.523333
2009-09-18,7.540000
2009-09-21,7.343333
2009-09-22,7.476667
2009-09-23,7.313333
2009-09-24,7.220000
2009-09-25,7.096667
2009-09-28,7.286667
2009-09-29,7.113333
2009-09-30,7.016667
2009-10-01,6.726667
2009-10-02,6.583333
2009-10-05,6.810000
2009-10-06,6.773333
2009-10-07,6.736667
2009-10-08,6.780000
2009-10-09,6.800000
2009-10-12,6.816667
2009-10-13,6.750000
2009-10-14,6.930000
2009-10-15,6.803333
2009-10-16,6.570000
2009-10-19,6.623333
2009-10-20,6.860000
2009-10-21,6.666667
2009-10-22,6.663333
2009-10-23,6.616667
2009-10-26,6.413333
2009-10-27,6.203333
2009-10-28,6.083333
2009-10-29,6.320000
2009-10-30,6.020000
2009-11-02,6.010000
2009-11-03,6.093333
2009-11-04,6.066667
2009-11-05,6.023333
2009-11-06,6.153333
2009-11-09,6.233333
2009-11-10,6.130000
2009-11-11,6.243333
2009-11-12,6.390000
2009-11-13,6.306667
2009-11-16,6.350000
2009-11-17,6.306667
2009-11-18,6.403333
2009-11-19,6.433333
2009-11-20,6.323333
2009-11-23,6.503333
2009-11-24,6.620000
2009-11-25,6.593333
2009-11-27,6.260000
2009-11-30,6.226667
2009-12-01,6.390000
2009-12-02,6.533333
2009-12-03,6.563333
2009-12-04,6.673333
2009-12-07,6.540000
2009-12-08,6.483333
2009-12-09,6.533333
2009-12-10,6.530000
2009-12-11,6.553333
2009-12-14,6.643333
2009-12-15,6.530000
2009-12-16,6.683333
2009-12-17,6.623333
2009-12-18,6.666667
2009-12-21,6.676667
2009-12-22,6.720000
2009-12-23,6.733333
2009-12-24,6.820000
2009-12-28,6.826667
2009-12-29,6.803333
2009-12-30,6.723333
2009-12-31,6.606667
2010-01-04,6.746667
2010-01-05,6.766667
2010-01-06,6.763333
2010-01-07,6.673333
2010-01-08,6.743333
2010-01-11,6.760000
2010-01-12,6.643333
2010-01-13,6.706667
2010-01-14,6.750000
2010-01-15,6.720000
2010-01-19,6.710000
2010-01-20,6.643333
2010-01-21,6.323333
2010-01-22,6.113333
2010-01-25,6.116667
2010-01-26,6.033333
2010-01-27,6.116667
2010-01-28,6.080000
2010-01-29,5.996667
2010-02-01,6.140000
2010-02-02,6.193333
2010-02-03,6.353333
2010-02-04,6.118333
2010-02-05,6.266667
2010-02-08,6.016667
2010-02-09,6.066667
2010-02-10,6.030000
2010-02-11,6.050000
2010-02-12,6.096667
2010-02-16,6.183333
2010-02-17,6.190000
2010-02-18,6.203333
2010-02-19,6.210000
2010-02-22,6.176667
2010-02-23,6.146667
2010-02-24,6.200000
2010-02-25,6.223333
2010-02-26,6.210000
2010-03-01,6.266667
2010-03-02,6.416667
2010-03-03,6.480000
2010-03-04,6.583333
2010-03-05,6.676667
2010-03-08,6.690000
2010-03-09,6.716667
2010-03-10,6.740000
2010-03-11,6.746667
2010-03-12,6.766667
2010-03-15,6.760000
2010-03-16,6.750000
2010-03-17,6.836667
2010-03-18,6.910000
2010-03-19,7.010000
2010-03-22,6.933333
2010-03-23,6.980000
2010-03-24,6.996667
2010-03-25,6.990000
2010-03-26,7.016667
2010-03-29,7.053333
2010-03-30,7.020000
2010-03-31,7.040000
2010-04-01,7.050000
2010-04-05,7.203333
2010-04-06,7.230000
2010-04-07,7.140000
2010-04-08,7.236667
2010-04-09,7.303333
2010-04-12,7.346667
2010-04-13,7.330000
2010-04-14,7.436667
2010-04-15,7.393333
2010-04-16,7.133333
2010-04-19,7.193333
2010-04-20,7.236667
2010-04-21,7.280000
2010-04-22,7.420000
2010-04-23,7.560000
2010-04-26,7.653333
2010-04-27,7.256667
2010-04-28,7.063333
2010-04-29,7.280000
2010-04-30,7.000000
2010-05-03,7.036667
2010-05-04,6.800000
2010-05-05,6.953333
2010-05-06,6.716667
2010-05-07,6.373333
2010-05-10,6.540000
2010-05-11,6.536667
2010-05-12,6.680000
2010-05-13,6.610000
2010-05-14,6.546667
2010-05-17,6.550000
2010-05-18,6.350000
2010-05-19,6.373333
2010-05-20,6.026667
2010-05-21,6.256667
2010-05-24,6.120000
2010-05-25,6.100000
2010-05-26,6.093333
2010-05-27,6.310000
2010-05-28,6.196667
2010-06-01,6.130000
2010-06-02,6.243333
2010-06-03,6.256667
2010-06-04,6.143333
2010-06-07,6.073333
2010-06-08,6.083333
2010-06-09,6.100000
2010-06-10,6.326667
2010-06-11,6.383333
2010-06-14,6.366667
2010-06-15,6.563333
2010-06-16,6.513333
2010-06-17,6.443333
2010-06-18,6.390000
2010-06-21,6.333333
2010-06-22,6.223333
2010-06-23,6.193333
2010-06-24,6.113333
2010-06-25,6.296667
2010-06-28,6.286667
2010-06-29,6.016667
2010-06-30,5.926667
2010-07-01,5.900000
2010-07-02,5.766667
2010-07-06,5.786667
2010-07-07,5.930000
2010-07-08,5.986667
2010-07-09,6.066667
2010-07-12,6.050000
2010-07-13,6.093333
2010-07-14,6.040000
2010-07-15,6.046667
2010-07-16,5.868333
2010-07-19,5.903333
2010-07-20,6.050000
2010-07-21,5.926667
2010-07-22,6.133333
2010-07-23,6.210000
2010-07-26,6.333333
2010-07-27,6.496667
2010-07-28,6.446667
2010-07-29,6.486667
2010-07-30,6.490000
2010-08-02,6.700000
2010-08-03,6.680000
2010-08-04,6.720000
2010-08-05,6.770000
2010-08-06,6.736667
2010-08-09,6.826667
2010-08-10,6.783333
2010-08-11,6.586667
2010-08-12,6.653333
2010-08-13,6.646667
2010-08-16,6.716667
2010-08-17,6.710000
2010-08-18,6.716667
2010-08-19,6.566667
2010-08-20,6.503333
2010-08-23,6.473333
2010-08-24,6.283333
2010-08-25,6.223333
2010-08-26,6.106667
2010-08-27,6.180000
2010-08-30,6.030000
2010-08-31,5.970000
2010-09-01,6.163333
2010-09-02,6.250000
2010-09-03,6.396667
2010-09-07,6.220000
2010-09-08,6.216667
2010-09-09,6.273333
2010-09-10,6.320000
2010-09-13,6.450000
2010-09-14,6.470000
2010-09-15,6.500000
2010-09-16,6.453333
2010-09-17,6.475833
2010-09-20,6.566667
2010-09-21,6.506667
2010-09-22,6.493333
2010-09-23,6.446667
2010-09-24,6.723333
2010-09-27,6.580000
2010-09-28,6.630000
2010-09-29,6.606667
2010-09-30,6.476667
2010-10-01,6.433333
2010-10-04,6.430000
2010-10-05,6.626667
2010-10-06,6.633333
2010-10-07,6.590000
2010-10-08,6.626667
2010-10-11,6.633333
2010-10-12,6.670000
2010-10-13,6.706667
2010-10-14,6.653333
2010-10-15,6.636667
2010-10-18,6.823333
2010-10-19,6.723333
2010-10-20,6.873333
