d,c
2009-01-02,17.290000
2009-01-05,17.520000
2009-01-06,18.045000
2009-01-07,16.955000
2009-01-08,17.070000
2009-01-09,16.665000
2009-01-12,16.180000
2009-01-13,16.380000
2009-01-14,15.920000
2009-01-15,16.285000
2009-01-16,16.135000
2009-01-20,14.690000
2009-01-21,16.100000
2009-01-22,15.410000
2009-01-23,15.640000
2009-01-26,15.685000
2009-01-27,16.140000
2009-01-28,16.545000
2009-01-29,15.845000
2009-01-30,15.105000
2009-02-02,15.340000
2009-02-03,15.625000
2009-02-04,15.595000
2009-02-05,15.860000
2009-02-06,16.595000
2009-02-09,16.510000
2009-02-10,15.560000
2009-02-11,15.550000
2009-02-12,15.320000
2009-02-13,15.295000
2009-02-17,15.000000
2009-02-18,15.090000
2009-02-19,14.775000
2009-02-20,13.740000
2009-02-23,12.605000
2009-02-24,12.865000
2009-02-25,12.110000
2009-02-26,12.495000
2009-02-27,12.450000
2009-03-02,11.335000
2009-03-03,11.085000
2009-03-04,11.535000
2009-03-05,10.895000
2009-03-06,10.615000
2009-03-09,10.200000
2009-03-10,11.260000
2009-03-11,11.275000
2009-03-12,11.955000
2009-03-13,12.065000
2009-03-16,12.020000
2009-03-17,12.325000
2009-03-18,12.910000
2009-03-19,13.200000
2009-03-20,12.855000
2009-03-23,14.140000
2009-03-24,14.215000
2009-03-25,14.505000
2009-03-26,15.730000
2009-03-27,14.980000
2009-03-30,13.745000
2009-03-31,14.215000
2009-04-01,14.795000
2009-04-02,15.985000
2009-04-03,16.325000
2009-04-06,15.940000
2009-04-07,15.230000
2009-04-08,15.795000
2009-04-09,17.245000
2009-04-13,16.505000
2009-04-14,15.995000
2009-04-15,16.510000
2009-04-16,17.325000
2009-04-17,17.560000
2009-04-20,16.360000
2009-04-21,17.355000
2009-04-22,17.840000
2009-04-23,17.650000
2009-04-24,18.190000
2009-04-27,18.065000
2009-04-28,17.600000
2009-04-29,18.205000
2009-04-30,18.140000
2009-05-01,18.040000
2009-05-04,18.935000
2009-05-05,18.685000
2009-05-06,18.645000
2009-05-07,17.990000
2009-05-08,18.680000
2009-05-11,18.400000
2009-05-12,18.345000
2009-05-13,17.700000
2009-05-14,17.960000
2009-05-15,18.040000
2009-05-18,18.355000
2009-05-19,18.380000
2009-05-20,18.220000
2009-05-21,17.625000
2009-05-22,18.845000
2009-05-26,19.085000
2009-05-27,18.665000
2009-05-28,19.155000
2009-05-29,19.200000
2009-06-01,20.005000
2009-06-02,20.190000
2009-06-03,20.215000
2009-06-04,20.940000
2009-06-05,21.350000
2009-06-08,20.540000
2009-06-09,20.565000
2009-06-10,20.280000
2009-06-11,20.580000
2009-06-12,20.270000
2009-06-15,19.210000
2009-06-16,18.810000
2009-06-17,18.915000
2009-06-18,19.195000
2009-06-19,19.515000
2009-06-22,18.980000
2009-06-23,18.340000
2009-06-24,18.375000
2009-06-25,19.185000
2009-06-26,19.890000
2009-06-29,19.470000
2009-06-30,19.330000
2009-07-01,19.905000
2009-07-02,19.105000
2009-07-06,19.000000
2009-07-07,18.640000
2009-07-08,18.650000
2009-07-09,18.745000
2009-07-10,18.885000
2009-07-13,19.485000
2009-07-14,19.490000
2009-07-15,20.500000
2009-07-16,20.755000
2009-07-17,20.765000
2009-07-20,21.290000
2009-07-21,21.530000
2009-07-22,21.625000
2009-07-23,22.270000
2009-07-24,22.235000
2009-07-27,22.135000
2009-07-28,22.025000
2009-07-29,21.980000
2009-07-30,22.640000
2009-07-31,22.450000
2009-08-03,23.055000
2009-08-04,23.435000
2009-08-05,23.215000
2009-08-06,23.220000
2009-08-07,24.195000
2009-08-10,24.045000
2009-08-11,23.570000
2009-08-12,24.365000
2009-08-13,24.375000
2009-08-14,23.665000
2009-08-17,22.990000
2009-08-18,23.600000
2009-08-19,24.070000
2009-08-20,24.915000
2009-08-21,26.595000
2009-08-24,27.250000
2009-08-25,27.215000
2009-08-26,27.630000
2009-08-27,27.535000
2009-08-28,27.095000
2009-08-31,26.790000
2009-09-01,26.460000
2009-09-02,26.350000
2009-09-03,26.535000
2009-09-04,26.790000
2009-09-08,27.115000
2009-09-09,28.145000
2009-09-10,28.325000
2009-09-11,28.500000
2009-09-14,28.610000
2009-09-15,28.595000
2009-09-16,28.875000
2009-09-17,29.150000
2009-09-18,29.075000
2009-09-21,28.715000
2009-09-22,28.690000
2009-09-23,28.345000
2009-09-24,28.000000
2009-09-25,27.575000
2009-09-28,28.725000
2009-09-29,28.705000
2009-09-30,28.045000
2009-10-01,26.920000
2009-10-02,26.725000
2009-10-05,27.050000
2009-10-06,27.395000
2009-10-07,27.210000
2009-10-08,27.575000
2009-10-09,28.305000
2009-10-12,28.060000
2009-10-13,27.655000
2009-10-14,28.525000
2009-10-15,28.560000
2009-10-16,28.115000
2009-10-19,28.655000
2009-10-20,28.660000
2009-10-21,29.275000
2009-10-22,29.285000
2009-10-23,28.530000
2009-10-26,28.205000
2009-10-27,27.605000
2009-10-28,26.680000
2009-10-29,27.400000
2009-10-30,26.385000
2009-11-02,26.045000
2009-11-03,26.655000
2009-11-04,26.120000
2009-11-05,27.645000
2009-11-06,27.445000
2009-11-09,28.335000
2009-11-10,28.215000
2009-11-11,28.135000
2009-11-12,27.785000
2009-11-13,28.150000
2009-11-16,29.235000
2009-11-17,29.090000
2009-11-18,28.770000
2009-11-19,27.955000
2009-11-20,27.420000
2009-11-23,28.030000
2009-11-24,27.665000
2009-11-25,27.670000
2009-11-27,27.015000
2009-11-30,26.805000
2009-12-01,27.355000
2009-12-02,27.560000
2009-12-03,27.260000
2009-12-04,28.000000
2009-12-07,28.000000
2009-12-08,27.480000
2009-12-09,27.280000
2009-12-10,27.430000
2009-12-11,27.660000
2009-12-14,28.215000
2009-12-15,28.485000
2009-12-16,28.920000
2009-12-17,27.090000
2009-12-18,28.085000
2009-12-21,30.165000
2009-12-22,31.165000
2009-12-23,31.845000
2009-12-24,31.870000
2009-12-28,31.935000
2009-12-29,31.560000
2009-12-30,31.275000
2009-12-31,30.590000
2010-01-04,31.530000
2010-01-05,31.490000
2010-01-06,31.140000
2010-01-07,31.515000
2010-01-08,31.875000
2010-01-11,31.725000
2010-01-12,31.020000
2010-01-13,31.205000
2010-01-14,31.240000
2010-01-15,30.695000
2010-01-19,31.340000
2010-01-20,30.925000
2010-01-21,29.680000
2010-01-22,29.095000
2010-01-25,29.175000
2010-01-26,28.940000
2010-01-27,29.000000
2010-01-28,28.425000
2010-01-29,28.270000
2010-02-01,28.495000
2010-02-02,29.000000
2010-02-03,28.925000
2010-02-04,27.640000
2010-02-05,27.450000
2010-02-08,27.110000
2010-02-09,27.530000
2010-02-10,27.275000
2010-02-11,28.150000
2010-02-12,28.365000
2010-02-16,28.975000
2010-02-17,29.045000
2010-02-18,29.215000
2010-02-19,29.445000
2010-02-22,29.715000
2010-02-23,32.325000
2010-02-24,33.535000
2010-02-25,33.280000
2010-02-26,32.900000
2010-03-01,33.520000
2010-03-02,33.545000
2010-03-03,33.650000
2010-03-04,33.775000
2010-03-05,34.145000
2010-03-08,34.110000
2010-03-09,34.410000
2010-03-10,35.055000
2010-03-11,35.000000
2010-03-12,35.000000
2010-03-15,34.760000
2010-03-16,34.835000
2010-03-17,35.160000
2010-03-18,35.565000
2010-03-19,33.795000
2010-03-22,34.465000
2010-03-23,35.295000
2010-03-24,34.310000
2010-03-25,34.505000
2010-03-26,34.390000
2010-03-29,34.620000
2010-03-30,34.730000
2010-03-31,33.960000
2010-04-01,34.425000
2010-04-05,34.965000
2010-04-06,35.255000
2010-04-07,35.545000
2010-04-08,35.255000
2010-04-09,35.485000
2010-04-12,35.565000
2010-04-13,35.470000
2010-04-14,36.395000
2010-04-15,36.480000
2010-04-16,36.240000
2010-04-19,35.760000
2010-04-20,35.980000
2010-04-21,36.505000
2010-04-22,37.790000
2010-04-23,37.920000
2010-04-26,37.955000
2010-04-27,37.065000
2010-04-28,36.780000
2010-04-29,37.380000
2010-04-30,35.910000
2010-05-03,36.870000
2010-05-04,35.645000
2010-05-05,35.250000
2010-05-06,33.965000
2010-05-07,32.970000
2010-05-10,35.160000
2010-05-11,35.255000
2010-05-12,36.865000
2010-05-13,36.245000
2010-05-14,35.455000
2010-05-17,34.875000
2010-05-18,34.260000
2010-05-19,33.345000
2010-05-20,31.415000
2010-05-21,34.050000
2010-05-24,33.100000
2010-05-25,32.770000
2010-05-26,32.440000
2010-05-27,33.930000
2010-05-28,33.315000
2010-06-01,32.100000
2010-06-02,33.090000
2010-06-03,33.230000
2010-06-04,31.490000
2010-06-07,30.265000
2010-06-08,30.280000
2010-06-09,29.940000
2010-06-10,30.875000
2010-06-11,31.090000
2010-06-14,30.990000
2010-06-15,31.915000
2010-06-16,31.625000
2010-06-17,31.455000
2010-06-18,31.520000
2010-06-21,31.355000
2010-06-22,30.575000
2010-06-23,30.545000
2010-06-24,28.625000
2010-06-25,28.970000
2010-06-28,29.550000
2010-06-29,28.365000
2010-06-30,28.040000
2010-07-01,27.385000
2010-07-02,27.405000
2010-07-06,27.415000
2010-07-07,28.490000
2010-07-08,28.945000
2010-07-09,29.075000
2010-07-12,28.385000
2010-07-13,29.525000
2010-07-14,29.725000
2010-07-15,29.740000
2010-07-16,28.785000
2010-07-19,29.135000
2010-07-20,29.755000
2010-07-21,29.755000
2010-07-22,30.560000
2010-07-23,31.200000
2010-07-26,31.970000
2010-07-27,31.830000
2010-07-28,31.315000
2010-07-29,31.380000
2010-07-30,31.525000
2010-08-02,33.325000
2010-08-03,32.890000
2010-08-04,33.660000
2010-08-05,33.895000
2010-08-06,34.115000
2010-08-09,34.225000
2010-08-10,33.925000
2010-08-11,32.190000
2010-08-12,32.085000
2010-08-13,31.955000
2010-08-16,32.235000
2010-08-17,33.195000
2010-08-18,33.110000
2010-08-19,32.295000
2010-08-20,32.480000
2010-08-23,31.890000
2010-08-24,31.790000
2010-08-25,32.205000
2010-08-26,31.960000
2010-08-27,32.875000
2010-08-30,31.635000
2010-08-31,32.085000
2010-09-01,33.325000
2010-09-02,34.045000
2010-09-03,34.660000
2010-09-07,34.000000
2010-09-08,34.090000
2010-09-09,34.060000
2010-09-10,34.110000
2010-09-13,34.985000
2010-09-14,34.995000
2010-09-15,34.980000
2010-09-16,34.955000
2010-09-17,35.225000
2010-09-20,36.400000
2010-09-21,36.250000
2010-09-22,35.825000
2010-09-23,34.710000
2010-09-24,36.035000
2010-09-27,35.725000
2010-09-28,36.575000
2010-09-29,36.575000
2010-09-30,36.845000
2010-10-01,36.890000
2010-10-04,35.845000
2010-10-05,37.480000
2010-10-06,37.305000
2010-10-07,37.465000
2010-10-08,37.640000
2010-10-11,37.400000
2010-10-12,37.230000
2010-10-13,37.635000
2010-10-14,37.820000
2010-10-15,38.000000
2010-10-18,38.625000
2010-10-19,37.895000
2010-10-20,38.830000
2010-10-21,38.995000
2010-10-22,39.185000
2010-10-25,39.880000
2010-10-26,39.700000
2010-10-27,39.255000
2010-10-28,39.140000
2010-10-29,39.010000
2010-11-01,39.145000
2010-11-02,40.060000
2010-11-03,39.650000
2010-11-04,41.040000
2010-11-05,41.125000
2010-11-08,40.995000
2010-11-09,41.125000
2010-11-10,41.505000
2010-11-11,40.970000
2010-11-12,38.805000
2010-11-15,39.065000
2010-11-16,38.060000
2010-11-17,38.415000
2010-11-18,39.250000
2010-11-19,39.505000
2010-11-22,39.825000
2010-11-23,39.420000
2010-11-24,40.425000
2010-11-26,40.325000
2010-11-29,40.150000
2010-11-30,39.715000
2010-12-01,41.120000
2010-12-02,42.175000
2010-12-03,42.825000
2010-12-06,43.475000
2010-12-07,43.315000
2010-12-08,43.225000
2010-12-09,42.885000
2010-12-10,44.010000
2010-12-13,43.735000
2010-12-14,43.815000
2010-12-15,43.585000
2010-12-16,45.300000
2010-12-17,45.610000
2010-12-20,46.230000
2010-12-21,47.105000
2010-12-22,47.055000
