d,c
2009-01-02,23.640000
2009-01-05,23.560000
2009-01-06,24.610000
2009-01-07,23.370000
2009-01-08,24.110000
2009-01-09,23.700000
2009-01-12,24.100000
2009-01-13,23.500000
2009-01-14,23.340000
2009-01-15,23.400000
2009-01-16,23.860000
2009-01-20,22.400000
2009-01-21,22.660000
2009-01-22,22.400000
2009-01-23,22.600000
2009-01-26,23.460000
2009-01-27,22.880000
2009-01-28,23.880000
2009-01-29,23.550000
2009-01-30,23.360000
2009-02-02,23.210000
2009-02-03,24.320000
2009-02-04,24.690000
2009-02-05,24.700000
2009-02-06,25.100000
2009-02-09,24.880000
2009-02-10,24.550000
2009-02-11,23.490000
2009-02-12,22.050000
2009-02-13,22.320000
2009-02-17,19.880000
2009-02-18,19.680000
2009-02-19,19.920000
2009-02-20,19.800000
2009-02-23,19.230000
2009-02-24,20.600000
2009-02-25,20.620000
2009-02-26,19.700000
2009-02-27,18.900000
2009-03-02,18.560000
2009-03-03,17.450000
2009-03-04,17.750000
2009-03-05,17.600000
2009-03-06,18.340000
2009-03-09,17.400000
2009-03-10,16.910000
2009-03-11,16.340000
2009-03-12,16.590000
2009-03-13,17.210000
2009-03-16,17.970000
2009-03-17,17.850000
2009-03-18,17.910000
2009-03-19,17.770000
2009-03-20,17.350000
2009-03-23,17.990000
2009-03-24,17.270000
2009-03-25,17.130000
2009-03-26,17.370000
2009-03-27,17.590000
2009-03-30,17.050000
2009-03-31,17.600000
2009-04-01,17.140000
2009-04-02,18.600000
2009-04-03,19.400000
2009-04-06,19.300000
2009-04-07,18.700000
2009-04-08,18.900000
2009-04-09,19.410000
2009-04-13,18.330000
2009-04-14,18.400000
2009-04-15,18.580000
2009-04-16,17.950000
2009-04-17,17.890000
2009-04-20,17.590000
2009-04-21,17.780000
2009-04-22,17.610000
2009-04-23,17.580000
2009-04-24,17.310000
2009-04-27,17.350000
2009-04-28,16.500000
2009-04-29,17.180000
2009-04-30,17.980000
2009-05-01,18.980000
2009-05-04,19.480000
2009-05-05,19.770000
2009-05-06,19.160000
2009-05-07,19.290000
2009-05-08,21.190000
2009-05-11,20.640000
2009-05-12,20.920000
2009-05-13,20.150000
2009-05-14,20.250000
2009-05-15,19.580000
2009-05-18,19.300000
2009-05-19,20.070000
2009-05-20,19.890000
2009-05-21,19.150000
2009-05-22,19.020000
2009-05-26,20.650000
2009-05-27,21.620000
2009-05-28,22.190000
2009-05-29,22.500000
2009-06-01,23.720000
2009-06-02,23.050000
2009-06-03,21.390000
2009-06-04,22.370000
2009-06-05,22.260000
2009-06-08,22.090000
2009-06-09,22.490000
2009-06-10,23.620000
2009-06-11,24.230000
2009-06-12,24.370000
2009-06-15,23.210000
2009-06-16,22.900000
2009-06-17,22.750000
2009-06-18,23.700000
2009-06-19,23.820000
2009-06-22,23.110000
2009-06-23,22.890000
2009-06-24,23.440000
2009-06-25,23.810000
2009-06-26,23.800000
2009-06-29,24.950000
2009-06-30,25.960000
2009-07-01,26.050000
2009-07-02,24.800000
2009-07-06,23.510000
2009-07-07,22.080000
2009-07-08,23.350000
2009-07-09,23.980000
2009-07-10,23.240000
2009-07-13,23.630000
2009-07-14,24.850000
2009-07-15,24.860000
2009-07-16,24.720000
2009-07-17,24.390000
2009-07-20,23.550000
2009-07-21,24.820000
2009-07-22,24.600000
2009-07-23,25.830000
2009-07-24,26.910000
2009-07-27,27.130000
2009-07-28,26.300000
2009-07-29,26.480000
2009-07-30,27.440000
2009-07-31,27.210000
2009-08-03,28.710000
2009-08-04,28.390000
2009-08-05,27.760000
2009-08-06,27.850000
2009-08-07,27.670000
2009-08-10,28.840000
2009-08-11,28.400000
2009-08-12,27.990000
2009-08-13,28.400000
2009-08-14,28.950000
2009-08-17,27.700000
2009-08-18,27.850000
2009-08-19,28.350000
2009-08-20,28.290000
2009-08-21,28.090000
2009-08-24,28.080000
2009-08-25,28.110000
2009-08-26,27.750000
2009-08-27,27.500000
2009-08-28,27.760000
2009-08-31,26.850000
2009-09-01,26.650000
2009-09-02,25.880000
2009-09-03,26.200000
2009-09-04,26.590000
2009-09-08,26.500000
2009-09-09,26.700000
2009-09-10,26.480000
2009-09-11,26.750000
2009-09-14,27.290000
2009-09-15,28.260000
2009-09-16,29.130000
2009-09-17,28.450000
2009-09-18,27.900000
2009-09-21,28.030000
2009-09-22,28.400000
2009-09-23,27.620000
2009-09-24,26.980000
2009-09-25,26.890000
2009-09-28,27.150000
2009-09-29,28.570000
2009-09-30,28.190000
2009-10-01,26.890000
2009-10-02,26.210000
2009-10-05,27.470000
2009-10-06,27.320000
2009-10-07,26.900000
2009-10-08,27.150000
2009-10-09,27.570000
2009-10-12,28.370000
2009-10-13,28.170000
2009-10-14,29.010000
2009-10-15,29.070000
2009-10-16,28.760000
2009-10-19,28.890000
2009-10-20,28.250000
2009-10-21,27.500000
2009-10-22,27.300000
2009-10-23,26.900000
2009-10-26,26.050000
2009-10-27,25.600000
2009-10-28,24.810000
2009-10-29,24.140000
2009-10-30,22.990000
2009-11-02,23.310000
2009-11-03,23.280000
2009-11-04,23.590000
2009-11-05,23.810000
2009-11-06,23.760000
2009-11-09,24.480000
2009-11-10,24.650000
2009-11-11,24.660000
2009-11-12,23.410000
2009-11-13,23.800000
2009-11-16,24.290000
2009-11-17,24.360000
2009-11-18,24.350000
2009-11-19,23.400000
2009-11-20,23.810000
2009-11-23,24.010000
2009-11-24,23.860000
2009-11-25,24.150000
2009-11-27,23.910000
2009-11-30,23.940000
2009-12-01,24.480000
2009-12-02,24.590000
2009-12-03,24.110000
2009-12-04,24.340000
2009-12-07,24.620000
2009-12-08,24.230000
2009-12-09,24.180000
2009-12-10,24.550000
2009-12-11,25.040000
2009-12-14,25.570000
2009-12-15,25.850000
2009-12-16,25.620000
2009-12-17,25.520000
2009-12-18,25.450000
2009-12-21,25.430000
2009-12-22,24.870000
2009-12-23,24.400000
2009-12-24,24.640000
2009-12-28,24.210000
