d,c
2009-01-02,49.070000
2009-01-05,48.500000
2009-01-06,49.900000
2009-01-07,47.580000
2009-01-08,47.640000
2009-01-09,46.550000
2009-01-12,43.310000
2009-01-13,42.140000
2009-01-14,39.520000
2009-01-15,38.800000
2009-01-16,37.810000
2009-01-20,35.280000
2009-01-21,35.400000
2009-01-22,35.570000
2009-01-23,34.150000
2009-01-26,35.300000
2009-01-27,37.650000
2009-01-28,39.860000
2009-01-29,38.210000
2009-01-30,38.360000
2009-02-02,37.550000
2009-02-03,37.900000
2009-02-04,38.630000
2009-02-05,39.510000
2009-02-06,41.270000
2009-02-09,41.220000
2009-02-10,38.400000
2009-02-11,38.020000
2009-02-12,36.810000
2009-02-13,37.730000
2009-02-17,35.670000
2009-02-18,35.560000
2009-02-19,34.040000
2009-02-20,33.970000
2009-02-23,32.220000
2009-02-24,33.470000
2009-02-25,32.560000
2009-02-26,32.370000
2009-02-27,31.720000
2009-03-02,29.560000
2009-03-03,29.130000
2009-03-04,29.980000
2009-03-05,27.250000
2009-03-06,27.410000
2009-03-09,26.950000
2009-03-10,28.210000
2009-03-11,28.430000
2009-03-12,29.940000
2009-03-13,29.280000
2009-03-16,31.040000
2009-03-17,31.500000
2009-03-18,31.300000
2009-03-19,31.450000
2009-03-20,30.460000
2009-03-23,33.350000
2009-03-24,34.210000
2009-03-25,33.560000
2009-03-26,35.940000
2009-03-27,34.880000
2009-03-30,33.130000
2009-03-31,33.750000
2009-04-01,34.540000
2009-04-02,36.900000
2009-04-03,37.450000
2009-04-06,36.390000
2009-04-07,35.180000
2009-04-08,36.240000
2009-04-09,37.350000
2009-04-13,36.990000
2009-04-14,36.450000
2009-04-15,37.010000
2009-04-16,37.220000
2009-04-17,37.790000
2009-04-20,35.650000
2009-04-21,37.370000
2009-04-22,37.500000
2009-04-23,38.180000
2009-04-24,37.790000
2009-04-27,35.920000
2009-04-28,34.770000
2009-04-29,35.510000
2009-04-30,35.680000
2009-05-01,35.800000
2009-05-04,37.910000
2009-05-05,36.960000
2009-05-06,37.700000
2009-05-07,37.030000
2009-05-08,38.010000
2009-05-11,36.440000
2009-05-12,36.510000
2009-05-13,34.960000
2009-05-14,34.500000
2009-05-15,35.080000
2009-05-18,36.250000
2009-05-19,36.060000
2009-05-20,36.670000
2009-05-21,34.430000
2009-05-22,35.210000
2009-05-26,36.460000
2009-05-27,34.930000
2009-05-28,35.380000
2009-05-29,37.200000
2009-06-01,39.510000
2009-06-02,40.130000
2009-06-03,39.000000
2009-06-04,40.440000
2009-06-05,40.700000
2009-06-08,40.940000
2009-06-09,41.130000
2009-06-10,40.540000
2009-06-11,40.450000
2009-06-12,41.230000
2009-06-15,39.210000
2009-06-16,38.900000
2009-06-17,38.360000
2009-06-18,38.120000
2009-06-19,38.460000
2009-06-22,36.400000
2009-06-23,36.450000
2009-06-24,36.900000
2009-06-25,38.980000
2009-06-26,39.190000
2009-06-29,38.220000
2009-06-30,37.670000
2009-07-01,38.180000
2009-07-02,36.900000
2009-07-06,37.140000
2009-07-07,35.870000
2009-07-08,36.100000
2009-07-09,36.230000
2009-07-10,36.650000
2009-07-13,37.390000
2009-07-14,38.780000
2009-07-15,40.350000
2009-07-16,40.920000
2009-07-17,41.390000
2009-07-20,42.850000
2009-07-21,43.370000
2009-07-22,43.890000
2009-07-23,45.360000
2009-07-24,44.840000
2009-07-27,45.120000
2009-07-28,43.630000
2009-07-29,42.800000
2009-07-30,42.950000
2009-07-31,43.250000
2009-08-03,44.360000
2009-08-04,44.440000
2009-08-05,43.440000
2009-08-06,43.130000
2009-08-07,46.370000
2009-08-10,45.170000
2009-08-11,46.440000
2009-08-12,46.850000
2009-08-13,48.590000
2009-08-14,47.270000
2009-08-17,45.330000
2009-08-18,46.110000
2009-08-19,45.670000
2009-08-20,46.460000
2009-08-21,47.540000
2009-08-24,47.010000
2009-08-25,46.870000
2009-08-26,46.210000
2009-08-27,46.500000
2009-08-28,46.910000
2009-08-31,45.870000
2009-09-01,45.350000
2009-09-02,44.490000
2009-09-03,46.820000
2009-09-04,47.960000
2009-09-08,47.510000
2009-09-09,48.390000
2009-09-10,49.230000
2009-09-11,48.680000
2009-09-14,49.030000
2009-09-15,48.770000
2009-09-16,47.490000
2009-09-17,46.640000
2009-09-18,46.340000
2009-09-21,45.910000
2009-09-22,46.470000
2009-09-23,45.760000
2009-09-24,45.050000
2009-09-25,43.960000
2009-09-28,44.460000
2009-09-29,43.850000
2009-09-30,43.110000
2009-10-01,43.620000
2009-10-02,43.260000
2009-10-05,44.070000
2009-10-06,44.360000
