d,c
2010-08-06,14.000000
2010-08-09,14.000000
2010-08-10,13.600000
2010-08-11,12.750000
2010-08-12,12.390000
2010-08-13,12.000000
2010-08-16,11.780000
2010-08-17,12.220000
2010-08-18,12.000000
2010-08-19,11.550000
2010-08-20,11.150000
2010-08-23,10.980000
2010-08-24,10.680000
2010-08-25,10.750000
2010-08-26,11.000000
2010-08-27,11.110000
2010-08-30,11.095000
2010-08-31,11.075000
2010-09-01,11.730000
2010-09-02,11.870000
2010-09-03,11.890000
2010-09-07,12.030000
2010-09-08,12.160000
2010-09-09,11.900000
2010-09-10,11.980000
2010-09-13,11.940000
2010-09-14,12.240000
2010-09-15,12.470000
2010-09-16,12.020000
2010-09-17,12.080000
2010-09-20,12.690000
2010-09-21,12.510000
2010-09-22,12.180000
2010-09-23,12.000000
2010-09-24,12.220000
2010-09-27,12.250000
2010-09-28,12.610000
2010-09-29,12.550000
2010-09-30,12.390000
2010-10-01,12.360000
2010-10-04,12.350000
2010-10-05,12.350000
2010-10-06,12.470000
2010-10-07,11.850000
2010-10-08,11.980000
2010-10-11,12.050000
2010-10-12,12.300000
2010-10-13,12.070000
2010-10-14,12.150000
2010-10-15,11.940000
2010-10-18,12.240000
2010-10-19,12.110000
2010-10-20,12.200000
2010-10-21,12.250000
2010-10-22,12.330000
2010-10-25,12.370000
2010-10-26,12.280000
2010-10-27,12.770000
2010-10-28,13.190000
2010-10-29,13.190000
2010-11-01,12.690000
2010-11-02,13.270000
2010-11-03,13.635600
2010-11-04,13.970000
2010-11-05,13.970000
2010-11-08,13.770000
2010-11-09,13.630000
2010-11-10,13.320000
2010-11-11,12.855000
2010-11-12,12.820000
2010-11-15,12.980000
2010-11-16,12.840000
2010-11-17,12.800000
2010-11-18,12.900000
2010-11-19,12.900000
2010-11-22,12.970000
2010-11-23,12.800000
2010-11-24,12.660000
2010-11-26,12.830000
2010-11-29,12.730000
2010-11-30,12.560000
2010-12-01,13.260000
2010-12-02,13.980000
2010-12-03,16.140000
2010-12-06,15.940000
2010-12-07,16.370000
2010-12-08,18.440000
2010-12-09,19.130000
2010-12-10,19.950000
2010-12-13,18.860000
2010-12-14,18.730000
2010-12-15,18.330000
2010-12-16,18.440000
2010-12-17,18.110000
2010-12-20,18.600000
2010-12-21,19.250000
2010-12-22,20.250000
2010-12-23,20.090000
2010-12-27,20.200000
2010-12-28,20.290000
2010-12-29,20.690000
2010-12-30,20.700000
2010-12-31,20.930000
2011-01-04,21.960000
2011-01-05,23.380000
2011-01-06,23.240000
2011-01-07,22.920000
2011-01-10,23.420000
2011-01-11,24.000000
2011-01-12,23.600000
2011-01-13,23.330000
2011-01-14,23.390000
2011-01-18,23.580000
2011-01-19,22.960000
2011-01-20,21.670000
2011-01-21,21.970000
2011-01-24,22.650000
2011-01-25,24.280000
2011-01-26,25.990000
2011-01-27,26.080000
2011-01-28,24.570000
2011-01-31,25.740000
2011-02-01,27.230000
2011-02-02,27.190000
2011-02-03,27.200000
2011-02-04,27.350000
2011-02-07,26.310000
2011-02-08,26.380000
2011-02-09,26.540000
2011-02-10,26.165000
2011-02-11,25.270000
2011-02-14,25.440000
2011-02-15,25.010000
2011-02-16,26.930000
2011-02-17,27.310000
2011-02-18,29.297500
2011-02-22,29.450000
2011-02-23,28.410000
2011-02-24,29.120000
2011-02-25,30.550000
2011-02-28,31.950000
2011-03-01,29.980000
2011-03-02,29.250000
2011-03-03,31.170000
2011-03-04,30.750000
2011-03-07,29.160000
2011-03-08,28.710000
2011-03-09,27.780000
2011-03-10,26.510000
2011-03-11,27.460000
2011-03-14,25.830000
2011-03-15,26.280000
2011-03-16,25.940000
2011-03-17,26.940000
2011-03-18,27.550000
2011-03-21,27.850000
2011-03-22,27.220000
2011-03-23,27.070000
2011-03-24,28.300000
2011-03-25,27.880000
2011-03-28,28.690000
2011-03-29,31.290000
2011-03-30,31.380000
2011-03-31,29.965000
2011-04-01,30.590000
2011-04-04,31.130000
2011-04-05,31.990000
2011-04-06,33.260000
2011-04-07,32.940000
2011-04-08,32.620000
2011-04-11,32.210000
2011-04-12,31.020000
2011-04-13,31.540000
2011-04-14,32.201000
2011-04-15,32.340000
2011-04-18,31.740000
2011-04-19,31.450000
2011-04-20,33.560000
2011-04-21,33.460000
2011-04-25,33.460000
2011-04-26,34.180000
