d,c
2009-01-02,21.564333
2009-01-05,20.826427
2009-01-06,21.962414
2009-01-07,21.030322
2009-01-08,20.719625
2009-01-09,19.700149
2009-01-12,18.942825
2009-01-13,19.544801
2009-01-14,18.593290
2009-01-15,19.496254
2009-01-16,20.030265
2009-01-20,17.952477
2009-01-21,19.583638
2009-01-22,18.486488
2009-01-23,18.952534
2009-01-26,18.738930
2009-01-27,19.311778
2009-01-28,20.865264
2009-01-29,18.952534
2009-01-30,18.709802
2009-02-02,19.224394
2009-02-03,18.797185
2009-02-04,18.573872
2009-02-05,18.302012
2009-02-06,19.447708
2009-02-09,19.603057
2009-02-10,18.117535
2009-02-11,18.321430
2009-02-12,18.797185
2009-02-13,18.117535
2009-02-17,17.573815
2009-02-18,17.797129
2009-02-19,16.884455
2009-02-20,17.923349
2009-02-23,17.039804
2009-02-24,18.107826
2009-02-25,17.777710
2009-02-26,17.185443
2009-02-27,17.020385
2009-03-02,16.379572
2009-03-03,16.331026
2009-03-04,16.398991
2009-03-05,15.175620
2009-03-06,14.593063
2009-03-09,14.816377
2009-03-10,16.369863
2009-03-11,15.903817
2009-03-12,16.651432
2009-03-13,16.301898
2009-03-16,15.233876
2009-03-17,16.292189
2009-03-18,17.185443
2009-03-19,16.486374
2009-03-20,15.593120
2009-03-23,18.020442
2009-03-24,16.816490
2009-03-25,17.010676
2009-03-26,18.068989
2009-03-27,17.515559
2009-03-30,16.719397
2009-03-31,18.272884
2009-04-01,18.331140
2009-04-02,19.399161
2009-04-03,20.709916
2009-04-06,20.253579
2009-04-07,18.690383
2009-04-08,19.010790
2009-04-09,21.379857
2009-04-13,21.059450
2009-04-14,19.690440
2009-04-15,20.729334
2009-04-16,21.292473
2009-04-17,21.360438
2009-04-20,19.447708
2009-04-21,21.321601
2009-04-22,20.700206
2009-04-23,21.224508
2009-04-24,21.748810
2009-04-27,20.952648
2009-04-28,21.214799
2009-04-29,21.787647
2009-04-30,21.680845
2009-05-01,20.486602
2009-05-04,21.777937
2009-05-05,20.874973
2009-05-06,21.865321
2009-05-07,20.787590
2009-05-08,21.535205
2009-05-11,20.690497
2009-05-12,20.836136
2009-05-13,19.913754
2009-05-14,20.331253
2009-05-15,19.525382
2009-05-18,20.807008
2009-05-19,20.370090
2009-05-20,20.331253
2009-05-21,21.030322
2009-05-22,20.311835
2009-05-26,21.360438
2009-05-27,20.622532
2009-05-28,20.913811
2009-05-29,20.845846
2009-06-01,21.467240
2009-06-02,21.535205
2009-06-03,21.826484
2009-06-04,22.302239
2009-06-05,22.069216
2009-06-08,22.069216
2009-06-09,21.952705
2009-06-10,21.544915
2009-06-11,21.224508
2009-06-12,21.826484
2009-06-15,21.117706
2009-06-16,21.107996
2009-06-17,21.234217
2009-06-18,21.583752
2009-06-19,21.865321
2009-06-22,21.331310
2009-06-23,21.593461
2009-06-24,21.836193
2009-06-25,22.399332
2009-06-26,21.156543
2009-06-29,21.001194
2009-06-30,21.282764
2009-07-01,21.593461
2009-07-02,20.641951
2009-07-06,21.321601
2009-07-07,20.632241
2009-07-08,20.302125
2009-07-09,19.836079
2009-07-10,19.729277
2009-07-13,20.564276
2009-07-14,20.573986
2009-07-15,21.302182
2009-07-16,21.506077
2009-07-17,21.350729
2009-07-20,21.777937
2009-07-21,21.904158
2009-07-22,21.875030
2009-07-23,22.243983
2009-07-24,22.127472
2009-07-27,22.729448
2009-07-28,22.787704
2009-07-29,22.642064
2009-07-30,22.943052
2009-07-31,22.894506
2009-08-03,23.214912
2009-08-04,24.535376
2009-08-05,24.807236
2009-08-06,24.622759
2009-08-07,25.448049
2009-08-10,24.535376
2009-08-11,23.904272
2009-08-12,23.981946
2009-08-13,24.059621
2009-08-14,23.826598
2009-08-17,22.904215
2009-08-18,23.020727
2009-08-19,23.108110
