d,c
2009-01-02,28.300000
2009-01-05,28.050000
2009-01-06,28.090000
2009-01-07,27.550000
2009-01-08,27.830000
2009-01-09,27.490000
2009-01-12,27.210000
2009-01-13,26.690000
2009-01-14,25.810000
2009-01-15,25.840000
2009-01-16,26.620000
2009-01-20,24.750000
2009-01-21,25.840000
2009-01-22,25.310000
2009-01-23,25.570000
2009-01-26,25.880000
2009-01-27,26.580000
2009-01-28,27.440000
2009-01-29,26.850000
2009-01-30,25.890000
2009-02-02,26.140000
2009-02-03,26.940000
2009-02-04,26.590000
2009-02-05,27.130000
2009-02-06,28.000000
2009-02-09,28.110000
2009-02-10,27.490000
2009-02-11,28.060000
2009-02-12,28.510000
2009-02-13,28.280000
2009-02-17,26.500000
2009-02-18,26.000000
2009-02-19,25.310000
2009-02-20,24.970000
2009-02-23,23.970000
2009-02-24,24.750000
2009-02-25,24.020000
2009-02-26,24.240000
2009-02-27,24.030000
2009-03-02,22.620000
2009-03-03,22.890000
2009-03-04,23.930000
2009-03-05,22.800000
2009-03-06,22.570000
2009-03-09,22.060000
2009-03-10,22.330000
2009-03-11,22.270000
2009-03-12,23.120000
2009-03-13,23.610000
2009-03-16,23.440000
2009-03-17,24.010000
2009-03-18,24.650000
2009-03-19,24.690000
2009-03-20,23.790000
2009-03-23,24.960000
2009-03-24,24.730000
2009-03-25,24.540000
2009-03-26,24.960000
2009-03-27,23.850000
2009-03-30,23.010000
2009-03-31,23.400000
2009-04-01,23.830000
2009-04-02,26.070000
2009-04-03,27.100000
2009-04-06,26.660000
2009-04-07,26.160000
2009-04-08,26.670000
2009-04-09,27.640000
2009-04-13,27.370000
2009-04-14,27.040000
2009-04-15,27.330000
2009-04-16,28.190000
2009-04-17,28.720000
2009-04-20,28.040000
2009-04-21,28.210000
2009-04-22,28.340000
2009-04-23,28.090000
2009-04-24,29.370000
2009-04-27,30.550000
2009-04-28,30.550000
2009-04-29,30.970000
2009-04-30,31.470000
2009-05-01,31.760000
2009-05-04,32.160000
2009-05-05,32.550000
2009-05-06,32.840000
2009-05-07,32.190000
2009-05-08,32.330000
2009-05-11,32.070000
2009-05-12,31.870000
2009-05-13,30.870000
2009-05-14,31.260000
2009-05-15,30.970000
2009-05-18,31.970000
2009-05-19,31.680000
2009-05-20,31.190000
2009-05-21,30.500000
2009-05-22,30.410000
2009-05-26,30.940000
2009-05-27,30.520000
2009-05-28,30.500000
2009-05-29,30.500000
2009-06-01,32.370000
2009-06-02,32.260000
2009-06-03,31.810000
2009-06-04,32.010000
2009-06-05,32.590000
2009-06-08,32.290000
2009-06-09,32.640000
2009-06-10,32.130000
2009-06-11,32.540000
2009-06-12,32.450000
2009-06-15,31.810000
2009-06-16,31.900000
2009-06-17,32.470000
2009-06-18,32.220000
2009-06-19,32.510000
2009-06-22,31.480000
2009-06-23,31.250000
2009-06-24,31.610000
2009-06-25,32.260000
2009-06-26,31.780000
2009-06-29,31.890000
2009-06-30,31.580000
2009-07-01,32.280000
2009-07-02,31.180000
2009-07-06,31.060000
2009-07-07,30.530000
2009-07-08,30.110000
2009-07-09,30.300000
2009-07-10,30.580000
2009-07-13,30.870000
2009-07-14,31.220000
2009-07-15,32.190000
2009-07-16,32.900000
2009-07-17,32.720000
2009-07-20,33.630000
2009-07-21,34.060000
2009-07-22,34.430000
2009-07-23,34.560000
2009-07-24,34.130000
2009-07-27,33.900000
2009-07-28,33.730000
2009-07-29,33.250000
2009-07-30,33.500000
2009-07-31,34.000000
2009-08-03,34.930000
2009-08-04,34.770000
2009-08-05,34.860000
2009-08-06,34.660000
2009-08-07,35.990000
2009-08-10,35.570000
2009-08-11,34.940000
2009-08-12,34.650000
2009-08-13,35.790000
2009-08-14,35.340000
2009-08-17,34.670000
2009-08-18,34.680000
2009-08-19,35.330000
2009-08-20,35.820000
2009-08-21,36.530000
2009-08-24,36.940000
2009-08-25,37.380000
2009-08-26,37.450000
2009-08-27,37.180000
2009-08-28,36.890000
2009-08-31,36.320000
2009-09-01,36.000000
2009-09-02,35.320000
2009-09-03,35.190000
2009-09-04,35.840000
2009-09-08,36.390000
2009-09-09,36.880000
2009-09-10,37.060000
2009-09-11,37.400000
2009-09-14,37.330000
2009-09-15,37.110000
2009-09-16,37.930000
2009-09-17,38.030000
2009-09-18,38.070000
2009-09-21,37.900000
2009-09-22,37.810000
2009-09-23,37.430000
2009-09-24,36.980000
2009-09-25,36.510000
2009-09-28,37.440000
2009-09-29,37.900000
2009-09-30,36.940000
2009-10-01,36.330000
2009-10-02,35.710000
2009-10-05,36.200000
2009-10-06,36.480000
2009-10-07,36.440000
2009-10-08,36.710000
2009-10-09,36.340000
2009-10-12,36.630000
2009-10-13,36.780000
2009-10-14,37.900000
2009-10-15,38.500000
2009-10-16,38.060000
2009-10-19,38.960000
2009-10-20,38.070000
2009-10-21,36.240000
2009-10-22,36.470000
2009-10-23,35.860000
2009-10-26,35.420000
2009-10-27,35.400000
2009-10-28,34.560000
2009-10-29,35.420000
2009-10-30,34.280000
2009-11-02,34.700000
2009-11-03,35.050000
2009-11-04,34.650000
2009-11-05,35.570000
2009-11-06,35.690000
2009-11-09,36.570000
2009-11-10,36.560000
2009-11-11,36.510000
2009-11-12,36.010000
2009-11-13,36.570000
2009-11-16,36.930000
2009-11-17,37.260000
2009-11-18,36.960000
2009-11-19,36.180000
2009-11-20,36.140000
2009-11-23,36.520000
2009-11-24,36.550000
2009-11-25,36.840000
2009-11-27,36.410000
2009-11-30,36.720000
2009-12-01,36.850000
2009-12-02,36.960000
2009-12-03,36.700000
2009-12-04,36.770000
2009-12-07,36.560000
2009-12-08,36.270000
2009-12-09,36.320000
2009-12-10,37.040000
2009-12-11,37.200000
2009-12-14,37.530000
2009-12-15,37.800000
2009-12-16,38.180000
2009-12-17,37.660000
2009-12-18,38.400000
2009-12-21,38.920000
2009-12-22,38.870000
2009-12-23,39.400000
2009-12-24,39.680000
2009-12-28,39.620000
2009-12-29,39.760000
2009-12-30,39.840000
2009-12-31,39.150000
2010-01-04,39.620000
2010-01-05,39.480000
2010-01-06,39.170000
2010-01-07,38.940000
2010-01-08,39.390000
2010-01-11,39.390000
2010-01-12,38.730000
2010-01-13,39.160000
2010-01-14,38.110000
2010-01-15,37.660000
2010-01-19,37.800000
2010-01-20,37.490000
2010-01-21,37.030000
2010-01-22,36.290000
2010-01-25,36.620000
2010-01-26,36.550000
2010-01-27,36.000000
2010-01-28,35.850000
2010-01-29,35.300000
2010-02-01,36.030000
2010-02-02,36.940000
2010-02-03,37.020000
2010-02-04,35.760000
2010-02-05,35.280000
2010-02-08,34.540000
2010-02-09,35.250000
2010-02-10,35.750000
2010-02-11,35.560000
2010-02-12,35.200000
2010-02-16,35.950000
2010-02-17,36.350000
2010-02-18,36.780000
2010-02-19,37.070000
2010-02-22,36.980000
2010-02-23,36.670000
2010-02-24,36.880000
2010-02-25,36.620000
2010-02-26,36.620000
2010-03-01,37.680000
2010-03-02,37.660000
2010-03-03,37.630000
2010-03-04,37.510000
2010-03-05,38.060000
2010-03-08,37.990000
2010-03-09,38.230000
2010-03-10,38.840000
2010-03-11,39.260000
2010-03-12,39.310000
2010-03-15,39.160000
2010-03-16,39.240000
2010-03-17,39.780000
2010-03-18,39.560000
2010-03-19,39.080000
2010-03-22,39.660000
2010-03-23,39.820000
2010-03-24,39.750000
2010-03-25,39.770000
2010-03-26,39.810000
2010-03-29,39.570000
2010-03-30,39.880000
2010-03-31,38.810000
2010-04-01,38.830000
2010-04-05,39.240000
2010-04-06,39.400000
2010-04-07,38.900000
2010-04-08,39.180000
2010-04-09,39.450000
2010-04-12,39.240000
2010-04-13,39.500000
2010-04-14,40.810000
2010-04-15,41.200000
2010-04-16,40.530000
2010-04-19,41.120000
2010-04-20,43.580000
2010-04-21,42.870000
2010-04-22,42.920000
2010-04-23,43.370000
2010-04-26,43.040000
2010-04-27,41.820000
2010-04-28,42.170000
2010-04-29,43.130000
2010-04-30,42.660000
2010-05-03,43.560000
2010-05-04,42.220000
2010-05-05,41.390000
2010-05-06,40.620000
2010-05-07,39.220000
2010-05-10,41.210000
2010-05-11,41.510000
2010-05-12,42.030000
2010-05-13,41.760000
2010-05-14,41.110000
2010-05-17,41.220000
2010-05-18,40.540000
2010-05-19,39.960000
2010-05-20,38.140000
2010-05-21,38.360000
2010-05-24,37.730000
2010-05-25,36.990000
2010-05-26,37.700000
2010-05-27,38.780000
2010-05-28,37.950000
2010-06-01,36.780000
2010-06-02,37.940000
2010-06-03,38.090000
2010-06-04,36.070000
2010-06-07,36.130000
2010-06-08,36.070000
2010-06-09,36.070000
2010-06-10,37.320000
2010-06-11,37.410000
2010-06-14,37.470000
2010-06-15,38.600000
2010-06-16,38.900000
2010-06-17,38.360000
2010-06-18,38.070000
2010-06-21,37.880000
2010-06-22,36.740000
2010-06-23,37.010000
2010-06-24,36.230000
2010-06-25,36.140000
2010-06-28,36.040000
2010-06-29,34.850000
2010-06-30,34.300000
2010-07-01,34.310000
2010-07-02,33.910000
2010-07-06,33.770000
2010-07-07,34.430000
2010-07-08,34.510000
2010-07-09,34.610000
2010-07-12,34.860000
2010-07-13,35.950000
2010-07-14,35.780000
2010-07-15,36.160000
2010-07-16,35.310000
2010-07-19,35.990000
2010-07-20,36.970000
2010-07-21,36.400000
2010-07-22,37.740000
2010-07-23,38.480000
2010-07-26,38.320000
2010-07-27,37.980000
2010-07-28,37.380000
2010-07-29,37.270000
2010-07-30,37.260000
2010-08-02,37.990000
2010-08-03,37.860000
2010-08-04,38.270000
2010-08-05,38.810000
2010-08-06,38.380000
2010-08-09,38.900000
