d,c
2009-01-02,30.050000
2009-01-05,30.630000
2009-01-06,31.050000
2009-01-07,30.920000
2009-01-08,30.990000
2009-01-09,30.560000
2009-01-12,30.370000
2009-01-13,29.760000
2009-01-14,29.870000
2009-01-15,30.250000
2009-01-16,30.970000
2009-01-20,30.380000
2009-01-21,30.740000
2009-01-22,30.480000
2009-01-23,31.010000
2009-01-26,32.000000
2009-01-27,32.480000
2009-01-28,33.240000
2009-01-29,32.840000
2009-01-30,31.570000
2009-02-02,31.440000
2009-02-03,31.280000
2009-02-04,31.150000
2009-02-05,31.750000
2009-02-06,32.680000
2009-02-09,32.260000
2009-02-10,30.980000
2009-02-11,31.410000
2009-02-12,31.090000
2009-02-13,30.970000
2009-02-17,29.310000
2009-02-18,29.180000
2009-02-19,29.280000
2009-02-20,28.520000
2009-02-23,27.940000
2009-02-24,28.540000
2009-02-25,27.910000
2009-02-26,27.470000
2009-02-27,27.290000
2009-03-02,26.480000
2009-03-03,25.490000
2009-03-04,25.960000
2009-03-05,24.970000
2009-03-06,24.570000
2009-03-09,24.130000
2009-03-10,25.070000
2009-03-11,24.510000
2009-03-12,24.020000
2009-03-13,24.850000
2009-03-16,25.340000
2009-03-17,26.330000
2009-03-18,27.640000
2009-03-19,28.080000
2009-03-20,27.620000
2009-03-23,29.240000
2009-03-24,28.990000
2009-03-25,28.930000
2009-03-26,29.400000
2009-03-27,29.000000
2009-03-30,28.390000
2009-03-31,29.470000
2009-04-01,29.650000
2009-04-02,30.100000
2009-04-03,31.020000
2009-04-06,30.410000
2009-04-07,30.010000
2009-04-08,30.390000
2009-04-09,30.180000
2009-04-13,29.400000
2009-04-14,28.850000
2009-04-15,29.160000
2009-04-16,29.100000
2009-04-17,29.540000
2009-04-20,29.080000
2009-04-21,28.770000
2009-04-22,28.410000
2009-04-23,28.330000
2009-04-24,28.090000
2009-04-27,28.340000
2009-04-28,28.290000
2009-04-29,29.580000
2009-04-30,29.840000
2009-05-01,31.150000
2009-05-04,31.400000
2009-05-05,31.210000
2009-05-06,31.510000
2009-05-07,31.680000
2009-05-08,31.990000
2009-05-11,31.990000
2009-05-12,32.530000
2009-05-13,31.780000
2009-05-14,31.690000
2009-05-15,31.690000
2009-05-18,31.240000
2009-05-19,32.260000
2009-05-20,31.870000
2009-05-21,31.380000
2009-05-22,31.620000
2009-05-26,32.300000
2009-05-27,31.620000
2009-05-28,31.920000
2009-05-29,31.870000
2009-06-01,33.630000
2009-06-02,33.270000
2009-06-03,32.220000
2009-06-04,32.820000
2009-06-05,32.390000
2009-06-08,31.920000
2009-06-09,31.990000
2009-06-10,32.340000
2009-06-11,32.770000
2009-06-12,32.540000
2009-06-15,31.740000
2009-06-16,31.510000
2009-06-17,31.610000
2009-06-18,32.140000
2009-06-19,31.940000
2009-06-22,31.920000
2009-06-23,31.730000
2009-06-24,31.700000
2009-06-25,32.030000
2009-06-26,32.230000
2009-06-29,32.760000
2009-06-30,32.630000
2009-07-01,33.080000
2009-07-02,32.100000
2009-07-06,32.200000
2009-07-07,31.250000
2009-07-08,31.250000
2009-07-09,31.230000
2009-07-10,30.990000
2009-07-13,31.420000
2009-07-14,31.500000
2009-07-15,32.440000
2009-07-16,32.470000
2009-07-17,32.110000
2009-07-20,32.300000
2009-07-21,32.400000
2009-07-22,32.430000
2009-07-23,33.350000
2009-07-24,33.860000
2009-07-27,33.720000
2009-07-28,32.910000
2009-07-29,32.850000
2009-07-30,33.430000
2009-07-31,32.450000
2009-08-03,33.040000
2009-08-04,32.450000
2009-08-05,31.800000
2009-08-06,31.410000
2009-08-07,31.670000
2009-08-10,31.840000
2009-08-11,31.400000
2009-08-12,31.660000
2009-08-13,31.940000
2009-08-14,32.120000
2009-08-17,31.300000
2009-08-18,31.260000
2009-08-19,31.870000
2009-08-20,32.100000
2009-08-21,32.870000
2009-08-24,32.730000
2009-08-25,32.290000
2009-08-26,32.200000
2009-08-27,32.260000
2009-08-28,32.120000
2009-08-31,31.670000
2009-09-01,31.520000
2009-09-02,31.040000
2009-09-03,31.100000
2009-09-04,30.540000
2009-09-08,30.880000
2009-09-09,31.110000
2009-09-10,31.130000
2009-09-11,30.880000
2009-09-14,31.520000
2009-09-15,31.570000
2009-09-16,31.930000
2009-09-17,31.740000
2009-09-18,31.990000
2009-09-21,31.350000
2009-09-22,31.060000
2009-09-23,31.160000
2009-09-24,31.200000
2009-09-25,31.290000
2009-09-28,31.560000
2009-09-29,31.620000
2009-09-30,31.440000
2009-10-01,30.730000
2009-10-02,30.350000
2009-10-05,30.620000
2009-10-06,31.090000
2009-10-07,31.130000
2009-10-08,31.020000
2009-10-09,31.350000
2009-10-12,31.250000
2009-10-13,30.900000
2009-10-14,30.670000
2009-10-15,30.740000
