d,c
2009-01-02,23.600000
2009-01-05,23.080000
2009-01-06,24.480000
2009-01-07,21.830000
2009-01-08,21.900000
2009-01-09,20.940000
2009-01-12,18.550000
2009-01-13,19.100000
2009-01-14,16.940000
2009-01-15,16.400000
2009-01-16,16.190000
2009-01-20,13.950000
2009-01-21,16.290000
2009-01-22,14.910000
2009-01-23,15.700000
2009-01-26,15.480000
2009-01-27,16.490000
2009-01-28,20.480000
2009-01-29,17.840000
2009-01-30,16.590000
2009-02-02,17.030000
2009-02-03,16.640000
2009-02-04,16.190000
2009-02-05,16.620000
2009-02-06,16.830000
2009-02-09,17.030000
2009-02-10,11.990000
2009-02-11,11.660000
2009-02-12,12.040000
2009-02-13,11.640000
2009-02-17,10.820000
2009-02-18,10.550000
2009-02-19,10.510000
2009-02-20,10.520000
2009-02-23,9.340000
2009-02-24,11.070000
2009-02-25,10.330000
2009-02-26,10.590000
2009-02-27,7.990000
2009-03-02,7.300000
2009-03-03,6.860000
2009-03-04,7.310000
2009-03-05,6.380000
2009-03-06,6.080000
2009-03-09,5.880000
2009-03-10,7.270000
2009-03-11,7.530000
2009-03-12,8.200000
2009-03-13,7.770000
2009-03-16,7.380000
2009-03-17,8.140000
2009-03-18,8.900000
2009-03-19,7.780000
2009-03-20,7.000000
2009-03-23,8.410000
2009-03-24,8.650000
2009-03-25,9.120000
2009-03-26,9.920000
2009-03-27,10.300000
2009-03-30,7.980000
2009-03-31,8.180000
2009-04-01,8.160000
2009-04-02,8.780000
2009-04-03,10.530000
2009-04-06,10.630000
2009-04-07,10.150000
2009-04-08,12.310000
2009-04-09,14.470000
2009-04-13,14.970000
2009-04-14,13.040000
2009-04-15,13.780000
2009-04-16,13.760000
2009-04-17,14.720000
2009-04-20,12.920000
2009-04-21,14.000000
2009-04-22,14.210000
2009-04-23,14.870000
2009-04-24,15.310000
2009-04-27,14.680000
2009-04-28,14.180000
2009-04-29,15.660000
2009-04-30,16.340000
2009-05-01,15.430000
2009-05-04,16.930000
2009-05-05,18.750000
2009-05-06,23.290000
2009-05-07,21.450000
2009-05-08,23.680000
2009-05-11,20.340000
2009-05-12,19.740000
2009-05-13,18.550000
2009-05-14,18.860000
2009-05-15,18.580000
2009-05-18,20.570000
2009-05-19,20.810000
2009-05-20,20.210000
2009-05-21,20.250000
2009-05-22,20.580000
2009-05-26,20.790000
2009-05-27,20.560000
2009-05-28,21.810000
2009-05-29,22.200000
2009-06-01,22.440000
2009-06-02,22.230000
2009-06-03,20.930000
2009-06-04,21.570000
2009-06-05,22.230000
2009-06-08,22.150000
2009-06-09,21.970000
2009-06-10,21.640000
2009-06-11,21.330000
2009-06-12,20.890000
2009-06-15,19.480000
2009-06-16,18.970000
2009-06-17,18.290000
2009-06-18,18.640000
2009-06-19,19.000000
2009-06-22,17.520000
2009-06-23,18.110000
2009-06-24,18.890000
2009-06-25,19.530000
2009-06-26,19.110000
2009-06-29,19.190000
2009-06-30,18.840000
2009-07-01,19.000000
2009-07-02,17.690000
2009-07-06,18.400000
2009-07-07,17.690000
2009-07-08,17.410000
2009-07-09,17.580000
2009-07-10,17.140000
2009-07-13,18.880000
2009-07-14,18.730000
2009-07-15,19.510000
2009-07-16,19.720000
2009-07-17,19.780000
2009-07-20,20.410000
2009-07-21,20.660000
2009-07-22,20.600000
2009-07-23,22.600000
2009-07-24,22.880000
2009-07-27,23.610000
2009-07-28,22.860000
2009-07-29,22.570000
2009-07-30,23.290000
2009-07-31,23.700000
2009-08-03,25.440000
2009-08-04,25.330000
2009-08-05,25.580000
2009-08-06,24.720000
2009-08-07,25.750000
2009-08-10,25.280000
2009-08-11,24.400000
2009-08-12,25.810000
2009-08-13,26.490000
2009-08-14,25.540000
2009-08-17,23.990000
2009-08-18,24.790000
2009-08-19,24.940000
2009-08-20,25.990000
2009-08-21,27.740000
2009-08-24,27.850000
2009-08-25,28.040000
2009-08-26,28.100000
2009-08-27,28.710000
2009-08-28,28.880000
2009-08-31,28.400000
2009-09-01,26.160000
2009-09-02,25.930000
2009-09-03,25.770000
2009-09-04,26.060000
2009-09-08,26.320000
2009-09-09,26.630000
2009-09-10,28.490000
2009-09-11,27.830000
2009-09-14,28.000000
2009-09-15,28.200000
2009-09-16,30.830000
2009-09-17,29.010000
2009-09-18,28.290000
2009-09-21,27.560000
2009-09-22,27.760000
2009-09-23,26.360000
2009-09-24,26.030000
2009-09-25,25.800000
2009-09-28,27.970000
2009-09-29,27.830000
2009-09-30,27.390000
2009-10-01,25.460000
2009-10-02,25.260000
2009-10-05,26.640000
2009-10-06,27.260000
2009-10-07,27.400000
2009-10-08,28.110000
2009-10-09,28.290000
2009-10-12,28.510000
2009-10-13,27.810000
2009-10-14,29.470000
2009-10-15,29.690000
2009-10-16,28.850000
2009-10-19,29.420000
2009-10-20,28.540000
2009-10-21,28.220000
2009-10-22,29.390000
2009-10-23,28.210000
2009-10-26,27.060000
2009-10-27,26.610000
2009-10-28,24.960000
2009-10-29,26.730000
2009-10-30,25.040000
2009-11-02,25.010000
2009-11-03,25.170000
2009-11-04,25.250000
2009-11-05,25.450000
2009-11-06,25.710000
2009-11-09,26.770000
2009-11-10,25.840000
2009-11-11,26.340000
2009-11-12,25.540000
2009-11-13,25.730000
2009-11-16,26.760000
2009-11-17,27.120000
2009-11-18,27.010000
2009-11-19,26.200000
2009-11-20,25.780000
2009-11-23,26.080000
2009-11-24,26.010000
2009-11-25,26.180000
2009-11-27,25.000000
2009-11-30,25.390000
2009-12-01,25.410000
2009-12-02,25.980000
2009-12-03,22.520000
2009-12-04,24.090000
2009-12-07,23.330000
2009-12-08,23.280000
2009-12-09,23.100000
2009-12-10,23.070000
2009-12-11,23.600000
2009-12-14,23.870000
2009-12-15,23.310000
2009-12-16,24.020000
2009-12-17,23.710000
2009-12-18,23.720000
2009-12-21,24.230000
2009-12-22,25.210000
2009-12-23,25.430000
2009-12-24,25.460000
2009-12-28,24.970000
2009-12-29,24.630000
2009-12-30,24.350000
2009-12-31,24.040000
2010-01-04,25.000000
2010-01-05,25.590000
2010-01-06,25.420000
2010-01-07,25.640000
2010-01-08,25.670000
2010-01-11,25.790000
2010-01-12,25.350000
2010-01-13,25.530000
2010-01-14,25.650000
2010-01-15,25.260000
2010-01-19,25.780000
2010-01-20,25.170000
2010-01-21,23.810000
2010-01-22,23.340000
2010-01-25,23.760000
2010-01-26,23.360000
2010-01-27,24.010000
2010-01-28,23.170000
2010-01-29,23.050000
2010-02-01,23.330000
2010-02-02,24.000000
2010-02-03,23.450000
2010-02-04,22.570000
2010-02-05,22.460000
2010-02-08,22.190000
2010-02-09,21.450000
2010-02-10,21.900000
2010-02-11,22.210000
2010-02-12,22.040000
2010-02-16,22.810000
2010-02-17,22.840000
2010-02-18,22.970000
2010-02-19,22.830000
2010-02-22,23.000000
2010-02-23,22.210000
2010-02-24,23.200000
2010-02-25,23.120000
2010-02-26,23.210000
2010-03-01,23.160000
2010-03-02,23.780000
2010-03-03,23.960000
2010-03-04,24.160000
2010-03-05,24.800000
2010-03-08,24.910000
2010-03-09,25.040000
2010-03-10,25.430000
2010-03-11,25.440000
2010-03-12,25.610000
2010-03-15,25.970000
2010-03-16,26.830000
2010-03-17,27.760000
2010-03-18,27.760000
2010-03-19,27.400000
2010-03-22,27.450000
2010-03-23,28.040000
2010-03-24,28.660000
2010-03-25,29.180000
2010-03-26,29.170000
2010-03-29,29.320000
2010-03-30,28.820000
2010-03-31,29.210000
2010-04-01,29.440000
2010-04-05,30.090000
2010-04-06,30.320000
2010-04-07,29.630000
2010-04-08,29.420000
2010-04-09,29.300000
2010-04-12,29.070000
2010-04-13,29.100000
2010-04-14,29.860000
