d,c
2009-01-02,48.590000
2009-01-05,48.100000
2009-01-06,48.640000
2009-01-07,48.310000
2009-01-08,48.950000
2009-01-09,47.350000
2009-01-12,45.990000
2009-01-13,46.020000
2009-01-14,43.420000
2009-01-15,41.650000
2009-01-16,37.540000
2009-01-20,22.000000
2009-01-21,30.160000
2009-01-22,29.620000
2009-01-23,30.270000
2009-01-26,30.470000
2009-01-27,32.150000
2009-01-28,37.340000
2009-01-29,34.220000
2009-01-30,32.520000
2009-02-02,32.180000
2009-02-03,29.850000
2009-02-04,28.830000
2009-02-05,29.830000
2009-02-06,32.570000
2009-02-09,33.510000
2009-02-10,29.830000
2009-02-11,32.940000
2009-02-12,31.070000
2009-02-13,28.200000
2009-02-17,26.470000
2009-02-18,25.600000
2009-02-19,24.100000
2009-02-20,23.230000
2009-02-23,24.610000
2009-02-24,28.500000
2009-02-25,29.300000
2009-02-26,29.740000
2009-02-27,27.340000
2009-03-02,26.120000
2009-03-03,24.820000
2009-03-04,23.260000
2009-03-05,20.000000
2009-03-06,18.510000
2009-03-09,19.720000
2009-03-10,24.710000
2009-03-11,24.800000
2009-03-12,28.550000
2009-03-13,28.150000
2009-03-16,27.320000
2009-03-17,28.510000
2009-03-18,31.470000
2009-03-19,28.670000
2009-03-20,26.920000
2009-03-23,32.730000
2009-03-24,32.320000
2009-03-25,32.390000
2009-03-26,31.450000
2009-03-27,30.320000
2009-03-30,26.720000
2009-03-31,29.290000
2009-04-01,30.500000
2009-04-02,32.240000
2009-04-03,35.800000
2009-04-06,33.810000
2009-04-07,31.770000
2009-04-08,31.980000
2009-04-09,38.480000
2009-04-13,40.300000
2009-04-14,36.690000
2009-04-15,39.130000
2009-04-16,39.060000
2009-04-17,41.600000
2009-04-20,36.880000
2009-04-21,40.400000
2009-04-22,38.060000
2009-04-23,40.930000
2009-04-24,43.220000
2009-04-27,41.230000
2009-04-28,40.450000
2009-04-29,40.240000
2009-04-30,39.700000
2009-05-01,37.820000
2009-05-04,43.250000
2009-05-05,42.400000
2009-05-06,47.460000
2009-05-07,44.470000
2009-05-08,53.080000
2009-05-11,46.680000
2009-05-12,44.790000
2009-05-13,42.200000
2009-05-14,43.120000
2009-05-15,41.790000
2009-05-18,44.580000
2009-05-19,43.260000
2009-05-20,42.060000
2009-05-21,41.180000
2009-05-22,41.180000
2009-05-26,43.250000
2009-05-27,41.110000
2009-05-28,43.660000
2009-05-29,45.550000
2009-06-01,44.340000
2009-06-02,41.870000
2009-06-03,40.330000
2009-06-04,43.700000
2009-06-05,42.020000
2009-06-08,43.380000
2009-06-09,44.180000
2009-06-10,41.800000
2009-06-11,42.430000
2009-06-12,41.340000
2009-06-15,40.560000
2009-06-16,39.390000
2009-06-17,37.990000
2009-06-18,39.530000
2009-06-19,40.180000
2009-06-22,38.500000
2009-06-23,39.190000
2009-06-24,40.050000
2009-06-25,40.220000
2009-06-26,39.400000
2009-06-29,39.580000
2009-06-30,38.810000
2009-07-01,38.310000
2009-07-02,36.890000
2009-07-06,37.600000
2009-07-07,37.500000
2009-07-08,36.350000
2009-07-09,36.580000
2009-07-10,35.740000
2009-07-13,37.940000
2009-07-14,36.700000
2009-07-15,38.880000
2009-07-16,38.740000
2009-07-17,37.680000
2009-07-20,38.170000
2009-07-21,37.720000
2009-07-22,37.410000
2009-07-23,35.790000
2009-07-24,34.170000
2009-07-27,34.940000
2009-07-28,36.500000
2009-07-29,35.240000
2009-07-30,35.550000
2009-07-31,36.660000
2009-08-03,37.960000
2009-08-04,38.570000
2009-08-05,41.220000
2009-08-06,41.220000
2009-08-07,44.230000
2009-08-10,42.860000
2009-08-11,40.790000
2009-08-12,41.160000
2009-08-13,42.540000
2009-08-14,41.850000
2009-08-17,39.900000
2009-08-18,40.310000
2009-08-19,39.940000
2009-08-20,41.710000
2009-08-21,42.860000
2009-08-24,41.110000
2009-08-25,42.020000
2009-08-26,42.030000
2009-08-27,42.230000
2009-08-28,42.860000
2009-08-31,42.590000
2009-09-01,40.420000
2009-09-02,39.470000
2009-09-03,39.980000
2009-09-04,40.460000
2009-09-08,40.210000
2009-09-09,41.250000
2009-09-10,41.280000
2009-09-11,42.230000
2009-09-14,42.700000
2009-09-15,45.190000
2009-09-16,46.920000
2009-09-17,45.650000
2009-09-18,45.980000
2009-09-21,46.340000
2009-09-22,46.860000
