d,c
2025-08-07,11.740000
2025-08-08,10.510000
2025-08-11,10.120000
2025-08-12,10.970000
2025-08-13,15.000000
2025-08-14,14.380000
2025-08-15,13.720000
2025-08-18,13.500000
2025-08-19,13.480000
2025-08-20,13.980000
2025-08-21,16.030000
2025-08-22,16.000000
2025-08-25,15.960000
2025-08-26,15.840000
2025-08-27,14.810000
2025-08-28,14.690000
2025-08-29,14.700000
2025-09-02,14.460000
2025-09-03,15.060000
2025-09-04,14.740000
2025-09-05,15.000000
2025-09-08,15.190000
2025-09-09,15.200000
2025-09-10,15.110000
2025-09-11,17.460000
2025-09-12,18.790000
2025-09-15,18.580000
2025-09-16,17.530000
2025-09-17,17.920000
2025-09-18,17.875000
2025-09-19,18.920000
2025-09-22,18.610000
2025-09-23,19.730000
2025-09-24,19.120000
2025-09-25,18.930000
2025-09-26,18.920000
2025-09-29,19.500000
2025-09-30,18.920000
2025-10-01,18.890000
2025-10-02,18.620000
2025-10-03,19.090000
2025-10-06,19.130000
2025-10-07,18.510000
2025-10-08,18.500000
2025-10-09,17.970000
2025-10-10,17.000000
2025-10-13,17.100000
2025-10-14,17.290000
2025-10-15,17.430000
2025-10-16,16.900000
2025-10-17,16.770000
2025-10-20,16.990000
2025-10-21,16.510000
2025-10-22,16.570000
2025-10-23,16.470000
2025-10-24,16.720000
2025-10-27,16.565000
2025-10-28,16.210000
2025-10-29,15.880000
2025-10-30,15.460000
2025-10-31,15.390000
2025-11-03,15.420000
2025-11-04,14.840000
2025-11-05,15.090000
2025-11-06,14.800000
2025-11-07,15.100000
2025-11-10,15.250000
2025-11-11,16.740000
2025-11-12,15.570000
2025-11-13,15.370000
2025-11-14,15.680000
2025-11-17,15.730000
2025-11-18,16.090000
2025-11-19,15.470000
2025-11-20,15.680000
2025-11-21,15.890000
2025-11-24,15.060000
2025-11-25,15.640000
2025-11-26,15.790000
2025-11-28,16.020000
2025-12-01,15.710000
2025-12-02,15.820000
2025-12-03,14.670000
2025-12-04,14.820000
2025-12-05,13.365000
2025-12-08,14.570000
2025-12-09,14.640000
2025-12-10,14.720000
2025-12-11,14.120000
2025-12-12,13.740000
2025-12-15,13.990000
2025-12-16,13.850000
2025-12-17,13.100000
2025-12-18,13.010000
2025-12-19,13.050000
2025-12-22,13.610000
2025-12-23,13.530000
2025-12-24,13.740000
2025-12-26,13.590000
2025-12-29,13.500000
2025-12-30,13.510000
2025-12-31,13.400000
2026-01-02,13.180000
2026-01-05,12.980000
2026-01-06,12.500000
2026-01-07,12.370000
2026-01-08,12.270000
2026-01-09,12.060000
2026-01-12,12.150000
2026-01-13,12.140000
2026-01-14,12.080000
2026-01-15,11.830000
2026-01-16,11.800000
2026-01-20,11.550000
2026-01-21,11.600000
2026-01-22,11.780000
2026-01-23,11.700000
2026-01-26,11.890000
2026-01-27,11.550000
2026-01-28,11.340000
2026-01-29,11.260000
2026-01-30,11.210000
2026-02-02,11.180000
2026-02-03,10.810000
2026-02-04,10.750000
2026-02-05,10.520000
2026-02-06,10.560000
2026-02-09,10.680000
2026-02-10,10.840000
2026-02-11,11.010000
2026-02-12,10.250000
2026-02-13,10.320000
2026-02-17,10.830000
2026-02-18,11.120000
