d,c
2009-01-02,0.457188
2009-01-05,0.457234
2009-01-06,0.466563
2009-01-07,0.440469
2009-01-08,0.450000
2009-01-09,0.425938
2009-01-12,0.414063
2009-01-13,0.413594
2009-01-14,0.388750
2009-01-15,0.400156
2009-01-16,0.410156
2009-01-20,0.371078
2009-01-21,0.399531
2009-01-22,0.391094
2009-01-23,0.392656
2009-01-26,0.398594
2009-01-27,0.405156
2009-01-28,0.432188
2009-01-29,0.411406
2009-01-30,0.395781
2009-02-02,0.406094
2009-02-03,0.419063
2009-02-04,0.419375
2009-02-05,0.438438
2009-02-06,0.460781
2009-02-09,0.465938
2009-02-10,0.430938
2009-02-11,0.427813
2009-02-12,0.437500
2009-02-13,0.432813
2009-02-17,0.400000
2009-02-18,0.398906
2009-02-19,0.387500
2009-02-20,0.388594
2009-02-23,0.361875
2009-02-24,0.384375
2009-02-25,0.380000
2009-02-26,0.359375
2009-02-27,0.351875
2009-03-02,0.329688
2009-03-03,0.329063
2009-03-04,0.345781
2009-03-05,0.325781
2009-03-06,0.320781
2009-03-09,0.306297
2009-03-10,0.343594
2009-03-11,0.353906
2009-03-12,0.377813
2009-03-13,0.380625
2009-03-16,0.366719
2009-03-17,0.394375
2009-03-18,0.404375
2009-03-19,0.404266
2009-03-20,0.392469
2009-03-23,0.438750
2009-03-24,0.423281
2009-03-25,0.426094
2009-03-26,0.452852
2009-03-27,0.434688
2009-03-30,0.412656
2009-03-31,0.421561
2009-04-01,0.433750
2009-04-02,0.461563
2009-04-03,0.478438
2009-04-06,0.475641
2009-04-07,0.449531
2009-04-08,0.466563
2009-04-09,0.494531
2009-04-13,0.493281
2009-04-14,0.480625
2009-04-15,0.480000
2009-04-16,0.503750
2009-04-17,0.504062
2009-04-20,0.471563
2009-04-21,0.485156
2009-04-22,0.489531
2009-04-23,0.499688
2009-04-24,0.516250
2009-04-27,0.516719
2009-04-28,0.509531
2009-04-29,0.523125
2009-04-30,0.533125
2009-05-01,0.535937
2009-05-04,0.558594
2009-05-05,0.556875
2009-05-06,0.556719
2009-05-07,0.530109
2009-05-08,0.532031
2009-05-11,0.535312
2009-05-12,0.522031
2009-05-13,0.493125
2009-05-14,0.503750
2009-05-15,0.502656
2009-05-18,0.529375
2009-05-19,0.535469
2009-05-20,0.531094
2009-05-21,0.511719
2009-05-22,0.507813
2009-05-26,0.546563
2009-05-27,0.537500
2009-05-28,0.552031
2009-05-29,0.564063
2009-06-01,0.598125
2009-06-02,0.598125
2009-06-03,0.596563
2009-06-04,0.608594
2009-06-05,0.610156
2009-06-08,0.605469
2009-06-09,0.615625
