d,c
2009-01-02,19.190000
2009-01-05,18.905000
2009-01-06,18.735000
2009-01-07,18.280000
2009-01-08,18.300000
2009-01-09,18.210000
2009-01-12,18.280000
2009-01-13,18.800000
2009-01-14,19.050000
2009-01-15,19.215000
2009-01-16,19.405000
2009-01-20,18.900000
2009-01-21,19.605000
2009-01-22,19.565000
2009-01-23,19.535000
2009-01-26,20.000000
2009-01-27,20.490000
2009-01-28,20.640000
2009-01-29,20.175000
2009-01-30,19.950000
2009-02-02,19.970000
2009-02-03,20.605000
2009-02-04,20.230000
2009-02-05,20.095000
2009-02-06,21.405000
2009-02-09,20.660000
2009-02-10,20.360000
2009-02-11,20.975000
2009-02-12,21.270000
2009-02-13,21.255000
2009-02-17,21.010000
2009-02-18,20.475000
2009-02-19,20.540000
2009-02-20,20.425000
2009-02-23,20.215000
2009-02-24,20.450000
2009-02-25,19.860000
2009-02-26,19.685000
2009-02-27,18.440000
2009-03-02,16.980000
2009-03-03,17.760000
2009-03-04,18.300000
2009-03-05,17.470000
2009-03-06,17.765000
2009-03-09,17.000000
2009-03-10,17.425000
2009-03-11,17.265000
2009-03-12,17.980000
2009-03-13,18.065000
2009-03-16,18.040000
2009-03-17,16.840000
2009-03-18,17.265000
2009-03-19,16.855000
2009-03-20,16.150000
2009-03-23,16.840000
2009-03-24,15.910000
2009-03-25,16.400000
2009-03-26,17.600000
2009-03-27,17.505000
2009-03-30,17.250000
2009-03-31,17.670000
2009-04-01,17.095000
2009-04-02,17.440000
2009-04-03,17.490000
2009-04-06,17.335000
2009-04-07,17.335000
2009-04-08,17.400000
2009-04-09,17.830000
2009-04-13,18.095000
2009-04-14,18.280000
2009-04-15,18.445000
2009-04-16,18.675000
2009-04-17,19.075000
2009-04-20,18.635000
2009-04-21,18.850000
2009-04-22,18.950000
2009-04-23,18.660000
2009-04-24,18.880000
2009-04-27,18.935000
2009-04-28,18.745000
2009-04-29,19.215000
2009-04-30,19.225000
2009-05-01,19.030000
2009-05-04,19.155000
2009-05-05,19.255000
2009-05-06,19.090000
2009-05-07,19.495000
2009-05-08,20.375000
2009-05-11,19.925000
2009-05-12,19.625000
2009-05-13,19.360000
2009-05-14,19.195000
2009-05-15,19.285000
2009-05-18,19.420000
2009-05-19,19.125000
2009-05-20,18.940000
2009-05-21,18.495000
2009-05-22,18.610000
2009-05-26,18.475000
2009-05-27,18.260000
2009-05-28,18.060000
2009-05-29,18.535000
2009-06-01,18.635000
2009-06-02,19.325000
2009-06-03,19.345000
2009-06-04,19.145000
2009-06-05,19.375000
2009-06-08,19.235000
2009-06-09,19.210000
2009-06-10,19.215000
2009-06-11,19.675000
2009-06-12,20.055000
2009-06-15,19.785000
2009-06-16,19.440000
2009-06-17,19.705000
2009-06-18,19.885000
2009-06-19,19.960000
2009-06-22,19.400000
2009-06-23,19.310000
2009-06-24,19.600000
2009-06-25,20.195000
2009-06-26,20.560000
2009-06-29,20.780000
2009-06-30,20.365000
2009-07-01,20.195000
2009-07-02,19.810000
2009-07-06,19.640000
2009-07-07,19.775000
2009-07-08,19.735000
2009-07-09,19.845000
2009-07-10,19.965000
2009-07-13,19.850000
2009-07-14,19.930000
2009-07-15,19.940000
2009-07-16,20.250000
2009-07-17,19.810000
2009-07-20,19.650000
2009-07-21,19.750000
2009-07-22,19.710000
2009-07-23,19.795000
2009-07-24,19.910000
2009-07-27,20.200000
2009-07-28,20.050000
2009-07-29,19.980000
2009-07-30,20.220000
2009-07-31,20.500000
2009-08-03,20.995000
2009-08-04,21.080000
2009-08-05,21.190000
2009-08-06,20.995000
2009-08-07,22.625000
2009-08-10,22.535000
2009-08-11,22.580000
2009-08-12,22.730000
2009-08-13,22.660000
2009-08-14,22.805000
2009-08-17,22.590000
2009-08-18,22.535000
2009-08-19,22.735000
2009-08-20,22.570000
2009-08-21,22.600000
2009-08-24,22.765000
2009-08-25,22.990000
2009-08-26,22.840000
2009-08-27,22.770000
2009-08-28,22.895000
2009-08-31,22.955000
2009-09-01,22.705000
2009-09-02,22.665000
2009-09-03,22.850000
2009-09-04,22.775000
2009-09-08,22.835000
2009-09-09,23.100000
2009-09-10,23.055000
2009-09-11,22.935000
2009-09-14,22.880000
2009-09-15,22.885000
2009-09-16,22.980000
2009-09-17,22.635000
2009-09-18,22.760000
2009-09-21,22.765000
2009-09-22,22.675000
2009-09-23,22.640000
2009-09-24,22.505000
2009-09-25,21.990000
2009-09-28,22.300000
2009-09-29,22.495000
2009-09-30,22.600000
2009-10-01,22.035000
2009-10-02,22.165000
2009-10-05,21.590000
2009-10-06,21.965000
2009-10-07,21.750000
2009-10-08,22.350000
2009-10-09,22.870000
2009-10-12,23.425000
2009-10-13,23.775000
2009-10-14,23.780000
2009-10-15,24.180000
2009-10-16,24.335000
2009-10-19,24.565000
2009-10-20,24.630000
2009-10-21,24.635000
2009-10-22,24.830000
2009-10-23,24.835000
2009-10-26,24.930000
2009-10-27,24.735000
2009-10-28,24.265000
2009-10-29,24.785000
2009-10-30,24.605000
2009-11-02,24.785000
2009-11-03,24.495000
2009-11-04,24.675000
2009-11-05,25.025000
2009-11-06,23.715000
2009-11-09,24.615000
2009-11-10,24.490000
2009-11-11,24.445000
2009-11-12,24.500000
2009-11-13,25.265000
2009-11-16,25.590000
2009-11-17,25.460000
2009-11-18,25.430000
2009-11-19,25.335000
2009-11-20,25.125000
2009-11-23,25.235000
2009-11-24,25.425000
2009-11-25,26.115000
2009-11-27,25.200000
2009-11-30,25.135000
2009-12-01,25.565000
2009-12-02,25.965000
2009-12-03,25.760000
2009-12-04,26.125000
2009-12-07,26.125000
2009-12-08,25.740000
2009-12-09,25.985000
2009-12-10,26.425000
2009-12-11,26.425000
2009-12-14,26.475000
2009-12-15,26.410000
2009-12-16,26.100000
2009-12-17,25.540000
2009-12-18,25.520000
2009-12-21,25.900000
2009-12-22,26.115000
2009-12-23,26.245000
2009-12-24,26.210000
2009-12-28,26.345000
2009-12-29,26.535000
2009-12-30,26.380000
2009-12-31,26.135000
2010-01-04,26.395000
2010-01-05,25.275000
2010-01-06,26.085000
2010-01-07,26.130000
2010-01-08,26.115000
2010-01-11,26.420000
2010-01-12,25.720000
2010-01-13,26.100000
2010-01-14,26.280000
2010-01-15,26.080000
2010-01-19,26.460000
2010-01-20,26.465000
2010-01-21,25.970000
2010-01-22,25.985000
2010-01-25,26.515000
2010-01-26,26.735000
2010-01-27,26.335000
2010-01-28,26.050000
2010-01-29,25.570000
2010-02-01,25.735000
2010-02-02,26.105000
2010-02-03,26.080000
2010-02-04,25.465000
2010-02-05,27.450000
2010-02-08,27.420000
2010-02-09,27.135000
2010-02-10,27.140000
2010-02-11,27.750000
2010-02-12,27.990000
2010-02-16,27.725000
2010-02-17,27.895000
2010-02-18,28.715000
2010-02-19,28.735000
2010-02-22,28.975000
2010-02-23,28.470000
2010-02-24,28.760000
2010-02-25,28.770000
2010-02-26,28.540000
2010-03-01,29.085000
2010-03-02,29.450000
2010-03-03,29.630000
2010-03-04,29.545000
2010-03-05,29.750000
2010-03-08,29.590000
2010-03-09,29.680000
2010-03-10,30.090000
2010-03-11,30.320000
2010-03-12,30.345000
2010-03-15,30.315000
2010-03-16,30.500000
2010-03-17,30.900000
2010-03-18,31.350000
2010-03-19,31.090000
2010-03-22,31.215000
2010-03-23,31.415000
2010-03-24,31.705000
2010-03-25,31.595000
2010-03-26,31.480000
2010-03-29,31.745000
2010-03-30,31.935000
2010-03-31,31.825000
2010-04-01,31.865000
2010-04-05,31.785000
2010-04-06,31.605000
2010-04-07,31.320000
2010-04-08,30.690000
2010-04-09,30.790000
2010-04-12,30.800000
2010-04-13,30.950000
2010-04-14,31.075000
2010-04-15,30.970000
2010-04-16,30.810000
2010-04-19,30.935000
2010-04-20,31.770000
2010-04-21,31.670000
2010-04-22,31.875000
2010-04-23,31.805000
2010-04-26,31.605000
2010-04-27,30.470000
2010-04-28,30.990000
2010-04-29,30.845000
2010-04-30,34.215000
2010-05-03,34.340000
2010-05-04,33.855000
2010-05-05,33.795000
2010-05-06,32.845000
2010-05-07,31.815000
2010-05-10,33.210000
2010-05-11,33.785000
2010-05-12,34.385000
2010-05-13,34.410000
2010-05-14,34.145000
2010-05-17,34.360000
2010-05-18,33.220000
2010-05-19,32.355000
2010-05-20,31.280000
2010-05-21,30.565000
2010-05-24,31.050000
2010-05-25,31.005000
2010-05-26,30.570000
2010-05-27,31.865000
2010-05-28,31.445000
2010-06-01,31.650000
2010-06-02,32.490000
2010-06-03,32.760000
2010-06-04,32.215000
2010-06-07,31.470000
2010-06-08,31.415000
2010-06-09,31.345000
2010-06-10,31.830000
2010-06-11,32.190000
2010-06-14,32.560000
2010-06-15,33.045000
2010-06-16,32.730000
2010-06-17,32.350000
2010-06-18,31.685000
2010-06-21,31.825000
2010-06-22,31.640000
2010-06-23,30.975000
2010-06-24,30.695000
2010-06-25,30.845000
2010-06-28,30.820000
2010-06-29,30.265000
2010-06-30,30.405000
2010-07-01,29.805000
2010-07-02,30.585000
2010-07-06,30.975000
2010-07-07,32.010000
2010-07-08,32.500000
2010-07-09,32.465000
2010-07-12,32.675000
2010-07-13,33.115000
2010-07-14,33.405000
2010-07-15,33.420000
2010-07-16,33.230000
2010-07-19,32.355000
2010-07-20,32.330000
2010-07-21,31.595000
2010-07-22,32.145000
2010-07-23,32.840000
2010-07-26,32.345000
2010-07-27,31.995000
2010-07-28,31.895000
2010-07-29,32.000000
2010-07-30,32.845000
2010-08-02,33.470000
2010-08-03,33.695000
2010-08-04,33.845000
2010-08-05,34.015000
2010-08-06,32.490000
2010-08-09,32.755000
2010-08-10,32.130000
2010-08-11,31.665000
2010-08-12,31.045000
2010-08-13,31.375000
2010-08-16,31.405000
2010-08-17,32.095000
2010-08-18,31.790000
2010-08-19,31.715000
2010-08-20,31.385000
2010-08-23,31.355000
2010-08-24,30.430000
2010-08-25,30.335000
2010-08-26,29.875000
2010-08-27,30.620000
2010-08-30,30.190000
2010-08-31,30.140000
