d,c
2009-01-02,32.410059
2009-01-05,32.026683
2009-01-06,32.368773
2009-01-07,31.566631
2009-01-08,31.560733
2009-01-09,31.082987
2009-01-12,30.882452
2009-01-13,29.962348
2009-01-14,29.508194
2009-01-15,29.307659
2009-01-16,30.139291
2009-01-20,29.113022
2009-01-21,29.048142
2009-01-22,28.871199
2009-01-23,27.962892
2009-01-26,28.706053
2009-01-27,29.042244
2009-01-28,29.879775
2009-01-29,28.711951
2009-01-30,28.304982
2009-02-02,28.039567
2009-02-03,28.493721
2009-02-04,28.033669
2009-02-05,28.340370
2009-02-06,28.918384
2009-02-09,29.266372
2009-02-10,27.756459
2009-02-11,28.086752
2009-02-12,27.667987
2009-02-13,27.774153
2009-02-17,26.942521
2009-02-18,26.452978
2009-02-19,26.376303
2009-02-20,25.945742
2009-02-23,24.978453
2009-02-24,25.361830
2009-02-25,24.488911
2009-02-26,24.241191
2009-02-27,24.081942
2009-03-02,23.102858
2009-03-03,22.737175
2009-03-04,23.096960
2009-03-05,22.365595
2009-03-06,22.731277
2009-03-09,22.153264
2009-03-10,24.058350
2009-03-11,24.217599
2009-03-12,24.654058
2009-03-13,23.928592
2009-03-16,24.252987
2009-03-17,24.600975
2009-03-18,24.701243
2009-03-19,24.211700
2009-03-20,23.904999
2009-03-23,25.644939
2009-03-24,25.485690
2009-03-25,25.768799
2009-03-26,26.818661
2009-03-27,26.234749
2009-03-30,25.125906
2009-03-31,25.350034
2009-04-01,25.880863
2009-04-02,27.095871
2009-04-03,26.913030
2009-04-06,27.314101
2009-04-07,26.635820
2009-04-08,26.317322
2009-04-09,27.892115
2009-04-13,27.361286
2009-04-14,26.865845
2009-04-15,27.579516
2009-04-16,28.015975
2009-04-17,27.909809
2009-04-20,27.019196
2009-04-21,28.304982
2009-04-22,27.656191
2009-04-23,28.334472
2009-04-24,29.118920
2009-04-27,28.582193
2009-04-28,28.293186
2009-04-29,28.847607
2009-04-30,28.806320
2009-05-01,29.207391
2009-05-04,30.186476
2009-05-05,30.569852
2009-05-06,30.841165
2009-05-07,30.504973
2009-05-08,31.584325
2009-05-11,30.965025
2009-05-12,31.165560
2009-05-13,29.850284
2009-05-14,30.381113
2009-05-15,30.245457
2009-05-18,31.248134
2009-05-19,30.847063
2009-05-20,30.516769
2009-05-21,29.938756
2009-05-22,30.103902
2009-05-26,31.106579
2009-05-27,30.339826
2009-05-28,30.894248
2009-05-29,31.029904
2009-06-01,32.598799
2009-06-02,32.781640
2009-06-03,32.256709
2009-06-04,32.516225
2009-06-05,33.259386
2009-06-08,33.318367
2009-06-09,32.746251
2009-06-10,32.734455
2009-06-11,32.763945
2009-06-12,32.934990
2009-06-15,32.274403
2009-06-16,32.191830
2009-06-17,32.250811
2009-06-18,32.398263
2009-06-19,31.967702
2009-06-22,31.012210
2009-06-23,30.575750
2009-06-24,29.968246
2009-06-25,30.687814
2009-06-26,30.404705
2009-06-29,30.947331
2009-06-30,30.646528
2009-07-01,30.835267
2009-07-02,29.632054
2009-07-06,30.021329
2009-07-07,29.154308
2009-07-08,29.301761
2009-07-09,29.284066
2009-07-10,29.278168
2009-07-13,30.328030
2009-07-14,30.422400
2009-07-15,31.702287
2009-07-16,31.832046
2009-07-17,31.731778
2009-07-20,32.421856
2009-07-21,31.832046
2009-07-22,31.330707
2009-07-23,31.484058
2009-07-24,30.805776
2009-07-27,30.734999
2009-07-28,30.929636
2009-07-29,31.377892
2009-07-30,31.985396
2009-07-31,32.126951
2009-08-03,32.545716
2009-08-04,32.315690
2009-08-05,31.979498
2009-08-06,32.474939
2009-08-07,32.787538
2009-08-10,32.964481
2009-08-11,32.893704
2009-08-12,34.309248
2009-08-13,33.855094
2009-08-14,33.743030
2009-08-17,33.106035
2009-08-18,33.507106
2009-08-19,33.029360
2009-08-20,33.772521
2009-08-21,34.627745
2009-08-24,34.975733
2009-08-25,35.217555
2009-08-26,35.252944
2009-08-27,35.394498
2009-08-28,35.176268
2009-08-31,35.011122
2009-09-01,34.834179
2009-09-02,34.710318
2009-09-03,35.182166
2009-09-04,35.695301
2009-09-08,35.612728
2009-09-09,36.119964
2009-09-10,36.538729
2009-09-11,36.562322
2009-09-14,36.308704
2009-09-15,36.149455
2009-09-16,36.538729
2009-09-17,36.874921
2009-09-18,37.051864
2009-09-21,36.963393
2009-09-22,37.293686
2009-09-23,37.004679
2009-09-24,36.768755
2009-09-25,36.296907
2009-09-28,36.355888
2009-09-29,36.161251
2009-09-30,35.937123
2009-10-01,35.382702
2009-10-02,35.170370
2009-10-05,35.642218
2009-10-06,36.267417
2009-10-07,36.019697
2009-10-08,36.438462
2009-10-09,36.668488
2009-10-12,36.255621
2009-10-13,36.550526
2009-10-14,37.606286
2009-10-15,37.983764
2009-10-16,38.272771
2009-10-19,38.597166
2009-10-20,38.573574
2009-10-21,38.573574
2009-10-22,38.868479
2009-10-23,38.815396
2009-10-26,38.237382
2009-10-27,37.800923
2009-10-28,36.928004
2009-10-29,37.500120
2009-10-30,36.243824
2009-11-02,36.957495
2009-11-03,37.275992
2009-11-04,37.500120
2009-11-05,38.603064
2009-11-06,38.378937
2009-11-09,39.358021
2009-11-10,39.358021
2009-11-11,39.499576
2009-11-12,39.340327
2009-11-13,40.101182
2009-11-16,40.897425
2009-11-17,41.245413
2009-11-18,40.584826
2009-11-19,40.112978
2009-11-20,40.089386
2009-11-23,40.537641
2009-11-24,40.266329
2009-11-25,40.289921
2009-11-27,39.635232
2009-11-30,39.658824
2009-12-01,40.107080
2009-12-02,40.195552
2009-12-03,39.670621
2009-12-04,40.295819
2009-12-07,40.614317
2009-12-08,40.242736
2009-12-09,39.759092
2009-12-10,40.065793
2009-12-11,40.932814
2009-12-14,41.233617
2009-12-15,41.434152
2009-12-16,41.434152
2009-12-17,41.038980
2009-12-18,40.968203
2009-12-21,40.909222
2009-12-22,40.903323
2009-12-23,40.997693
2009-12-24,41.499032
2009-12-28,41.558013
2009-12-29,41.463643
2009-12-30,41.575707
2009-12-31,40.938712
2010-01-04,42.248090
2010-01-05,41.616994
2010-01-06,41.398764
2010-01-07,41.575707
2010-01-08,41.658280
2010-01-11,42.560690
2010-01-12,42.312969
2010-01-13,42.796614
2010-01-14,42.944066
2010-01-15,42.460422
2010-01-19,42.637365
2010-01-20,42.130128
2010-01-21,41.363375
2010-01-22,40.744075
2010-01-25,40.455068
2010-01-26,40.384291
2010-01-27,39.877054
2010-01-28,39.735500
2010-01-29,39.800379
2010-02-01,39.841665
2010-02-02,40.124774
2010-02-03,40.248634
2010-02-04,39.151588
2010-02-05,39.222365
2010-02-08,38.573574
2010-02-09,39.234161
2010-02-10,39.304938
2010-02-11,39.346225
2010-02-12,38.744619
2010-02-16,39.122097
2010-02-17,39.723703
2010-02-18,40.171959
2010-02-19,40.413781
2010-02-22,40.343004
2010-02-23,39.983220
2010-02-24,40.472762
2010-02-25,40.502253
2010-02-26,40.490457
2010-03-01,41.074368
2010-03-02,41.139247
2010-03-03,41.050776
2010-03-04,41.504930
2010-03-05,42.023962
2010-03-08,41.734956
2010-03-09,42.336562
2010-03-10,42.342460
2010-03-11,42.489912
2010-03-12,42.189109
2010-03-15,42.371950
2010-03-16,42.702244
2010-03-17,42.578384
2010-03-18,42.761225
2010-03-19,43.197684
2010-03-22,42.826104
2010-03-23,43.109213
2010-03-24,43.079722
2010-03-25,43.215379
2010-03-26,43.421812
2010-03-29,43.645940
2010-03-30,43.722615
2010-03-31,43.415914
2010-04-01,43.722615
2010-04-05,44.147278
