d,c
2009-01-02,14.170000
2009-01-05,14.730000
2009-01-06,14.940000
2009-01-07,14.540000
2009-01-08,14.200000
2009-01-09,13.840000
2009-01-12,13.520000
2009-01-13,14.160000
2009-01-14,13.670000
2009-01-15,14.300000
2009-01-16,14.790000
2009-01-20,14.310000
2009-01-21,14.820000
2009-01-22,14.420000
2009-01-23,14.210000
2009-01-26,13.850000
2009-01-27,14.100000
2009-01-28,15.020000
2009-01-29,14.620000
2009-01-30,12.620000
2009-02-02,12.900000
2009-02-03,13.040000
2009-02-04,13.370000
2009-02-05,13.540000
2009-02-06,14.110000
2009-02-09,14.300000
2009-02-10,13.940000
2009-02-11,14.050000
2009-02-12,14.300000
2009-02-13,14.460000
2009-02-17,13.850000
2009-02-18,13.420000
2009-02-19,13.510000
2009-02-20,13.370000
2009-02-23,13.150000
2009-02-24,13.450000
2009-02-25,13.260000
2009-02-26,13.000000
2009-02-27,12.880000
2009-03-02,11.900000
2009-03-03,11.820000
2009-03-04,12.350000
2009-03-05,11.700000
2009-03-06,11.520000
2009-03-09,11.000000
2009-03-10,11.640000
2009-03-11,11.390000
2009-03-12,11.510000
2009-03-13,11.730000
2009-03-16,11.730000
2009-03-17,12.010000
2009-03-18,12.090000
2009-03-19,12.000000
2009-03-20,11.780000
2009-03-23,12.690000
2009-03-24,12.310000
2009-03-25,12.650000
2009-03-26,13.170000
2009-03-27,12.910000
2009-03-30,12.380000
2009-03-31,12.770000
2009-04-01,12.900000
2009-04-02,13.410000
2009-04-03,13.330000
2009-04-06,13.380000
2009-04-07,13.230000
2009-04-08,13.520000
2009-04-09,14.060000
2009-04-13,14.110000
2009-04-14,13.890000
2009-04-15,13.640000
2009-04-16,13.950000
2009-04-17,14.040000
2009-04-20,13.430000
2009-04-21,13.650000
2009-04-22,13.620000
2009-04-23,13.060000
2009-04-24,13.400000
2009-04-27,13.020000
2009-04-28,13.240000
2009-04-29,13.930000
2009-04-30,14.570000
2009-05-01,17.470000
2009-05-04,17.430000
2009-05-05,17.270000
2009-05-06,17.030000
2009-05-07,16.850000
2009-05-08,17.240000
2009-05-11,16.860000
2009-05-12,16.930000
2009-05-13,16.350000
2009-05-14,16.240000
2009-05-15,16.220000
2009-05-18,16.310000
2009-05-19,16.890000
2009-05-20,17.010000
2009-05-21,16.450000
2009-05-22,16.320000
2009-05-26,16.680000
2009-05-27,16.240000
2009-05-28,16.320000
2009-05-29,16.270000
2009-06-01,16.550000
2009-06-02,16.870000
2009-06-03,16.660000
2009-06-04,16.610000
2009-06-05,16.700000
2009-06-08,16.480000
2009-06-09,17.070000
2009-06-10,17.060000
2009-06-11,17.320000
2009-06-12,17.320000
2009-06-15,16.780000
2009-06-16,17.050000
2009-06-17,17.280000
2009-06-18,17.950000
2009-06-19,17.990000
2009-06-22,17.470000
2009-06-23,16.960000
2009-06-24,17.020000
2009-06-25,17.200000
2009-06-26,17.010000
2009-06-29,17.290000
2009-06-30,17.400000
2009-07-01,17.530000
2009-07-02,16.800000
2009-07-06,16.800000
2009-07-07,16.410000
2009-07-08,16.040000
2009-07-09,15.970000
2009-07-10,16.730000
2009-07-13,16.910000
2009-07-14,17.150000
2009-07-15,17.500000
2009-07-16,17.460000
2009-07-17,17.500000
2009-07-20,17.700000
2009-07-21,17.790000
2009-07-22,17.490000
2009-07-23,17.790000
2009-07-24,18.180000
2009-07-27,18.420000
2009-07-28,18.650000
2009-07-29,18.800000
2009-07-30,19.090000
2009-07-31,17.630000
2009-08-03,17.540000
2009-08-04,17.450000
2009-08-05,17.300000
2009-08-06,17.000000
2009-08-07,17.160000
2009-08-10,17.170000
2009-08-11,16.940000
2009-08-12,16.860000
2009-08-13,17.800000
2009-08-14,17.590000
2009-08-17,17.200000
2009-08-18,17.240000
2009-08-19,17.320000
2009-08-20,17.750000
2009-08-21,18.210000
2009-08-24,18.260000
2009-08-25,18.010000
2009-08-26,18.140000
2009-08-27,18.370000
2009-08-28,18.200000
2009-08-31,18.250000
2009-09-01,17.880000
2009-09-02,17.560000
2009-09-03,17.490000
2009-09-04,18.070000
2009-09-08,18.170000
2009-09-09,18.600000
2009-09-10,19.400000
2009-09-11,19.250000
2009-09-14,19.310000
2009-09-15,19.280000
2009-09-16,20.070000
2009-09-17,20.060000
2009-09-18,20.150000
2009-09-21,19.800000
2009-09-22,19.820000
2009-09-23,19.650000
2009-09-24,19.140000
2009-09-25,19.310000
2009-09-28,19.380000
2009-09-29,19.420000
2009-09-30,19.240000
2009-10-01,18.770000
2009-10-02,18.780000
2009-10-05,19.190000
2009-10-06,19.330000
2009-10-07,19.430000
2009-10-08,19.560000
2009-10-09,19.630000
2009-10-12,19.510000
2009-10-13,19.710000
2009-10-14,20.550000
2009-10-15,20.910000
2009-10-16,20.630000
2009-10-19,20.990000
2009-10-20,20.210000
2009-10-21,19.990000
2009-10-22,19.800000
2009-10-23,19.730000
2009-10-26,19.330000
2009-10-27,19.230000
2009-10-28,18.450000
2009-10-29,18.970000
2009-10-30,18.610000
2009-11-02,18.700000
2009-11-03,18.510000
2009-11-04,18.480000
2009-11-05,18.920000
2009-11-06,18.940000
2009-11-09,19.410000
2009-11-10,19.600000
2009-11-11,19.600000
2009-11-12,19.340000
2009-11-13,19.430000
2009-11-16,19.760000
2009-11-17,19.900000
2009-11-18,19.790000
2009-11-19,19.360000
2009-11-20,19.040000
2009-11-23,19.170000
2009-11-24,19.240000
2009-11-25,19.420000
2009-11-27,18.990000
2009-11-30,18.870000
2009-12-01,19.170000
2009-12-02,19.430000
2009-12-03,19.240000
2009-12-04,19.690000
2009-12-07,19.670000
2009-12-08,19.440000
2009-12-09,19.410000
2009-12-10,19.660000
2009-12-11,19.920000
2009-12-14,20.340000
2009-12-15,20.500000
2009-12-16,20.400000
2009-12-17,20.190000
2009-12-18,20.120000
2009-12-21,20.260000
2009-12-22,20.290000
2009-12-23,20.510000
2009-12-24,20.580000
2009-12-28,20.660000
2009-12-29,20.790000
2009-12-30,20.730000
2009-12-31,20.590000
2010-01-04,20.640000
2010-01-05,20.890000
2010-01-06,21.300000
2010-01-07,21.240000
2010-01-08,21.430000
2010-01-11,21.460000
2010-01-12,21.160000
2010-01-13,21.410000
2010-01-14,21.650000
2010-01-15,21.410000
2010-01-19,21.440000
2010-01-20,21.160000
2010-01-21,20.480000
2010-01-22,20.370000
2010-01-25,20.520000
2010-01-26,20.570000
2010-01-27,20.390000
2010-01-28,20.070000
2010-01-29,20.140000
2010-02-01,20.190000
2010-02-02,20.820000
2010-02-03,20.680000
2010-02-04,19.820000
2010-02-05,20.520000
2010-02-08,20.950000
2010-02-09,20.890000
2010-02-10,20.700000
2010-02-11,20.870000
2010-02-12,21.000000
2010-02-16,21.590000
2010-02-17,21.590000
2010-02-18,21.920000
2010-02-19,21.790000
2010-02-22,22.380000
2010-02-23,22.320000
2010-02-24,22.350000
2010-02-25,22.410000
2010-02-26,22.210000
2010-03-01,23.260000
2010-03-02,23.430000
2010-03-03,23.340000
2010-03-04,23.120000
2010-03-05,23.790000
2010-03-08,23.680000
2010-03-09,23.520000
2010-03-10,23.500000
2010-03-11,23.460000
2010-03-12,23.370000
2010-03-15,23.500000
2010-03-16,23.630000
2010-03-17,24.000000
2010-03-18,24.110000
2010-03-19,23.610000
2010-03-22,24.060000
2010-03-23,24.190000
2010-03-24,23.980000
2010-03-25,23.900000
2010-03-26,24.000000
2010-03-29,24.230000
2010-03-30,24.310000
2010-03-31,23.900000
2010-04-01,24.150000
2010-04-05,24.200000
2010-04-06,24.010000
2010-04-07,23.880000
2010-04-08,23.670000
2010-04-09,23.800000
