d,c
2009-01-02,17.690000
2009-01-05,18.250000
2009-01-06,19.470000
2009-01-07,18.910000
2009-01-08,19.410000
2009-01-09,18.600000
2009-01-12,17.790000
2009-01-13,18.130000
2009-01-14,17.300000
2009-01-15,17.550000
2009-01-16,18.450000
2009-01-20,17.030000
2009-01-21,18.590000
2009-01-22,19.100000
2009-01-23,18.690000
2009-01-26,19.050000
2009-01-27,19.170000
2009-01-28,20.910000
2009-01-29,20.490000
2009-01-30,19.900000
2009-02-02,20.140000
2009-02-03,20.430000
2009-02-04,19.870000
2009-02-05,20.220000
2009-02-06,21.460000
2009-02-09,21.560000
2009-02-10,20.330000
2009-02-11,20.150000
2009-02-12,19.990000
2009-02-13,20.020000
2009-02-17,18.460000
2009-02-18,17.970000
2009-02-19,18.120000
2009-02-20,18.800000
2009-02-23,18.310000
2009-02-24,19.650000
2009-02-25,19.800000
2009-02-26,20.190000
2009-02-27,20.780000
2009-03-02,19.670000
2009-03-03,19.170000
2009-03-04,20.670000
2009-03-05,19.680000
2009-03-06,19.990000
2009-03-09,19.830000
2009-03-10,23.000000
2009-03-11,23.380000
2009-03-12,23.860000
2009-03-13,23.190000
2009-03-16,22.310000
2009-03-17,23.020000
2009-03-18,23.350000
2009-03-19,23.170000
2009-03-20,22.400000
2009-03-23,24.000000
2009-03-24,23.570000
2009-03-25,23.500000
2009-03-26,24.040000
2009-03-27,23.900000
2009-03-30,22.930000
2009-03-31,23.300000
2009-04-01,24.380000
2009-04-02,26.470000
2009-04-03,26.920000
2009-04-06,25.970000
2009-04-07,24.860000
2009-04-08,25.920000
2009-04-09,27.000000
2009-04-13,26.210000
2009-04-14,25.040000
2009-04-15,26.120000
2009-04-16,26.690000
2009-04-17,26.410000
2009-04-20,24.800000
2009-04-21,25.030000
2009-04-22,24.830000
2009-04-23,25.060000
2009-04-24,25.310000
2009-04-27,25.090000
2009-04-28,24.020000
2009-04-29,24.780000
2009-04-30,25.200000
2009-05-01,24.990000
2009-05-04,25.000000
2009-05-05,25.230000
2009-05-06,25.450000
2009-05-07,24.380000
2009-05-08,24.440000
2009-05-11,24.180000
2009-05-12,23.190000
2009-05-13,22.590000
2009-05-14,22.720000
2009-05-15,22.200000
2009-05-18,24.010000
2009-05-19,24.250000
2009-05-20,23.800000
2009-05-21,23.590000
2009-05-22,23.470000
2009-05-26,24.830000
2009-05-27,24.870000
2009-05-28,25.600000
2009-05-29,25.570000
2009-06-01,25.540000
2009-06-02,25.130000
2009-06-03,24.440000
2009-06-04,24.220000
2009-06-05,24.310000
2009-06-08,23.920000
2009-06-09,24.000000
2009-06-10,23.360000
2009-06-11,23.680000
2009-06-12,24.060000
2009-06-15,23.450000
2009-06-16,23.000000
2009-06-17,22.730000
2009-06-18,22.940000
2009-06-19,23.180000
2009-06-22,22.400000
2009-06-23,22.740000
2009-06-24,23.790000
2009-06-25,24.330000
2009-06-26,24.930000
2009-06-29,24.890000
2009-06-30,24.540000
2009-07-01,24.410000
2009-07-02,23.680000
2009-07-06,22.900000
2009-07-07,22.730000
2009-07-08,22.640000
2009-07-09,23.300000
2009-07-10,23.490000
2009-07-13,23.830000
2009-07-14,24.060000
2009-07-15,25.030000
2009-07-16,25.330000
2009-07-17,25.350000
2009-07-20,26.020000
2009-07-21,26.140000
2009-07-22,26.310000
2009-07-23,26.910000
2009-07-24,26.670000
2009-07-27,26.690000
2009-07-28,26.780000
2009-07-29,25.440000
2009-07-30,26.060000
2009-07-31,26.090000
2009-08-03,26.530000
2009-08-04,26.450000
2009-08-05,25.980000
2009-08-06,25.380000
2009-08-07,25.250000
2009-08-10,25.000000
2009-08-11,25.060000
2009-08-12,25.190000
2009-08-13,25.090000
2009-08-14,24.830000
2009-08-17,23.980000
2009-08-18,24.290000
2009-08-19,24.730000
2009-08-20,25.160000
2009-08-21,24.640000
2009-08-24,24.550000
2009-08-25,24.560000
2009-08-26,24.670000
2009-08-27,24.640000
2009-08-28,25.060000
2009-08-31,24.110000
2009-09-01,23.470000
2009-09-02,23.430000
2009-09-03,24.140000
2009-09-04,24.540000
2009-09-08,25.010000
2009-09-09,25.030000
2009-09-10,25.590000
2009-09-11,26.440000
2009-09-14,25.750000
2009-09-15,26.400000
2009-09-16,27.230000
2009-09-17,27.330000
2009-09-18,27.710000
2009-09-21,27.970000
2009-09-22,27.930000
2009-09-23,27.200000
2009-09-24,26.750000
2009-09-25,27.100000
2009-09-28,27.500000
2009-09-29,27.470000
2009-09-30,27.030000
2009-10-01,26.329900
2009-10-02,25.940000
2009-10-05,26.930000
2009-10-06,27.690000
2009-10-07,27.650000
2009-10-08,27.700000
2009-10-09,28.180000
2009-10-12,28.500000
2009-10-13,28.420000
2009-10-14,29.440000
2009-10-15,31.350000
2009-10-16,31.140000
2009-10-19,31.470000
2009-10-20,31.080000
2009-10-21,30.470000
2009-10-22,30.940000
2009-10-23,30.580000
2009-10-26,30.360000
2009-10-27,29.360000
2009-10-28,28.860000
2009-10-29,29.380000
2009-10-30,28.210000
2009-11-02,27.960000
2009-11-03,28.970000
2009-11-04,28.600000
2009-11-05,29.500000
2009-11-06,29.930000
2009-11-09,31.130000
2009-11-10,31.180000
2009-11-11,32.130000
2009-11-12,30.960000
2009-11-13,31.360000
2009-11-16,31.990000
2009-11-17,32.590000
2009-11-18,32.030000
2009-11-19,31.700000
2009-11-20,31.730000
2009-11-23,31.650000
2009-11-24,31.230000
2009-11-25,31.390000
2009-11-27,31.630000
2009-11-30,32.040000
2009-12-01,32.620000
2009-12-02,32.960000
2009-12-03,32.540000
2009-12-04,32.870000
2009-12-07,32.550000
2009-12-08,31.950000
2009-12-09,31.880000
2009-12-10,32.790000
2009-12-11,32.900000
2009-12-14,33.100000
2009-12-15,33.050000
2009-12-16,33.510000
2009-12-17,33.680000
2009-12-18,34.070000
2009-12-21,34.630000
2009-12-22,35.500000
2009-12-23,34.690000
2009-12-24,35.120000
2009-12-28,34.960000
2009-12-29,34.550000
2009-12-30,34.320000
2009-12-31,34.160000
2010-01-04,35.170000
2010-01-05,36.010000
2010-01-06,35.940000
2010-01-07,36.450000
2010-01-08,36.490000
2010-01-11,36.740000
2010-01-12,35.330000
2010-01-13,36.280000
2010-01-14,36.410000
2010-01-15,36.650000
2010-01-19,36.720000
2010-01-20,36.310000
2010-01-21,36.130000
2010-01-22,34.500000
2010-01-25,34.690000
2010-01-26,34.250000
2010-01-27,34.570000
2010-01-28,33.690000
2010-01-29,33.090000
2010-02-01,34.060000
2010-02-02,34.060000
2010-02-03,33.160000
2010-02-04,31.820000
2010-02-05,31.790000
2010-02-08,32.180000
2010-02-09,32.970000
2010-02-10,33.240000
2010-02-11,33.810000
2010-02-12,33.950000
2010-02-16,34.330000
2010-02-17,34.330000
2010-02-18,34.450000
2010-02-19,34.780000
2010-02-22,34.220000
2010-02-23,34.380000
2010-02-24,34.890000
2010-02-25,35.440000
2010-02-26,35.360000
2010-03-01,35.540000
2010-03-02,35.420000
2010-03-03,35.650000
2010-03-04,35.710000
2010-03-05,35.720000
2010-03-08,35.350000
2010-03-09,36.260000
2010-03-10,36.670000
2010-03-11,36.490000
2010-03-12,36.260000
2010-03-15,35.610000
2010-03-16,36.375000
2010-03-17,36.340000
2010-03-18,35.900000
2010-03-19,35.270000
2010-03-22,35.790000
