d,c
2025-02-21,50.370000
2025-02-24,48.600000
2025-02-25,48.160000
2025-02-26,46.580000
2025-02-27,45.160000
2025-02-28,46.850000
2025-03-03,50.310000
2025-03-04,48.690000
2025-03-05,48.470000
2025-03-06,46.500000
2025-03-07,51.000000
2025-03-10,53.000000
2025-03-11,52.160000
2025-03-12,50.440000
2025-03-13,48.440000
2025-03-14,54.820000
2025-03-17,55.650000
2025-03-18,56.420000
2025-03-19,56.330000
2025-03-20,56.210000
2025-03-21,53.960000
2025-03-24,52.990000
2025-03-25,52.200000
2025-03-26,52.620000
2025-03-27,52.880000
2025-03-28,48.970000
2025-03-31,47.610000
2025-04-01,48.110000
2025-04-02,47.670000
2025-04-03,38.260000
2025-04-04,30.110000
2025-04-07,31.480000
2025-04-08,32.350000
2025-04-09,36.580000
2025-04-10,31.075000
2025-04-11,31.970000
2025-04-14,33.550000
2025-04-15,33.230000
2025-04-16,32.030000
2025-04-17,31.290000
2025-04-21,29.810000
2025-04-22,29.620000
2025-04-23,30.360000
2025-04-24,32.290000
2025-04-25,32.850000
2025-04-28,32.270000
2025-04-29,32.940000
2025-04-30,32.110000
2025-05-01,32.590000
2025-05-02,34.400000
2025-05-05,34.610000
2025-05-06,33.830000
2025-05-07,34.970000
2025-05-08,36.660000
2025-05-09,37.740000
2025-05-12,41.270000
2025-05-13,42.000000
2025-05-14,41.930000
2025-05-15,40.540000
2025-05-16,40.440000
2025-05-19,38.780000
2025-05-20,40.180000
2025-05-21,38.600000
2025-05-22,37.840000
2025-05-23,37.280000
2025-05-27,38.180000
2025-05-28,38.580000
2025-05-29,38.600000
2025-05-30,37.690000
2025-06-02,37.330000
2025-06-03,38.640000
2025-06-04,39.820000
2025-06-05,39.120000
2025-06-06,39.150000
2025-06-09,41.820000
2025-06-10,41.590000
2025-06-11,40.230000
2025-06-12,41.300000
2025-06-13,42.500000
2025-06-16,44.210000
2025-06-17,44.090000
2025-06-18,46.620000
2025-06-20,46.580000
2025-06-23,46.950000
2025-06-24,47.340000
2025-06-25,47.250000
2025-06-26,47.440000
2025-06-27,47.150000
2025-06-30,45.350000
2025-07-01,44.960000
2025-07-02,46.210000
2025-07-03,46.410000
2025-07-07,45.220000
2025-07-08,46.170000
2025-07-09,46.200000
2025-07-10,46.950000
2025-07-11,46.090000
2025-07-14,42.480000
2025-07-15,42.720000
2025-07-16,41.360000
2025-07-17,41.520000
2025-07-18,42.190000
2025-07-21,41.610000
2025-07-22,41.360000
2025-07-23,43.000000
2025-07-24,42.060000
2025-07-25,42.480000
2025-07-28,41.890000
2025-07-29,42.930000
2025-07-30,43.390000
2025-07-31,42.920000
2025-08-01,41.330000
2025-08-04,42.510000
2025-08-05,41.930000
2025-08-06,42.100000
2025-08-07,40.690000
2025-08-08,44.340000
2025-08-11,43.370000
2025-08-12,46.830000
2025-08-13,47.010000
2025-08-14,46.680000
2025-08-15,44.540000
2025-08-18,45.520000
2025-08-19,44.580000
2025-08-20,44.400000
2025-08-21,45.500000
2025-08-22,46.370000
2025-08-25,46.780000
2025-08-26,47.350000
2025-08-27,48.440000
2025-08-28,50.870000
2025-08-29,52.470000
2025-09-02,51.070000
2025-09-03,53.010000
2025-09-04,62.500000
2025-09-05,68.550000
2025-09-08,70.495000
2025-09-09,70.510000
2025-09-10,73.920000
2025-09-11,84.300000
2025-09-12,86.130000
2025-09-15,90.090000
2025-09-16,91.550000
2025-09-17,93.970000
2025-09-18,98.870000
2025-09-19,102.210000
2025-09-22,102.920000
2025-09-23,106.400000
2025-09-24,99.830000
2025-09-25,94.290000
2025-09-26,97.120000
2025-09-29,113.500000
2025-09-30,112.200000
2025-10-01,121.120000
2025-10-02,124.140000
2025-10-03,128.410000
2025-10-06,121.170000
2025-10-07,120.950000
2025-10-08,131.880000
2025-10-09,129.680000
2025-10-10,116.910000
2025-10-13,134.610000
2025-10-14,127.290000
2025-10-15,144.300000
2025-10-16,144.270000
2025-10-17,140.160000
2025-10-20,148.040000
2025-10-21,149.290000
2025-10-22,146.950000
2025-10-23,167.050000
2025-10-24,186.160000
2025-10-27,176.490000
2025-10-28,175.530000
2025-10-29,204.360000
2025-10-30,195.820000
2025-10-31,199.330000
2025-11-03,207.010000
2025-11-04,194.570000
2025-11-05,216.500000
2025-11-06,207.690000
2025-11-07,239.480000
2025-11-10,267.950000
2025-11-11,271.580000
2025-11-12,283.100000
2025-11-13,243.570000
2025-11-14,254.160000
2025-11-17,265.880000
2025-11-18,244.930000
2025-11-19,245.960000
2025-11-20,195.960000
2025-11-21,200.270000
2025-11-24,226.960000
2025-11-25,220.500000
2025-11-26,215.040000
2025-11-28,223.280000
2025-12-01,210.170000
2025-12-02,205.350000
2025-12-03,194.380000
2025-12-04,213.310000
2025-12-05,228.470000
2025-12-08,225.470000
2025-12-09,219.460000
2025-12-10,232.860000
2025-12-11,241.610000
2025-12-12,206.180000
2025-12-15,201.870000
2025-12-16,209.310000
2025-12-17,206.830000
2025-12-18,219.460000
2025-12-19,237.610000
2025-12-22,241.050000
2025-12-23,244.900000
2025-12-24,250.080000
2025-12-26,250.050000
2025-12-29,244.250000
2025-12-30,240.220000
2025-12-31,237.380000
2026-01-02,275.240000
2026-01-05,274.080000
2026-01-06,349.630000
2026-01-07,353.560000
2026-01-08,334.540000
2026-01-09,377.410000
2026-01-12,389.270000
2026-01-13,389.810000
2026-01-14,387.810000
2026-01-15,409.240000
2026-01-16,413.620000
2026-01-20,453.120000
2026-01-21,501.290000
2026-01-22,503.440000
2026-01-23,473.830000
2026-01-26,470.800000
2026-01-27,481.430000
2026-01-28,527.630000
2026-01-29,539.300000
2026-01-30,576.250000
2026-02-02,665.240000
2026-02-03,695.510000
2026-02-04,584.550000
2026-02-05,576.200000
2026-02-06,597.950000
2026-02-09,583.400000
2026-02-10,541.640000
2026-02-11,599.340000
2026-02-12,630.290000
2026-02-13,626.560000
2026-02-17,590.590000
2026-02-18,600.400000
2026-02-19,621.090000
2026-02-20,649.970000
2026-02-23,666.490000
2026-02-24,638.520000
2026-02-25,632.380000
2026-02-26,651.900000
2026-02-27,635.360000
2026-03-02,619.080000
2026-03-03,565.410000
2026-03-04,599.060000
2026-03-05,565.590000
2026-03-06,527.330000
2026-03-09,588.730000
2026-03-10,618.890000
2026-03-11,655.430000
2026-03-12,618.820000
2026-03-13,661.620000
2026-03-16,703.630000
2026-03-17,720.170000
2026-03-18,753.690000
2026-03-19,772.090000
2026-03-20,709.710000
2026-03-23,702.490000
2026-03-24,702.480000
2026-03-25,677.860000
2026-03-26,603.170000
2026-03-27,615.830000
2026-03-30,572.500000
2026-03-31,635.340000
2026-04-01,692.730000
2026-04-02,701.590000
2026-04-06,724.630000
2026-04-07,710.800000
2026-04-08,780.900000
2026-04-09,851.570000
2026-04-10,851.770000
2026-04-13,952.500000
2026-04-14,944.460000
2026-04-15,891.720000
2026-04-16,919.470000
2026-04-17,920.990000
2026-04-20,913.020000
2026-04-21,903.490000
2026-04-22,979.070000
2026-04-23,932.430000
2026-04-24,989.900000
2026-04-27,1070.200000
2026-04-28,1002.350000
2026-04-29,1064.210000
2026-04-30,1096.510000
2026-05-01,1187.000000
2026-05-04,1255.860000
2026-05-05,1406.320000
2026-05-06,1409.980000
2026-05-07,1339.960000
2026-05-08,1562.340000
2026-05-11,1547.560000
2026-05-12,1452.020000
2026-05-13,1447.230000
2026-05-14,1382.720000
2026-05-15,1407.610000
2026-05-18,1333.010000
2026-05-19,1383.290000
2026-05-20,1392.560000
2026-05-21,1542.240000
2026-05-22,1478.690000
2026-05-26,1589.550000
2026-05-27,1589.940000
2026-05-28,1641.640000
2026-05-29,1694.980000
2026-06-01,1761.430000
2026-06-02,1716.360000
2026-06-03,1831.500000
2026-06-04,1759.680000
2026-06-05,1559.320000
2026-06-08,1642.000000
2026-06-09,1646.540000
2026-06-10,1643.230000
2026-06-11,1881.510000
2026-06-12,1980.100000
2026-06-15,2107.860000
2026-06-16,1991.550000
2026-06-17,1958.800000
2026-06-18,2184.750000
2026-06-22,2273.730000
2026-06-23,1963.600000
2026-06-24,1914.460000
2026-06-25,2335.000000
2026-06-26,2090.710000
2026-06-29,2050.390000
2026-06-30,2273.730000
2026-07-01,2032.220000
2026-07-02,1745.000000
2026-07-06,1744.430000
2026-07-07,1617.700000
2026-07-08,1727.180000
2026-07-09,1858.270000
2026-07-10,1915.920000
2026-07-13,1673.970000
2026-07-14,1757.820000
2026-07-15,1615.000000
2026-07-16,1411.080000
2026-07-17,1354.820000
2026-07-20,1390.950000
2026-07-21,1589.400000
2026-07-22,1599.270000
2026-07-23,1610.330000
2026-07-24,1436.560000
2026-07-27,1278.230000
2026-07-28,1096.100000
2026-07-29,1015.890000
2026-07-30,1279.960000
2026-07-31,1214.830000
2026-08-03,1288.030000
2026-08-04,1427.620000
2026-08-05,1350.500000
2026-08-06,1258.580000
2026-08-07,1212.210000
2026-08-10,1237.920000
2026-08-11,1271.050000
2026-08-12,1344.290000
2026-08-13,1528.110000
2026-08-14,1641.730000
2026-08-17,1786.850000
2026-08-18,1625.780000
2026-08-19,1568.870000
2026-08-20,1600.620000
2026-08-21,1596.080000
2026-08-24,1493.120000
2026-08-25,1480.770000
2026-08-26,1499.370000
2026-08-27,1484.950000
