d,c
2009-01-02,21.875000
2009-01-05,21.985000
2009-01-06,21.835000
2009-01-07,21.500000
2009-01-08,21.835000
2009-01-09,21.795000
2009-01-12,21.790000
2009-01-13,21.510000
2009-01-14,21.130000
2009-01-15,21.510000
2009-01-16,21.855000
2009-01-20,20.930000
2009-01-21,22.300000
2009-01-22,21.820000
2009-01-23,21.590000
2009-01-26,22.160000
2009-01-27,22.555000
2009-01-28,22.760000
2009-01-29,22.380000
2009-01-30,21.920000
2009-02-02,22.400000
2009-02-03,22.560000
2009-02-04,22.520000
2009-02-05,22.755000
2009-02-06,23.265000
2009-02-09,23.150000
2009-02-10,22.195000
2009-02-11,22.185000
2009-02-12,21.865000
2009-02-13,21.815000
2009-02-17,20.605000
2009-02-18,20.305000
2009-02-19,20.170000
2009-02-20,19.685000
2009-02-23,19.590000
2009-02-24,20.705000
2009-02-25,20.795000
2009-02-26,21.145000
2009-02-27,20.785000
2009-03-02,19.755000
2009-03-03,19.205000
2009-03-04,19.690000
2009-03-05,18.995000
2009-03-06,19.110000
2009-03-09,18.360000
2009-03-10,19.300000
2009-03-11,19.550000
2009-03-12,20.105000
2009-03-13,20.285000
2009-03-16,20.695000
2009-03-17,21.085000
2009-03-18,21.625000
2009-03-19,21.625000
2009-03-20,21.405000
2009-03-23,22.395000
2009-03-24,21.905000
2009-03-25,21.465000
2009-03-26,22.530000
2009-03-27,22.395000
2009-03-30,22.450000
2009-03-31,23.120000
2009-04-01,23.360000
2009-04-02,23.425000
2009-04-03,23.425000
2009-04-06,22.810000
2009-04-07,22.525000
2009-04-08,22.735000
2009-04-09,23.065000
2009-04-13,22.990000
2009-04-14,22.455000
2009-04-15,22.820000
2009-04-16,23.110000
2009-04-17,23.205000
2009-04-20,22.655000
2009-04-21,22.800000
2009-04-22,22.500000
2009-04-23,22.485000
2009-04-24,22.515000
2009-04-27,22.505000
2009-04-28,22.610000
2009-04-29,22.910000
2009-04-30,23.010000
2009-05-01,23.450000
2009-05-04,24.180000
2009-05-05,23.710000
2009-05-06,22.900000
2009-05-07,22.875000
2009-05-08,23.200000
2009-05-11,22.990000
2009-05-12,22.975000
2009-05-13,22.470000
2009-05-14,22.410000
2009-05-15,22.125000
2009-05-18,22.205000
2009-05-19,22.795000
2009-05-20,22.495000
2009-05-21,22.250000
2009-05-22,22.280000
2009-05-26,23.280000
2009-05-27,22.630000
2009-05-28,22.975000
2009-05-29,22.840000
2009-06-01,23.325000
2009-06-02,23.360000
2009-06-03,23.060000
2009-06-04,23.245000
2009-06-05,23.320000
2009-06-08,23.660000
2009-06-09,23.610000
2009-06-10,23.815000
2009-06-11,24.215000
2009-06-12,24.520000
2009-06-15,24.285000
2009-06-16,24.350000
2009-06-17,24.135000
2009-06-18,24.630000
2009-06-19,24.420000
2009-06-22,24.810000
2009-06-23,24.320000
2009-06-24,24.385000
2009-06-25,24.740000
2009-06-26,24.895000
2009-06-29,25.400000
2009-06-30,24.815000
2009-07-01,24.890000
2009-07-02,24.335000
2009-07-06,24.715000
2009-07-07,23.995000
2009-07-08,23.935000
2009-07-09,23.915000
2009-07-10,23.775000
2009-07-13,24.110000
2009-07-14,24.155000
2009-07-15,24.485000
2009-07-16,24.495000
2009-07-17,24.460000
2009-07-20,24.635000
2009-07-21,24.930000
2009-07-22,24.840000
2009-07-23,25.680000
2009-07-24,26.015000
2009-07-27,26.235000
2009-07-28,25.950000
2009-07-29,25.925000
2009-07-30,26.260000
2009-07-31,26.215000
2009-08-03,26.200000
2009-08-04,26.110000
2009-08-05,25.620000
2009-08-06,25.255000
2009-08-07,25.300000
2009-08-10,25.455000
2009-08-11,25.525000
2009-08-12,25.785000
2009-08-13,25.615000
2009-08-14,25.555000
2009-08-17,25.170000
2009-08-18,25.155000
2009-08-19,25.255000
2009-08-20,25.330000
2009-08-21,25.750000
2009-08-24,25.620000
2009-08-25,25.765000
2009-08-26,25.705000
2009-08-27,25.510000
2009-08-28,25.470000
2009-08-31,25.085000
2009-09-01,24.850000
2009-09-02,24.595000
2009-09-03,24.540000
2009-09-04,24.715000
2009-09-08,24.470000
2009-09-09,24.265000
2009-09-10,24.210000
2009-09-11,24.450000
2009-09-14,24.680000
2009-09-15,24.915000
2009-09-16,25.280000
2009-09-17,25.530000
2009-09-18,25.460000
