d,c
2009-01-02,22.217307
2009-01-05,21.469682
2009-01-06,21.371509
2009-01-07,20.548366
2009-01-08,20.525711
2009-01-09,20.148122
2009-01-12,19.589291
2009-01-13,19.627050
2009-01-14,19.189048
2009-01-15,18.970046
2009-01-16,19.053116
2009-01-20,18.894529
2009-01-21,19.476015
2009-01-22,19.264565
2009-01-23,19.725223
2009-01-26,20.261399
2009-01-27,19.581740
2009-01-28,19.566636
2009-01-29,18.660424
2009-01-30,18.592458
2009-02-02,19.000253
2009-02-03,19.158840
2009-02-04,18.622665
2009-02-05,18.992702
2009-02-06,19.695016
2009-02-09,19.551533
2009-02-10,18.547147
2009-02-11,18.456526
2009-02-12,18.343249
2009-02-13,18.267732
2009-02-17,17.535210
2009-02-18,17.338864
2009-02-19,17.512555
2009-02-20,17.807074
2009-02-23,17.127414
2009-02-24,17.557865
2009-02-25,17.905247
2009-02-26,18.192214
2009-02-27,17.950557
2009-03-02,17.399278
2009-03-03,17.119863
2009-03-04,17.369071
2009-03-05,17.036793
2009-03-06,17.051897
2009-03-09,16.402444
2009-03-10,17.384175
2009-03-11,17.633383
2009-03-12,18.388560
2009-03-13,18.328146
2009-03-16,18.396112
2009-03-17,19.158840
2009-03-18,19.408049
2009-03-19,19.332531
2009-03-20,19.128633
2009-03-23,20.329365
2009-03-24,19.883810
2009-03-25,19.770534
2009-03-26,19.898914
2009-03-27,19.634602
2009-03-30,19.000253
2009-03-31,19.030460
2009-04-01,19.574188
2009-04-02,20.042398
2009-04-03,20.261399
2009-04-06,20.080156
2009-04-07,19.279669
2009-04-08,19.173944
2009-04-09,19.710120
2009-04-13,19.649706
2009-04-14,19.090875
2009-04-15,19.219255
2009-04-16,19.627050
2009-04-17,19.596843
2009-04-20,19.098426
2009-04-21,19.090875
2009-04-22,19.438256
2009-04-23,19.257013
2009-04-24,19.000253
2009-04-27,19.113530
2009-04-28,19.370290
2009-04-29,19.272117
2009-04-30,19.347635
2009-05-01,19.642154
2009-05-04,20.155674
2009-05-05,20.012190
2009-05-06,20.155674
2009-05-07,19.219255
2009-05-08,19.068219
2009-05-11,19.151289
2009-05-12,19.430704
2009-05-13,19.060667
2009-05-14,18.864321
2009-05-15,18.788804
2009-05-18,18.569802
2009-05-19,18.630217
2009-05-20,18.222421
2009-05-21,17.875040
2009-05-22,17.882591
2009-05-26,18.509388
2009-05-27,18.177110
2009-05-28,18.600010
2009-05-29,18.720838
2009-06-01,18.607561
2009-06-02,18.758597
2009-06-03,18.471629
2009-06-04,18.396112
2009-06-05,18.547147
2009-06-08,18.426319
2009-06-09,18.282835
2009-06-10,18.335698
2009-06-11,18.720838
2009-06-12,18.886977
2009-06-15,18.600010
2009-06-16,18.290387
2009-06-17,18.229973
2009-06-18,18.222421
2009-06-19,18.154455
2009-06-22,18.237525
2009-06-23,18.622665
2009-06-24,18.615113
2009-06-25,18.766148
2009-06-26,18.743493
2009-06-29,19.045564
2009-06-30,18.758597
2009-07-01,18.932287
2009-07-02,18.569802
2009-07-06,18.728390
2009-07-07,18.373456
2009-07-08,17.776867
2009-07-09,17.656038
2009-07-10,17.701349
2009-07-13,17.950557
2009-07-14,17.708901
2009-07-15,18.101593
2009-07-16,17.905247
2009-07-17,18.109144
2009-07-20,18.441422
2009-07-21,18.554699
2009-07-22,18.758597
2009-07-23,19.241910
2009-07-24,19.219255
2009-07-27,19.430704
2009-07-28,19.272117
2009-07-29,19.596843
2009-07-30,19.891362
2009-07-31,19.808293
2009-08-03,19.808293
2009-08-04,19.838500
2009-08-05,19.430704
2009-08-06,19.294772
2009-08-07,19.347635
2009-08-10,19.317428
2009-08-11,19.151289
2009-08-12,19.370290
2009-08-13,19.241910
2009-08-14,19.219255
2009-08-17,18.894529
2009-08-18,18.954943
2009-08-19,19.166392
2009-08-20,19.287221
2009-08-21,19.634602
2009-08-24,19.740327
2009-08-25,19.861155
2009-08-26,20.019742
2009-08-27,19.951776
2009-08-28,19.793189
2009-08-31,19.672361
2009-09-01,19.151289
2009-09-02,19.158840
2009-09-03,18.992702
2009-09-04,19.264565
2009-09-08,19.445808
2009-09-09,19.589291
2009-09-10,20.057501
2009-09-11,20.133019
2009-09-14,20.034846
2009-09-15,20.163226
2009-09-16,20.042398
2009-09-17,19.914017
2009-09-18,20.427538
2009-09-21,20.291606
2009-09-22,20.012190
2009-09-23,20.487952
2009-09-24,20.412434
2009-09-25,20.359572
2009-09-28,20.714505
2009-09-29,20.540814
2009-09-30,20.397331
2009-10-01,20.095260
2009-10-02,20.027294
2009-10-05,20.208537
2009-10-06,20.503056
2009-10-07,19.770534
2009-10-08,19.589291
2009-10-09,19.377842
2009-10-12,19.332531
2009-10-13,19.559084
2009-10-14,19.506222
2009-10-15,19.566636
2009-10-16,19.408049
2009-10-19,19.634602
2009-10-20,19.627050
2009-10-21,19.589291
2009-10-22,19.710120
2009-10-23,19.430704
2009-10-26,19.113530
2009-10-27,19.332531
2009-10-28,19.695016
2009-10-29,19.808293
2009-10-30,19.385394
2009-11-02,19.324979
2009-11-03,19.151289
2009-11-04,19.279669
2009-11-05,19.589291
2009-11-06,19.581740
2009-11-09,19.891362
2009-11-10,19.906466
2009-11-11,19.966880
2009-11-12,19.853603
2009-11-13,19.823396
2009-11-16,19.853603
2009-11-17,19.846052
2009-11-18,19.868707
2009-11-19,19.717671
2009-11-20,19.649706
2009-11-23,20.223640
2009-11-24,20.465297
2009-11-25,20.450193
2009-11-27,20.382227
2009-11-30,20.344468
2009-12-01,20.525711
2009-12-02,20.654091
2009-12-03,20.782471
2009-12-04,20.842885
2009-12-07,21.122301
2009-12-08,20.850437
2009-12-09,20.812678
2009-12-10,20.963714
2009-12-11,21.152508
2009-12-14,21.182715
2009-12-15,20.842885
2009-12-16,20.782471
2009-12-17,20.555918
2009-12-18,20.631436
2009-12-21,20.797575
2009-12-22,21.069438
2009-12-23,21.175163
2009-12-24,21.220474
2009-12-28,21.394164
2009-12-29,21.401716
2009-12-30,21.386613
2009-12-31,21.167611
2010-01-04,21.582959
2010-01-05,21.477234
2010-01-06,20.850437
2010-01-07,20.616332
2010-01-08,20.465297
2010-01-11,20.367124
