d,c
2009-01-02,45.310000
2009-01-05,46.120000
2009-01-06,46.220000
2009-01-07,43.250000
2009-01-08,43.420000
2009-01-09,41.540000
2009-01-12,41.090000
2009-01-13,39.650000
2009-01-14,37.560000
2009-01-15,37.200000
2009-01-16,37.380000
2009-01-20,35.700000
2009-01-21,36.980000
2009-01-22,29.990000
2009-01-23,29.490000
2009-01-26,29.410000
2009-01-27,30.150000
2009-01-28,29.930000
2009-01-29,28.330000
2009-01-30,27.870000
2009-02-02,27.290000
2009-02-03,27.340000
2009-02-04,27.250000
2009-02-05,27.710000
2009-02-06,27.910000
2009-02-09,27.820000
2009-02-10,26.880000
2009-02-11,26.910000
2009-02-12,27.090000
2009-02-13,26.570000
2009-02-17,25.820000
2009-02-18,25.100000
2009-02-19,24.980000
2009-02-20,24.270000
2009-02-23,22.880000
2009-02-24,23.290000
2009-02-25,22.800000
2009-02-26,23.280000
2009-02-27,22.910000
2009-03-02,22.770000
2009-03-03,22.720000
2009-03-04,23.660000
2009-03-05,22.800000
2009-03-06,22.290000
2009-03-09,22.050000
2009-03-10,23.410000
2009-03-11,22.830000
2009-03-12,23.320000
2009-03-13,23.430000
2009-03-16,23.620000
2009-03-17,24.770000
2009-03-18,26.420000
2009-03-19,26.230000
2009-03-20,24.760000
2009-03-23,26.820000
2009-03-24,26.200000
2009-03-25,27.110000
2009-03-26,28.590000
2009-03-27,27.950000
2009-03-30,26.820000
2009-03-31,26.680000
2009-04-01,27.410000
2009-04-02,29.360000
2009-04-03,29.800000
2009-04-06,30.150000
2009-04-07,29.420000
2009-04-08,29.600000
2009-04-09,31.020000
2009-04-13,30.690000
2009-04-14,30.440000
2009-04-15,31.050000
2009-04-16,31.440000
2009-04-17,31.570000
2009-04-20,30.500000
2009-04-21,31.050000
2009-04-22,32.840000
2009-04-23,31.120000
2009-04-24,31.660000
2009-04-27,31.350000
2009-04-28,31.370000
2009-04-29,32.370000
2009-04-30,31.930000
2009-05-01,31.690000
2009-05-04,32.330000
2009-05-05,32.420000
2009-05-06,32.410000
2009-05-07,32.000000
2009-05-08,34.000000
2009-05-11,31.760000
2009-05-12,31.540000
2009-05-13,30.170000
2009-05-14,30.540000
2009-05-15,30.390000
2009-05-18,31.970000
2009-05-19,31.860000
2009-05-20,32.590000
2009-05-21,32.060000
2009-05-22,31.990000
2009-05-26,33.610000
2009-05-27,32.930000
2009-05-28,33.090000
2009-05-29,32.870000
2009-06-01,34.060000
2009-06-02,35.040000
2009-06-03,34.680000
2009-06-04,35.710000
2009-06-05,37.110000
2009-06-08,36.970000
2009-06-09,36.780000
2009-06-10,36.450000
2009-06-11,36.190000
2009-06-12,36.780000
2009-06-15,35.750000
2009-06-16,35.730000
2009-06-17,35.610000
2009-06-18,35.770000
2009-06-19,36.000000
2009-06-22,33.750000
2009-06-23,33.640000
2009-06-24,33.080000
2009-06-25,33.570000
2009-06-26,33.680000
2009-06-29,33.280000
2009-06-30,32.750000
2009-07-01,33.670000
2009-07-02,32.000000
2009-07-06,32.080000
2009-07-07,30.960000
2009-07-08,30.980000
2009-07-09,30.320000
2009-07-10,30.150000
2009-07-13,30.860000
2009-07-14,31.260000
2009-07-15,33.460000
2009-07-16,33.850000
2009-07-17,33.510000
2009-07-20,33.480000
2009-07-21,33.570000
2009-07-22,33.800000
