d,c
2009-01-02,4.670000
2009-01-05,5.170000
2009-01-06,5.370000
2009-01-07,5.240000
2009-01-08,5.450000
2009-01-09,5.240000
2009-01-12,5.060000
2009-01-13,5.100000
2009-01-14,4.990000
2009-01-15,4.900000
2009-01-16,5.110000
2009-01-20,4.530000
2009-01-21,4.720000
2009-01-22,4.520000
2009-01-23,4.840000
2009-01-26,5.000000
2009-01-27,5.090000
2009-01-28,5.250000
2009-01-29,4.990000
2009-01-30,4.810000
2009-02-02,4.820000
2009-02-03,4.800000
2009-02-04,4.920000
2009-02-05,5.000000
2009-02-06,5.310000
2009-02-09,5.280000
2009-02-10,4.850000
2009-02-11,4.820000
2009-02-12,4.840000
2009-02-13,4.840000
2009-02-17,4.420000
2009-02-18,4.320000
2009-02-19,4.150000
2009-02-20,4.140000
2009-02-23,3.910000
2009-02-24,4.280000
2009-02-25,4.340000
2009-02-26,4.210000
2009-02-27,4.130000
2009-03-02,3.930000
2009-03-03,3.850000
2009-03-04,4.030000
2009-03-05,3.850000
2009-03-06,3.500000
2009-03-09,3.440000
2009-03-10,3.770000
2009-03-11,3.810000
2009-03-12,4.180000
2009-03-13,4.300000
2009-03-16,4.120000
2009-03-17,4.240000
2009-03-18,4.510000
2009-03-19,4.460000
2009-03-20,4.100000
2009-03-23,4.480000
2009-03-24,4.450000
2009-03-25,4.460000
2009-03-26,4.940000
2009-03-27,4.750000
2009-03-30,4.540000
2009-03-31,4.380000
2009-04-01,4.490000
2009-04-02,4.860000
2009-04-03,5.140000
2009-04-06,5.090000
2009-04-07,4.780000
2009-04-08,4.930000
2009-04-09,5.330000
2009-04-13,5.280000
2009-04-14,5.120000
2009-04-15,5.010000
2009-04-16,5.230000
2009-04-17,5.450000
2009-04-20,4.910000
2009-04-21,4.890000
2009-04-22,5.070000
2009-04-23,5.170000
2009-04-24,5.310000
2009-04-27,5.120000
2009-04-28,5.130000
2009-04-29,5.400000
2009-04-30,5.940000
2009-05-01,6.290000
2009-05-04,6.910000
2009-05-05,6.810000
2009-05-06,6.770000
2009-05-07,6.510000
2009-05-08,6.490000
2009-05-11,6.440000
2009-05-12,6.010000
2009-05-13,5.600000
2009-05-14,5.910000
2009-05-15,5.850000
2009-05-18,6.170000
2009-05-19,6.540000
2009-05-20,6.440000
2009-05-21,6.370000
2009-05-22,6.400000
2009-05-26,6.540000
2009-05-27,6.970000
2009-05-28,7.130000
2009-05-29,7.150000
2009-06-01,7.490000
2009-06-02,7.260000
2009-06-03,7.050000
2009-06-04,7.480000
2009-06-05,7.140000
2009-06-08,7.010000
2009-06-09,7.250000
2009-06-10,7.350000
2009-06-11,7.200000
2009-06-12,7.050000
2009-06-15,7.000000
2009-06-16,6.830000
2009-06-17,6.810000
2009-06-18,6.650000
2009-06-19,6.600000
2009-06-22,6.190000
2009-06-23,6.220000
2009-06-24,6.580000
2009-06-25,6.890000
2009-06-26,6.840000
2009-06-29,6.920000
2009-06-30,6.860000
2009-07-01,7.030000
2009-07-02,6.760000
2009-07-06,6.560000
2009-07-07,6.220000
2009-07-08,6.070000
2009-07-09,6.340000
2009-07-10,6.330000
2009-07-13,6.620000
2009-07-14,6.960000
2009-07-15,7.400000
2009-07-16,7.530000
2009-07-17,7.600000
2009-07-20,7.750000
2009-07-21,7.590000
2009-07-22,7.660000
2009-07-23,7.880000
2009-07-24,7.950000
2009-07-27,8.150000
2009-07-28,8.180000
2009-07-29,7.820000
2009-07-30,7.710000
2009-07-31,7.880000
2009-08-03,8.250000
2009-08-04,8.290000
2009-08-05,8.200000
2009-08-06,8.110000
2009-08-07,8.230000
2009-08-10,8.020000
2009-08-11,7.640000
2009-08-12,7.880000
2009-08-13,8.080000
2009-08-14,7.890000
2009-08-17,7.610000
2009-08-18,7.900000
2009-08-19,7.960000
2009-08-20,8.010000
2009-08-21,8.180000
2009-08-24,8.150000
2009-08-25,8.200000
2009-08-26,8.360000
2009-08-27,8.330000
2009-08-28,8.250000
2009-08-31,8.250000
2009-09-01,7.890000
2009-09-02,7.610000
2009-09-03,7.790000
2009-09-04,8.120000
2009-09-08,8.290000
2009-09-09,8.410000
2009-09-10,8.640000
2009-09-11,8.400000
2009-09-14,8.270000
2009-09-15,9.220000
2009-09-16,9.180000
2009-09-17,8.890000
2009-09-18,9.080000
2009-09-21,8.990000
2009-09-22,9.360000
2009-09-23,9.250000
2009-09-24,9.000000
2009-09-25,9.150000
2009-09-28,9.390000
2009-09-29,9.110000
2009-09-30,9.250000
2009-10-01,8.800000
2009-10-02,8.830000
2009-10-05,9.230000
2009-10-06,9.590000
2009-10-07,9.620000
2009-10-08,9.870000
2009-10-09,10.300000
2009-10-12,10.260000
2009-10-13,10.280000
2009-10-14,10.510000
2009-10-15,10.200000
2009-10-16,9.860000
2009-10-19,9.880000
2009-10-20,10.170000
2009-10-21,9.800000
2009-10-22,10.010000
2009-10-23,9.750000
2009-10-26,9.570000
2009-10-27,9.140000
2009-10-28,8.660000
2009-10-29,9.100000
2009-10-30,8.370000
2009-11-02,8.420000
2009-11-03,8.280000
2009-11-04,8.170000
2009-11-05,8.500000
2009-11-06,8.400000
2009-11-09,8.520000
2009-11-10,8.520000
2009-11-11,8.680000
2009-11-12,8.660000
2009-11-13,8.840000
2009-11-16,9.080000
2009-11-17,9.180000
2009-11-18,9.060000
2009-11-19,8.850000
2009-11-20,8.760000
2009-11-23,8.850000
2009-11-24,8.760000
2009-11-25,8.960000
2009-11-27,8.830000
2009-11-30,8.860000
2009-12-01,9.190000
2009-12-02,9.510000
2009-12-03,9.510000
2009-12-04,9.810000
2009-12-07,9.690000
2009-12-08,9.690000
2009-12-09,9.800000
2009-12-10,9.650000
2009-12-11,9.620000
2009-12-14,10.310000
2009-12-15,10.340000
2009-12-16,10.460000
2009-12-17,10.170000
2009-12-18,10.230000
2009-12-21,10.540000
2009-12-22,10.750000
2009-12-23,10.790000
2009-12-24,10.800000
2009-12-28,10.740000
2009-12-29,10.700000
2009-12-30,10.770000
2009-12-31,10.730000
2010-01-04,10.960000
2010-01-05,11.000000
2010-01-06,10.900000
2010-01-07,10.960000
2010-01-08,11.080000
2010-01-11,11.520000
2010-01-12,11.060000
2010-01-13,10.910000
2010-01-14,10.800000
2010-01-15,10.330000
2010-01-19,10.560000
2010-01-20,10.400000
2010-01-21,10.430000
2010-01-22,9.760000
2010-01-25,9.910000
2010-01-26,10.120000
2010-01-27,10.260000
2010-01-28,9.490000
2010-01-29,9.340000
2010-02-01,9.640000
2010-02-02,9.800000
2010-02-03,9.620000
2010-02-04,9.070000
2010-02-05,9.300000
2010-02-08,9.250000
2010-02-09,9.320000
2010-02-10,9.360000
2010-02-11,9.720000
2010-02-12,9.810000
2010-02-16,10.120000
2010-02-17,10.000000
2010-02-18,9.970000
2010-02-19,10.070000
2010-02-22,10.040000
2010-02-23,9.640000
2010-02-24,9.980000
2010-02-25,10.030000
2010-02-26,9.990000
2010-03-01,10.390000
2010-03-02,10.590000
2010-03-03,10.520000
2010-03-04,10.560000
2010-03-05,10.700000
2010-03-08,10.630000
2010-03-09,10.810000
2010-03-10,10.890000
2010-03-11,10.660000
2010-03-12,10.490000
2010-03-15,10.190000
2010-03-16,10.620000
2010-03-17,10.920000
2010-03-18,10.810000
2010-03-19,10.660000
2010-03-22,11.110000
2010-03-23,11.480000
2010-03-24,11.090000
2010-03-25,11.190000
2010-03-26,11.120000
2010-03-29,11.120000
2010-03-30,11.240000
2010-03-31,11.170000
2010-04-01,11.240000
2010-04-05,11.470000
2010-04-06,11.460000
2010-04-07,11.620000
2010-04-08,11.160000
2010-04-09,11.080000
2010-04-12,11.390000
2010-04-13,11.430000
2010-04-14,12.300000
2010-04-15,12.190000
2010-04-16,12.050000
2010-04-19,11.930000
2010-04-20,12.140000
2010-04-21,12.180000
2010-04-22,13.060000
2010-04-23,12.920000
2010-04-26,13.100000
2010-04-27,12.600000
2010-04-28,12.560000
2010-04-29,12.700000
2010-04-30,12.230000
2010-05-03,12.980000
2010-05-04,12.110000
2010-05-05,11.880000
2010-05-06,11.300000
2010-05-07,11.010000
2010-05-10,11.870000
2010-05-11,11.660000
2010-05-12,12.190000
2010-05-13,11.730000
2010-05-14,11.190000
2010-05-17,11.320000
2010-05-18,10.840000
2010-05-19,10.900000
2010-05-20,10.540000
2010-05-21,10.860000
2010-05-24,10.710000
2010-05-25,10.720000
