d,c
2009-01-02,11.260000
2009-01-05,11.390000
2009-01-06,11.570000
2009-01-07,11.100000
2009-01-08,11.060000
2009-01-09,10.510000
2009-01-12,10.430000
2009-01-13,10.330000
2009-01-14,10.220000
2009-01-15,10.520000
2009-01-16,10.330000
2009-01-20,9.970000
2009-01-21,10.280000
2009-01-22,10.010000
2009-01-23,10.090000
2009-01-26,10.030000
2009-01-27,10.230000
2009-01-28,10.200000
2009-01-29,9.920000
2009-01-30,9.740000
2009-02-02,9.700000
2009-02-03,9.810000
2009-02-04,9.660000
2009-02-05,9.360000
2009-02-06,9.250000
2009-02-09,9.250000
2009-02-10,9.120000
2009-02-11,9.240000
2009-02-12,9.290000
2009-02-13,9.240000
2009-02-17,9.260000
2009-02-18,9.490000
2009-02-19,9.470000
2009-02-20,9.540000
2009-02-23,9.320000
2009-02-24,9.730000
2009-02-25,9.670000
2009-02-26,9.910000
2009-02-27,9.700000
2009-03-02,9.300000
2009-03-03,9.200000
2009-03-04,9.450000
2009-03-05,9.220000
2009-03-06,9.530000
2009-03-09,9.310000
2009-03-10,10.210000
2009-03-11,9.830000
2009-03-12,10.110000
2009-03-13,10.320000
2009-03-16,10.380000
2009-03-17,11.000000
2009-03-18,11.020000
2009-03-19,10.840000
2009-03-20,10.720000
2009-03-23,11.760000
2009-03-24,11.250000
2009-03-25,11.920000
2009-03-26,12.080000
2009-03-27,11.740000
2009-03-30,11.460000
2009-03-31,11.540000
2009-04-01,11.990000
2009-04-02,12.460000
2009-04-03,12.960000
2009-04-06,12.060000
2009-04-07,11.760000
2009-04-08,11.490000
2009-04-09,11.710000
2009-04-13,11.580000
2009-04-14,11.270000
2009-04-15,11.080000
2009-04-16,11.150000
2009-04-17,10.990000
2009-04-20,10.450000
2009-04-21,10.860000
2009-04-22,10.890000
2009-04-23,10.950000
2009-04-24,10.940000
2009-04-27,10.620000
2009-04-28,10.610000
2009-04-29,10.890000
2009-04-30,10.700000
2009-05-01,10.810000
2009-05-04,11.290000
2009-05-05,11.470000
2009-05-06,11.720000
2009-05-07,11.000000
2009-05-08,11.650000
2009-05-11,11.280000
2009-05-12,11.280000
2009-05-13,11.040000
2009-05-14,11.350000
2009-05-15,11.290000
2009-05-18,11.850000
2009-05-19,11.690000
2009-05-20,11.740000
2009-05-21,11.910000
2009-05-22,11.790000
2009-05-26,12.350000
2009-05-27,12.160000
2009-05-28,12.230000
2009-05-29,12.480000
2009-06-01,12.900000
2009-06-02,13.030000
2009-06-03,13.070000
2009-06-04,13.490000
2009-06-05,13.890000
2009-06-08,14.020000
2009-06-09,13.850000
2009-06-10,14.010000
2009-06-11,13.520000
2009-06-12,13.590000
2009-06-15,13.060000
2009-06-16,12.600000
2009-06-17,12.710000
2009-06-18,12.880000
2009-06-19,12.420000
2009-06-22,12.240000
2009-06-23,12.150000
2009-06-24,12.210000
2009-06-25,12.580000
2009-06-26,12.880000
2009-06-29,12.850000
2009-06-30,12.560000
2009-07-01,12.740000
2009-07-02,12.110000
2009-07-06,12.150000
2009-07-07,11.950000
2009-07-08,12.320000
2009-07-09,12.290000
2009-07-10,12.370000
2009-07-13,12.690000
2009-07-14,12.790000
2009-07-15,13.330000
2009-07-16,13.610000
2009-07-17,13.370000
2009-07-20,13.460000
2009-07-21,13.360000
2009-07-22,13.440000
2009-07-23,13.430000
2009-07-24,13.230000
2009-07-27,13.130000
2009-07-28,13.210000
2009-07-29,13.300000
2009-07-30,13.340000
2009-07-31,13.130000
2009-08-03,13.720000
2009-08-04,13.620000
2009-08-05,13.410000
2009-08-06,13.530000
2009-08-07,14.490000
2009-08-10,14.730000
2009-08-11,14.570000
2009-08-12,14.850000
2009-08-13,14.860000
2009-08-14,14.370000
2009-08-17,13.970000
2009-08-18,13.970000
2009-08-19,14.180000
2009-08-20,14.250000
2009-08-21,14.350000
2009-08-24,14.180000
2009-08-25,14.330000
2009-08-26,14.540000
2009-08-27,14.560000
2009-08-28,14.320000
2009-08-31,14.260000
2009-09-01,14.080000
2009-09-02,13.860000
2009-09-03,14.080000
2009-09-04,14.310000
2009-09-08,14.440000
2009-09-09,14.530000
2009-09-10,14.510000
2009-09-11,14.170000
2009-09-14,14.200000
2009-09-15,14.240000
2009-09-16,14.260000
2009-09-17,14.230000
2009-09-18,14.130000
2009-09-21,14.230000
2009-09-22,14.310000
2009-09-23,14.090000
2009-09-24,13.870000
2009-09-25,13.820000
2009-09-28,14.050000
2009-09-29,14.030000
2009-09-30,14.010000
2009-10-01,13.700000
2009-10-02,13.560000
2009-10-05,13.780000
2009-10-06,13.700000
2009-10-07,13.810000
2009-10-08,13.950000
2009-10-09,13.650000
2009-10-12,13.710000
2009-10-13,13.810000
2009-10-14,13.670000
2009-10-15,13.490000
2009-10-16,13.770000
2009-10-19,14.140000
2009-10-20,14.110000
2009-10-21,14.030000
2009-10-22,14.340000
2009-10-23,14.040000
2009-10-26,13.890000
2009-10-27,14.030000
2009-10-28,13.630000
2009-10-29,13.710000
2009-10-30,13.280000
2009-11-02,13.510000
2009-11-03,13.520000
2009-11-04,13.540000
2009-11-05,14.510000
2009-11-06,14.530000
2009-11-09,15.230000
2009-11-10,15.300000
2009-11-11,15.680000
2009-11-12,15.290000
2009-11-13,15.490000
2009-11-16,15.990000
2009-11-17,15.950000
2009-11-18,16.260000
2009-11-19,16.370000
2009-11-20,16.090000
2009-11-23,15.900000
2009-11-24,15.830000
2009-11-25,15.880000
2009-11-27,15.810000
2009-11-30,16.070000
2009-12-01,15.860000
2009-12-02,16.070000
2009-12-03,15.970000
2009-12-04,16.390000
2009-12-07,16.540000
2009-12-08,16.460000
2009-12-09,16.410000
2009-12-10,16.170000
2009-12-11,15.790000
2009-12-14,15.460000
2009-12-15,15.190000
2009-12-16,15.200000
2009-12-17,15.250000
2009-12-18,15.420000
2009-12-21,15.220000
2009-12-22,15.220000
2009-12-23,15.400000
2009-12-24,15.400000
2009-12-28,15.280000
2009-12-29,15.570000
2009-12-30,15.600000
2009-12-31,15.330000
2010-01-04,15.600000
2010-01-05,15.930000
2010-01-06,16.050000
2010-01-07,16.280000
2010-01-08,16.300000
2010-01-11,15.980000
2010-01-12,15.970000
2010-01-13,16.080000
2010-01-14,16.030000
2010-01-15,15.990000
2010-01-19,16.100000
2010-01-20,16.250000
2010-01-21,15.840000
2010-01-22,15.710000
2010-01-25,16.100000
2010-01-26,16.340000
2010-01-27,16.360000
2010-01-28,16.210000
2010-01-29,16.000000
2010-02-01,16.200000
2010-02-02,16.310000
