d,c
2009-01-02,36.400000
2009-01-05,37.010000
2009-01-06,36.500000
2009-01-07,34.090000
2009-01-08,34.010000
2009-01-09,31.810000
2009-01-12,30.760000
2009-01-13,31.070000
2009-01-14,29.040000
2009-01-15,28.390000
2009-01-16,29.290000
2009-01-20,26.970000
2009-01-21,29.650000
2009-01-22,28.160000
2009-01-23,29.940000
2009-01-26,29.230000
2009-01-27,29.730000
2009-01-28,33.400000
2009-01-29,29.850000
2009-01-30,27.580000
2009-02-02,27.560000
2009-02-03,26.570000
2009-02-04,26.850000
2009-02-05,26.930000
2009-02-06,28.820000
2009-02-09,29.070000
2009-02-10,26.420000
2009-02-11,27.340000
2009-02-12,27.470000
2009-02-13,26.680000
2009-02-17,24.910000
2009-02-18,25.210000
2009-02-19,24.180000
2009-02-20,24.400000
2009-02-23,22.660000
2009-02-24,25.000000
2009-02-25,24.300000
2009-02-26,23.690000
2009-02-27,22.740000
2009-03-02,21.690000
2009-03-03,21.390000
2009-03-04,22.270000
2009-03-05,21.010000
2009-03-06,21.070000
2009-03-09,21.170000
2009-03-10,24.670000
2009-03-11,25.040000
2009-03-12,26.400000
2009-03-13,26.450000
2009-03-16,24.930000
2009-03-17,26.330000
2009-03-18,28.400000
2009-03-19,25.350000
2009-03-20,24.880000
2009-03-23,29.400000
2009-03-24,26.630000
2009-03-25,28.200000
2009-03-26,30.030000
2009-03-27,29.120000
2009-03-30,27.370000
2009-03-31,28.860000
2009-04-01,29.040000
2009-04-02,30.840000
2009-04-03,32.240000
2009-04-06,31.160000
2009-04-07,28.870000
2009-04-08,29.490000
2009-04-09,33.650000
2009-04-13,34.040000
2009-04-14,32.480000
2009-04-15,33.990000
2009-04-16,34.840000
2009-04-17,35.560000
2009-04-20,32.880000
2009-04-21,36.240000
2009-04-22,36.520000
2009-04-23,38.660000
2009-04-24,39.210000
2009-04-27,38.720000
2009-04-28,37.390000
2009-04-29,39.060000
2009-04-30,38.520000
2009-05-01,38.430000
2009-05-04,41.280000
2009-05-05,40.640000
2009-05-06,41.000000
2009-05-07,38.550000
2009-05-08,40.940000
2009-05-11,37.970000
2009-05-12,39.000000
2009-05-13,36.630000
2009-05-14,37.320000
2009-05-15,36.950000
2009-05-18,40.060000
2009-05-19,38.890000
2009-05-20,38.210000
2009-05-21,37.660000
2009-05-22,38.150000
2009-05-26,39.990000
2009-05-27,37.680000
2009-05-28,39.530000
2009-05-29,40.570000
2009-06-01,41.410000
2009-06-02,41.950000
2009-06-03,42.650000
2009-06-04,42.770000
2009-06-05,42.070000
2009-06-08,42.540000
2009-06-09,44.680000
2009-06-10,43.910000
2009-06-11,43.390000
2009-06-12,43.160000
2009-06-15,41.970000
2009-06-16,41.210000
2009-06-17,40.820000
2009-06-18,41.260000
2009-06-19,42.280000
2009-06-22,39.140000
2009-06-23,40.490000
2009-06-24,40.900000
2009-06-25,41.680000
2009-06-26,41.870000
2009-06-29,41.860000
2009-06-30,41.670000
2009-07-01,41.310000
2009-07-02,39.500000
2009-07-06,39.910000
2009-07-07,38.100000
2009-07-08,37.300000
2009-07-09,37.590000
2009-07-10,37.510000
2009-07-13,39.600000
2009-07-14,40.460000
2009-07-15,41.880000
2009-07-16,41.690000
2009-07-17,41.680000
2009-07-20,43.130000
2009-07-21,43.270000
2009-07-22,43.690000
2009-07-23,46.260000
2009-07-24,45.450000
2009-07-27,46.420000
2009-07-28,45.980000
2009-07-29,46.270000
2009-07-30,46.740000
2009-07-31,46.710000
2009-08-03,47.140000
2009-08-04,47.500000
2009-08-05,47.760000
2009-08-06,47.040000
2009-08-07,48.690000
2009-08-10,47.280000
2009-08-11,46.380000
2009-08-12,46.990000
2009-08-13,46.460000
2009-08-14,45.750000
2009-08-17,43.920000
2009-08-18,44.730000
2009-08-19,44.770000
2009-08-20,45.580000
2009-08-21,46.640000
2009-08-24,45.980000
2009-08-25,46.360000
2009-08-26,45.990000
2009-08-27,45.590000
2009-08-28,45.730000
2009-08-31,45.300000
2009-09-01,43.140000
2009-09-02,42.890000
2009-09-03,43.570000
2009-09-04,44.210000
2009-09-08,44.970000
2009-09-09,45.430000
2009-09-10,45.150000
2009-09-11,43.930000
2009-09-14,44.760000
2009-09-15,44.700000
2009-09-16,46.070000
2009-09-17,46.100000
2009-09-18,46.520000
2009-09-21,45.760000
2009-09-22,47.180000
2009-09-23,47.160000
2009-09-24,45.330000
2009-09-25,44.100000
2009-09-28,46.250000
2009-09-29,45.960000
2009-09-30,45.700000
2009-10-01,43.980000
2009-10-02,43.180000
2009-10-05,44.580000
2009-10-06,45.020000
2009-10-07,44.490000
2009-10-08,44.250000
2009-10-09,44.830000
2009-10-12,44.490000
2009-10-13,44.410000
2009-10-14,46.900000
2009-10-15,48.160000
2009-10-16,47.620000
2009-10-19,47.810000
2009-10-20,47.710000
2009-10-21,47.670000
2009-10-22,49.110000
2009-10-23,54.270000
2009-10-26,53.650000
2009-10-27,51.940000
2009-10-28,49.870000
2009-10-29,50.860000
2009-10-30,48.730000
2009-11-02,49.150000
2009-11-03,48.930000
2009-11-04,49.010000
2009-11-05,50.090000
2009-11-06,49.980000
