d,c
2009-01-02,1.836500
2009-01-05,1.792500
2009-01-06,1.740000
2009-01-07,1.648000
2009-01-08,1.650000
2009-01-09,1.623000
2009-01-12,1.633500
2009-01-13,1.642500
2009-01-14,1.570500
2009-01-15,1.639500
2009-01-16,1.705500
2009-01-20,1.628000
2009-01-21,1.670000
2009-01-22,1.663500
2009-01-23,1.691000
2009-01-26,1.746500
2009-01-27,1.710000
2009-01-28,1.763000
2009-01-29,1.729500
2009-01-30,1.685500
2009-02-02,1.714500
2009-02-03,1.746000
2009-02-04,1.716000
2009-02-05,1.774500
2009-02-06,1.765000
2009-02-09,1.762500
2009-02-10,1.717000
2009-02-11,1.644500
2009-02-12,1.666500
2009-02-13,1.635000
2009-02-17,1.621500
2009-02-18,1.614000
2009-02-19,1.606500
2009-02-20,1.626500
2009-02-23,1.560000
2009-02-24,1.575000
2009-02-25,1.561500
2009-02-26,1.510000
2009-02-27,1.562000
2009-03-02,1.484000
2009-03-03,1.477000
2009-03-04,1.495500
2009-03-05,1.461500
2009-03-06,1.479000
2009-03-09,1.467500
2009-03-10,1.579500
2009-03-11,1.635000
2009-03-12,1.658500
2009-03-13,1.622000
2009-03-16,1.653500
2009-03-17,1.748000
2009-03-18,1.762500
2009-03-19,1.748000
2009-03-20,1.748000
2009-03-23,1.828000
2009-03-24,1.815500
2009-03-25,1.813500
2009-03-26,1.849000
2009-03-27,1.842000
2009-03-30,1.811500
2009-03-31,1.803000
2009-04-01,1.849500
2009-04-02,1.954000
2009-04-03,1.967000
2009-04-06,1.968500
2009-04-07,1.953000
2009-04-08,1.975500
2009-04-09,2.052000
2009-04-13,2.006000
2009-04-14,1.980000
2009-04-15,1.982500
2009-04-16,2.028500
2009-04-17,2.045500
2009-04-20,2.027000
2009-04-21,2.099000
2009-04-22,2.135000
2009-04-23,2.005500
2009-04-24,1.991500
2009-04-27,1.948500
2009-04-28,1.983500
2009-04-29,2.005000
2009-04-30,2.019000
2009-05-01,1.953000
2009-05-04,1.960000
2009-05-05,1.948500
2009-05-06,1.933500
2009-05-07,1.906500
2009-05-08,1.867000
2009-05-11,1.837500
2009-05-12,1.810000
2009-05-13,1.728500
2009-05-14,1.773500
2009-05-15,1.772000
2009-05-18,1.879000
2009-05-19,1.895500
2009-05-20,1.876000
2009-05-21,1.836500
2009-05-22,1.826500
2009-05-26,1.912000
2009-05-27,1.887000
2009-05-28,1.865000
2009-05-29,1.919000
2009-06-01,2.030000
2009-06-02,2.069000
2009-06-03,2.103000
2009-06-04,2.119000
2009-06-05,2.099500
2009-06-08,2.095500
2009-06-09,2.088000
2009-06-10,2.029500
2009-06-11,1.950500
2009-06-12,1.995000
2009-06-15,1.968000
2009-06-16,1.889500
2009-06-17,1.921000
2009-06-18,1.981500
2009-06-19,1.993000
2009-06-22,1.963000
2009-06-23,1.926500
2009-06-24,1.946000
2009-06-25,2.014500
2009-06-26,2.053000
2009-06-29,2.056000
2009-06-30,2.066000
2009-07-01,2.113000
2009-07-02,2.012500
2009-07-06,2.032000
2009-07-07,2.017500
2009-07-08,2.235000
2009-07-09,2.243000
2009-07-10,2.249500
2009-07-13,2.300000
2009-07-14,2.300000
2009-07-15,2.318500
2009-07-16,2.347000
2009-07-17,2.378000
2009-07-20,2.398500
2009-07-21,2.355500
2009-07-22,2.418500
2009-07-23,2.394000
2009-07-24,2.381500
2009-07-27,2.340000
2009-07-28,2.342500
2009-07-29,2.356500
2009-07-30,2.410000
2009-07-31,2.398500
2009-08-03,2.420000
2009-08-04,2.368500
2009-08-05,2.356500
2009-08-06,2.344000
2009-08-07,2.439000
2009-08-10,2.379000
2009-08-11,2.356500
2009-08-12,2.370500
2009-08-13,2.342000
2009-08-14,2.308500
2009-08-17,2.241500
2009-08-18,2.261000
2009-08-19,2.295000
2009-08-20,2.290000
2009-08-21,2.354000
2009-08-24,2.341000
2009-08-25,2.366500
2009-08-26,2.369500
2009-08-27,2.373000
2009-08-28,2.376500
2009-08-31,2.354000
2009-09-01,2.288000
2009-09-02,2.310500
2009-09-03,2.347500
2009-09-04,2.356500
2009-09-08,2.378500
2009-09-09,2.345000
2009-09-10,2.334000
2009-09-11,2.304000
2009-09-14,2.363000
2009-09-15,2.386000
2009-09-16,2.412000
2009-09-17,2.413500
2009-09-18,2.405000
2009-09-21,2.408500
2009-09-22,2.405000
2009-09-23,2.386000
2009-09-24,2.366500
2009-09-25,2.385000
2009-09-28,2.418500
2009-09-29,2.421000
2009-09-30,2.421000
2009-10-01,2.366000
2009-10-02,2.334500
2009-10-05,2.437500
2009-10-06,2.528000
2009-10-07,2.540000
2009-10-08,2.650500
2009-10-09,2.666500
2009-10-12,2.685500
2009-10-13,2.659500
2009-10-14,2.610000
2009-10-15,2.622500
2009-10-16,2.618500
2009-10-19,2.642500
2009-10-20,2.633500
2009-10-21,2.548000
2009-10-22,2.379500
2009-10-23,2.329000
2009-10-26,2.318000
2009-10-27,2.300000
2009-10-28,2.236500
2009-10-29,2.298000
2009-10-30,2.235000
2009-11-02,2.266500
2009-11-03,2.303500
2009-11-04,2.296500
2009-11-05,2.315000
2009-11-06,2.382000
2009-11-09,2.406000
2009-11-10,2.400500
2009-11-11,2.403000
2009-11-12,2.371500
2009-11-13,2.393000
2009-11-16,2.449000
2009-11-17,2.398500
2009-11-18,2.417000
2009-11-19,2.374000
2009-11-20,2.385500
2009-11-23,2.418000
2009-11-24,2.399000
2009-11-25,2.410500
2009-11-27,2.362500
2009-11-30,2.334500
2009-12-01,2.371500
2009-12-02,2.454500
2009-12-03,2.558500
2009-12-04,2.563000
2009-12-07,2.521500
2009-12-08,2.501500
2009-12-09,2.481000
2009-12-10,2.463500
2009-12-11,2.494000
2009-12-14,2.507500
2009-12-15,2.503500
2009-12-16,2.500000
2009-12-17,2.522000
2009-12-18,2.584500
2009-12-21,2.626000
2009-12-22,2.658500
2009-12-23,2.684500
2009-12-24,2.701500
2009-12-28,2.705500
2009-12-29,2.709500
2009-12-30,2.690500
2009-12-31,2.648500
2010-01-04,2.667000
2010-01-05,2.639000
2010-01-06,2.633500
2010-01-07,2.669500
2010-01-08,2.668000
2010-01-11,2.646500
2010-01-12,2.647500
2010-01-13,2.664500
2010-01-14,2.642000
2010-01-15,2.622500
2010-01-19,2.643500
2010-01-20,2.556500
2010-01-21,2.537500
2010-01-22,2.505500
2010-01-25,2.562500
2010-01-26,2.531000
2010-01-27,2.611000
2010-01-28,2.575000
2010-01-29,2.523500
2010-02-01,2.608000
2010-02-02,2.646000
2010-02-03,2.607000
2010-02-04,2.540500
2010-02-05,2.530000
2010-02-08,2.507000
2010-02-09,2.568000
2010-02-10,2.548000
2010-02-11,2.594000
2010-02-12,2.588000
2010-02-16,2.621500
2010-02-17,2.685500
2010-02-18,2.661500
2010-02-19,2.671000
2010-02-22,2.668000
2010-02-23,2.672500
2010-02-24,2.737000
2010-02-25,2.745000
2010-02-26,2.736000
2010-03-01,2.866500
2010-03-02,2.847000
2010-03-03,2.838500
2010-03-04,2.828500
2010-03-05,2.874000
2010-03-08,2.885000
2010-03-09,2.870000
2010-03-10,2.889500
2010-03-11,2.898500
2010-03-12,2.915000
2010-03-15,2.901500
2010-03-16,3.014000
2010-03-17,2.949000
2010-03-18,2.979500
2010-03-19,2.964500
2010-03-22,3.015500
2010-03-23,2.995000
2010-03-24,2.938500
2010-03-25,2.904500
2010-03-26,2.911500
2010-03-29,2.913500
2010-03-30,2.949500
2010-03-31,2.902500
2010-04-01,2.970000
2010-04-05,3.049000
2010-04-06,3.074000
2010-04-07,3.327500
2010-04-08,3.324000
2010-04-09,3.323000
2010-04-12,3.315000
2010-04-13,3.341000
2010-04-14,3.347000
2010-04-15,3.347500
2010-04-16,3.346000
2010-04-19,3.407000
2010-04-20,3.396500
2010-04-21,3.459000
2010-04-22,3.493500
2010-04-23,3.488500
2010-04-26,3.510000
2010-04-27,3.382000
2010-04-28,3.351500
2010-04-29,3.482000
2010-04-30,3.358500
2010-05-03,3.396500
2010-05-04,3.324500
2010-05-05,3.295000
2010-05-06,3.203000
2010-05-07,3.154000
2010-05-10,3.338500
2010-05-11,3.392000
2010-05-12,3.489000
2010-05-13,3.477000
2010-05-14,3.420500
2010-05-17,3.477000
2010-05-18,3.338000
2010-05-19,3.353000
2010-05-20,3.260000
2010-05-21,3.287000
2010-05-24,3.291000
2010-05-25,3.299500
2010-05-26,3.232500
2010-05-27,3.422500
2010-05-28,3.388000
2010-06-01,3.314000
2010-06-02,3.377500
