d,c
2009-01-02,14.950514
2009-01-05,14.998178
2009-01-06,15.061729
2009-01-07,15.419207
2009-01-08,15.832292
2009-01-09,15.903788
2009-01-12,14.632756
2009-01-13,14.465933
2009-01-14,13.901912
2009-01-15,14.235558
2009-01-16,14.299110
2009-01-20,13.679482
2009-01-21,13.544435
2009-01-22,13.202845
2009-01-23,13.250509
2009-01-26,13.194901
2009-01-27,13.417332
2009-01-28,14.124343
2009-01-29,13.290228
2009-01-30,12.877143
2009-02-02,12.646768
2009-02-03,12.781816
2009-02-04,12.861255
2009-02-05,12.789760
2009-02-06,13.059854
2009-02-09,13.496771
2009-02-10,12.384618
2009-02-11,13.941632
2009-02-12,13.496771
2009-02-13,13.814529
2009-02-17,12.948638
2009-02-18,13.179013
2009-02-19,12.750040
2009-02-20,12.575273
2009-02-23,11.685550
2009-02-24,12.344898
2009-02-25,11.812654
2009-02-26,11.629943
2009-02-27,11.264521
2009-03-02,10.319191
2009-03-03,10.057041
2009-03-04,10.573397
2009-03-05,9.659843
2009-03-06,9.405637
2009-03-09,9.675731
2009-03-10,10.644893
2009-03-11,11.113586
2009-03-12,11.065922
2009-03-13,11.018259
2009-03-16,11.065922
2009-03-17,11.193026
2009-03-18,11.614055
2009-03-19,11.741158
2009-03-20,11.050034
2009-03-23,12.130412
2009-03-24,11.876205
2009-03-25,11.844429
2009-03-26,12.392562
2009-03-27,11.876205
2009-03-30,11.105642
2009-03-31,10.962651
2009-04-01,11.534615
2009-04-02,12.710320
2009-04-03,13.139293
2009-04-06,12.948638
2009-04-07,12.162187
2009-04-08,12.241627
2009-04-09,13.202845
2009-04-13,13.131349
2009-04-14,12.646768
2009-04-15,12.861255
2009-04-16,13.457051
2009-04-17,13.782753
2009-04-20,12.757984
2009-04-21,13.290228
2009-04-22,15.371543
2009-04-23,15.935564
2009-04-24,17.365475
2009-04-27,16.872950
2009-04-28,16.316873
2009-04-29,17.444914
2009-04-30,17.293979
2009-05-01,17.397250
2009-05-04,18.422020
2009-05-05,18.453796
2009-05-06,18.708002
2009-05-07,17.230428
2009-05-08,18.469684
2009-05-11,17.762672
2009-05-12,16.976221
2009-05-13,15.975283
2009-05-14,16.205658
2009-05-15,16.324817
2009-05-18,17.309867
2009-05-19,17.532298
2009-05-20,17.365475
2009-05-21,16.737903
2009-05-22,16.801454
2009-05-26,16.888838
2009-05-27,16.245378
2009-05-28,16.086499
2009-05-29,16.070611
2009-06-01,17.214540
2009-06-02,17.087436
2009-06-03,16.769678
2009-06-04,17.484634
2009-06-05,18.096318
2009-06-08,18.088374
