d,c
2009-01-02,27.590000
2009-01-05,27.140000
2009-01-06,26.500000
2009-01-07,26.300000
2009-01-08,26.710000
2009-01-09,25.800000
2009-01-12,25.620000
2009-01-13,25.360000
2009-01-14,24.080000
2009-01-15,24.890000
2009-01-16,25.500000
2009-01-20,24.160000
2009-01-21,25.050000
2009-01-22,27.190000
2009-01-23,28.040000
2009-01-26,28.150000
2009-01-27,29.080000
2009-01-28,29.990000
2009-01-29,28.690000
2009-01-30,28.330000
2009-02-02,29.150000
2009-02-03,29.740000
2009-02-04,28.980000
2009-02-05,28.800000
2009-02-06,28.940000
2009-02-09,29.520000
2009-02-10,27.970000
2009-02-11,28.550000
2009-02-12,29.480000
2009-02-13,28.960000
2009-02-17,28.420000
2009-02-18,28.330000
2009-02-19,28.650000
2009-02-20,27.980000
2009-02-23,23.820000
2009-02-24,24.210000
2009-02-25,23.030000
2009-02-26,20.070000
2009-02-27,19.650000
2009-03-02,17.480000
2009-03-03,17.800000
2009-03-04,17.960000
2009-03-05,16.350000
2009-03-06,17.900000
2009-03-09,17.790000
2009-03-10,19.310000
2009-03-11,19.120000
2009-03-12,20.410000
2009-03-13,21.360000
2009-03-16,20.680000
2009-03-17,21.540000
2009-03-18,21.950000
2009-03-19,21.300000
2009-03-20,20.630000
2009-03-23,22.050000
2009-03-24,21.120000
2009-03-25,21.180000
2009-03-26,21.620000
2009-03-27,21.080000
2009-03-30,20.540000
2009-03-31,20.930000
2009-04-01,20.680000
2009-04-02,21.070000
2009-04-03,20.540000
2009-04-06,21.930000
2009-04-07,23.450000
2009-04-08,22.860000
2009-04-09,23.860000
2009-04-13,24.370000
2009-04-14,24.500000
2009-04-15,25.110000
2009-04-16,24.360000
2009-04-17,24.140000
2009-04-20,24.210000
2009-04-21,22.800000
2009-04-22,22.810000
2009-04-23,23.160000
2009-04-24,23.060000
2009-04-27,23.010000
2009-04-28,23.890000
2009-04-29,23.870000
2009-04-30,23.520000
2009-05-01,22.970000
2009-05-04,23.720000
2009-05-05,25.560000
2009-05-06,25.930000
2009-05-07,28.390000
2009-05-08,28.870000
2009-05-11,27.590000
2009-05-12,27.320000
2009-05-13,27.660000
2009-05-14,27.800000
2009-05-15,27.510000
2009-05-18,27.810000
2009-05-19,27.460000
2009-05-20,27.780000
2009-05-21,26.920000
2009-05-22,26.300000
2009-05-26,27.190000
2009-05-27,27.490000
2009-05-28,27.190000
2009-05-29,26.600000
2009-06-01,27.500000
2009-06-02,28.100000
2009-06-03,27.500000
2009-06-04,27.270000
2009-06-05,27.100000
2009-06-08,26.050000
2009-06-09,25.980000
2009-06-10,25.730000
2009-06-11,24.050000
2009-06-12,24.000000
2009-06-15,23.510000
2009-06-16,24.020000
2009-06-17,24.020000
2009-06-18,25.450000
2009-06-19,25.430000
2009-06-22,24.560000
2009-06-23,24.540000
2009-06-24,24.810000
2009-06-25,24.990000
2009-06-26,24.770000
2009-06-29,25.120000
2009-06-30,24.980000
2009-07-01,25.160000
2009-07-02,23.910000
2009-07-06,24.090000
2009-07-07,25.170000
2009-07-08,24.670000
2009-07-09,24.940000
2009-07-10,24.670000
2009-07-13,25.010000
2009-07-14,24.770000
2009-07-15,24.910000
2009-07-16,25.250000
2009-07-17,25.090000
2009-07-20,24.840000
2009-07-21,25.590000
2009-07-22,26.000000
2009-07-23,27.050000
2009-07-24,27.320000
2009-07-27,27.620000
2009-07-28,29.080000
2009-07-29,28.410000
2009-07-30,28.100000
2009-07-31,28.060000
2009-08-03,27.360000
2009-08-04,26.930000
2009-08-05,26.180000
2009-08-06,25.980000
2009-08-07,26.510000
2009-08-10,27.070000
2009-08-11,27.820000
2009-08-12,27.790000
2009-08-13,28.370000
2009-08-14,28.060000
2009-08-17,28.480000
2009-08-18,28.180000
2009-08-19,28.180000
2009-08-20,28.390000
2009-08-21,28.920000
2009-08-24,29.690000
2009-08-25,29.920000
2009-08-26,28.930000
2009-08-27,28.940000
2009-08-28,28.180000
2009-08-31,28.000000
2009-09-01,27.330000
2009-09-02,28.660000
2009-09-03,28.870000
2009-09-04,28.880000
2009-09-08,27.840000
2009-09-09,28.400000
2009-09-10,29.110000
2009-09-11,29.070000
2009-09-14,28.760000
2009-09-15,27.700000
2009-09-16,29.290000
2009-09-17,29.340000
2009-09-18,28.580000
2009-09-21,28.590000
2009-09-22,27.580000
2009-09-23,26.680000
2009-09-24,26.030000
2009-09-25,25.340000
2009-09-28,25.800000
2009-09-29,25.680000
2009-09-30,25.040000
2009-10-01,24.790000
2009-10-02,24.280000
2009-10-05,24.040000
2009-10-06,24.380000
2009-10-07,25.050000
2009-10-08,24.160000
2009-10-09,24.670000
2009-10-12,25.230000
2009-10-13,24.290000
2009-10-14,24.870000
2009-10-15,24.550000
2009-10-16,24.450000
2009-10-19,24.920000
2009-10-20,25.960000
2009-10-21,25.120000
2009-10-22,25.710000
2009-10-23,25.850000
2009-10-26,25.310000
2009-10-27,26.500000
2009-10-28,25.880000
2009-10-29,26.470000
2009-10-30,25.950000
2009-11-02,26.420000
2009-11-03,26.910000
2009-11-04,27.870000
2009-11-05,28.210000
2009-11-06,28.670000
2009-11-09,29.130000
2009-11-10,28.970000
2009-11-11,29.370000
2009-11-12,28.760000
2009-11-13,29.080000
2009-11-16,29.150000
2009-11-17,28.970000
2009-11-18,28.870000
2009-11-19,28.630000
2009-11-20,28.560000
2009-11-23,29.080000
2009-11-24,29.560000
2009-11-25,29.540000
2009-11-27,29.440000
2009-11-30,28.670000
2009-12-01,28.700000
2009-12-02,28.290000
2009-12-03,27.330000
2009-12-04,27.460000
2009-12-07,28.300000
2009-12-08,28.460000
2009-12-09,28.500000
2009-12-10,30.310000
2009-12-11,30.480000
2009-12-14,30.950000
2009-12-15,31.320000
2009-12-16,32.200000
2009-12-17,31.820000
2009-12-18,31.540000
2009-12-21,32.170000
2009-12-22,32.320000
2009-12-23,31.620000
2009-12-24,31.680000
2009-12-28,31.390000
2009-12-29,30.850000
2009-12-30,31.010000
2009-12-31,30.480000
2010-01-04,31.530000
2010-01-05,31.480000
2010-01-06,31.790000
2010-01-07,33.010000
2010-01-08,32.700000
2010-01-11,32.920000
2010-01-12,32.050000
2010-01-13,32.540000
2010-01-14,33.320000
2010-01-15,33.750000
2010-01-19,35.130000
2010-01-20,34.550000
2010-01-21,33.100000
2010-01-22,33.160000
2010-01-25,33.000000
2010-01-26,32.440000
2010-01-27,33.240000
2010-01-28,33.430000
2010-01-29,33.000000
2010-02-01,33.130000
2010-02-02,34.050000
2010-02-03,33.320000
2010-02-04,32.460000
2010-02-05,32.540000
2010-02-08,32.410000
2010-02-09,33.000000
2010-02-10,32.710000
2010-02-11,33.120000
2010-02-12,32.180000
2010-02-16,31.630000
2010-02-17,32.550000
2010-02-18,32.690000
2010-02-19,31.940000
2010-02-22,33.080000
2010-02-23,32.810000
2010-02-24,33.620000
2010-02-25,33.450000
2010-02-26,33.860000
2010-03-01,34.040000
2010-03-02,33.950000
2010-03-03,34.100000
2010-03-04,32.950000
2010-03-05,33.740000
2010-03-08,33.100000
2010-03-09,33.080000
2010-03-10,33.240000
2010-03-11,33.500000
2010-03-12,32.910000
2010-03-15,32.530000
2010-03-16,33.050000
2010-03-17,32.750000
2010-03-18,33.590000
2010-03-19,34.390000
2010-03-22,33.300000
2010-03-23,33.160000
2010-03-24,32.720000
2010-03-25,33.120000
2010-03-26,32.630000
2010-03-29,32.840000
2010-03-30,33.060000
2010-03-31,32.670000
2010-04-01,32.990000
2010-04-05,33.140000
2010-04-06,33.410000
2010-04-07,32.930000
2010-04-08,32.620000
2010-04-09,32.260000
2010-04-12,32.260000
2010-04-13,32.160000
2010-04-14,31.050000
2010-04-15,30.630000
2010-04-16,30.730000
2010-04-19,31.230000
2010-04-20,30.980000
2010-04-21,30.260000
2010-04-22,30.460000
2010-04-23,30.950000
2010-04-26,29.850000
2010-04-27,29.800000
2010-04-28,30.440000
2010-04-29,31.300000
2010-04-30,30.310000
2010-05-03,30.260000
2010-05-04,29.490000
2010-05-05,30.000000
2010-05-06,29.240000
2010-05-07,29.020000
2010-05-10,29.880000
2010-05-11,29.850000
2010-05-12,30.320000
2010-05-13,30.180000
2010-05-14,30.390000
2010-05-17,30.440000
2010-05-18,30.180000
2010-05-19,29.990000
2010-05-20,28.960000
2010-05-21,28.700000
2010-05-24,28.830000
2010-05-25,28.870000
2010-05-26,28.790000
2010-05-27,29.320000
2010-05-28,29.070000
2010-06-01,28.980000
2010-06-02,29.910000
2010-06-03,30.460000
2010-06-04,30.340000
2010-06-07,30.460000
2010-06-08,30.890000
2010-06-09,30.530000
2010-06-10,30.700000
2010-06-11,30.670000
2010-06-14,30.590000
2010-06-15,31.190000
2010-06-16,31.390000
2010-06-17,31.500000
2010-06-18,31.330000
2010-06-21,31.150000
2010-06-22,30.640000
2010-06-23,30.210000
2010-06-24,29.760000
2010-06-25,29.880000
2010-06-28,29.190000
2010-06-29,28.630000
2010-06-30,28.400000
2010-07-01,27.850000
2010-07-02,28.300000
2010-07-06,28.890000
2010-07-07,29.200000
2010-07-08,29.680000
2010-07-09,29.970000
2010-07-12,30.040000
2010-07-13,30.140000
2010-07-14,30.320000
2010-07-15,30.880000
2010-07-16,30.340000
2010-07-19,30.820000
2010-07-20,30.830000
2010-07-21,30.700000
2010-07-22,31.000000
2010-07-23,30.920000
2010-07-26,31.470000
2010-07-27,30.780000
2010-07-28,30.330000
2010-07-29,30.440000
2010-07-30,30.450000
2010-08-02,31.440000
2010-08-03,32.420000
2010-08-04,32.910000
2010-08-05,33.420000
2010-08-06,33.450000
2010-08-09,33.490000
2010-08-10,33.330000
2010-08-11,31.990000
2010-08-12,32.130000
2010-08-13,32.030000
2010-08-16,31.900000
2010-08-17,32.350000
2010-08-18,32.540000
2010-08-19,31.790000
2010-08-20,31.610000
2010-08-23,31.500000
2010-08-24,31.040000
2010-08-25,31.960000
2010-08-26,31.850000
2010-08-27,32.370000
2010-08-30,31.910000
2010-08-31,31.720000
2010-09-01,32.590000
2010-09-02,32.860000
2010-09-03,33.910000
2010-09-07,33.780000
2010-09-08,33.850000
2010-09-09,34.020000
2010-09-10,34.490000
2010-09-13,34.720000
2010-09-14,34.610000
2010-09-15,34.270000
2010-09-16,34.240000
2010-09-17,34.130000
2010-09-20,34.930000
2010-09-21,35.260000
2010-09-22,35.680000
2010-09-23,35.440000
2010-09-24,35.730000
2010-09-27,35.350000
2010-09-28,35.040000
2010-09-29,35.200000
