d,c
2009-01-02,56.110000
2009-01-05,55.180000
2009-01-06,55.420000
2009-01-07,53.410000
2009-01-08,52.210000
2009-01-09,50.930000
2009-01-12,50.650000
2009-01-13,49.740000
2009-01-14,48.150000
2009-01-15,48.300000
2009-01-16,48.200000
2009-01-20,45.930000
2009-01-21,47.720000
2009-01-22,47.630000
2009-01-23,46.920000
2009-01-26,46.970000
2009-01-27,47.110000
2009-01-28,46.850000
2009-01-29,44.840000
2009-01-30,42.490000
2009-02-02,42.420000
2009-02-03,45.000000
2009-02-04,45.030000
2009-02-05,45.910000
2009-02-06,47.070000
2009-02-09,47.260000
2009-02-10,44.720000
2009-02-11,45.300000
2009-02-12,44.900000
2009-02-13,44.840000
2009-02-17,42.950000
2009-02-18,42.730000
2009-02-19,42.930000
2009-02-20,42.800000
2009-02-23,40.920000
2009-02-24,43.170000
2009-02-25,42.030000
2009-02-26,41.190000
2009-02-27,41.180000
2009-03-02,38.920000
2009-03-03,38.490000
2009-03-04,40.700000
2009-03-05,39.970000
2009-03-06,39.380000
2009-03-09,38.300000
2009-03-10,41.220000
2009-03-11,42.710000
2009-03-12,43.270000
2009-03-13,43.090000
2009-03-16,44.730000
2009-03-17,46.240000
2009-03-18,46.520000
2009-03-19,45.990000
2009-03-20,44.710000
2009-03-23,47.540000
2009-03-24,47.240000
2009-03-25,48.070000
2009-03-26,50.460000
2009-03-27,50.110000
2009-03-30,48.610000
2009-03-31,49.220000
2009-04-01,50.070000
2009-04-02,52.370000
2009-04-03,52.750000
2009-04-06,52.580000
2009-04-07,51.280000
2009-04-08,52.200000
2009-04-09,53.490000
2009-04-13,53.430000
2009-04-14,53.430000
2009-04-15,54.250000
2009-04-16,55.920000
2009-04-17,54.650000
2009-04-20,53.160000
2009-04-21,55.350000
2009-04-22,54.750000
2009-04-23,53.330000
2009-04-24,53.280000
2009-04-27,51.210000
2009-04-28,51.040000
2009-04-29,51.790000
2009-04-30,52.340000
2009-05-01,51.660000
2009-05-04,54.120000
2009-05-05,55.150000
2009-05-06,55.830000
2009-05-07,55.830000
2009-05-08,57.620000
2009-05-11,55.830000
2009-05-12,54.640000
2009-05-13,52.410000
2009-05-14,52.260000
2009-05-15,51.990000
2009-05-18,52.800000
2009-05-19,51.820000
2009-05-20,51.860000
2009-05-21,49.490000
2009-05-22,49.650000
2009-05-26,51.140000
2009-05-27,49.750000
2009-05-28,49.010000
2009-05-29,51.140000
2009-06-01,52.560000
2009-06-02,52.560000
2009-06-03,51.020000
2009-06-04,51.000000
2009-06-05,51.520000
2009-06-08,51.430000
2009-06-09,51.880000
2009-06-10,51.650000
2009-06-11,51.780000
2009-06-12,50.530000
2009-06-15,49.000000
2009-06-16,48.440000
2009-06-17,48.120000
2009-06-18,48.300000
2009-06-19,48.140000
2009-06-22,46.840000
2009-06-23,47.200000
2009-06-24,47.640000
2009-06-25,49.370000
2009-06-26,49.860000
2009-06-29,50.320000
2009-06-30,49.990000
2009-07-01,50.850000
2009-07-02,48.600000
2009-07-06,49.140000
2009-07-07,47.720000
2009-07-08,47.880000
2009-07-09,48.020000
2009-07-10,48.570000
2009-07-13,49.420000
