d,c
2009-01-02,25.250000
2009-01-05,24.010000
2009-01-06,23.750000
2009-01-07,23.370000
2009-01-08,23.160000
2009-01-09,22.350000
2009-01-12,21.680000
2009-01-13,22.190000
2009-01-14,21.070000
2009-01-15,19.020000
2009-01-16,18.320000
2009-01-20,15.340000
2009-01-21,16.090000
2009-01-22,13.880000
2009-01-23,14.640000
2009-01-26,13.010000
2009-01-27,13.700000
2009-01-28,15.290000
2009-01-29,14.720000
2009-01-30,14.840000
2009-02-02,15.280000
2009-02-03,14.110000
2009-02-04,14.170000
2009-02-05,14.990000
2009-02-06,16.190000
2009-02-09,16.710000
2009-02-10,14.400000
2009-02-11,14.990000
2009-02-12,13.660000
2009-02-13,12.400000
2009-02-17,10.730000
2009-02-18,11.020000
2009-02-19,10.880000
2009-02-20,10.580000
2009-02-23,11.330000
2009-02-24,12.540000
2009-02-25,12.760000
2009-02-26,14.910000
2009-02-27,14.310000
2009-03-02,13.100000
2009-03-03,12.580000
2009-03-04,11.010000
2009-03-05,9.010000
2009-03-06,8.820000
2009-03-09,10.190000
2009-03-10,11.400000
2009-03-11,12.420000
2009-03-12,13.760000
2009-03-13,13.570000
2009-03-16,13.780000
2009-03-17,14.520000
2009-03-18,15.830000
2009-03-19,14.260000
2009-03-20,13.420000
2009-03-23,15.990000
2009-03-24,14.990000
2009-03-25,16.030000
2009-03-26,16.660000
2009-03-27,15.640000
2009-03-30,13.780000
2009-03-31,14.610000
2009-04-01,14.910000
2009-04-02,15.580000
2009-04-03,15.970000
2009-04-06,15.240000
2009-04-07,14.420000
2009-04-08,14.360000
2009-04-09,17.640000
2009-04-13,18.010000
2009-04-14,16.550000
2009-04-15,17.890000
2009-04-16,18.060000
2009-04-17,18.600000
2009-04-20,15.940000
2009-04-21,19.270000
2009-04-22,17.650000
2009-04-23,18.370000
2009-04-24,18.970000
2009-04-27,18.140000
2009-04-28,17.680000
2009-04-29,18.790000
2009-04-30,18.220000
2009-05-01,17.960000
2009-05-04,20.335000
2009-05-05,20.120000
2009-05-06,21.290000
2009-05-07,19.560000
2009-05-08,20.540000
2009-05-11,18.500000
2009-05-12,17.890000
2009-05-13,17.400000
2009-05-14,17.840000
2009-05-15,17.670000
2009-05-18,19.350000
2009-05-19,18.860000
2009-05-20,18.480000
2009-05-21,18.110000
2009-05-22,17.830000
2009-05-26,19.040000
2009-05-27,17.960000
2009-05-28,18.920000
2009-05-29,19.200000
2009-06-01,18.900000
2009-06-02,18.120000
2009-06-03,18.050000
2009-06-04,18.750000
2009-06-05,18.000000
2009-06-08,18.350000
2009-06-09,18.180000
2009-06-10,18.100000
2009-06-11,18.360000
2009-06-12,18.580000
2009-06-15,17.820000
2009-06-16,17.860000
2009-06-17,17.770000
2009-06-18,18.030000
2009-06-19,17.950000
2009-06-22,17.080000
2009-06-23,17.430000
2009-06-24,17.760000
2009-06-25,17.790000
2009-06-26,18.020000
2009-06-29,18.190000
2009-06-30,17.920000
2009-07-01,17.580000
2009-07-02,17.040000
2009-07-06,17.090000
2009-07-07,16.920000
2009-07-08,16.590000
2009-07-09,16.620000
2009-07-10,16.590000
2009-07-13,17.690000
2009-07-14,17.420000
2009-07-15,17.940000
2009-07-16,17.920000
2009-07-17,17.960000
2009-07-20,18.290000
2009-07-21,18.270000
2009-07-22,18.960000
2009-07-23,19.420000
2009-07-24,19.770000
2009-07-27,20.070000
2009-07-28,19.950000
2009-07-29,19.680000
2009-07-30,20.480000
2009-07-31,20.410000
2009-08-03,20.870000
2009-08-04,21.700000
2009-08-05,22.790000
2009-08-06,22.400000
2009-08-07,23.250000
2009-08-10,23.020000
2009-08-11,22.100000
2009-08-12,22.020000
2009-08-13,22.550000
2009-08-14,22.490000
2009-08-17,21.400000
2009-08-18,21.510000
2009-08-19,21.580000
2009-08-20,22.070000
2009-08-21,22.280000
2009-08-24,21.720000
2009-08-25,21.920000
2009-08-26,22.110000
2009-08-27,22.250000
2009-08-28,22.430000
2009-08-31,22.620000
2009-09-01,21.240000
2009-09-02,20.660000
2009-09-03,20.950000
2009-09-04,21.450000
2009-09-08,21.000000
2009-09-09,21.750000
2009-09-10,21.720000
2009-09-11,21.860000
2009-09-14,21.980000
2009-09-15,22.170000
2009-09-16,22.820000
2009-09-17,22.440000
2009-09-18,22.760000
2009-09-21,22.430000
2009-09-22,22.340000
2009-09-23,22.070000
