d,c
2009-01-02,23.240000
2009-01-05,24.600000
2009-01-06,24.950000
2009-01-07,23.680000
2009-01-08,24.600000
2009-01-09,24.000000
2009-01-12,22.950000
2009-01-13,23.990000
2009-01-14,22.180000
2009-01-15,22.870000
2009-01-16,24.030000
2009-01-20,23.380000
2009-01-21,24.930000
2009-01-22,23.300000
2009-01-23,24.590000
2009-01-26,25.850000
2009-01-27,24.260000
2009-01-28,25.250000
2009-01-29,24.690000
2009-01-30,24.120000
2009-02-02,22.900000
2009-02-03,23.510000
2009-02-04,23.920000
2009-02-05,23.710000
2009-02-06,23.740000
2009-02-09,24.470000
2009-02-10,23.200000
2009-02-11,23.020000
2009-02-12,23.990000
2009-02-13,24.070000
2009-02-17,22.110000
2009-02-18,21.250000
2009-02-19,20.650000
2009-02-20,19.150000
2009-02-23,18.520000
2009-02-24,19.870000
2009-02-25,20.520000
2009-02-26,20.240000
2009-02-27,19.380000
2009-03-02,16.980000
2009-03-03,17.200000
2009-03-04,17.400000
2009-03-05,16.350000
2009-03-06,16.240000
2009-03-09,16.630000
2009-03-10,17.030000
2009-03-11,17.070000
2009-03-12,17.580000
2009-03-13,17.330000
2009-03-16,17.920000
2009-03-17,18.500000
2009-03-18,18.510000
2009-03-19,19.430000
2009-03-20,18.030000
2009-03-23,18.550000
2009-03-24,18.280000
2009-03-25,18.640000
2009-03-26,19.870000
2009-03-27,19.050000
2009-03-30,17.730000
2009-03-31,17.900000
2009-04-01,18.430000
2009-04-02,19.520000
2009-04-03,19.840000
2009-04-06,19.680000
2009-04-07,19.390000
2009-04-08,20.160000
2009-04-09,21.000000
2009-04-13,20.620000
2009-04-14,20.560000
2009-04-15,20.890000
2009-04-16,21.540000
2009-04-17,21.720000
2009-04-20,20.080000
2009-04-21,20.380000
2009-04-22,20.500000
2009-04-23,21.290000
2009-04-24,21.680000
2009-04-27,20.740000
2009-04-28,20.820000
2009-04-29,20.490000
2009-04-30,19.840000
2009-05-01,20.650000
2009-05-04,21.850000
2009-05-05,21.870000
2009-05-06,22.650000
2009-05-07,21.880000
2009-05-08,23.300000
2009-05-11,21.810000
2009-05-12,21.130000
2009-05-13,20.650000
2009-05-14,21.280000
2009-05-15,20.840000
2009-05-18,20.950000
2009-05-19,21.540000
2009-05-20,21.620000
2009-05-21,20.760000
2009-05-22,20.550000
2009-05-26,20.800000
2009-05-27,21.070000
2009-05-28,21.850000
2009-05-29,22.370000
2009-06-01,22.810000
2009-06-02,22.380000
2009-06-03,18.400000
2009-06-04,18.250000
2009-06-05,18.210000
2009-06-08,18.240000
2009-06-09,18.150000
2009-06-10,18.190000
2009-06-11,17.670000
2009-06-12,17.610000
2009-06-15,17.310000
2009-06-16,17.250000
2009-06-17,17.240000
2009-06-18,17.420000
2009-06-19,17.190000
2009-06-22,16.250000
2009-06-23,16.560000
2009-06-24,16.030000
2009-06-25,16.690000
2009-06-26,16.480000
2009-06-29,16.630000
2009-06-30,16.890000
2009-07-01,17.420000
2009-07-02,16.550000
2009-07-06,16.650000
2009-07-07,15.860000
2009-07-08,15.820000
2009-07-09,15.840000
2009-07-10,15.570000
2009-07-13,16.210000
2009-07-14,16.390000
2009-07-15,17.000000
2009-07-16,17.210000
2009-07-17,17.420000
2009-07-20,17.810000
2009-07-21,17.930000
2009-07-22,17.720000
2009-07-23,18.320000
2009-07-24,18.310000
2009-07-27,18.770000
2009-07-28,18.320000
2009-07-29,17.700000
2009-07-30,18.040000
2009-07-31,18.000000
2009-08-03,18.640000
2009-08-04,18.730000
2009-08-05,18.830000
2009-08-06,18.700000
2009-08-07,18.520000
2009-08-10,18.520000
2009-08-11,18.210000
2009-08-12,18.070000
2009-08-13,18.210000
2009-08-14,17.790000
2009-08-17,17.150000
2009-08-18,17.250000
2009-08-19,17.650000
2009-08-20,17.950000
2009-08-21,18.490000
2009-08-24,18.910000
2009-08-25,18.890000
2009-08-26,19.000000
2009-08-27,19.040000
2009-08-28,19.000000
2009-08-31,18.740000
2009-09-01,18.230000
2009-09-02,17.940000
2009-09-03,18.120000
2009-09-04,18.360000
2009-09-08,18.750000
2009-09-09,18.410000
2009-09-10,18.750000
2009-09-11,18.930000
2009-09-14,19.070000
2009-09-15,18.880000
2009-09-16,19.230000
2009-09-17,20.500000
2009-09-18,20.220000
2009-09-21,20.140000
2009-09-22,20.350000
2009-09-23,19.820000
2009-09-24,18.930000
2009-09-25,19.460000
2009-09-28,19.710000
2009-09-29,19.460000
2009-09-30,19.390000
2009-10-01,18.990000
2009-10-02,18.630000
2009-10-05,19.240000
2009-10-06,19.160000
2009-10-07,19.310000
2009-10-08,19.600000
2009-10-09,19.380000
2009-10-12,19.180000
2009-10-13,19.180000
2009-10-14,18.810000
2009-10-15,20.150000
2009-10-16,19.740000
2009-10-19,19.660000
2009-10-20,20.110000
2009-10-21,20.140000
2009-10-22,20.120000
2009-10-23,20.670000
2009-10-26,20.270000
2009-10-27,19.390000
2009-10-28,18.700000
2009-10-29,18.940000
2009-10-30,18.100000
2009-11-02,17.750000
2009-11-03,17.960000
2009-11-04,17.700000
2009-11-05,17.720000
2009-11-06,17.290000
2009-11-09,17.330000
2009-11-10,17.280000
2009-11-11,17.450000
2009-11-12,17.010000
2009-11-13,17.060000
2009-11-16,17.070000
2009-11-17,16.880000
2009-11-18,16.820000
2009-11-19,16.360000
2009-11-20,16.470000
2009-11-23,16.230000
2009-11-24,16.010000
2009-11-25,16.350000
2009-11-27,16.000000
2009-11-30,15.890000
2009-12-01,16.080000
2009-12-02,16.010000
2009-12-03,15.970000
2009-12-04,16.410000
2009-12-07,16.360000
2009-12-08,16.200000
2009-12-09,16.270000
2009-12-10,16.750000
2009-12-11,16.610000
2009-12-14,16.790000
2009-12-15,16.770000
2009-12-16,16.710000
2009-12-17,16.690000
2009-12-18,16.690000
2009-12-21,17.100000
2009-12-22,17.040000
2009-12-23,16.910000
2009-12-24,17.060000
2009-12-28,16.810000
2009-12-29,16.800000
2009-12-30,16.860000
2009-12-31,16.750000
2010-01-04,17.890000
2010-01-05,18.350000
2010-01-06,18.810000
2010-01-07,18.950000
2010-01-08,18.690000
2010-01-11,18.510000
2010-01-12,18.210000
2010-01-13,18.060000
2010-01-14,18.270000
2010-01-15,18.770000
2010-01-19,18.870000
2010-01-20,19.120000
2010-01-21,18.900000
2010-01-22,18.180000
2010-01-25,18.350000
2010-01-26,19.020000
2010-01-27,18.690000
2010-01-28,18.430000
2010-01-29,18.420000
2010-02-01,19.160000
2010-02-02,19.260000
2010-02-03,18.940000
2010-02-04,18.110000
2010-02-05,18.160000
2010-02-08,17.850000
2010-02-09,18.100000
2010-02-10,18.000000
2010-02-11,18.000000
2010-02-12,17.700000
2010-02-16,17.970000
2010-02-17,17.820000
2010-02-18,17.690000
2010-02-19,17.890000
2010-02-22,17.780000
2010-02-23,17.480000
2010-02-24,17.580000
2010-02-25,17.450000
2010-02-26,17.520000
2010-03-01,17.640000
2010-03-02,18.200000
2010-03-03,18.620000
2010-03-04,18.820000
2010-03-05,19.570000
2010-03-08,19.620000
2010-03-09,19.530000
2010-03-10,20.520000
2010-03-11,20.410000
2010-03-12,20.440000
2010-03-15,20.360000
2010-03-16,20.560000
2010-03-17,20.660000
2010-03-18,20.550000
2010-03-19,20.310000
2010-03-22,20.290000
2010-03-23,20.300000
2010-03-24,20.690000
2010-03-25,19.870000
2010-03-26,19.720000
2010-03-29,19.890000
2010-03-30,19.840000
2010-03-31,19.700000
2010-04-01,20.020000
2010-04-05,20.630000
2010-04-06,20.740000
2010-04-07,20.110000
2010-04-08,20.020000
2010-04-09,20.010000
2010-04-12,19.600000
2010-04-13,19.670000
2010-04-14,20.360000
2010-04-15,19.870000
2010-04-16,19.150000
2010-04-19,19.010000
2010-04-20,19.580000
2010-04-21,19.230000
2010-04-22,19.450000
2010-04-23,19.880000
2010-04-26,20.120000
2010-04-27,19.900000
2010-04-28,20.430000
2010-04-29,21.160000
2010-04-30,20.790000
2010-05-03,21.370000
2010-05-04,20.470000
2010-05-05,20.360000
2010-05-06,19.350000
