d,c
2009-01-02,69.740000
2009-01-05,69.950000
2009-01-06,67.070000
2009-01-07,64.000000
2009-01-08,63.000000
2009-01-09,61.190000
2009-01-12,57.170000
2009-01-13,58.180000
2009-01-14,55.800000
2009-01-15,56.730000
2009-01-16,58.670000
2009-01-20,53.830000
2009-01-21,53.730000
2009-01-22,52.330000
2009-01-23,53.180000
2009-01-26,50.580000
2009-01-27,52.560000
2009-01-28,53.460000
2009-01-29,50.860000
2009-01-30,49.460000
2009-02-02,48.260000
2009-02-03,50.820000
2009-02-04,51.440000
2009-02-05,51.070000
2009-02-06,51.470000
2009-02-09,49.290000
2009-02-10,47.340000
2009-02-11,44.940000
2009-02-12,47.470000
2009-02-13,45.730000
2009-02-17,44.120000
2009-02-18,42.810000
2009-02-19,40.750000
2009-02-20,40.450000
2009-02-23,39.640000
2009-02-24,41.930000
2009-02-25,42.290000
2009-02-26,43.090000
2009-02-27,41.410000
2009-03-02,40.630000
2009-03-03,39.490000
2009-03-04,39.520000
2009-03-05,36.970000
2009-03-06,35.820000
2009-03-09,34.550000
2009-03-10,36.350000
2009-03-11,36.920000
2009-03-12,37.250000
2009-03-13,39.620000
2009-03-16,39.870000
2009-03-17,41.150000
2009-03-18,40.610000
2009-03-19,39.770000
2009-03-20,38.700000
2009-03-23,40.680000
2009-03-24,41.140000
2009-03-25,43.730000
2009-03-26,46.060000
2009-03-27,44.390000
2009-03-30,44.350000
2009-03-31,44.290000
2009-04-01,45.960000
2009-04-02,47.410000
2009-04-03,48.300000
2009-04-06,46.510000
2009-04-07,43.670000
2009-04-08,44.010000
2009-04-09,47.060000
2009-04-13,47.330000
2009-04-14,46.980000
2009-04-15,48.650000
2009-04-16,52.630000
2009-04-17,52.330000
2009-04-20,48.940000
2009-04-21,49.110000
2009-04-22,49.230000
2009-04-23,49.660000
2009-04-24,51.490000
2009-04-27,50.480000
2009-04-28,50.690000
2009-04-29,50.190000
2009-04-30,47.550000
2009-05-01,45.260000
2009-05-04,50.500000
