d,c
2009-01-02,34.640000
2009-01-05,32.480000
2009-01-06,31.960000
2009-01-07,31.900000
2009-01-08,32.390000
2009-01-09,32.160000
2009-01-12,31.790000
2009-01-13,31.500000
2009-01-14,30.560000
2009-01-15,29.900000
2009-01-16,29.960000
2009-01-20,29.870000
2009-01-21,30.900000
2009-01-22,30.160000
2009-01-23,30.440000
2009-01-26,30.990000
2009-01-27,29.960000
2009-01-28,30.920000
2009-01-29,30.230000
2009-01-30,29.870000
2009-02-02,30.590000
2009-02-03,31.560000
2009-02-04,30.610000
2009-02-05,31.190000
2009-02-06,31.720000
2009-02-09,31.390000
2009-02-10,30.000000
2009-02-11,29.980000
2009-02-12,29.860000
2009-02-13,29.560000
2009-02-17,28.260000
2009-02-18,28.070000
2009-02-19,27.990000
2009-02-20,28.810000
2009-02-23,27.850000
2009-02-24,28.570000
2009-02-25,28.550000
2009-02-26,28.480000
2009-02-27,28.530000
2009-03-02,27.520000
2009-03-03,27.310000
2009-03-04,28.150000
2009-03-05,27.910000
2009-03-06,27.280000
2009-03-09,26.180000
2009-03-10,27.610000
2009-03-11,27.440000
2009-03-12,28.140000
2009-03-13,28.400000
2009-03-16,28.550000
2009-03-17,29.830000
2009-03-18,30.770000
2009-03-19,30.250000
2009-03-20,29.610000
2009-03-23,31.070000
2009-03-24,30.510000
2009-03-25,30.150000
2009-03-26,30.540000
2009-03-27,30.620000
2009-03-30,30.220000
2009-03-31,30.200000
2009-04-01,31.220000
2009-04-02,32.460000
2009-04-03,32.790000
2009-04-06,33.030000
2009-04-07,31.720000
2009-04-08,31.680000
2009-04-09,32.100000
2009-04-13,31.740000
2009-04-14,31.300000
2009-04-15,31.690000
2009-04-16,31.730000
2009-04-17,31.780000
2009-04-20,30.930000
2009-04-21,31.040000
2009-04-22,30.910000
2009-04-23,31.000000
2009-04-24,31.000000
2009-04-27,30.540000
2009-04-28,30.960000
2009-04-29,30.410000
2009-04-30,30.340000
2009-05-01,30.550000
2009-05-04,31.040000
2009-05-05,30.630000
2009-05-06,30.760000
2009-05-07,29.860000
2009-05-08,29.850000
2009-05-11,29.820000
2009-05-12,30.400000
2009-05-13,29.750000
2009-05-14,29.980000
2009-05-15,29.610000
2009-05-18,29.700000
2009-05-19,29.650000
2009-05-20,29.830000
2009-05-21,29.160000
2009-05-22,28.810000
2009-05-26,29.630000
2009-05-27,28.950000
2009-05-28,29.270000
2009-05-29,29.260000
2009-06-01,29.250000
2009-06-02,29.570000
2009-06-03,29.590000
2009-06-04,29.570000
2009-06-05,29.250000
2009-06-08,29.280000
2009-06-09,29.420000
2009-06-10,29.530000
2009-06-11,29.750000
2009-06-12,29.920000
2009-06-15,29.730000
2009-06-16,29.540000
2009-06-17,29.780000
2009-06-18,30.090000
2009-06-19,29.660000
2009-06-22,30.020000
2009-06-23,30.520000
2009-06-24,30.800000
2009-06-25,31.090000
2009-06-26,30.990000
2009-06-29,31.360000
2009-06-30,30.730000
2009-07-01,30.820000
2009-07-02,30.180000
2009-07-06,30.360000
2009-07-07,29.640000
2009-07-08,28.650000
2009-07-09,28.640000
2009-07-10,28.620000
2009-07-13,29.050000
2009-07-14,28.950000
2009-07-15,29.340000
2009-07-16,29.500000
2009-07-17,29.590000
2009-07-20,29.770000
2009-07-21,30.320000
2009-07-22,30.130000
2009-07-23,31.270000
