d,c
2009-01-02,19.930000
2009-01-05,19.835000
2009-01-06,20.030000
2009-01-07,18.385000
2009-01-08,19.085000
2009-01-09,18.100000
2009-01-12,17.290000
2009-01-13,17.035000
2009-01-14,16.500000
2009-01-15,16.545000
2009-01-16,16.630000
2009-01-20,16.060000
2009-01-21,16.700000
2009-01-22,15.555000
2009-01-23,15.180000
2009-01-26,15.465000
2009-01-27,15.860000
2009-01-28,15.980000
2009-01-29,15.405000
2009-01-30,14.965000
2009-02-02,15.295000
2009-02-03,15.545000
2009-02-04,15.580000
2009-02-05,16.095000
2009-02-06,16.715000
2009-02-09,16.525000
2009-02-10,15.620000
2009-02-11,15.705000
2009-02-12,15.470000
2009-02-13,15.300000
2009-02-17,14.580000
2009-02-18,13.920000
2009-02-19,13.295000
2009-02-20,13.030000
2009-02-23,12.850000
2009-02-24,14.510000
2009-02-25,13.615000
2009-02-26,13.530000
2009-02-27,13.380000
2009-03-02,12.445000
2009-03-03,12.550000
2009-03-04,13.600000
2009-03-05,12.350000
2009-03-06,12.030000
2009-03-09,11.680000
2009-03-10,12.140000
2009-03-11,12.265000
2009-03-12,12.660000
2009-03-13,12.575000
2009-03-16,12.570000
2009-03-17,13.215000
2009-03-18,13.490000
2009-03-19,13.545000
2009-03-20,12.830000
2009-03-23,14.115000
2009-03-24,13.380000
2009-03-25,13.220000
2009-03-26,14.555000
2009-03-27,13.710000
2009-03-30,13.050000
2009-03-31,13.190000
2009-04-01,13.340000
2009-04-02,14.530000
2009-04-03,15.150000
2009-04-06,14.835000
2009-04-07,14.425000
2009-04-08,14.645000
2009-04-09,15.790000
2009-04-13,15.630000
2009-04-14,15.025000
2009-04-15,15.290000
2009-04-16,15.900000
2009-04-17,16.225000
2009-04-20,14.905000
2009-04-21,15.410000
2009-04-22,17.410000
2009-04-23,17.885000
2009-04-24,19.060000
2009-04-27,18.480000
2009-04-28,18.195000
2009-04-29,19.445000
2009-04-30,19.070000
2009-05-01,18.885000
2009-05-04,19.755000
2009-05-05,19.205000
2009-05-06,19.390000
2009-05-07,18.775000
2009-05-08,19.450000
2009-05-11,18.385000
2009-05-12,17.860000
2009-05-13,17.300000
2009-05-14,17.230000
2009-05-15,17.010000
2009-05-18,17.885000
2009-05-19,18.105000
2009-05-20,17.995000
2009-05-21,17.465000
2009-05-22,17.055000
2009-05-26,17.620000
2009-05-27,17.275000
2009-05-28,17.500000
2009-05-29,17.840000
2009-06-01,18.320000
2009-06-02,18.670000
2009-06-03,18.050000
2009-06-04,18.070000
2009-06-05,17.205000
2009-06-08,16.910000
2009-06-09,17.240000
2009-06-10,17.885000
2009-06-11,18.205000
2009-06-12,17.850000
2009-06-15,17.020000
2009-06-16,16.755000
2009-06-17,16.830000
2009-06-18,16.635000
2009-06-19,16.720000
2009-06-22,16.330000
2009-06-23,16.510000
2009-06-24,16.920000
2009-06-25,17.375000
2009-06-26,16.450000
2009-06-29,16.540000
2009-06-30,16.085000
2009-07-01,16.450000
2009-07-02,16.025000
2009-07-06,15.700000
2009-07-07,15.280000
2009-07-08,15.175000
2009-07-09,15.435000
2009-07-10,15.320000
2009-07-13,15.605000
2009-07-14,15.980000
2009-07-15,16.380000
2009-07-16,16.400000
2009-07-17,16.630000
2009-07-20,16.990000
2009-07-21,17.025000
2009-07-22,17.190000
2009-07-23,17.900000
2009-07-24,16.975000
2009-07-27,16.635000
2009-07-28,16.635000
2009-07-29,16.525000
2009-07-30,16.670000
2009-07-31,16.825000
2009-08-03,17.185000
2009-08-04,17.215000
2009-08-05,17.085000
2009-08-06,17.230000
2009-08-07,18.685000
2009-08-10,18.515000
2009-08-11,18.045000
2009-08-12,18.420000
2009-08-13,18.500000
2009-08-14,17.920000
2009-08-17,17.110000
2009-08-18,17.285000
2009-08-19,17.245000
2009-08-20,17.615000
2009-08-21,18.070000
2009-08-24,18.030000
2009-08-25,18.090000
2009-08-26,18.475000
2009-08-27,18.965000
2009-08-28,18.995000
2009-08-31,18.725000
2009-09-01,18.280000
2009-09-02,18.385000
2009-09-03,18.610000
2009-09-04,18.890000
2009-09-08,19.375000
2009-09-09,19.165000
2009-09-10,19.400000
2009-09-11,19.500000
2009-09-14,19.550000
2009-09-15,19.630000
2009-09-16,19.955000
2009-09-17,19.630000
2009-09-18,19.595000
2009-09-21,19.235000
2009-09-22,19.460000
2009-09-23,19.695000
2009-09-24,19.555000
2009-09-25,19.155000
2009-09-28,19.130000
2009-09-29,19.015000
2009-09-30,18.765000
2009-10-01,18.285000
2009-10-02,18.200000
2009-10-05,18.725000
2009-10-06,18.890000
2009-10-07,18.900000
2009-10-08,19.450000
2009-10-09,19.480000
2009-10-12,19.310000
2009-10-13,19.105000
2009-10-14,19.590000
2009-10-15,19.635000
2009-10-16,19.560000
2009-10-19,19.660000
2009-10-20,19.685000
2009-10-21,20.405000
2009-10-22,20.480000
2009-10-23,20.460000
2009-10-26,20.760000
2009-10-27,20.135000
2009-10-28,18.820000
2009-10-29,18.985000
2009-10-30,18.380000
2009-11-02,18.455000
2009-11-03,19.345000
2009-11-04,18.955000
2009-11-05,19.860000
2009-11-06,20.115000
2009-11-09,20.665000
2009-11-10,20.475000
2009-11-11,20.320000
2009-11-12,20.010000
2009-11-13,20.400000
2009-11-16,21.120000
2009-11-17,21.200000
2009-11-18,20.985000
2009-11-19,20.240000
2009-11-20,19.870000
2009-11-23,19.775000
2009-11-24,19.585000
2009-11-25,19.855000
2009-11-27,19.425000
2009-11-30,19.250000
2009-12-01,19.590000
2009-12-02,19.530000
2009-12-03,19.360000
2009-12-04,19.865000
2009-12-07,19.875000
2009-12-08,19.665000
2009-12-09,19.580000
2009-12-10,19.550000
2009-12-11,19.810000
2009-12-14,20.035000
2009-12-15,19.840000
