d,c
2009-01-02,39.770000
2009-01-05,38.640000
2009-01-06,40.080000
2009-01-07,39.070000
2009-01-08,37.910000
2009-01-09,37.100000
2009-01-12,36.120000
2009-01-13,37.340000
2009-01-14,35.790000
2009-01-15,37.350000
2009-01-16,39.340000
2009-01-20,35.730000
2009-01-21,38.010000
2009-01-22,37.080000
2009-01-23,38.560000
2009-01-26,38.540000
2009-01-27,38.850000
2009-01-28,41.650000
2009-01-29,37.000000
2009-01-30,37.810000
2009-02-02,38.600000
2009-02-03,38.020000
2009-02-04,36.940000
2009-02-05,35.640000
2009-02-06,37.590000
2009-02-09,37.520000
2009-02-10,34.650000
2009-02-11,35.100000
2009-02-12,33.980000
2009-02-13,32.240000
2009-02-17,31.320000
2009-02-18,31.620000
2009-02-19,29.920000
2009-02-20,32.600000
2009-02-23,31.110000
2009-02-24,33.450000
2009-02-25,32.770000
2009-02-26,31.560000
2009-02-27,30.770000
2009-03-02,28.830000
2009-03-03,29.410000
2009-03-04,29.560000
2009-03-05,27.660000
2009-03-06,27.270000
2009-03-09,27.870000
2009-03-10,30.740000
2009-03-11,30.740000
2009-03-12,32.480000
2009-03-13,31.870000
2009-03-16,29.870000
2009-03-17,32.110000
2009-03-18,33.450000
2009-03-19,31.290000
2009-03-20,30.220000
2009-03-23,34.820000
2009-03-24,32.390000
2009-03-25,32.170000
2009-03-26,30.980000
2009-03-27,30.020000
2009-03-30,28.150000
2009-03-31,30.590000
2009-04-01,30.310000
2009-04-02,32.250000
2009-04-03,33.680000
2009-04-06,33.850000
2009-04-07,31.340000
2009-04-08,32.230000
2009-04-09,35.310000
2009-04-13,35.310000
2009-04-14,32.270000
2009-04-15,34.520000
2009-04-16,34.600000
2009-04-17,33.690000
2009-04-20,30.960000
2009-04-21,33.360000
2009-04-22,31.820000
2009-04-23,33.720000
2009-04-24,34.630000
2009-04-27,33.620000
2009-04-28,34.760000
2009-04-29,35.480000
2009-04-30,34.070000
2009-05-01,33.060000
2009-05-04,34.930000
2009-05-05,33.200000
2009-05-06,34.150000
2009-05-07,32.040000
2009-05-08,34.490000
2009-05-11,33.490000
2009-05-12,33.740000
2009-05-13,32.510000
2009-05-14,33.280000
2009-05-15,32.080000
2009-05-18,33.900000
2009-05-19,32.900000
2009-05-20,32.580000
2009-05-21,32.750000
2009-05-22,32.540000
2009-05-26,33.930000
