d,c
2009-01-02,21.030000
2009-01-05,20.740000
2009-01-06,21.260000
2009-01-07,21.280000
2009-01-08,20.630000
2009-01-09,19.440000
2009-01-12,18.810000
2009-01-13,18.490000
2009-01-14,18.190000
2009-01-15,18.350000
2009-01-16,18.520000
2009-01-20,17.550000
2009-01-21,17.980000
2009-01-22,17.020000
2009-01-23,17.340000
2009-01-26,17.330000
2009-01-27,17.800000
2009-01-28,18.000000
2009-01-29,17.370000
2009-01-30,16.830000
2009-02-02,17.100000
2009-02-03,17.410000
2009-02-04,17.420000
2009-02-05,17.410000
2009-02-06,18.710000
2009-02-09,18.350000
2009-02-10,17.750000
2009-02-11,17.660000
2009-02-12,17.300000
2009-02-13,17.190000
2009-02-17,17.250000
2009-02-18,17.530000
2009-02-19,17.570000
2009-02-20,17.030000
2009-02-23,16.950000
2009-02-24,17.480000
2009-02-25,17.410000
2009-02-26,17.110000
2009-02-27,17.570000
2009-03-02,17.140000
2009-03-03,17.480000
2009-03-04,17.650000
2009-03-05,17.390000
2009-03-06,16.690000
2009-03-09,16.450000
2009-03-10,17.120000
2009-03-11,17.510000
2009-03-12,18.230000
2009-03-13,18.470000
2009-03-16,18.300000
2009-03-17,18.830000
2009-03-18,19.210000
2009-03-19,19.390000
2009-03-20,18.960000
2009-03-23,20.670000
2009-03-24,20.340000
2009-03-25,19.930000
2009-03-26,19.990000
2009-03-27,19.660000
2009-03-30,18.770000
2009-03-31,19.020000
2009-04-01,19.260000
2009-04-02,19.820000
2009-04-03,20.130000
2009-04-06,19.990000
2009-04-07,19.380000
2009-04-08,18.890000
2009-04-09,19.950000
2009-04-13,19.200000
2009-04-14,19.060000
2009-04-15,19.030000
2009-04-16,19.840000
2009-04-17,19.880000
2009-04-20,19.050000
2009-04-21,19.820000
2009-04-22,20.110000
2009-04-23,19.820000
2009-04-24,20.210000
2009-04-27,20.260000
2009-04-28,20.670000
2009-04-29,21.200000
2009-04-30,21.250000
2009-05-01,21.300000
2009-05-04,21.280000
2009-05-05,20.440000
2009-05-06,19.980000
2009-05-07,19.560000
2009-05-08,20.330000
2009-05-11,19.690000
2009-05-12,19.200000
2009-05-13,18.990000
2009-05-14,19.530000
2009-05-15,19.490000
2009-05-18,19.930000
2009-05-19,20.610000
2009-05-20,21.230000
2009-05-21,21.090000
2009-05-22,21.280000
2009-05-26,22.090000
2009-05-27,21.690000
2009-05-28,21.660000
2009-05-29,21.830000
2009-06-01,22.470000
2009-06-02,22.620000
2009-06-03,22.240000
2009-06-04,22.640000
2009-06-05,22.870000
2009-06-08,22.340000
2009-06-09,22.200000
2009-06-10,22.320000
2009-06-11,23.030000
2009-06-12,23.100000
2009-06-15,23.060000
2009-06-16,22.970000
2009-06-17,23.010000
2009-06-18,23.010000
