date,qqq_close,ma50,ma100,ma200,breaker_state_today,breaker_state_used,target_leverage,actual_leverage,w_qqq,w_qld,w_tqqq,w_cash,traded_flag,rf_daily,portfolio_ret,equity_curve,drawdown
2010-02-12,43.760000,44.729040,43.752050,40.620225,1,1,2.0000,2.0000,0.0000,1.0000,0.0000,-0.0000,1,0.00000436,0.022406,1.022406,0.000000
2010-02-16,44.320000,44.734040,43.768750,40.670425,1,1,2.0000,2.0000,0.0000,1.0000,0.0000,-0.0000,0,0.00000397,0.025176,1.048146,0.000000
2010-02-17,44.570000,44.747640,43.789950,40.721425,1,1,2.0000,2.0000,0.0000,1.0000,0.0000,-0.0000,0,0.00000397,0.010653,1.059312,0.000000
2010-02-18,44.850000,44.762240,43.817750,40.770425,1,1,2.0000,2.0000,0.0000,1.0000,0.0000,-0.0000,0,0.00000397,0.012864,1.072939,0.000000
2010-02-19,44.830000,44.780640,43.849050,40.819475,1,1,2.0000,2.0000,0.0000,1.0000,0.0000,-0.0000,0,0.00000397,-0.001234,1.071615,-0.001234
2010-02-22,44.740000,44.802600,43.872350,40.868025,1,1,2.0000,2.0000,0.0000,1.0000,0.0000,-0.0000,0,0.00000436,-0.004239,1.067073,-0.005467
2010-02-23,44.160000,44.804200,43.891750,40.917775,1,1,2.0000,2.0000,0.0000,1.0000,0.0000,-0.0000,0,0.00000436,-0.025364,1.040008,-0.030693
2010-02-24,44.610000,44.810400,43.915350,40.969675,1,1,2.0000,2.0000,0.0000,1.0000,0.0000,-0.0000,0,0.00000476,0.020055,1.060865,-0.011253
2010-02-25,44.600000,44.819800,43.951350,41.020925,1,1,2.0000,2.0000,0.0000,1.0000,0.0000,-0.0000,0,0.00000476,0.001748,1.062719,-0.009525
2010-02-26,44.760000,44.824000,43.990150,41.075075,1,1,2.0000,2.0000,0.0000,1.0000,0.0000,-0.0000,0,0.00000516,0.005877,1.068965,-0.003704
2010-03-01,45.410000,44.846200,44.032150,41.137025,1,1,2.0000,2.0000,0.0000,1.0000,0.0000,-0.0000,0,0.00000516,0.028152,1.099058,0.000000
2010-03-02,45.550000,44.870000,44.068250,41.197825,1,1,2.0000,2.0000,0.0000,1.0000,0.0000,-0.0000,0,0.00000516,0.006027,1.105683,0.000000
2010-03-03,45.600000,44.905600,44.103650,41.258975,1,1,2.0000,2.0000,0.0000,1.0000,0.0000,-0.0000,0,0.00000555,0.002396,1.108332,0.000000
2010-03-04,45.750000,44.931400,44.138750,41.316525,1,1,2.0000,2.0000,0.0000,1.0000,0.0000,-0.0000,0,0.00000555,0.006318,1.115334,0.000000
2010-03-05,46.440000,44.961000,44.178350,41.376725,1,1,2.0000,2.0000,0.0000,1.0000,0.0000,-0.0000,0,0.00000555,0.029527,1.148267,0.000000
2010-03-08,46.530000,44.987000,44.217950,41.437975,1,1,2.0000,2.0000,0.0000,1.0000,0.0000,-0.0000,0,0.00000595,0.004615,1.153566,0.000000
2010-03-09,46.790000,45.011600,44.260050,41.503675,1,1,2.0000,2.0000,0.0000,1.0000,0.0000,-0.0000,0,0.00000634,0.013618,1.169275,0.000000
2010-03-10,47.170000,45.035400,44.300150,41.571825,1,1,2.0000,2.0000,0.0000,1.0000,0.0000,-0.0000,0,0.00000634,0.013597,1.185174,0.000000
2010-03-11,47.350000,45.058000,44.343050,41.634625,1,1,2.0000,2.0000,0.0000,1.0000,0.0000,-0.0000,0,0.00000595,0.007186,1.193690,0.000000
2010-03-12,47.360000,45.084600,44.388850,41.698675,1,1,2.0000,2.0000,0.0000,1.0000,0.0000,-0.0000,0,0.00000634,0.001427,1.195393,0.000000
2010-03-15,47.240000,45.106000,44.429150,41.760125,1,1,2.0000,2.0000,0.0000,1.0000,0.0000,-0.0000,0,0.00000595,-0.004116,1.190473,-0.004116
2010-03-16,47.540000,45.141800,44.472350,41.820525,1,1,2.0000,2.0000,0.0000,1.0000,0.0000,-0.0000,0,0.00000674,0.012241,1.205046,0.000000
2010-03-17,47.670000,45.166800,44.517650,41.876925,1,1,2.0000,2.0000,0.0000,1.0000,0.0000,-0.0000,0,0.00000634,0.003613,1.209399,0.000000
2010-03-18,47.830000,45.195000,44.562850,41.933875,1,1,2.0000,2.0000,0.0000,1.0000,0.0000,-0.0000,0,0.00000595,0.007042,1.217916,0.000000
2010-03-19,47.490000,45.222000,44.606450,41.989675,1,1,2.0000,2.0000,0.0000,1.0000,0.0000,-0.0000,0,0.00000634,-0.011500,1.203910,-0.011500
2010-03-22,47.920000,45.257000,44.655750,42.045575,1,1,2.0000,2.0000,0.0000,1.0000,0.0000,-0.0000,0,0.00000634,0.017922,1.225487,0.000000
2010-03-23,48.252500,45.291050,44.714875,42.102938,1,1,2.0000,2.0000,0.0000,1.0000,0.0000,-0.0000,0,0.00000595,0.014363,1.243088,0.000000
2010-03-24,48.020000,45.324250,44.781175,42.159688,1,1,2.0000,2.0000,0.0000,1.0000,0.0000,-0.0000,0,0.00000555,-0.009592,1.231164,-0.009592
2010-03-25,47.950000,45.367650,44.839775,42.214688,1,1,2.0000,2.0000,0.0000,1.0000,0.0000,-0.0000,0,0.00000555,-0.004304,1.225864,-0.013855
2010-03-26,48.000000,45.400650,44.910175,42.270588,1,1,2.0000,2.0000,0.0000,1.0000,0.0000,-0.0000,0,0.00000555,0.003551,1.230218,-0.010353
2010-03-29,48.230000,45.437450,44.981175,42.327638,1,1,2.0000,2.0000,0.0000,1.0000,0.0000,-0.0000,0,0.00000555,0.008923,1.241195,-0.001523
2010-03-30,48.390000,45.488250,45.052475,42.386338,1,1,2.0000,2.0000,0.0000,1.0000,0.0000,-0.0000,0,0.00000595,0.006405,1.249144,0.000000
2010-03-31,48.160000,45.519650,45.120775,42.447638,1,1,2.0000,2.0000,0.0000,1.0000,0.0000,-0.0000,0,0.00000634,-0.008485,1.238545,-0.008485
2010-04-01,48.160000,45.564450,45.178875,42.510688,1,1,2.0000,2.0000,0.0000,1.0000,0.0000,-0.0000,0,0.00000634,-0.000917,1.237409,-0.009394
2010-04-05,48.610000,45.626850,45.238975,42.574293,1,1,2.0000,2.0000,0.0000,1.0000,0.0000,-0.0000,0,0.00000634,0.017743,1.259365,0.000000
2010-04-06,48.750000,45.718650,45.291375,42.638943,1,1,2.0000,2.0000,0.0000,1.0000,0.0000,-0.0000,0,0.00000714,0.005560,1.266368,0.000000
2010-04-07,48.630000,45.805050,45.341475,42.701293,1,1,2.0000,2.0000,0.0000,1.0000,0.0000,-0.0000,0,0.00000674,-0.003737,1.261635,-0.003737
2010-04-08,48.740000,45.892850,45.389875,42.769593,1,1,2.0000,2.0000,0.0000,1.0000,0.0000,-0.0000,0,0.00000674,0.002851,1.265231,-0.000897
2010-04-09,49.030000,45.979450,45.443675,42.839743,1,1,2.0000,2.0000,0.0000,1.0000,0.0000,-0.0000,0,0.00000674,0.012416,1.280941,0.000000
2010-04-12,49.070000,46.089850,45.494275,42.907143,1,1,2.0000,2.0000,0.0000,1.0000,0.0000,-0.0000,0,0.00000634,0.001478,1.282834,0.000000
2010-04-13,49.320000,46.220450,45.542875,42.972293,1,1,2.0000,2.0000,0.0000,1.0000,0.0000,-0.0000,0,0.00000634,0.010327,1.296082,0.000000
2010-04-14,49.910000,46.353450,45.595975,43.039988,1,1,2.0000,2.0000,0.0000,1.0000,0.0000,-0.0000,0,0.00000634,0.024094,1.327310,0.000000
2010-04-15,50.130000,46.483050,45.653745,43.108388,1,1,2.0000,2.0000,0.0000,1.0000,0.0000,-0.0000,0,0.00000634,0.008698,1.338855,0.000000
2010-04-16,49.530000,46.595850,45.712445,43.174138,1,1,2.0000,2.0000,0.0000,1.0000,0.0000,-0.0000,0,0.00000634,-0.023607,1.307249,-0.023607
2010-04-19,49.500000,46.733450,45.773045,43.239638,1,1,2.0000,2.0000,0.0000,1.0000,0.0000,-0.0000,0,0.00000634,-0.001737,1.304978,-0.025303
2010-04-20,49.750000,46.868850,45.829145,43.310388,1,1,2.0000,2.0000,0.0000,1.0000,0.0000,-0.0000,0,0.00000634,0.010442,1.318605,-0.015125
2010-04-21,50.030000,47.016050,45.889545,43.383488,1,1,2.0000,2.0000,0.0000,1.0000,0.0000,-0.0000,0,0.00000634,0.011195,1.333367,-0.004099
2010-04-22,50.310000,47.160050,45.950845,43.462388,1,1,2.0000,2.0000,0.0000,1.0000,0.0000,-0.0000,0,0.00000595,0.010504,1.347373,0.000000
2010-04-23,50.520000,47.310050,46.020945,43.541438,1,1,2.0000,2.0000,0.0000,1.0000,0.0000,-0.0000,0,0.00000634,0.008568,1.358918,0.000000
2010-04-26,50.410000,47.444850,46.089445,43.619638,1,1,2.0000,2.0000,0.0000,1.0000,0.0000,-0.0000,0,0.00000634,-0.004875,1.352293,-0.004875
2010-04-27,49.340000,47.556450,46.142745,43.691738,1,1,2.0000,2.0000,0.0000,1.0000,0.0000,-0.0000,0,0.00000634,-0.041119,1.296687,-0.045794
2010-04-28,49.370000,47.657450,46.195745,43.760638,1,1,2.0000,2.0000,0.0000,1.0000,0.0000,-0.0000,0,0.00000634,0.000846,1.297785,-0.044986
2010-04-29,50.230000,47.770650,46.259145,43.833188,1,1,2.0000,2.0000,0.0000,1.0000,0.0000,-0.0000,0,0.00000634,0.033688,1.341505,-0.012813
2010-04-30,49.237500,47.858400,46.310320,43.894775,1,1,2.0000,2.0000,0.0000,1.0000,0.0000,-0.0000,0,0.00000674,-0.038375,1.290025,-0.050696
2010-05-03,49.930000,47.960400,46.370520,43.959375,1,1,2.0000,2.0000,0.0000,1.0000,0.0000,-0.0000,0,0.00000634,0.027436,1.325418,-0.024652
2010-05-04,48.430000,48.034200,46.418400,44.013725,1,1,2.0000,2.0000,0.0000,1.0000,0.0000,-0.0000,0,0.00000674,-0.059974,1.245927,-0.083147
2010-05-05,48.180000,48.114600,46.459400,44.065025,1,1,2.0000,2.0000,0.0000,1.0000,0.0000,-0.0000,0,0.00000634,-0.010026,1.233435,-0.092340
2010-05-06,46.570000,48.153800,46.482100,44.106975,1,1,2.0000,2.0000,0.0000,1.0000,0.0000,-0.0000,0,0.00000595,-0.066317,1.151638,-0.152533
2010-05-07,45.410000,48.170000,46.494900,44.141525,1,1,2.0000,2.0000,0.0000,1.0000,0.0000,-0.0000,0,0.00000436,-0.047300,1.097165,-0.192619
2010-05-10,47.770000,48.230200,46.527100,44.183625,1,1,2.0000,2.0000,0.0000,1.0000,0.0000,-0.0000,0,0.00000516,0.098845,1.205614,-0.112813
2010-05-11,47.720000,48.276400,46.561300,44.226975,1,1,2.0000,2.0000,0.0000,1.0000,0.0000,-0.0000,0,0.00000634,-0.001099,1.204289,-0.113788
2010-05-12,48.620000,48.337800,46.603900,44.273325,1,1,2.0000,2.0000,0.0000,1.0000,0.0000,-0.0000,0,0.00000634,0.037215,1.249107,-0.080808
2010-05-13,47.850000,48.382800,46.644200,44.317175,1,1,2.0000,2.0000,0.0000,1.0000,0.0000,-0.0000,0,0.00000634,-0.031183,1.210156,-0.109470
2010-05-14,46.930000,48.406400,46.668900,44.355125,1,1,2.0000,2.0000,0.0000,1.0000,0.0000,-0.0000,0,0.00000634,-0.038005,1.164165,-0.143315
2010-05-17,47.080000,48.419200,46.690100,44.392675,1,1,2.0000,2.0000,0.0000,1.0000,0.0000,-0.0000,0,0.00000634,0.006665,1.171924,-0.137604
2010-05-18,46.430000,48.417200,46.702100,44.427575,1,1,2.0000,2.0000,0.0000,1.0000,0.0000,-0.0000,0,0.00000634,-0.027617,1.139560,-0.161421
2010-05-19,46.060000,48.402600,46.707100,44.457675,1,1,2.0000,2.0000,0.0000,1.0000,0.0000,-0.0000,0,0.00000674,-0.017605,1.119499,-0.176184
2010-05-20,44.350000,48.346200,46.690800,44.479225,1,1,2.0000,2.0000,0.0000,1.0000,0.0000,-0.0000,0,0.00000674,-0.072190,1.038682,-0.235655
2010-05-21,44.840000,48.296000,46.677000,44.504775,1,1,2.0000,2.0000,0.0000,1.0000,0.0000,-0.0000,0,0.00000674,0.017858,1.057231,-0.222005
2010-05-24,44.660000,48.242000,46.663300,44.531175,1,1,2.0000,2.0000,0.0000,1.0000,0.0000,-0.0000,0,0.00000674,-0.006445,1.050417,-0.227019
2010-05-25,44.700000,48.191200,46.648600,44.555275,1,1,2.0000,2.0000,0.0000,1.0000,0.0000,-0.0000,0,0.00000674,0.002342,1.052877,-0.225209
2010-05-26,44.200000,48.124400,46.633100,44.578275,1,1,2.0000,2.0000,0.0000,1.0000,0.0000,-0.0000,0,0.00000674,-0.024268,1.027327,-0.244011
2010-05-27,45.870000,48.088400,46.627600,44.611325,1,1,2.0000,2.0000,0.0000,1.0000,0.0000,-0.0000,0,0.00000674,0.077561,1.107006,-0.185376
2010-05-28,45.600000,48.043800,46.619400,44.639975,1,1,2.0000,2.0000,0.0000,1.0000,0.0000,-0.0000,0,0.00000674,-0.011967,1.093759,-0.195125
2010-06-01,45.180000,47.997600,46.609800,44.665425,1,1,2.0000,2.0000,0.0000,1.0000,0.0000,-0.0000,0,0.00000634,-0.018169,1.073886,-0.209749
2010-06-02,46.250000,47.964200,46.610600,44.698525,1,1,2.0000,2.0000,0.0000,1.0000,0.0000,-0.0000,0,0.00000634,0.047938,1.125366,-0.171866
2010-06-03,46.690000,47.932950,46.612000,44.739575,1,1,2.0000,2.0000,0.0000,1.0000,0.0000,-0.0000,0,0.00000634,0.017994,1.145616,-0.156964
2010-06-04,45.092500,47.874400,46.599325,44.769888,1,1,2.0000,2.0000,0.0000,1.0000,0.0000,-0.0000,0,0.00000555,-0.066083,1.069911,-0.212674
2010-06-07,44.270000,47.800800,46.584225,44.794738,0,1,2.0000,2.0000,0.0000,1.0000,0.0000,-0.0000,0,0.00000555,-0.038032,1.029220,-0.242618
2010-06-08,44.190000,47.724600,46.562625,44.816888,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1,0.00000476,0.003359,1.032677,-0.240074
2010-06-09,43.820000,47.636400,46.536925,44.834538,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,0.00000476,0.000005,1.032682,-0.240070
2010-06-10,45.070000,47.570000,46.529125,44.858638,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,0.00000397,0.000004,1.032686,-0.240067
2010-06-11,45.500000,47.516800,46.518225,44.884288,1,0,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,0.00000397,0.000004,1.032691,-0.240064
2010-06-14,45.490000,47.463400,46.513925,44.910238,1,1,2.0000,2.0000,0.0000,1.0000,0.0000,0.0000,1,0.00000317,-0.018981,1.013089,-0.254488
2010-06-15,46.710000,47.425400,46.526125,44.941788,1,1,2.0000,2.0000,0.0000,1.0000,0.0000,0.0000,0,0.00000278,0.053385,1.067173,-0.214689
2010-06-16,46.900000,47.388400,46.553525,44.974088,1,1,2.0000,2.0000,0.0000,1.0000,0.0000,0.0000,0,0.00000357,0.008777,1.076540,-0.207796
2010-06-17,47.050000,47.356800,46.580925,45.009188,1,1,2.0000,2.0000,0.0000,1.0000,0.0000,0.0000,0,0.00000397,0.006403,1.083433,-0.202723
2010-06-18,47.000000,47.322000,46.607425,45.047788,1,1,2.0000,2.0000,0.0000,1.0000,0.0000,0.0000,0,0.00000357,0.002838,1.086508,-0.200461
2010-06-21,46.600000,47.273400,46.626425,45.084538,1,1,2.0000,2.0000,0.0000,1.0000,0.0000,0.0000,0,0.00000436,-0.014542,1.070708,-0.212088
2010-06-22,46.240000,47.216800,46.653325,45.118188,1,1,2.0000,2.0000,0.0000,1.0000,0.0000,0.0000,0,0.00000476,-0.019809,1.049499,-0.227695
