d,o,h,l,c,v
2025-07-01,385.100000,392.580000,381.517200,392.100000,4516381
2025-07-02,384.640000,386.880000,372.730000,378.470000,6912202
2025-07-03,378.000000,383.200000,377.800000,379.310000,2863680
2025-07-07,378.900000,382.220000,375.520000,376.930000,3545108
2025-07-08,378.500000,386.601100,377.180000,382.240000,3708199
2025-07-09,383.500000,384.745100,370.910000,373.380000,4726562
2025-07-10,371.990000,373.500000,365.510000,371.430000,4023925
2025-07-11,368.000000,371.150000,362.700000,363.350000,3548721
2025-07-14,363.185000,367.680000,360.180000,366.990000,2898705
2025-07-15,367.000000,368.320000,363.880000,364.180000,2550992
2025-07-16,364.585000,365.552400,358.710000,361.770000,3592883
2025-07-17,360.600000,366.960000,359.280000,366.450000,3340455
2025-07-18,367.065000,367.790000,364.000000,365.790000,2459234
2025-07-21,366.490000,368.280000,363.130000,367.680000,2770433
2025-07-22,368.000000,374.500000,368.000000,372.870000,2448998
2025-07-23,373.490000,373.990000,369.260000,372.460000,1994599
2025-07-24,371.900000,375.997400,370.610000,371.690000,2692132
2025-07-25,372.310000,372.405000,369.510000,370.740000,2053161
2025-07-28,371.030000,372.590000,368.720000,369.470000,2984225
2025-07-29,370.450000,376.160000,369.710100,370.700000,4234200
2025-07-30,370.680000,370.720000,363.480000,364.000000,3295204
2025-07-31,362.260000,362.500000,354.270000,357.690000,4513089
2025-08-01,355.950000,356.290000,347.460000,347.800000,4307890
2025-08-04,351.160000,351.210000,338.040000,338.850000,6449344
2025-08-05,339.305000,342.735000,337.350000,338.740000,3908970
2025-08-06,341.650000,345.660000,339.190000,345.620000,3347165
2025-08-07,344.040000,347.380000,332.650000,338.270000,4661824
2025-08-08,338.675000,341.568400,336.370000,341.050000,3507764
2025-08-11,334.530000,343.403500,332.465000,333.650000,4366242
2025-08-12,333.520000,338.760000,330.040000,338.430000,3572414
2025-08-13,339.540000,351.760000,337.550000,351.070000,4375105
2025-08-14,349.500000,351.559900,346.100000,348.580000,3745646
2025-08-15,348.330000,357.290000,348.000000,354.850000,3718652
2025-08-18,355.680000,358.390000,353.000000,357.240000,2922973
2025-08-19,359.215000,364.240000,358.120000,361.030000,2808040
2025-08-20,361.680000,363.000000,353.200000,353.430000,3727897
2025-08-21,349.910000,353.820000,347.000000,353.430000,2363230
2025-08-22,355.800000,362.650000,354.000000,362.090000,3058636
2025-08-25,362.560000,364.650000,361.400000,363.210000,2259516
2025-08-26,363.030000,363.230000,353.695000,354.910000,4067395
2025-08-27,355.980000,360.370000,355.160000,356.350000,2353776
2025-08-28,357.630000,358.260000,349.110000,353.960000,3803095
2025-08-29,353.995000,357.250000,352.455000,356.700000,2639259
2025-09-02,350.240000,352.713100,341.280000,345.630000,4229423
2025-09-03,345.720000,348.510000,343.360000,348.500000,3035328
2025-09-04,342.240000,344.405000,331.500000,344.310000,4918293
2025-09-05,345.805000,354.670000,345.101300,348.970000,4662587
2025-09-08,348.855000,358.820000,343.590000,358.660000,5043305
2025-09-09,362.750000,362.750000,353.030000,354.060000,4324857
2025-09-10,356.290000,359.190000,348.120000,350.160000,4552514
2025-09-11,354.685000,355.250000,347.160000,350.550000,11804184
2025-09-12,361.100000,366.500000,341.610000,349.360000,14146624
2025-09-15,350.500000,358.000000,345.050000,347.100000,6768570
2025-09-16,350.155000,356.940000,348.317300,352.730000,6696990
2025-09-17,353.180000,365.000000,353.180000,362.070000,6449922
2025-09-18,366.860000,370.860000,365.850000,367.460000,4752377
2025-09-19,368.940000,370.310000,362.540000,365.900000,7693030
2025-09-22,364.160000,365.380000,359.360000,364.080000,4709584
2025-09-23,364.175000,368.730000,361.295000,361.780000,3831134
2025-09-24,355.595000,355.595000,347.800000,353.270000,6140007
2025-09-25,351.910000,357.000000,351.500000,354.160000,3336731
2025-09-26,353.710000,360.715000,352.775000,360.370000,3072990
2025-09-29,362.040000,363.170000,358.800000,359.420000,4075860
2025-09-30,360.540000,362.000000,349.902400,352.750000,5360695
2025-10-01,347.160000,349.829900,340.050000,343.720000,6505709
2025-10-02,343.760000,351.730000,342.420000,351.480000,3955434
2025-10-03,352.000000,352.592600,346.305000,346.740000,3122111
2025-10-06,346.930000,357.340000,342.040000,350.140000,5340202
2025-10-07,352.590000,353.330000,344.240000,348.310000,3275506
2025-10-08,350.000000,354.050000,347.520000,348.770000,3285027
2025-10-09,349.770000,350.600000,344.300000,347.470000,2895504
2025-10-10,347.910000,348.720000,336.940000,337.510000,4282397
2025-10-13,339.250000,340.276500,335.610000,339.320000,3020060
2025-10-14,335.220000,338.820000,332.720000,335.940000,3036889
2025-10-15,335.420000,335.600000,329.205000,330.630000,3929948
2025-10-16,333.860000,336.650000,327.500000,329.230000,4570870
2025-10-17,327.745000,335.100000,327.700000,333.260000,4035035
2025-10-20,334.640000,344.200000,334.250000,343.400000,3903166
2025-10-21,343.590000,358.370000,343.320000,357.550000,4389672
2025-10-22,355.480000,360.190000,352.870100,354.090000,3436003
2025-10-23,352.510000,354.350000,348.710000,354.120000,2408077
2025-10-24,357.210000,358.100000,353.290000,353.520000,2016850
2025-10-27,355.570000,358.560000,352.413500,357.800000,2828152
2025-10-28,360.000000,363.700000,357.800000,359.910000,3005594
2025-10-29,355.515000,355.515000,337.050000,337.860000,6746464
2025-10-30,338.200000,344.695100,333.100000,339.240000,4373224
2025-10-31,338.700000,341.260000,336.800000,340.310000,3763381
2025-11-03,340.310000,342.460000,332.880000,337.470000,3916593
2025-11-04,335.020000,340.550000,332.810000,335.350000,3694266
2025-11-05,332.610000,336.840000,331.240000,335.530000,2646694
2025-11-06,333.000000,333.200000,324.550000,327.350000,3888696
2025-11-07,325.830000,331.010000,323.032900,326.950000,4112574
2025-11-10,328.000000,329.957600,325.000000,328.850000,3086999
2025-11-11,329.500000,334.000000,329.130000,333.220000,2827150
2025-11-12,333.610000,338.400000,333.175200,337.050000,2990154
2025-11-13,335.010000,340.000000,332.795000,333.600000,3084558
2025-11-14,332.910000,333.750000,328.590000,331.110000,2761396
2025-11-17,331.105000,332.380000,324.430000,325.070000,3299999
2025-11-18,323.780000,326.640000,320.800000,324.470000,3286395
2025-11-19,323.175000,323.360000,315.175000,318.110000,3738436
2025-11-20,318.870000,323.184700,312.090000,312.400000,3884778
2025-11-21,313.565000,327.750000,311.585000,324.190000,4825412
2025-11-24,325.000000,325.770000,318.340000,318.730000,5414378
2025-11-25,317.770000,321.520000,315.570000,319.550000,3765001
2025-11-26,319.200000,321.670000,316.100000,317.520000,3024994
2025-11-28,317.800000,322.310000,317.520000,320.130000,1802225
2025-12-01,316.390000,326.140000,316.110000,322.850000,3651321
2025-12-02,321.620000,325.960000,318.080000,322.810000,3959502
2025-12-03,321.980000,326.990000,320.630000,326.780000,3082184
2025-12-04,328.570000,330.890000,324.120000,328.730000,3592313
2025-12-05,330.600000,348.590000,329.710000,346.260000,7650368
2025-12-08,347.445000,348.479900,338.060000,339.120000,4293603
2025-12-09,341.400000,347.775000,338.480000,344.320000,4267653
2025-12-10,342.125000,347.920000,340.565000,343.130000,6789914
2025-12-11,341.645000,357.000000,333.790000,350.430000,10158661
2025-12-12,351.540000,362.710000,349.090100,356.430000,5483921
2025-12-15,352.600000,355.000000,343.880000,351.150000,5480102
2025-12-16,350.000000,355.860000,345.430100,347.890000,4118161
2025-12-17,347.890000,357.800000,347.802500,354.660000,4371591
2025-12-18,355.870000,358.340000,351.363600,355.810000,3352747
2025-12-19,355.525000,357.550000,351.590000,355.860000,8706340
2025-12-22,355.590000,359.570600,354.700000,357.530000,2960799
2025-12-23,357.470000,359.669900,350.580000,352.420000,3052537
2025-12-24,352.210000,354.750000,351.110000,352.980000,1166487
2025-12-26,352.500000,356.230000,352.281900,353.800000,1455122
2025-12-29,353.370000,356.680000,351.160000,353.160000,2794007
2025-12-30,352.030000,355.269900,350.009000,352.510000,2252633
2025-12-31,351.010000,352.880000,349.690000,349.990000,2116207
2026-01-02,350.675000,351.120000,331.640000,333.300000,5643504
2026-01-05,330.110000,334.470000,327.440000,331.560000,5012050
2026-01-06,330.000000,336.400000,329.500000,335.990000,3187432
2026-01-07,336.240000,342.780000,334.622600,338.100000,3183059
2026-01-08,337.380000,343.950000,334.675000,339.040000,3107661
