d,o,h,l,c,v
2025-08-01,222.360000,223.160000,218.850000,221.710000,3740673
2025-08-04,221.415000,223.530000,220.600000,222.400000,2848063
2025-08-05,222.980000,225.080000,219.390000,220.680000,3099199
2025-08-06,220.680000,221.170000,218.370000,220.690000,2547311
2025-08-07,223.100000,225.640000,222.190000,223.120000,2522300
2025-08-08,223.060000,224.940000,221.150000,223.950000,3078425
2025-08-11,225.000000,228.319900,223.440000,224.070000,3479224
2025-08-12,226.480000,234.290000,225.430000,232.040000,4979506
2025-08-13,232.970000,238.270000,232.120000,237.630000,3804670
2025-08-14,234.860000,236.870000,232.968200,236.210000,2182076
2025-08-15,237.210000,237.210000,231.035000,231.630000,3826462
2025-08-18,230.500000,234.040000,230.500000,231.550000,2260509
2025-08-19,231.640000,234.220000,229.810000,230.440000,4568962
2025-08-20,239.690000,245.400000,228.110000,244.870000,8529045
2025-08-21,244.000000,250.180000,243.490000,246.950000,5992008
2025-08-22,249.180000,257.215000,248.220000,252.200000,4990768
2025-08-25,252.640000,255.270000,251.260000,254.490000,3419202
2025-08-26,254.000000,257.720000,253.690000,255.630000,5735054
2025-08-27,254.590000,256.250000,252.870000,255.500000,3347379
2025-08-28,256.880000,258.130000,254.170000,254.250000,4038091
2025-08-29,253.060000,254.250000,250.520000,251.310000,3599066
2025-09-02,246.500000,248.520000,243.830000,248.320000,3115651
2025-09-03,248.320000,248.870000,241.930000,244.550000,3024556
2025-09-04,243.005000,246.320000,239.580000,246.110000,3574700
2025-09-05,246.220000,249.730000,245.380000,247.070000,2166082
2025-09-08,248.050000,249.432000,246.640000,248.980000,2418286
2025-09-09,248.110000,249.320000,246.522500,248.180000,2154627
2025-09-10,248.300000,249.050000,245.869600,247.210000,2474456
2025-09-11,247.760000,249.999900,246.490000,248.240000,2244714
2025-09-12,247.620000,248.230000,244.980000,245.210000,2109981
2025-09-15,239.420000,246.970000,238.775000,244.910000,2333155
2025-09-16,242.950000,247.319900,242.220000,244.100000,2913857
2025-09-17,244.110000,250.195000,244.110000,246.320000,2617571
2025-09-18,251.090000,252.000000,248.275000,249.050000,3129905
2025-09-19,249.950000,249.950000,243.580000,245.330000,5182620
2025-09-22,245.610000,249.040000,245.580000,247.340000,2167314
2025-09-23,248.370000,250.360000,246.330000,246.780000,2085832
2025-09-24,247.050000,249.820000,246.700000,248.610000,2479163
2025-09-25,247.570000,248.330000,243.520000,247.530000,2410945
2025-09-26,248.705000,249.410000,245.755000,247.560000,2648551
2025-09-29,249.330000,249.500000,243.850000,244.790000,3296263
2025-09-30,245.810000,247.200000,243.070000,245.700000,2508031
2025-10-01,243.710000,245.590000,236.220000,239.280000,4916320
2025-10-02,242.130000,243.970000,240.440000,241.670000,2774051
2025-10-03,242.050000,246.200000,241.590000,241.990000,2118611
2025-10-06,245.010000,245.010000,238.920000,242.500000,4021178
2025-10-07,243.390000,243.390000,233.025000,233.750000,3397760
2025-10-08,233.800000,239.360000,233.800000,237.930000,4017888
2025-10-09,236.840000,238.390000,235.100000,237.880000,3069164
2025-10-10,237.740000,239.035000,224.710000,225.320000,4425112
2025-10-13,228.320000,235.820000,226.960000,234.670000,4609877
2025-10-14,231.150000,238.780000,229.125000,235.400000,3431567
2025-10-15,238.190000,238.800000,234.960000,238.150000,2773694
2025-10-16,240.330000,244.225000,238.520000,241.610000,2898707
2025-10-17,241.770000,243.540000,238.590000,242.870000,2401260
2025-10-20,242.870000,246.835000,242.870000,246.220000,2760134
2025-10-21,247.840000,248.829900,245.610000,246.370000,2361679
2025-10-22,240.540000,241.640000,236.909000,240.360000,5270794
2025-10-23,237.300000,244.950000,237.260000,243.290000,2774906
2025-10-24,245.450000,245.510000,236.630000,238.010000,3488969
2025-10-27,239.695000,244.110000,238.345000,243.010000,3506236
2025-10-28,241.510000,243.680000,238.840000,239.350000,2420972
2025-10-29,239.760000,241.905300,234.520000,235.040000,3438519
2025-10-30,235.040000,236.625000,232.820000,232.900000,2940363
2025-10-31,232.900000,235.630000,231.540000,234.130000,2698153
2025-11-03,234.950000,237.000000,232.610000,233.610000,2266928
2025-11-04,233.010000,233.780000,228.760000,229.380000,3956608
2025-11-05,230.090000,238.480000,230.090000,236.000000,2971902
2025-11-06,235.190000,237.040000,231.200000,232.880000,3126797
2025-11-07,229.400000,230.805000,223.470000,228.480000,4583664
2025-11-10,231.860000,233.230000,228.330000,232.000000,3264201
2025-11-11,231.510000,235.000000,231.435000,233.410000,3159992
2025-11-12,236.920000,242.000000,235.835000,241.440000,4677722
2025-11-13,239.640000,241.315000,235.440000,237.530000,4897499
2025-11-14,234.190000,237.045000,230.430000,234.890000,3319687
2025-11-17,233.030000,234.220000,227.780000,229.940000,3885305
2025-11-18,229.850000,232.350000,227.720000,230.130000,3953373
2025-11-19,229.540000,234.399900,229.325000,232.200000,2790492
2025-11-20,234.290000,235.279100,224.250000,225.200000,4316566
2025-11-21,225.630000,234.530000,225.000000,232.320000,4467337
2025-11-24,233.650000,240.760000,233.250000,239.400000,8219853
2025-11-25,230.600000,252.480000,229.290000,252.020000,7515103
2025-11-26,255.220000,260.740000,252.920000,257.920000,5253418
2025-11-28,259.360000,265.750000,258.040100,265.340000,2589650
2025-12-01,262.950000,268.470000,262.000000,266.510000,7333468
2025-12-02,268.190000,274.125000,266.040000,272.970000,5266424
2025-12-03,274.490000,278.780000,271.580000,278.240000,4203067
2025-12-04,277.360000,279.550000,275.540000,277.260000,3254204
2025-12-05,280.120000,283.235000,279.140000,281.290000,3834290
2025-12-08,281.780000,282.540000,276.965000,279.130000,3191028
2025-12-09,277.580000,279.790000,275.250000,276.240000,2584991
2025-12-10,275.650000,282.400000,274.257200,281.570000,5176746
2025-12-11,281.570000,283.810000,278.490000,283.390000,2840020
2025-12-12,282.420000,284.225000,278.070000,279.320000,4182446
2025-12-15,281.630000,282.720000,278.900000,280.440000,3594819
2025-12-16,280.960000,282.000000,277.722500,278.400000,3625279
2025-12-17,279.380000,280.430000,270.140000,271.040000,4005950
2025-12-18,275.690000,277.100000,272.800000,274.920000,4104954
2025-12-19,275.090000,278.410000,274.000000,274.440000,9419971
2025-12-22,277.440000,278.410000,275.400000,275.820000,3369629
2025-12-23,275.630000,277.470000,274.580000,276.730000,1763352
2025-12-24,277.160000,279.165000,276.860000,277.560000,887672
2025-12-26,277.730000,278.000000,275.940000,276.840000,1746373
2025-12-29,275.640000,277.870000,274.145000,275.630000,1747986
2025-12-30,276.700000,277.100000,274.590000,274.820000,1287424
2025-12-31,274.820000,275.800000,271.100000,271.200000,1790996
2026-01-02,275.070000,276.000000,270.460000,273.740000,3608981
2026-01-05,275.220000,281.829700,273.765000,277.290000,3006684
2026-01-06,279.735000,294.149000,279.590000,292.940000,6427986
2026-01-07,288.890000,293.080000,286.750000,292.890000,3570563
2026-01-08,290.380000,299.530000,289.510000,299.160000,3775548
2026-01-09,299.770000,303.200000,297.120000,300.930000,3088141
2026-01-12,297.500000,298.350000,292.450000,293.860000,3308243
2026-01-13,295.180000,302.480000,294.660000,296.210000,2759609
