d,o,h,l,c,v
2025-08-01,308.000000,308.270000,299.560000,300.440000,1791603
2025-08-04,300.550000,303.090000,300.370000,302.260000,1560104
2025-08-05,302.180000,302.890000,299.290000,299.440000,1774907
2025-08-06,300.585000,302.460000,298.660000,301.640000,1879514
2025-08-07,303.680000,305.770000,301.580100,303.490000,1519885
2025-08-08,304.130000,306.825700,303.620000,305.810000,879386
2025-08-11,304.755000,306.940000,302.500000,303.720000,1265718
2025-08-12,303.520000,304.200000,299.010000,299.630000,1280112
2025-08-13,299.870000,305.110000,299.730000,304.950000,2351673
2025-08-14,304.950000,304.965000,301.430000,301.680000,1074439
2025-08-15,301.310000,304.030000,300.060000,301.790000,1362768
2025-08-18,302.020000,303.160000,301.100000,302.650000,1156707
2025-08-19,302.580000,306.730000,302.254500,305.720000,1227250
2025-08-20,306.840000,310.080000,305.665000,309.030000,1440741
2025-08-21,308.530000,308.990000,304.040000,304.940000,1458899
2025-08-22,306.450000,308.895000,303.372800,307.950000,1150919
2025-08-25,306.710000,307.800000,303.280000,303.840000,1138039
2025-08-26,303.130000,304.670000,302.120000,303.450000,2503458
2025-08-27,302.530000,304.330000,301.960000,303.090000,1109628
2025-08-28,303.040000,304.450000,301.745600,304.100000,1488198
2025-08-29,302.655000,305.310000,302.655000,304.050000,1106884
2025-09-02,301.640000,302.450000,298.300000,299.770000,1648489
2025-09-03,296.570000,300.070000,294.590000,298.860000,1448332
2025-09-04,298.920000,301.580000,296.715000,301.190000,1735422
2025-09-05,301.190000,302.680000,293.950000,295.970000,1892499
2025-09-08,296.580000,298.590000,293.510000,298.430000,1716594
2025-09-09,298.430000,298.900000,296.220000,297.240000,1349962
2025-09-10,297.840000,297.840000,290.380000,292.390000,1762147
2025-09-11,291.960000,299.220000,291.960000,298.030000,1984930
2025-09-12,294.960000,296.855000,292.190000,293.500000,1100095
2025-09-15,293.570000,294.930000,290.200000,290.870000,1290566
2025-09-16,290.250000,291.910000,282.270000,288.690000,2609133
2025-09-17,289.130000,291.320000,287.735000,288.750000,2275778
2025-09-18,288.055000,292.300000,287.435000,290.950000,2184382
2025-09-19,293.510000,293.510000,290.700000,292.000000,4039577
2025-09-22,289.460000,294.460000,288.535000,293.660000,2179604
2025-09-23,292.210000,293.490000,287.310000,289.215000,1926159
2025-09-24,288.600000,292.865000,287.940000,291.500000,3456621
2025-09-25,291.905000,293.290000,287.661000,288.890000,1862826
2025-09-26,289.560000,292.710000,288.545000,291.540000,1703929
2025-09-29,292.500000,294.350000,291.385000,292.660000,2155220
2025-09-30,288.490000,293.910000,285.030000,293.500000,3156491
2025-10-01,292.480000,293.640000,289.570800,291.610000,2200998
2025-10-02,289.220000,290.820000,286.420000,289.870000,2073868
2025-10-03,289.975000,292.380000,287.855000,291.310000,1227736
2025-10-06,291.500000,291.950000,288.490000,290.550000,1704082
2025-10-07,291.680000,293.510000,290.451800,292.940000,1150640
2025-10-08,292.560000,292.800000,289.820000,290.700000,1410087
2025-10-09,290.440000,291.340000,285.405000,285.890000,1340900
2025-10-10,286.850000,287.799900,284.650000,285.190000,2717739
2025-10-13,285.210000,286.829900,282.890000,284.350000,2041818
2025-10-14,283.660000,286.795000,283.620000,285.920000,1299516
2025-10-15,286.700000,287.690000,283.010000,284.210000,1568313
2025-10-16,284.260000,284.475000,279.420100,280.160000,1494358
2025-10-17,280.980000,282.900000,280.000000,281.270000,1301110
2025-10-20,281.610000,283.741600,281.180000,283.030000,1395789
2025-10-21,283.460000,285.410000,282.290000,283.980000,1748209
2025-10-22,283.610000,287.400000,282.930000,283.950000,1234089
2025-10-23,282.700000,284.232500,280.660000,281.550000,1338448
2025-10-24,282.250000,282.860000,280.680000,280.940000,1263253
2025-10-27,280.970000,282.890000,280.090000,280.530000,1980093
2025-10-28,280.000000,282.930000,279.308000,279.630000,2351313
2025-10-29,271.160000,272.810000,260.240000,261.220000,3346287
2025-10-30,262.220000,265.920000,260.220100,261.530000,2792361
2025-10-31,260.630000,262.075000,258.190000,260.300000,2557678
