d,o,h,l,c,v
2025-08-01,99.410000,99.410000,96.950000,98.090000,2768318
2025-08-04,98.060000,98.700000,97.630000,98.560000,2033465
2025-08-05,99.100000,99.600000,98.625000,98.920000,2985544
2025-08-06,101.500000,102.600000,97.470000,102.310000,3640277
2025-08-07,102.470000,103.780000,101.490000,102.280000,3676048
2025-08-08,102.570000,103.795000,101.490000,103.520000,2014653
2025-08-11,103.950000,104.350000,103.280000,104.170000,2013062
2025-08-12,104.510000,104.800000,103.510000,103.550000,3231493
2025-08-13,104.090000,105.850000,103.800000,105.700000,2447468
2025-08-14,105.920000,105.920000,104.950000,105.300000,2575059
2025-08-15,105.785000,106.155000,105.150000,105.380000,2645889
2025-08-18,105.440000,105.815000,104.990000,105.760000,1771743
2025-08-19,105.710000,106.970000,105.525000,106.890000,2275425
2025-08-20,106.630000,108.635000,106.500000,107.900000,2684861
2025-08-21,107.860000,108.540000,107.540000,108.190000,3395452
2025-08-22,108.670000,109.650000,108.320000,108.460000,2230970
2025-08-25,108.260000,108.710000,107.340000,107.380000,1719708
2025-08-26,106.940000,108.220000,106.382600,108.160000,4624500
2025-08-27,107.790000,108.410000,107.410000,107.410000,3554791
2025-08-28,107.130000,107.215000,105.791000,106.100000,2439606
2025-08-29,106.390000,107.180000,106.295000,106.860000,2399020
2025-09-02,106.630000,106.800000,104.970000,105.620000,2980072
2025-09-03,105.090000,106.820000,104.750000,106.740000,2169150
2025-09-04,107.150000,108.765000,106.700000,108.550000,2429654
2025-09-05,108.510000,108.945000,106.300000,106.930000,2547829
2025-09-08,106.310000,106.550000,104.656900,106.340000,2971259
2025-09-09,106.220000,106.960000,105.480000,106.280000,1833393
2025-09-10,105.860000,107.290000,105.660000,107.230000,2093187
2025-09-11,107.180000,108.750000,106.925000,108.690000,1927219
2025-09-12,108.510000,109.510000,108.120000,109.130000,1799997
2025-09-15,109.040000,109.290000,108.200000,108.410000,1836514
2025-09-16,108.010000,108.114500,106.955000,107.630000,2874541
2025-09-17,107.990000,109.990000,107.100000,109.230000,2354386
2025-09-18,108.690000,109.340000,107.980000,108.000000,3167909
2025-09-19,108.370000,108.572500,107.795000,108.040000,6940718
2025-09-22,107.770000,108.170000,107.230000,107.400000,2673822
2025-09-23,107.350000,109.415000,106.850000,108.230000,2539896
2025-09-24,108.190000,109.360000,107.910000,109.310000,2134291
2025-09-25,109.570000,110.110000,108.620000,109.480000,1913151
2025-09-26,110.300000,111.442500,109.940000,111.360000,1878532
2025-09-29,111.450000,111.660000,110.700000,111.350000,2286243
2025-09-30,111.370000,111.850000,110.597500,111.700000,2523054
2025-10-01,111.000000,111.340000,110.170000,110.750000,1708950
2025-10-02,110.300000,111.190000,109.660000,110.600000,1704231
2025-10-03,110.570000,112.420000,110.060000,112.320000,1621347
2025-10-06,112.390000,113.390000,111.370000,113.070000,1607019
2025-10-07,113.330000,113.900000,112.550000,112.930000,1719378
2025-10-08,113.000000,113.285000,111.740100,111.900000,1756727
2025-10-09,112.400000,113.360000,110.750000,111.170000,1622550
2025-10-10,112.140000,112.330000,110.640000,110.950000,1480760
2025-10-13,110.570000,111.590000,109.690000,110.260000,1961958
2025-10-14,110.240000,111.570000,109.890000,111.510000,1788016
2025-10-15,111.010000,112.000000,109.390000,109.810000,1548586
2025-10-16,109.025000,109.025000,106.460400,106.730000,2025015
2025-10-17,107.090000,108.040000,106.960100,107.710000,1501451
2025-10-20,107.830000,109.100000,107.550000,108.770000,1108866
2025-10-21,108.490000,109.040000,107.690000,108.180000,2172425
2025-10-22,108.190000,108.820000,107.070000,107.850000,1824624
2025-10-23,108.300000,108.300000,107.015000,107.550000,1514192
2025-10-24,107.480000,107.880000,106.710000,107.180000,1673040
2025-10-27,107.420000,107.740000,106.770000,107.550000,1715316
2025-10-28,106.860000,107.360000,106.177900,106.680000,1589707
2025-10-29,106.360000,106.840000,105.426000,105.700000,1668694
2025-10-30,105.970000,107.500000,105.775000,106.840000,1503046
2025-10-31,105.850000,107.630000,105.750000,107.190000,2608967
2025-11-03,107.040000,108.030000,105.480000,106.970000,1853000
2025-11-04,107.870000,108.820000,106.865000,108.810000,2365391
2025-11-05,110.740000,113.840000,109.150100,111.240000,2965977
2025-11-06,111.350000,113.895000,111.030000,113.700000,2769029
2025-11-07,114.000000,114.780000,113.300000,114.090000,2337699
2025-11-10,113.300000,114.195000,112.390000,113.580000,1784536
2025-11-11,114.120000,115.080000,113.040000,113.790000,1985126
2025-11-12,113.760000,114.880000,113.710000,114.610000,1825103
2025-11-13,114.700000,115.450000,114.280000,115.010000,2911835
2025-11-14,115.100000,115.835000,113.310000,114.340000,1925899
2025-11-17,114.340000,114.440000,111.945000,112.270000,2633431
2025-11-18,111.860000,112.620000,111.555000,111.760000,2253591
2025-11-19,110.820000,111.150000,108.310000,109.400000,2596864
2025-11-20,109.860000,110.905000,109.380000,110.550000,2368731
2025-11-21,110.990000,111.750000,110.455000,110.980000,2411064
2025-11-24,110.890000,111.000000,109.420000,110.380000,6647208
2025-11-25,111.120000,112.460000,110.680000,111.630000,2085534
2025-11-26,111.460000,111.620000,110.535000,110.550000,1825286
2025-11-28,110.470000,111.560000,110.100000,110.310000,1140381
2025-12-01,110.310000,110.980000,109.340000,109.550000,2485625
2025-12-02,109.590000,109.785000,108.550000,108.830000,1623777
2025-12-03,108.830000,109.510000,108.290000,109.040000,1721214
2025-12-04,109.040000,110.135000,109.005000,109.240000,2192487
2025-12-05,108.940000,109.460000,108.500000,109.280000,2061594
2025-12-08,108.520000,108.920000,107.850000,108.060000,2170592
