d,o,h,l,c,v
2024-07-25,75.780000,76.480000,75.080000,75.250000,5303820
2024-07-26,75.650000,77.700000,75.630000,77.240000,3681487
2024-07-29,77.570000,78.340000,77.220000,77.980000,3973804
2024-07-30,78.300000,79.950000,78.150000,79.010000,4736234
2024-07-31,78.930000,79.940000,78.820000,79.230000,4025074
2024-08-01,76.480000,77.185000,73.810000,74.910000,11090589
2024-08-02,74.000000,74.580000,71.695000,71.970000,7453145
2024-08-05,70.820000,71.230000,69.000000,70.160000,6335205
2024-08-06,70.180000,71.840000,70.110000,71.240000,4514580
2024-08-07,72.000000,72.630000,70.500000,70.580000,4821243
2024-08-08,70.810000,72.640000,70.520000,72.140000,4444621
2024-08-09,72.070000,72.310000,71.500000,72.060000,3541157
2024-08-12,72.350000,72.720000,71.390000,71.610000,3997994
2024-08-13,71.920000,71.920000,70.940000,71.630000,3076669
2024-08-14,71.840000,73.210000,71.585000,72.910000,2362601
2024-08-15,73.880000,74.360000,73.070000,73.420000,3019275
2024-08-16,73.620000,73.969000,73.180000,73.560000,6155360
2024-08-19,73.380000,74.530000,73.270000,74.430000,2307813
2024-08-20,74.250000,74.460000,73.770000,73.880000,2672348
2024-08-21,73.940000,74.420000,73.495000,74.350000,2823332
2024-08-22,74.500000,75.060000,74.410000,74.760000,2726441
2024-08-23,75.400000,75.580000,74.640000,75.320000,2387656
2024-08-26,75.550000,75.960000,74.540000,74.610000,2552857
2024-08-27,74.980000,75.060000,74.370000,74.430000,2628387
2024-08-28,74.250000,75.770000,74.210000,75.520000,2386212
2024-08-29,75.880000,76.550000,75.070000,76.120000,2435127
2024-08-30,76.370000,77.105000,75.900000,77.050000,4385393
2024-09-03,76.750000,77.350000,75.590000,76.030000,3440562
2024-09-04,76.390000,76.780000,76.040000,76.690000,3128542
2024-09-05,77.240000,77.240000,73.530000,73.840000,5059401
2024-09-06,73.710000,74.740000,71.270000,71.910000,7205390
2024-09-09,72.510000,73.230000,71.930000,72.820000,5544492
2024-09-10,73.070000,73.100000,71.010000,72.310000,4717074
2024-09-11,72.170000,72.280000,71.050000,72.160000,3441619
2024-09-12,72.420000,73.200000,71.840000,73.180000,2814336
2024-09-13,73.490000,73.820000,72.335000,73.110000,3661679
2024-09-16,73.300000,73.744300,72.770000,73.000000,4081558
2024-09-17,73.040000,74.020000,73.000000,73.600000,2675948
2024-09-18,73.710000,74.105000,73.080000,73.300000,3648069
2024-09-19,74.300000,74.650000,73.130000,73.890000,5346638
2024-09-20,73.450000,73.940000,73.070000,73.760000,15499813
2024-09-23,73.970000,74.520000,73.640000,74.300000,3770482
2024-09-24,73.840000,74.240000,73.295000,73.420000,4821057
2024-09-25,74.010000,74.430000,72.980000,73.020000,2789954
