d,o,h,l,c,v
2025-08-01,66.810000,68.570000,64.950000,67.900000,4282556
2025-08-04,68.230000,69.310000,67.900000,68.560000,3261255
2025-08-05,69.310000,69.450000,66.665000,68.250000,2210070
2025-08-06,68.770000,69.150000,66.890000,67.300000,2106179
2025-08-07,69.860000,73.840000,69.805000,70.060000,5435424
2025-08-08,72.200000,76.892500,71.476000,75.480000,7616710
2025-08-11,84.765000,87.450000,79.920000,80.760000,12471469
2025-08-12,78.240000,80.590000,75.440000,77.980000,5415705
2025-08-13,81.100000,82.200000,79.250000,81.670000,3990385
2025-08-14,79.990000,81.680000,79.360100,81.430000,3495739
2025-08-15,81.270000,82.710000,81.100000,82.190000,2842349
2025-08-18,81.670000,84.790000,81.670000,83.090000,4375862
2025-08-19,82.300000,83.000000,80.310000,80.550000,3810844
2025-08-20,77.050000,79.490000,75.880000,78.120000,3456448
2025-08-21,77.380000,79.740000,76.884000,78.940000,2887811
2025-08-22,77.335000,82.630000,77.150000,81.340000,2876202
2025-08-25,80.730000,82.290000,80.030000,81.290000,2412179
2025-08-26,82.070000,83.450000,81.010000,81.530000,2495915
2025-08-27,81.480000,87.970000,81.400000,87.680000,5504638
2025-08-28,86.700000,86.980000,83.720000,84.920000,3539492
2025-08-29,85.630000,87.075000,84.630000,84.920000,1738858
2025-09-02,81.990000,82.190000,79.140200,79.540000,4041594
2025-09-03,79.170000,80.850000,78.610000,80.110000,1925998
2025-09-04,79.530000,79.745000,78.150000,79.270000,3900531
2025-09-05,82.210000,84.890000,80.860000,81.540000,4805519
2025-09-08,82.150000,82.660000,80.070000,82.000000,2332692
2025-09-09,75.220000,76.000000,71.385000,72.580000,13545169
2025-09-10,73.290000,74.730000,72.105000,73.320000,5511299
2025-09-11,71.840000,76.140000,71.250000,75.050000,3595608
2025-09-12,74.240000,76.340000,73.094900,75.980000,2508557
2025-09-15,78.090000,81.660000,77.500000,81.040000,5011902
2025-09-16,80.770000,82.000000,79.920000,80.940000,2255678
2025-09-17,80.890000,82.450000,78.910000,80.160000,2616696
2025-09-18,80.950000,81.600000,79.330000,80.930000,2218053
2025-09-19,82.100000,83.930000,81.310000,81.840000,3672562
2025-09-22,80.440000,82.490000,79.880000,80.380000,2537391
2025-09-23,80.860000,83.390000,79.590000,80.120000,2249026
2025-09-24,83.500000,85.605000,81.140000,81.580000,3532702
2025-09-25,81.710000,87.300000,80.290000,84.830000,4456002
2025-09-26,83.910000,89.349500,83.400000,88.100000,4186636
