d,o,h,l,c,v
2025-08-01,128.995000,139.000000,128.995000,136.520000,7978332
2025-08-04,140.680000,143.170000,136.270000,137.770000,2785770
2025-08-05,138.670000,141.510000,137.920000,139.650000,2025413
2025-08-06,139.000000,139.610000,134.400000,136.900000,2127875
2025-08-07,138.330000,140.270000,135.750000,138.770000,1421539
2025-08-08,138.510000,140.150000,137.050000,139.880000,1728709
2025-08-11,139.680000,141.960000,134.360000,134.820000,2726057
2025-08-12,135.030000,141.315000,134.360000,140.490000,1688617
2025-08-13,141.025000,146.800000,140.500000,145.740000,1810900
2025-08-14,143.710000,144.520000,141.500000,142.880000,1287036
2025-08-15,143.440000,145.298400,142.380000,142.430000,1110480
2025-08-18,142.360000,145.710000,142.000000,144.940000,1034066
2025-08-19,145.210000,149.010000,143.276000,143.770000,1644500
2025-08-20,143.240000,143.820000,141.616300,143.580000,1540971
2025-08-21,143.170000,143.170000,140.570000,140.670000,1669481
2025-08-22,141.100000,150.220000,141.100000,149.570000,1503051
2025-08-25,148.910000,149.452500,144.825000,144.960000,856691
2025-08-26,145.060000,146.360000,140.570000,141.780000,1063574
2025-08-27,141.630000,143.060000,139.000000,141.980000,1222270
2025-08-28,142.000000,142.970000,140.230000,141.130000,929151
2025-08-29,141.310000,143.280000,141.000000,141.960000,982412
2025-09-02,138.860000,139.320000,134.800000,137.160000,1168407
2025-09-03,136.810000,137.380000,131.210000,132.355000,1753548
2025-09-04,132.910000,135.110000,131.000000,134.700000,1270559
2025-09-05,135.110000,139.180000,135.110000,139.120000,1059223
2025-09-08,139.880000,139.880000,136.430000,136.860000,1423626
2025-09-09,135.820000,140.370000,135.171700,135.930000,1762882
2025-09-10,136.230000,138.540000,132.480000,132.940000,1518230
2025-09-11,133.000000,137.690000,132.930000,135.910000,1774885
2025-09-12,135.520000,135.520000,131.510000,131.560000,719910
2025-09-15,132.900000,133.720000,130.840000,131.060000,1057555
2025-09-16,131.760000,133.230000,131.270100,131.820000,761236
2025-09-17,131.510000,134.820000,128.520000,129.440000,1453124
2025-09-18,131.930000,132.890000,129.320000,132.570000,1223081
2025-09-19,131.840000,132.002800,130.100000,131.390000,2284689
2025-09-22,130.990000,131.970000,129.375000,131.180000,796512
2025-09-23,132.400000,132.410000,128.910000,129.000000,961128
2025-09-24,128.900000,130.285000,127.620000,128.180000,938530
2025-09-25,125.740000,126.657800,122.000000,124.880000,1623280
2025-09-26,125.460000,127.000000,124.550000,126.190000,909276
2025-09-29,127.940000,127.940000,125.250000,126.370000,942512
2025-09-30,125.600000,125.925000,123.020000,125.220000,1435356
2025-10-01,126.310000,128.090000,125.060100,127.520000,1284085
2025-10-02,128.420000,130.195000,127.310000,128.700000,1094722
