d,o,h,l,c,v
2025-08-01,165.110000,165.780000,163.410000,165.130000,1366374
2025-08-04,165.070000,167.240000,164.000000,166.730000,878347
2025-08-05,166.960000,167.210000,164.400000,165.400000,1161988
2025-08-06,165.910000,165.910000,163.720000,164.490000,863875
2025-08-07,165.350000,165.600000,163.075000,163.740000,953900
2025-08-08,164.320000,164.940000,163.370000,163.720000,576550
2025-08-11,163.360000,164.560000,163.060000,164.450000,793519
2025-08-12,164.860000,166.740000,163.460000,166.430000,749782
2025-08-13,167.030000,170.110000,166.225000,169.620000,988418
2025-08-14,168.580000,169.430000,167.300000,168.550000,959088
2025-08-15,169.270000,169.481800,166.915000,167.170000,549886
2025-08-18,167.510000,168.150000,166.860000,167.200000,563324
2025-08-19,167.320000,170.285000,167.320000,169.860000,844080
2025-08-20,169.220000,170.510000,168.010000,168.520000,671307
2025-08-21,167.620000,168.070000,166.700000,167.210000,483293
2025-08-22,167.820000,172.665000,167.130000,172.240000,754458
2025-08-25,171.670000,171.905000,169.800000,169.820000,626878
2025-08-26,169.970000,172.115000,169.350000,171.530000,1278942
2025-08-27,171.430000,172.450000,171.045000,172.000000,552886
2025-08-28,172.470000,172.950000,170.560000,170.970000,848319
2025-08-29,170.840000,171.890000,169.010000,169.800000,952263
2025-09-02,167.250000,168.465000,166.910000,167.990000,810022
2025-09-03,167.990000,168.469800,166.840000,167.690000,635942
2025-09-04,168.180000,170.820000,167.820000,170.750000,660436
2025-09-05,171.360000,173.245000,170.820000,171.860000,596750
2025-09-08,171.530000,173.250000,170.700000,173.100000,578158
2025-09-09,172.150000,173.090000,168.510000,169.970000,556609
2025-09-10,170.080000,171.650000,169.605000,170.430000,545552
2025-09-11,171.770000,177.750000,170.490000,177.180000,1364734
2025-09-12,176.290000,177.700000,174.460000,175.020000,1100182
2025-09-15,175.070000,177.630000,174.400000,176.200000,865294
2025-09-16,176.090000,177.680000,175.430000,177.040000,905453
2025-09-17,177.880000,179.600000,175.615000,176.610000,967426
2025-09-18,176.450000,179.920000,175.700000,178.780000,1241528
2025-09-19,178.810000,180.340000,177.420000,179.330000,3245980
2025-09-22,177.930000,179.270000,177.350000,177.810000,783285
2025-09-23,178.110000,179.709900,176.090000,177.440000,592032
2025-09-24,176.270000,177.780000,174.950000,175.340000,601864
2025-09-25,174.200000,174.835000,172.665000,172.970000,928189
2025-09-26,173.560000,175.400000,173.500000,175.010000,617376
2025-09-29,176.410000,178.010000,174.450000,175.040000,553346
2025-09-30,175.670000,177.910000,175.455000,177.350000,929327
2025-10-01,176.830000,177.905000,175.260000,176.730000,843291
2025-10-02,176.320000,177.750000,175.900000,177.740000,885545
2025-10-03,177.800000,179.560000,177.210000,177.290000,689356
2025-10-06,177.530000,178.230000,176.720000,177.360000,451380
2025-10-07,177.800000,178.020000,176.500000,177.030000,808222
2025-10-08,177.420000,178.610000,176.490000,178.270000,505735
2025-10-09,178.010000,178.220000,174.620000,175.450000,714423
2025-10-10,175.970000,176.770000,172.970000,173.290000,984960
2025-10-13,173.990000,175.690000,173.690000,173.690000,812843
2025-10-14,172.080000,176.699900,172.050000,175.600000,1068805
2025-10-15,175.850000,177.710000,175.210000,177.280000,581170
2025-10-16,177.280000,178.150000,175.910000,177.500000,919539
2025-10-17,176.750000,178.500000,176.580000,177.490000,568793
2025-10-20,178.180000,178.450000,173.970000,177.970000,591810
2025-10-21,177.750000,180.680000,177.395000,179.470000,797939
2025-10-22,179.100000,179.750000,175.450000,175.500000,966669
2025-10-23,171.695000,173.380000,166.155000,171.220000,1454695
2025-10-24,173.730000,173.730000,166.630000,167.300000,1078240
2025-10-27,168.200000,171.790000,167.430000,170.940000,1057760
2025-10-28,170.960000,171.470000,168.830000,169.080000,778354
2025-10-29,168.920000,169.165000,164.200000,165.590000,1146734
2025-10-30,165.380000,167.660000,164.270000,165.290000,636443
2025-10-31,165.000000,166.272300,164.830000,165.770000,830611
2025-11-03,165.400000,165.400000,163.520000,164.680000,679850
2025-11-04,164.390000,165.620000,163.345000,165.550000,797442
2025-11-05,165.180000,166.910000,163.950000,165.810000,578640
2025-11-06,165.730000,166.725000,164.940000,165.070000,655516
2025-11-07,165.180000,167.630000,164.685000,167.350000,613549
