d,o,h,l,c,v
2025-07-01,138.770000,140.230000,135.120200,136.110000,55257237
2025-07-02,135.530000,139.780000,135.220000,138.520000,39227986
2025-07-03,139.110000,139.500000,137.320000,137.910000,28645993
2025-07-07,136.560000,137.440000,133.500000,134.800000,37395010
2025-07-08,137.320000,139.150000,135.910000,137.820000,36124612
2025-07-09,138.690000,140.650000,137.590000,138.410000,37013130
2025-07-10,143.000000,145.820000,141.850000,144.160000,61101465
2025-07-11,142.600000,147.400000,141.600000,146.420000,50049179
2025-07-14,145.090000,147.580000,141.900000,146.240000,44718554
2025-07-15,153.750000,158.680000,153.560000,155.610000,93370081
2025-07-16,155.310000,160.360000,152.850000,160.080000,59492760
2025-07-17,161.810000,161.960000,158.680000,160.410000,50605117
2025-07-18,159.590000,160.830000,155.810000,156.990000,48859835
2025-07-21,157.620000,160.340000,156.920000,157.000000,39021130
2025-07-22,156.200000,156.229100,149.340000,154.720000,49028017
2025-07-23,156.315000,159.448500,156.000000,158.650000,41510896
2025-07-24,159.120000,163.930000,158.360000,162.120000,48440112
2025-07-25,163.505000,167.175000,162.360000,166.470000,53432260
2025-07-28,169.080000,174.700000,168.670000,173.660000,68267835
2025-07-29,175.205000,182.310000,174.680000,177.440000,108154838
2025-07-30,175.605000,180.370000,173.800000,179.510000,64820291
2025-07-31,182.015000,182.500000,173.000000,176.310000,71765285
2025-08-01,170.160000,174.400000,166.820000,171.700000,75396130
2025-08-04,174.605000,177.860000,173.560000,176.780000,52951044
2025-08-05,177.565000,177.990000,171.800000,174.310000,88808520
2025-08-06,165.050000,166.180000,157.800000,163.120000,133641835
2025-08-07,166.835000,175.750000,166.700000,172.400000,95448310
2025-08-08,174.040000,176.480000,170.520000,172.760000,68866692
2025-08-11,170.040000,178.820000,169.380000,172.280000,70651033
2025-08-12,173.320000,175.160000,168.500000,174.950000,52335746
2025-08-13,179.910000,186.650000,179.380000,184.420000,108305129
2025-08-14,179.830000,185.440000,179.560000,180.950000,66308821
2025-08-15,180.060000,180.140000,176.250000,177.510000,51543136
2025-08-18,176.755000,178.795300,174.360000,176.140000,35937528
2025-08-19,173.100000,173.170000,166.100000,166.550000,64455006
2025-08-20,164.100000,166.650000,158.250000,165.200000,60233226
2025-08-21,165.860000,165.879900,162.255800,163.710000,37880461
2025-08-22,162.170000,168.530000,161.800000,167.760000,43998605
2025-08-25,165.550000,165.590000,161.720000,163.360000,36134684
2025-08-26,168.650000,169.770000,164.910000,166.620000,52138562
2025-08-27,166.040000,167.680000,164.650000,167.130000,37031044
2025-08-28,168.500000,170.990000,166.650000,168.580000,36285192
2025-08-29,166.810000,168.570000,161.900000,162.630000,37516824
