d,o,h,l,c,v
2024-07-25,167.290000,171.610000,166.560000,168.520000,725679
2024-07-26,170.620000,174.030000,169.925000,172.270000,864601
2024-07-29,172.170000,173.220000,171.560000,171.900000,882768
2024-07-30,172.730000,174.570000,170.962300,172.350000,878335
2024-07-31,174.550000,175.970000,173.120000,173.480000,1143920
2024-08-01,165.000000,167.000000,156.540000,159.130000,4505942
2024-08-02,157.650000,157.650000,150.460000,152.740000,4082230
2024-08-05,150.500000,156.650000,149.030000,154.690000,3114081
2024-08-06,155.210000,159.610000,155.120000,156.980000,1820452
2024-08-07,158.300000,160.250000,156.240000,156.830000,2319267
2024-08-08,157.700000,159.320000,156.090000,158.850000,1666832
2024-08-09,158.820000,160.890000,156.980000,159.520000,1812809
2024-08-12,160.780000,162.570000,159.940000,160.760000,2157291
2024-08-13,160.630000,162.180000,158.870000,161.310000,1282242
2024-08-14,161.160000,162.960000,160.770000,161.480000,1008089
2024-08-15,163.830000,166.320000,162.460000,163.150000,879871
2024-08-16,162.500000,163.540000,161.740000,162.690000,1039517
2024-08-19,162.950000,164.810000,162.720000,164.670000,938911
2024-08-20,164.840000,165.860000,164.390000,164.860000,1031468
2024-08-21,164.890000,166.820000,164.650000,165.890000,791365
2024-08-22,165.950000,167.370000,164.960000,165.220000,1060784
2024-08-23,165.920000,167.910000,165.510000,167.390000,999349
2024-08-26,168.180000,169.580000,166.850000,168.320000,635050
2024-08-27,168.070000,168.465000,167.190000,167.980000,686295
2024-08-28,169.000000,170.860000,167.500000,168.590000,831508
2024-08-29,169.770000,170.870000,168.730000,169.380000,856335
2024-08-30,169.970000,171.370000,168.900000,171.050000,1235645
2024-09-03,170.260000,171.110000,165.970000,166.680000,1152597
2024-09-04,166.210000,168.200000,165.260000,167.490000,1107300
2024-09-05,166.880000,167.720000,164.465000,165.150000,1002139
2024-09-06,165.430000,166.990000,163.220000,163.640000,835941
2024-09-09,165.190000,165.500000,163.500000,164.300000,1321587
2024-09-10,165.250000,165.250000,163.330000,164.940000,797897
2024-09-11,164.830000,165.520000,162.250000,165.260000,1553355
2024-09-12,165.190000,167.840000,163.892500,166.890000,1106541
2024-09-13,167.640000,169.080000,167.100000,167.510000,920579
2024-09-16,168.640000,169.540000,167.410000,168.350000,839640
2024-09-17,168.910000,170.880000,168.270000,168.570000,853107
2024-09-18,169.500000,171.550000,168.090000,169.430000,1211442
2024-09-19,172.700000,172.700000,169.930000,172.250000,866425
2024-09-20,171.270000,171.390000,170.020000,171.100000,1237497
2024-09-23,171.510000,172.750000,170.470000,171.090000,641788
2024-09-24,171.690000,171.690000,169.820000,170.540000,1408886
2024-09-25,171.730000,172.760000,170.920000,171.250000,1672425
2024-09-26,173.000000,173.500000,170.780000,171.970000,1789097
2024-09-27,172.560000,173.870000,171.310000,172.070000,1183353
2024-09-30,171.700000,172.300000,169.500000,171.710000,1017931
2024-10-01,171.930000,172.270000,168.980000,169.100000,1869917
2024-10-02,168.460000,169.380000,167.285000,168.200000,2644523
2024-10-03,167.590000,169.240000,166.170000,169.100000,2125955
2024-10-04,170.810000,170.925000,168.770000,170.110000,718388
