d,o,h,l,c,v
2024-07-25,210.540000,215.860000,209.120000,209.920000,1926727
2024-07-26,210.810000,214.120000,210.060000,213.720000,1548313
2024-07-29,213.720000,215.590000,211.000000,214.930000,1607965
2024-07-30,220.000000,223.460000,217.610000,223.050000,2447841
2024-07-31,221.500000,222.330000,218.000000,220.400000,2924228
2024-08-01,222.800000,229.220000,222.010000,227.930000,3047037
2024-08-02,230.000000,236.000000,228.785000,234.640000,4750517
2024-08-05,231.880000,236.130000,226.010000,226.190000,4329568
2024-08-06,225.020000,230.650000,224.310000,228.160000,2823195
2024-08-07,226.350000,229.770000,225.050000,225.970000,3315841
2024-08-08,223.860000,225.550000,221.500000,223.610000,2942192
2024-08-09,224.840000,225.395000,222.340000,222.590000,2071509
2024-08-12,221.580000,225.660000,219.790000,225.540000,1455653
2024-08-13,225.860000,226.160000,222.030000,222.660000,5449941
2024-08-14,223.220000,225.220000,222.800000,223.180000,2313737
2024-08-15,221.270000,221.450000,217.500000,218.060000,1858378
2024-08-16,217.900000,220.439000,217.000000,219.850000,1986252
2024-08-19,219.420000,220.900000,219.040000,219.660000,1262046
2024-08-20,219.660000,220.980000,218.300000,220.380000,1630990
2024-08-21,218.370000,220.000000,217.020000,219.490000,2262630
2024-08-22,219.010000,220.615000,218.450000,220.100000,1926500
2024-08-23,220.970000,227.680000,220.560000,227.000000,1803979
2024-08-26,227.730000,228.390000,225.020000,225.310000,1142472
2024-08-27,222.190000,226.290000,222.190000,226.160000,921558
2024-08-28,226.450000,227.650000,224.180000,225.250000,1105576
2024-08-29,224.240000,226.250000,221.250000,223.520000,2003196
2024-08-30,223.880000,225.680000,221.430000,224.060000,1796764
2024-09-03,222.850000,231.690000,222.810000,230.370000,2660171
2024-09-04,231.430000,236.125000,230.260000,232.520000,2261861
2024-09-05,234.390000,235.430000,232.130000,233.640000,1990837
2024-09-06,234.000000,236.440000,232.530000,236.160000,2749994
2024-09-09,235.400000,239.215000,235.040000,238.530000,1983964
2024-09-10,239.350000,243.560000,239.150000,242.830000,2016794
2024-09-11,240.210000,241.160000,236.800000,238.970000,2216503
2024-09-12,239.000000,239.500000,233.940000,237.140000,2003818
2024-09-13,237.770000,238.780000,235.355000,238.500000,1983420
2024-09-16,238.920000,241.970000,238.920000,240.320000,2255500
2024-09-17,240.180000,241.460000,239.160000,239.450000,1526006
2024-09-18,238.860000,240.280000,235.355000,235.950000,1828121
2024-09-19,234.000000,234.560000,227.700100,232.310000,3434476
2024-09-20,231.660000,235.340000,230.740000,235.060000,3682951
2024-09-23,236.030000,236.889300,233.190000,236.270000,1762013
2024-09-24,234.240000,237.020000,233.740000,236.470000,1616104
2024-09-25,236.580000,238.340000,235.160000,235.630000,1447232
2024-09-26,233.120000,234.020000,230.260000,231.770000,2312538
2024-09-27,233.110000,233.500000,229.915000,230.320000,3051009
2024-09-30,230.130000,232.780000,228.750000,232.560000,2256722
2024-10-01,233.490000,234.470000,231.100000,232.070000,2279933
2024-10-02,230.990000,233.050000,229.520000,231.880000,2229583
2024-10-03,231.600000,231.710000,227.705000,229.280000,1590914
2024-10-04,225.870000,226.000000,221.510000,223.660000,1942688
2024-10-07,222.280000,223.540000,221.380000,223.370000,1658097
