d,o,h,l,c,v
2025-08-01,105.290000,105.320000,102.760000,104.310000,8736170
2025-08-04,108.560000,108.750000,106.410000,108.630000,8997966
2025-08-05,108.660000,109.895000,107.010000,107.930000,10434739
2025-08-06,108.250000,109.500000,107.535000,109.500000,6507885
2025-08-07,109.590000,110.380000,107.830000,108.550000,5794157
2025-08-08,109.160000,110.600000,108.500000,109.980000,5052533
2025-08-11,110.250000,110.995000,109.250000,109.810000,4859572
2025-08-12,110.160000,111.870000,109.790000,111.850000,7075934
2025-08-13,112.120000,112.349900,107.670000,109.830000,9871969
2025-08-14,109.010000,110.830000,108.770000,110.740000,6247245
2025-08-15,110.550000,110.720000,107.520000,109.210000,6535829
2025-08-18,110.000000,111.380000,109.720000,111.060000,6809188
2025-08-19,110.810000,112.015000,109.180000,109.980000,7000623
2025-08-20,109.300000,109.460000,104.710000,108.650000,9011667
2025-08-21,108.520000,109.480000,107.890000,108.810000,7320738
2025-08-22,109.010000,111.165000,108.430000,109.360000,7552683
2025-08-25,109.580000,111.480000,109.550800,109.730000,4086856
2025-08-26,109.820000,110.780000,109.730000,109.900000,10309449
2025-08-27,109.670000,110.660000,109.401000,110.130000,4433370
2025-08-28,110.100000,112.059500,109.555000,111.940000,5077194
2025-08-29,111.020000,111.290000,107.920000,108.860000,6201094
2025-09-02,106.890000,109.315000,105.450000,109.250000,6986813
2025-09-03,109.430000,110.730000,108.895000,110.690000,6826441
2025-09-04,111.100000,112.780000,110.260000,112.750000,8145687
2025-09-05,113.000000,113.690000,108.680000,110.450000,12409843
2025-09-08,111.100000,111.970000,110.385000,110.540000,9279672
2025-09-09,110.900000,117.240000,110.600000,116.790000,14095797
2025-09-10,118.000000,120.800000,116.645000,119.090000,18913175
2025-09-11,118.830000,120.230000,118.830000,119.470000,9831995
2025-09-12,119.030000,119.590000,117.815000,118.680000,6358932
2025-09-15,118.490000,120.510000,118.227900,119.240000,6063418
2025-09-16,119.180000,119.820000,118.210000,119.040000,7717863
2025-09-17,119.110000,119.500000,117.340000,118.410000,11958934
2025-09-18,119.000000,122.790000,118.880000,122.070000,12130408
2025-09-19,122.470000,124.385000,121.290000,123.940000,15836675
2025-09-22,123.000000,123.940000,121.191500,123.690000,12207240
2025-09-23,124.010000,126.060000,123.850000,125.400000,12013094
2025-09-24,125.600000,126.000700,121.530000,123.130000,8434141
2025-09-25,121.100000,122.380000,119.620000,122.330000,9004657
2025-09-26,122.780000,123.075000,121.320000,122.600000,6212662
2025-09-29,123.825000,124.235900,120.270000,121.010000,8113019
2025-09-30,121.400000,123.870000,121.310000,123.750000,7326171
2025-10-01,123.420000,125.539000,121.800000,124.660000,7350003
2025-10-02,125.300000,125.810000,121.900000,123.580000,6071854
2025-10-03,124.150000,124.690000,122.130000,122.220000,6315574
2025-10-06,124.410000,125.034400,122.510000,123.400000,6568644
2025-10-07,124.130000,124.750000,122.920000,124.530000,7395534
2025-10-08,124.480000,126.110000,123.830000,125.790000,6318659
2025-10-09,126.110000,126.490000,124.366200,126.250000,3322775
2025-10-10,127.060000,127.500000,121.390000,121.700000,5715106
2025-10-13,123.500000,125.160000,122.830000,123.910000,6140037
2025-10-14,121.730000,124.435000,120.039300,122.640000,5912458
2025-10-15,126.640000,127.480000,124.100000,125.600000,10113460
2025-10-16,126.960000,128.120000,126.460000,127.360000,6941854
2025-10-17,126.240000,127.050000,124.460000,125.650000,5884348
2025-10-20,126.570000,127.940000,125.700000,127.670000,5275269
2025-10-21,127.810000,128.090000,124.350000,124.440000,7927159
2025-10-22,135.350000,135.935000,125.000000,128.930000,22134655
2025-10-23,129.600000,136.520000,129.100000,135.310000,11987132
2025-10-24,137.190000,137.650000,133.300000,133.820000,9074013
2025-10-27,135.690000,137.010000,135.160000,135.910000,8472274
2025-10-28,135.990000,137.550000,134.680000,137.290000,6700241
2025-10-29,139.200000,141.720000,137.510000,139.750000,8477061
2025-10-30,139.000000,140.760000,137.660000,139.110000,7402828
2025-10-31,140.580000,141.689900,138.330000,139.340000,6447789
2025-11-03,140.310000,142.500000,139.986500,141.550000,9568735
2025-11-04,136.630000,138.580000,135.860000,136.700000,10704561
2025-11-05,136.680000,141.050000,136.500000,138.870000,8079306
2025-11-06,139.410000,139.990000,135.670000,138.110000,7647442
2025-11-07,136.760000,139.210000,134.510000,139.090000,8749472
2025-11-10,141.250000,144.370000,140.760000,143.850000,7783110
2025-11-11,142.500000,143.900000,140.680000,143.470000,6977276
2025-11-12,143.980000,144.050000,140.750000,141.920000,6538561
2025-11-13,141.180000,141.350000,134.830000,135.250000,10097681
2025-11-14,130.335000,136.695000,130.150000,133.740000,9797554
2025-11-17,132.590000,135.420000,131.250000,132.330000,6000918
2025-11-18,132.320000,133.190000,129.760000,132.440000,8100291
2025-11-19,132.200000,136.760000,131.690000,136.660000,8981254
2025-11-20,140.690000,140.690000,130.210000,130.360000,10313304
2025-11-21,130.360000,132.190000,127.190000,131.600000,8207291
2025-11-24,132.670000,138.310000,132.530000,137.880000,13568383
2025-11-25,137.510000,138.340000,133.935000,137.810000,7102867
2025-11-26,138.920000,139.440000,137.760000,138.720000,6443412
2025-11-28,139.490000,140.960000,138.300000,140.900000,3195094
2025-12-01,139.640000,140.090000,137.300000,139.220000,7337911
2025-12-02,142.000000,143.480000,140.900000,141.490000,8723278
2025-12-03,140.930000,141.055000,137.310000,138.650000,10115391
2025-12-04,137.990000,140.329700,137.680000,139.460000,8194869
2025-12-05,139.960000,139.960000,137.010000,139.360000,7437491
2025-12-08,140.000000,142.270000,139.640000,140.060000,3882755
2025-12-09,139.660000,140.930000,137.800000,138.580000,5597638
2025-12-10,138.550000,139.427000,136.360000,138.680000,6758767
2025-12-11,137.800000,139.150000,134.160000,139.090000,7247953
2025-12-12,138.110000,138.210000,128.280000,129.240000,13261008
