d,o,h,l,c,v
2025-08-01,142.010000,142.010000,135.670000,138.290000,4587610
2025-08-04,140.160000,142.350000,138.815000,142.020000,4227353
2025-08-05,148.930000,151.580000,143.160000,145.540000,5432017
2025-08-06,146.490000,148.270000,144.470000,145.870000,3190748
2025-08-07,149.840000,149.840000,138.100000,141.110000,5253745
2025-08-08,141.790000,143.540000,140.610000,141.970000,3008774
2025-08-11,141.920000,144.142500,141.675000,142.120000,2491820
2025-08-12,144.090000,146.722500,142.530000,144.600000,2913946
2025-08-13,145.820000,146.130000,138.370000,140.950000,5540503
2025-08-14,140.040000,141.330000,139.030000,140.680000,2562737
2025-08-15,142.270000,142.375000,138.410000,139.390000,3157753
2025-08-18,138.290000,140.665000,137.860000,139.390000,2244488
2025-08-19,139.320000,140.000000,136.530000,137.080000,2928051
2025-08-20,136.000000,136.120000,132.720000,135.340000,3363003
2025-08-21,134.150000,135.200000,133.085000,134.010000,2628138
2025-08-22,134.910000,138.040000,134.020000,134.200000,3420408
2025-08-25,134.020000,135.619900,133.810000,133.890000,2762572
2025-08-26,133.220000,134.680000,132.220000,134.400000,3634476
2025-08-27,134.060000,136.290000,133.590000,135.720000,2997152
2025-08-28,135.910000,137.170000,135.820000,136.390000,2190106
2025-08-29,136.440000,137.390000,135.955000,136.230000,4975963
2025-09-02,134.350000,135.980000,132.280000,135.840000,3697135
2025-09-03,135.060000,135.919900,130.510000,132.630000,4596824
2025-09-04,133.400000,135.330000,132.725000,134.760000,2922940
2025-09-05,134.930000,135.140000,128.975000,131.550000,4520624
2025-09-08,132.600000,134.680000,131.150000,134.440000,3249856
2025-09-09,132.900000,135.370000,132.500000,134.420000,3932261
2025-09-10,134.890000,137.420000,132.740000,133.640000,2641256
2025-09-11,133.880000,138.470000,133.730000,136.400000,2758399
2025-09-12,136.500000,138.330000,136.280000,138.030000,2306955
2025-09-15,138.690000,139.540000,137.980000,138.480000,2392506
2025-09-16,138.760000,140.240000,138.410000,140.050000,2536353
2025-09-17,140.840000,143.750000,136.370000,138.820000,5066754
2025-09-18,140.720000,144.040000,140.000000,143.490000,3841345
