d,o,h,l,c,v
2025-08-01,167.340000,167.340000,164.190000,165.820000,765721
2025-08-04,166.110000,167.780000,165.750000,167.350000,442091
2025-08-05,167.890000,168.460000,166.295000,168.170000,537564
2025-08-06,168.280000,168.510000,165.630000,167.620000,615361
2025-08-07,169.040000,170.910000,167.980000,170.000000,747098
2025-08-08,170.080000,171.429900,169.350000,170.810000,511904
2025-08-11,171.030000,171.970000,168.630000,171.820000,727451
2025-08-12,172.270000,174.970000,171.770000,174.670000,906031
2025-08-13,174.850000,179.530000,174.660000,179.430000,581237
2025-08-14,177.520000,178.240000,174.530000,177.760000,853518
2025-08-15,178.130000,178.670300,174.110000,174.780000,513843
2025-08-18,174.900000,175.060000,172.240000,172.250000,509841
2025-08-19,173.340000,176.005000,172.660000,175.290000,600044
2025-08-20,175.670000,177.160000,174.700000,175.690000,537108
2025-08-21,174.790000,176.225000,174.665000,175.880000,364307
2025-08-22,176.850000,180.590000,176.850000,178.500000,728207
2025-08-25,178.160000,178.405000,175.455000,175.770000,399302
2025-08-26,175.660000,175.690000,172.460000,173.220000,688280
2025-08-27,172.900000,174.050000,172.195000,173.260000,630586
2025-08-28,174.010000,174.770000,170.320000,171.080000,452273
2025-08-29,171.330000,172.755000,170.860000,171.650000,486904
2025-09-02,170.390000,170.740700,168.726200,169.310000,478512
2025-09-03,167.650000,168.200000,165.730000,166.800000,526777
2025-09-04,166.700000,167.630000,165.710000,167.030000,939970
2025-09-05,167.250000,169.430000,166.510000,168.060000,636835
2025-09-08,167.530000,168.473300,165.360000,168.380000,858834
2025-09-09,168.460000,168.982200,166.375000,166.880000,441744
2025-09-10,165.990000,167.250000,164.300000,164.730000,533345
2025-09-11,164.900000,168.855000,164.330000,168.550000,481208
2025-09-12,167.780000,168.280000,165.600000,165.650000,355987
2025-09-15,166.050000,166.760000,163.895000,164.850000,685736
2025-09-16,164.600000,166.610000,164.580000,166.230000,656778
2025-09-17,166.670000,169.470000,164.370000,164.940000,723580
2025-09-18,164.830000,167.150000,164.740000,165.040000,970481
2025-09-19,165.790000,165.990000,163.970000,164.380000,1316743
2025-09-22,164.700000,164.900000,162.730100,163.200000,591731
2025-09-23,163.240000,164.759900,162.915000,163.320000,647561
2025-09-24,163.080000,164.170000,161.280000,162.220000,481784
2025-09-25,160.980000,162.630000,158.515000,158.710000,458193
2025-09-26,159.230000,161.030000,159.010000,160.750000,403387
2025-09-29,161.130000,161.210000,159.820000,160.420000,449241
2025-09-30,159.380000,162.360000,159.130000,162.170000,711646
2025-10-01,161.500000,163.270000,161.500000,162.490000,817543
2025-10-02,162.160000,163.520000,162.006800,162.680000,505079
2025-10-03,162.900000,164.085000,162.090000,163.440000,493818
2025-10-06,162.690000,163.460000,161.900000,162.750000,608350
2025-10-07,162.970000,163.430000,159.680000,161.370000,576889
2025-10-08,161.600000,162.580000,160.950000,161.960000,511070
2025-10-09,161.900000,162.600000,159.745000,160.810000,667938
2025-10-10,161.540000,162.725200,158.449900,158.670000,634364
2025-10-13,159.050000,160.500000,157.450000,157.490000,862527
2025-10-14,156.700000,160.870000,156.230000,160.130000,684038
2025-10-15,160.240000,161.150000,158.940000,159.580000,631452
2025-10-16,159.700000,160.605000,158.000000,159.340000,801027
2025-10-17,159.300000,160.240000,158.315000,159.440000,621874
2025-10-20,159.760000,161.000000,159.730000,160.250000,752750
2025-10-21,160.830000,164.070000,160.300000,163.530000,1112508
2025-10-22,166.580000,180.615000,166.130000,179.040000,1848701
2025-10-23,183.525000,189.240000,183.000000,186.280000,1963869
2025-10-24,187.130000,187.680000,180.970000,181.590000,965518
2025-10-27,182.200000,182.200000,179.100000,180.470000,605952
2025-10-28,182.010000,182.140000,179.020000,179.170000,502266
2025-10-29,178.620000,180.200000,175.850000,176.200000,779640
2025-10-30,175.550000,178.470000,174.660000,175.930000,611472
2025-10-31,174.320000,176.040000,173.460000,174.890000,676533
2025-11-03,174.250000,174.340000,171.420000,174.270000,805249
2025-11-04,174.400000,175.060000,172.800000,174.390000,779256
2025-11-05,174.310000,176.030000,171.850000,174.520000,898635
2025-11-06,174.250000,175.800000,171.515000,171.950000,655978
2025-11-07,172.490000,174.810000,172.175000,174.070000,523002
2025-11-10,173.900000,174.585000,171.070000,173.590000,484520
2025-11-11,174.660000,177.240000,174.040000,174.310000,615165
2025-11-12,174.960000,175.585000,172.342000,174.010000,613046
2025-11-13,174.100000,177.100000,173.230000,176.410000,770741
2025-11-14,175.650000,176.240000,172.660000,172.910000,816852
2025-11-17,172.580000,173.130000,170.650000,170.760000,562386
2025-11-18,170.680000,171.135000,168.700000,168.730000,617948
2025-11-19,168.560000,168.959000,165.965000,168.440000,685647
2025-11-20,168.710000,170.250000,165.890000,166.010000,763597
2025-11-21,167.120000,173.170000,166.920000,170.460000,1325113
2025-11-24,169.830000,171.599900,167.140000,167.590000,1213679
2025-11-25,169.350000,171.370000,168.745000,170.490000,614819
2025-11-26,169.860000,172.980000,169.860000,172.220000,635875
2025-11-28,172.040000,173.490000,172.040000,172.370000,246510
2025-12-01,171.690000,173.850000,170.210000,172.530000,654804
2025-12-02,173.890000,173.890000,171.600000,172.220000,746797
2025-12-03,171.560000,175.800000,171.025000,175.590000,831281
2025-12-04,176.290000,179.080000,174.350000,174.960000,1063481
2025-12-05,174.910000,179.640000,174.380000,179.330000,1194827
2025-12-08,178.180000,179.650000,174.020000,175.310000,902872
2025-12-09,174.590000,175.270000,172.520100,172.940000,530026
2025-12-10,173.440000,178.000000,172.000000,177.100000,862058
2025-12-11,178.420000,182.330000,177.260000,181.660000,747986
2025-12-12,181.860000,183.850000,181.700000,182.600000,804669
2025-12-15,182.600000,183.900000,181.190000,183.690000,544541
2025-12-16,184.080000,184.300000,181.160000,183.120000,649270
2025-12-17,182.160000,184.807600,181.810000,183.860000,729233
2025-12-18,184.150000,185.250000,183.015000,183.240000,719064
2025-12-19,184.160000,184.160000,180.430000,181.150000,1357971
2025-12-22,181.000000,181.847500,180.463200,181.030000,469898
2025-12-23,181.320000,181.880000,180.385000,181.220000,772813
2025-12-24,181.290000,182.220000,181.000000,181.710000,267092
2025-12-26,181.780000,183.270000,180.620000,182.540000,356798
2025-12-29,181.690000,183.680000,181.690000,182.650000,530634
2025-12-30,182.120000,183.940000,181.750000,183.160000,751759
2025-12-31,182.490000,183.975000,181.367500,181.880000,515009
2026-01-02,181.700000,183.220000,179.355500,182.440000,824965
2026-01-05,180.290000,182.510000,179.710000,180.540000,821310
2026-01-06,181.120000,183.050000,180.463200,182.040000,723789
2026-01-07,181.800000,183.120000,179.280000,180.530000,529367
2026-01-08,179.040000,189.600000,179.040000,186.020000,1058379
2026-01-09,185.860000,188.930000,184.980000,188.400000,794703
2026-01-12,188.880000,190.370000,187.530000,187.970000,388095
2026-01-13,188.340000,189.670000,186.525000,187.730000,568027
2026-01-14,187.960000,190.000000,186.120000,188.380000,516000
2026-01-15,188.370000,190.345000,186.860000,189.080000,597569
2026-01-16,188.010000,188.810000,185.780000,188.650000,767156
2026-01-20,186.420000,187.000000,181.640000,182.210000,493399
2026-01-21,184.000000,186.210000,183.005000,185.870000,560375
2026-01-22,185.460000,187.418000,184.550000,185.940000,398187
2026-01-23,185.380000,187.470000,184.660000,187.430000,495075
2026-01-26,188.350000,188.730000,186.200000,188.310000,425483
2026-01-27,187.970000,188.350000,185.850000,186.940000,394285
2026-01-28,186.820000,186.950000,183.895000,184.870000,462369
