d,o,h,l,c,v
2025-08-01,142.480000,146.410000,140.705000,145.720000,2693178
2025-08-04,145.720000,147.650000,145.530000,147.000000,1303994
2025-08-05,142.130000,142.720000,140.720000,141.500000,6160001
2025-08-06,142.000000,143.390000,141.470000,141.910000,2087807
2025-08-07,141.150000,144.700000,141.145000,144.420000,1771118
2025-08-08,144.830000,145.640000,144.575000,145.360000,1986719
2025-08-11,145.810000,146.200000,144.700000,145.550000,1093731
2025-08-12,144.260000,145.000000,140.680000,142.090000,1657668
2025-08-13,142.080000,143.770000,141.770000,143.730000,1174166
2025-08-14,143.800000,144.240000,142.780000,143.410000,1085280
2025-08-15,142.935000,144.980000,142.890000,143.920000,923760
2025-08-18,144.320000,144.800000,142.630000,142.660000,900062
2025-08-19,142.920000,145.280000,142.920000,145.210000,1562664
2025-08-20,146.070000,147.865000,145.360000,145.620000,1107425
2025-08-21,145.310000,146.220000,145.250000,145.870000,849072
2025-08-22,146.450000,147.840000,145.121000,146.200000,963951
2025-08-25,145.540000,146.295000,144.070000,144.400000,854961
2025-08-26,144.370000,144.630000,143.050000,143.950000,1764564
2025-08-27,143.840000,144.955000,143.160000,144.750000,1208828
2025-08-28,144.200000,144.360000,142.860000,142.930000,947787
2025-08-29,143.080000,144.540400,142.940000,143.510000,941303
2025-09-02,142.990000,143.740000,140.990000,141.410000,1018831
2025-09-03,140.840000,141.374000,139.810000,140.700000,1054831
2025-09-04,141.980000,142.450000,140.740000,141.570000,1128405
2025-09-05,141.990000,143.600000,141.579300,143.600000,782181
2025-09-08,142.650000,143.225000,139.020000,140.020000,1331826
2025-09-09,139.530000,140.600000,138.730000,140.090000,725591
2025-09-10,140.210000,140.480000,137.530000,138.500000,989965
2025-09-11,138.750000,139.760000,137.670100,139.630000,926642
2025-09-12,138.500000,139.886000,138.210000,139.280000,994552
2025-09-15,139.300000,139.650000,137.240000,137.580000,1084092
2025-09-16,137.400000,138.300000,136.180000,136.250000,1055963
2025-09-17,136.840000,137.940000,135.880000,136.090000,1024091
2025-09-18,134.130000,135.790000,133.300000,135.390000,1197387
2025-09-19,135.010000,135.655000,134.380000,135.060000,2660206
2025-09-22,135.070000,136.240000,134.790000,135.050000,1021468
2025-09-23,134.890000,137.350000,133.860000,137.180000,1251510
2025-09-24,136.420000,137.100000,135.280000,136.410000,1700555
2025-09-25,137.660000,138.125000,135.030000,135.100000,1433363
2025-09-26,135.280000,136.520000,135.207400,136.360000,911082
2025-09-29,136.160000,137.280000,135.040000,137.040000,1200396
2025-09-30,137.410000,139.420000,137.130000,139.190000,1428766
2025-10-01,139.400000,139.620000,136.030000,136.070000,1250291
2025-10-02,135.490000,137.120000,135.020000,135.590000,1114622
2025-10-03,135.570000,138.220000,135.570000,137.750000,967204
2025-10-06,137.750000,138.990000,136.670000,138.940000,1555522
2025-10-07,139.380000,142.965000,139.120000,142.510000,1815748
2025-10-08,143.510000,143.510000,140.200000,141.030000,952576
2025-10-09,141.450000,141.750000,140.202700,141.050000,988764
2025-10-10,141.750000,144.040000,140.140000,142.980000,1513085
2025-10-13,141.000000,141.991000,139.210000,139.630000,1321906
2025-10-14,139.960000,143.525000,139.500000,141.560000,1629374
2025-10-15,141.490000,143.110000,141.020000,142.530000,1007555
2025-10-16,142.230000,144.295000,142.230000,143.210000,845578
2025-10-17,143.530000,144.820000,142.820000,143.810000,1306596
2025-10-20,143.990000,145.610000,143.020000,145.430000,1107188
2025-10-21,145.450000,145.640000,142.800000,144.160000,1096221
2025-10-22,143.330000,145.420000,142.850000,143.730000,828398
2025-10-23,144.240000,144.880000,141.645000,142.580000,746416
2025-10-24,143.490000,143.490000,141.510000,141.590000,966471
2025-10-27,139.030000,140.500000,135.400000,137.990000,3438853
2025-10-28,137.900000,139.590000,134.310000,134.810000,2031462
2025-10-29,133.860000,134.460000,129.957300,130.060000,2211027
2025-10-30,130.130000,131.050000,126.450000,126.700000,2298770
2025-10-31,125.770000,128.750000,123.900000,128.430000,2811703
2025-11-03,128.280000,128.415000,125.491900,125.970000,1907388
2025-11-04,127.400000,129.662000,126.790000,128.080000,2796626
2025-11-05,130.020000,132.580000,129.400000,130.970000,2952519
2025-11-06,131.170000,132.440000,129.310000,129.500000,1415573
2025-11-07,130.190000,131.590000,129.710000,130.840000,1446671
2025-11-10,129.710000,130.355000,127.610000,128.940000,1777623
2025-11-11,129.390000,130.785000,128.950000,130.010000,1419719
2025-11-12,129.960000,130.360000,129.010000,129.770000,1512099
2025-11-13,128.610000,132.220000,128.000000,131.460000,2193913
2025-11-14,132.650000,133.980000,130.740000,131.620000,2018997
2025-11-17,132.310000,133.260000,131.460000,132.680000,2082158
2025-11-18,132.900000,133.310000,129.510000,129.910000,1784068
2025-11-19,129.700000,130.235000,126.740000,127.120000,1955453
2025-11-20,127.310000,128.320000,125.910000,128.130000,2059385
2025-11-21,129.060000,133.980000,127.940000,132.740000,3643425
2025-11-24,132.740000,132.850000,131.010000,131.510000,5459711
2025-11-25,132.650000,133.000000,130.250000,130.390000,1493626
2025-11-26,131.000000,131.686000,129.830000,129.850000,1515781
2025-11-28,129.180000,130.670000,128.500000,130.070000,845028
2025-12-01,129.790000,131.980000,129.040000,131.000000,3293488
2025-12-02,131.730000,133.370000,129.480000,130.750000,2735214
2025-12-03,131.220000,132.450000,129.630000,130.970000,2182893
2025-12-04,130.860000,131.545000,128.000000,128.930000,2613107
2025-12-05,128.380000,130.280000,128.070000,129.500000,1942764
2025-12-08,129.130000,129.999900,127.640000,128.460000,2257300
2025-12-09,128.930000,130.110000,127.880000,128.150000,2182540
2025-12-10,128.150000,129.170000,127.510000,128.720000,2798741
2025-12-11,129.640000,132.200000,128.995000,130.090000,2064901
2025-12-12,130.530000,132.195000,130.415000,131.550000,1946529
2025-12-15,132.060000,134.410000,131.500000,134.130000,2187848
2025-12-16,134.680000,135.530000,131.950000,132.720000,2641742
2025-12-17,132.200000,134.210000,131.580000,134.010000,1796475
2025-12-18,132.760000,134.640000,132.550000,133.020000,1766078
2025-12-19,132.680000,132.680000,130.220000,130.250000,2985154
2025-12-22,129.800000,132.190000,129.090000,131.670000,1038539
2025-12-23,131.550000,131.730000,130.460000,130.750000,869117
2025-12-24,130.660000,131.395000,130.620000,131.280000,368647
2025-12-26,131.330000,131.519700,130.225000,130.550000,563436
2025-12-29,130.880000,131.520000,129.560000,130.950000,732534
2025-12-30,130.940000,131.840000,130.700100,131.130000,789427
2025-12-31,130.920000,131.380000,130.360000,130.500000,658893
2026-01-02,130.230000,131.360000,129.130000,130.320000,864766
2026-01-05,129.580000,130.095000,125.555000,127.400000,2391660
2026-01-06,127.175000,129.930000,126.850000,128.970000,1662254
2026-01-07,129.560000,130.540000,127.170000,127.270000,1419185
2026-01-08,126.720000,129.930000,126.720000,129.270000,1742579
2026-01-09,128.570000,129.920000,127.570000,127.980000,1467469
2026-01-12,130.310000,132.270000,129.260000,130.300000,1691621
2026-01-13,129.670000,131.380000,128.680000,131.260000,2202147
2026-01-14,131.470000,132.870000,130.850000,132.450000,1515611
2026-01-15,132.210000,133.650000,131.880000,133.350000,1682532
2026-01-16,132.690000,133.725000,132.320000,133.340000,1532010
2026-01-20,132.760000,133.500000,129.900000,131.420000,1455314
2026-01-21,132.230000,132.855000,130.530000,130.990000,1334642
2026-01-22,131.080000,132.676700,129.830000,131.560000,1205104
2026-01-23,131.560000,131.880000,129.270000,129.710000,1184872
2026-01-26,130.450000,132.130000,130.160000,130.740000,1292475
2026-01-27,130.390000,131.630000,129.370100,130.530000,1284346
2026-01-28,130.490000,131.200000,126.360000,127.050000,1489285
2026-01-29,127.050000,130.050000,127.050000,129.000000,1377477
2026-01-30,129.260000,129.260000,127.505000,129.130000,1039299
2026-02-02,129.610000,129.890000,126.380000,126.570000,1656277
2026-02-03,126.570000,129.915000,125.520000,125.890000,2644635
2026-02-04,127.030000,127.420000,124.000000,124.300000,2150054
2026-02-05,124.950000,127.500000,124.570000,125.680000,2052014
2026-02-06,126.460000,127.270000,124.150000,124.330000,1370141
2026-02-09,124.330000,124.540000,121.275000,122.950000,1828396
