d,o,h,l,c,v
2025-08-01,57.080000,57.370000,55.980000,57.140000,4335629
2025-08-04,56.960000,57.640000,56.510000,57.610000,2445685
2025-08-05,58.800000,59.169900,54.050000,54.300000,5604783
2025-08-06,54.260000,54.890000,52.420000,52.550000,4772604
2025-08-07,52.870000,54.300000,52.770000,54.040000,3077475
2025-08-08,54.170000,54.379900,53.645000,54.060000,1729427
2025-08-11,54.120000,54.485000,53.410000,53.660000,2380028
2025-08-12,53.930000,53.930000,52.870000,53.500000,1401271
2025-08-13,53.600000,54.940000,53.300000,54.890000,1982527
2025-08-14,54.460000,54.570000,52.875000,53.640000,2036207
2025-08-15,53.630000,53.905000,53.240000,53.850000,1398881
2025-08-18,54.000000,54.220000,52.850000,52.850000,2579868
2025-08-19,53.140000,53.630000,52.870000,53.140000,3650362
2025-08-20,53.250000,53.560000,52.870000,53.130000,2867800
2025-08-21,52.910000,53.110000,52.425000,52.710000,2560622
2025-08-22,53.000000,54.265000,52.800000,53.730000,2529459
2025-08-25,53.500000,53.810000,52.820000,53.010000,1572966
2025-08-26,53.030000,53.280000,52.500000,52.660000,2593216
2025-08-27,52.380000,52.730000,51.935000,52.310000,1994930
2025-08-28,52.570000,52.570000,51.460000,52.070000,2186764
2025-08-29,51.990000,52.680000,51.880000,52.640000,1787854
2025-09-02,51.700000,51.740000,50.630000,51.060000,2450278
2025-09-03,50.900000,50.900000,49.120000,50.150000,3467236
2025-09-04,50.340000,50.450000,49.675000,50.420000,2064972
2025-09-05,50.640000,51.240000,50.320000,50.940000,1549286
2025-09-08,50.830000,51.037500,50.325000,50.960000,2329117
2025-09-09,50.970000,51.080000,50.400000,50.410000,1540884
2025-09-10,50.160000,50.320000,49.690000,50.070000,1772745
2025-09-11,50.090000,51.230000,50.000000,51.120000,1688027
2025-09-12,50.510000,51.400000,50.280000,51.190000,1995084
2025-09-15,51.270000,51.280000,49.770000,49.910000,2200889
2025-09-16,50.000000,50.230000,49.450000,49.730000,1939582
2025-09-17,49.890000,50.650000,48.960000,49.040000,2770457
2025-09-18,48.970000,49.380000,48.620000,49.200000,1922658
2025-09-19,49.360000,49.360000,48.665000,48.710000,5401815
2025-09-22,48.640000,49.180000,48.600000,48.690000,1809912
2025-09-23,48.850000,49.111300,48.190000,48.520000,3014664
2025-09-24,48.440000,49.000000,48.350000,48.720000,2359652
2025-09-25,48.710000,48.710000,47.720000,48.470000,2970162
2025-09-26,48.500000,49.580000,48.500000,49.480000,2172605
2025-09-29,49.620000,49.735000,48.890100,49.600000,1549024
2025-09-30,49.370000,50.520000,49.280000,50.420000,2460025
2025-10-01,50.600000,50.760000,49.828400,50.470000,2044879
2025-10-02,50.440000,50.805000,50.270000,50.480000,1871295
2025-10-03,50.100000,50.830000,49.920000,50.250000,1730400
2025-10-06,50.100000,50.240000,49.480000,49.630000,2290410
2025-10-07,49.750000,49.750000,48.046900,48.540000,2676775
2025-10-08,48.590000,48.930000,48.210000,48.700000,2411383
2025-10-09,48.710000,49.050000,47.675000,47.770000,3323818
2025-10-10,48.000000,48.050000,47.060000,47.090000,2409774
2025-10-13,47.200000,47.710000,47.010000,47.040000,2595280
2025-10-14,46.890000,47.810000,46.640000,47.580000,3437049
2025-10-15,47.600000,48.590000,47.350000,47.550000,3216522
2025-10-16,47.570000,48.425000,47.535000,48.060000,4448343
2025-10-17,48.140000,48.500000,47.910000,48.330000,2315204
2025-10-20,48.400000,48.960000,48.240000,48.710000,2599881
2025-10-21,49.720000,49.875000,49.235000,49.340000,2534592
2025-10-22,49.530000,50.100000,49.325000,49.750000,2692067
2025-10-23,49.860000,50.670000,49.410000,49.700000,2458836
2025-10-24,50.000000,50.120000,49.610000,49.830000,2150423
2025-10-27,50.110000,50.345000,49.655000,49.850000,3032375
2025-10-28,49.760000,49.875000,49.040000,49.090000,1914465
2025-10-29,48.770000,48.940000,47.570000,47.780000,2539140
2025-10-30,47.630000,48.010000,47.260000,47.290000,2524169
2025-10-31,46.860000,47.120000,46.330000,47.000000,3309755
2025-11-03,46.690000,47.370000,46.370000,47.110000,4134536
2025-11-04,46.440000,48.275000,44.830000,47.830000,4952201
2025-11-05,47.880000,49.049000,47.060000,48.890000,3657412
2025-11-06,49.010000,49.470000,48.250000,48.380000,2746560
2025-11-07,49.130000,49.130000,48.370000,48.980000,3501758
2025-11-10,47.400000,48.570000,46.055000,46.410000,4715813
2025-11-11,46.560000,47.630000,46.560000,47.250000,3347740
2025-11-12,47.350000,47.670000,46.410000,46.470000,3547846
2025-11-13,46.740000,48.270000,46.560000,47.940000,3626550
2025-11-14,47.810000,48.180000,47.170000,47.600000,4141596
2025-11-17,48.370000,48.530000,47.350000,47.520000,3054796
2025-11-18,47.720000,47.910000,47.300000,47.530000,2377393
2025-11-19,47.440000,47.610000,47.150000,47.570000,2638900
2025-11-20,47.440000,48.076800,47.347500,47.910000,3315149
2025-11-21,48.210000,50.335000,48.090000,49.870000,4251647
2025-11-24,49.480000,49.830000,48.620000,48.830000,6497950
2025-11-25,49.240000,49.670000,49.170000,49.380000,2287483
2025-11-26,49.160000,49.760000,48.950000,49.630000,1501887
2025-11-28,49.730000,50.030000,49.250000,49.530000,1054473
2025-12-01,49.200000,49.690000,48.980000,49.030000,2250203
2025-12-02,49.270000,49.270000,48.260000,48.410000,1951651
2025-12-03,48.610000,49.200000,48.450000,48.780000,1624178
2025-12-04,48.640000,48.950000,48.470000,48.850000,2447613
2025-12-05,48.740000,49.460000,48.430000,49.030000,2783702
2025-12-08,48.910000,48.910000,47.505000,47.710000,2183969
2025-12-09,47.540000,47.540000,46.850000,46.870000,1721789
2025-12-10,46.780000,48.300000,46.653000,47.770000,2770824
2025-12-11,47.750000,49.365000,47.530000,49.210000,4011654
2025-12-12,49.440000,51.035000,49.330000,50.910000,3602789
2025-12-15,51.000000,51.635000,50.630000,51.580000,3597828
2025-12-16,51.730000,52.130000,51.560000,51.760000,3656743
2025-12-17,51.970000,52.390000,51.410000,52.070000,3509058
2025-12-18,52.140000,52.970000,51.820000,52.450000,3701495
2025-12-19,52.210000,52.550000,51.850000,52.030000,5537357
2025-12-22,51.730000,52.395000,51.575000,52.320000,2374375
2025-12-23,52.080000,52.500000,51.820000,52.230000,1493348
2025-12-24,52.200000,52.500000,52.160000,52.270000,1208441
2025-12-26,52.330000,52.732300,52.260000,52.660000,965133
2025-12-29,52.550000,53.320000,52.470000,53.160000,1702183
2025-12-30,53.050000,53.480000,52.870000,53.240000,1361581
2025-12-31,53.040000,53.260000,52.910000,52.970000,1361542
2026-01-02,53.060000,53.555000,52.220000,53.350000,2243839
2026-01-05,52.820000,54.290000,52.710100,53.910000,2801926
2026-01-06,54.810000,55.580000,54.260000,54.300000,4932204
2026-01-07,54.340000,54.860000,52.980000,53.530000,2827089
2026-01-08,53.130000,55.230000,52.790000,54.830000,2040132
2026-01-09,55.250000,55.720000,54.590000,55.620000,1711161
2026-01-12,55.610000,55.760000,55.230000,55.470000,1730755
2026-01-13,55.370000,55.500000,54.810000,55.500000,1520996
2026-01-14,55.580000,56.240000,55.070000,56.030000,1703250
2026-01-15,56.240000,56.345000,55.400000,55.890000,1405295
2026-01-16,55.640000,56.210000,55.260000,56.080000,2401006
2026-01-20,55.490000,55.965000,55.270000,55.370000,1869496
2026-01-21,55.710000,55.930000,54.943700,55.920000,1970057
2026-01-22,55.800000,56.850000,55.800000,56.290000,1568541
2026-01-23,56.380000,57.500000,56.267200,57.360000,1736624
2026-01-26,57.530000,57.600000,56.810000,57.210000,1814053
2026-01-27,57.000000,57.370000,56.700000,57.010000,1268524
2026-01-28,56.870000,57.070000,55.890000,56.260000,1584014
2026-01-29,56.690000,57.030000,56.005000,56.570000,1882770
2026-01-30,56.360000,56.950000,55.920000,56.870000,2164762
2026-02-02,56.510000,57.146600,55.990000,56.690000,3617354
2026-02-03,59.460000,62.770000,58.200000,61.770000,5886484
2026-02-04,62.560000,65.050000,62.260000,64.810000,4619813
2026-02-05,65.270000,66.970000,64.580000,66.190000,3976290
2026-02-06,66.580000,66.730000,65.810000,66.470000,3374976
2026-02-09,66.020000,66.680000,65.340000,66.650000,2279117
2026-02-10,66.810000,67.780000,66.280000,67.760000,2216533
2026-02-11,67.570000,68.290000,66.920000,67.340000,2161567
2026-02-12,67.670000,68.150000,66.625000,66.720000,1900686
2026-02-13,66.750000,67.700000,65.823200,67.290000,1853040
2026-02-17,67.460000,67.820000,66.285000,66.550000,1680168
2026-02-18,66.590000,67.020000,66.160000,66.310000,2262633
2026-02-19,66.250000,66.580000,65.290000,66.030000,1467492
2026-02-20,66.250000,66.650000,65.800000,66.530000,2157162
2026-02-23,66.280000,67.140000,65.973000,67.140000,1740749
2026-02-24,67.260000,67.700000,66.340000,66.520000,2212510
2026-02-25,66.430000,66.680000,65.220000,66.030000,1595788
2026-02-26,66.320000,66.700000,65.490000,66.630000,1705177
2026-02-27,66.750000,67.255000,66.200000,67.130000,2660472
2026-03-02,66.570000,66.820000,65.750000,66.420000,2113292
2026-03-03,65.130000,65.510000,64.301200,65.200000,1654898
2026-03-04,65.270000,65.519900,64.140000,64.780000,1656057
2026-03-05,64.350000,64.840000,62.915800,63.220000,2024502
2026-03-06,63.480000,63.480000,61.750000,62.530000,2024908
2026-03-09,61.790000,62.690000,60.750000,62.390000,1835846
2026-03-10,61.770000,62.980000,61.250000,62.020000,1477259
2026-03-11,61.750000,62.005000,61.070100,61.510000,1373407
2026-03-12,61.460000,62.310000,60.850100,61.690000,2346983
2026-03-13,62.330000,62.405000,61.440000,62.190000,2025223
2026-03-16,62.540000,62.990000,61.980000,62.100000,1788865
2026-03-17,62.500000,62.535000,61.150000,61.760000,1568410
2026-03-18,61.150000,61.430000,59.660000,59.900000,1899575
2026-03-19,59.640000,59.730000,58.770000,58.990000,2085324
2026-03-20,59.030000,59.080000,56.630000,57.060000,4388986
