d,o,h,l,c,v
2025-08-01,21.510000,22.355000,21.330000,21.960000,22649426
2025-08-04,21.830000,22.760000,21.800000,22.440000,11387062
2025-08-05,22.600000,23.230000,22.440000,22.840000,14223646
2025-08-06,22.930000,22.980000,22.285000,22.500000,10175899
2025-08-07,22.900000,23.655000,22.800000,23.540000,12327918
2025-08-08,23.530000,23.860000,23.280000,23.690000,10460217
2025-08-11,23.560000,23.835000,23.280000,23.460000,7592229
2025-08-12,23.670000,24.070000,23.460000,23.980000,5662262
2025-08-13,24.080000,24.390000,23.900000,24.110000,8316820
2025-08-14,23.980000,24.490000,23.715000,24.450000,4145354
2025-08-15,24.670000,24.850000,24.035000,24.180000,7713547
2025-08-18,24.200000,24.410000,23.450000,23.610000,8252249
2025-08-19,23.720000,24.475000,23.680000,24.330000,5168807
2025-08-20,24.390000,24.890000,24.220000,24.270000,5385893
2025-08-21,24.120000,24.300000,23.825000,23.850000,6018882
2025-08-22,24.100000,24.610000,23.880000,24.540000,6488132
2025-08-25,24.510000,24.620000,24.295000,24.560000,9755930
2025-08-26,24.510000,24.640000,24.335000,24.500000,5085533
2025-08-27,24.460000,24.700000,24.310000,24.530000,5559858
2025-08-28,24.540000,24.540000,24.155000,24.400000,4495956
2025-08-29,24.250000,24.720000,24.220000,24.690000,4048508
2025-09-02,24.410000,24.600000,23.800000,24.170000,14048956
2025-09-03,23.990000,24.280000,23.360000,23.540000,7474922
2025-09-04,23.540000,23.730000,23.115000,23.580000,5967769
2025-09-05,23.780000,24.585000,23.605000,24.420000,7373651
2025-09-08,24.250000,24.360000,23.785000,24.090000,5637438
2025-09-09,24.090000,24.580000,24.020000,24.450000,4552165
2025-09-10,24.420000,24.630000,23.970000,23.980000,4466997
2025-09-11,23.940000,24.520000,23.900000,24.490000,4029174
2025-09-12,24.320000,24.415000,23.910700,23.990000,5749946
2025-09-15,24.010000,24.170100,23.580000,23.800000,7038107
2025-09-16,23.850000,24.087500,23.773873,23.870000,5747102
2025-09-17,23.930000,24.110000,23.100000,23.200000,5187509
2025-09-18,23.470000,23.810000,23.345000,23.690000,3610170
2025-09-19,23.710000,23.750000,23.020000,23.020000,13671886
2025-09-22,23.000000,23.060000,22.800000,22.810000,4954563
2025-09-23,22.810000,23.160000,22.745000,22.860000,4805544
2025-09-24,22.730000,22.905000,22.520000,22.560000,5869922
2025-09-25,22.340000,22.430000,21.590000,21.710000,7394205
2025-09-26,21.750000,22.050000,21.680000,21.980000,10542534
2025-09-29,22.000000,22.590000,21.795000,22.380000,6710199
2025-09-30,22.350000,22.855000,22.079300,22.770000,6033719
2025-10-01,22.950000,23.450000,22.755000,23.360000,6333203
2025-10-02,23.190000,23.630000,23.010000,23.230000,4734382
2025-10-03,23.370000,24.265000,23.260000,23.860000,6547585
2025-10-06,23.900000,23.919600,23.110000,23.150000,6328584
2025-10-07,23.270000,23.280000,22.880000,22.900000,4806940
2025-10-08,22.710000,22.915000,22.550000,22.750000,4836765
2025-10-09,22.940000,23.035000,22.425000,22.510000,5581390
2025-10-10,22.650000,22.830000,21.630000,21.950000,5515384
2025-10-13,22.040000,22.390000,21.945000,22.110000,4315780
2025-10-14,21.990000,22.869000,21.880000,22.820000,6023489
2025-10-15,22.770000,23.295000,22.605000,22.750000,4611890
2025-10-16,22.590000,23.315000,22.540000,22.970000,5414902
2025-10-17,22.930000,23.090000,22.570000,23.090000,3953021
2025-10-20,23.240000,23.600000,23.110000,23.130000,4500717
2025-10-21,23.030000,23.140000,22.575000,22.750000,6574549
2025-10-22,22.890000,23.485000,22.845000,22.930000,4732104
2025-10-23,22.970000,23.110000,22.530000,22.990000,5681539
2025-10-24,23.240000,23.280000,22.940000,23.020000,3719599
2025-10-27,23.260000,23.345000,23.010000,23.170000,6408741
2025-10-28,23.040000,23.210000,22.770000,22.860000,5722763
2025-10-29,22.740000,22.916500,22.340000,22.420000,7770286
2025-10-30,18.940000,19.805000,18.420000,19.160000,24018284
2025-10-31,18.810000,18.950000,18.440000,18.470000,11557713
2025-11-03,18.300000,18.400000,18.045000,18.210000,11396789
2025-11-04,18.180000,18.320000,17.740000,17.940000,11712553
2025-11-05,17.870000,18.080000,17.465000,17.950000,11329629
2025-11-06,17.940000,18.162500,17.510000,17.980000,10346313
2025-11-07,17.950000,18.115000,17.780000,18.000000,7414147
2025-11-10,17.980000,18.000000,17.570000,17.750000,7893232
2025-11-11,17.830000,18.305000,17.700000,18.250000,12070312
2025-11-12,18.300000,18.915500,18.270000,18.700000,12362533
2025-11-13,18.630000,18.920000,18.520000,18.700000,9828784
2025-11-14,18.600000,18.690000,18.305000,18.470000,7472615
2025-11-17,18.380000,18.470000,17.750000,17.770000,7790690
2025-11-18,17.690000,18.215000,17.400000,18.150000,9780720
2025-11-19,18.140000,18.170000,17.535000,17.690000,7690538
2025-11-20,17.660000,17.860000,17.400000,17.420000,8313653
2025-11-21,17.580000,18.610000,17.555000,18.310000,8278763
2025-11-24,18.310000,18.460000,18.105000,18.180000,8506134
2025-11-25,18.340000,18.715000,18.200000,18.660000,7340175
2025-11-26,18.590000,18.950000,18.530000,18.910000,7170001
2025-11-28,18.720000,18.839900,18.610000,18.740000,3766196
2025-12-01,18.620000,19.195000,18.540000,19.080000,9635110
2025-12-02,18.990000,18.990000,18.595000,18.840000,8457549
2025-12-03,19.000000,19.165000,18.860000,18.890000,6094340
2025-12-04,18.840000,18.930000,18.330000,18.480000,7934062
2025-12-05,18.640000,18.810000,18.460000,18.540000,8572236
2025-12-08,18.650000,18.680000,18.110000,18.160000,9194792
2025-12-09,18.100000,18.300000,18.010000,18.160000,6331024
2025-12-10,18.200000,18.385000,17.920000,18.260000,11642838
