d,o,h,l,c,v
2024-07-25,87.430000,88.490000,87.120000,87.350000,1823888
2024-07-26,88.100000,88.700000,86.778100,87.350000,1734759
2024-07-29,87.420000,87.740000,84.770000,85.480000,2973776
2024-07-30,85.480000,86.110000,84.480100,85.350000,2326480
2024-07-31,85.400000,87.319000,84.840000,86.520000,5801862
2024-08-01,86.740000,87.400000,84.330000,85.670000,2521174
2024-08-02,84.000000,84.160000,81.890000,82.360000,2875392
2024-08-05,79.500000,80.814600,78.550000,80.230000,3048361
2024-08-06,80.590000,82.450000,79.820000,82.000000,2871855
2024-08-07,82.930000,83.700000,80.620000,80.700000,2055702
2024-08-08,81.070000,82.670000,80.930000,82.560000,1688543
2024-08-09,82.480000,83.790000,81.930000,83.730000,1679514
2024-08-12,82.800000,83.250000,81.060000,81.200000,2493329
2024-08-13,81.780000,83.840000,81.750000,83.140000,2111552
2024-08-14,83.880000,84.163300,82.540000,82.910000,1403600
2024-08-15,85.850000,86.350000,83.845000,84.060000,2300821
2024-08-16,84.030000,85.350000,83.820000,85.240000,1919730
2024-08-19,85.020000,85.890000,84.300000,85.040000,1464097
2024-08-20,84.640000,85.230000,84.200000,84.740000,1193675
2024-08-21,86.000000,87.070000,85.640000,87.040000,1902262
2024-08-22,86.390000,86.747500,85.300000,85.750000,2184244
2024-08-23,86.290000,88.260000,86.100000,88.150000,2067168
2024-08-26,88.430000,89.670000,87.790000,88.890000,3658613
2024-08-27,88.070000,89.470000,87.720100,88.880000,2838897
2024-08-28,87.580000,88.860000,87.320000,87.790000,4293729
2024-08-29,102.650000,103.710000,97.650000,100.180000,12091229
2024-08-30,100.770000,102.100000,98.860000,100.400000,5553076
2024-09-03,100.000000,102.760000,99.700000,100.940000,3501366
2024-09-04,100.650000,101.030000,99.055000,99.960000,3301861
2024-09-05,100.220000,101.010000,98.910000,99.410000,1965398
2024-09-06,99.300000,100.425800,98.020000,98.500000,2463218
2024-09-09,98.780000,99.180000,97.290000,98.090000,3263725
2024-09-10,97.720000,97.785000,95.415000,96.370000,3651746
2024-09-11,96.070000,97.720000,94.830000,97.600000,3063175
2024-09-12,97.350000,98.420000,96.490000,97.750000,1957358
2024-09-13,98.510000,99.460000,97.970000,98.450000,1942976
2024-09-16,98.750000,99.140000,97.090000,98.790000,2617815
2024-09-17,99.370000,100.280000,99.010000,99.480000,2128074
2024-09-18,99.500000,100.360000,98.810000,99.070000,2319243
2024-09-19,99.460000,100.940000,98.265000,98.460000,2897367
2024-09-20,98.370000,98.500000,96.770100,97.300000,3241760
2024-09-23,97.870000,98.230000,96.700000,97.860000,2079147
2024-09-24,98.220000,99.000000,97.850000,98.980000,2047249
2024-09-25,98.800000,98.805000,97.570000,97.840000,2147002
2024-09-26,98.560000,100.183200,98.240000,100.000000,2839739
2024-09-27,101.410000,102.660000,100.810000,102.260000,4033504
2024-09-30,102.560000,103.480000,102.240000,103.300000,2807317
2024-10-01,102.620000,103.100000,100.300000,101.350000,2375673
2024-10-02,100.620000,101.420000,99.320000,99.710000,1782655
2024-10-03,98.910000,99.260000,96.600000,98.190000,3608278
2024-10-04,99.210000,101.040000,98.660000,99.610000,2171504
2024-10-07,99.810000,100.085000,96.850000,97.820000,3012531
2024-10-08,97.720000,98.810000,97.590000,98.330000,1988663
2024-10-09,98.200000,98.720000,97.570000,98.640000,1689926
2024-10-10,97.890000,98.330000,96.730000,97.520000,1981153
2024-10-11,97.570000,98.790000,97.045000,97.440000,2137664
2024-10-14,96.620000,97.050000,95.450000,96.910000,2321480
2024-10-15,97.150000,99.380000,97.130000,97.570000,2369590
2024-10-16,98.240000,99.800000,97.855000,98.680000,2454411
2024-10-17,99.000000,99.000500,96.090000,96.280000,2392945
2024-10-18,96.510000,96.770000,95.970000,96.140000,1864675
