d,o,h,l,c,v
2025-08-01,141.015358,141.078961,138.725657,140.220323,5897849
2025-08-04,140.164671,142.732634,140.164671,142.231762,2578032
2025-08-05,142.231762,142.851889,140.013614,140.633741,3596652
2025-08-06,140.625791,141.033008,136.905027,137.071984,5315372
2025-08-07,148.949807,151.152054,146.453397,149.212169,6085435
2025-08-08,148.568190,154.141386,148.568190,153.839273,4975154
2025-08-11,153.875049,154.562754,151.462118,153.044238,3484866
2025-08-12,153.839273,155.023875,152.956784,155.000024,3989104
2025-08-13,155.198782,156.041519,154.189088,155.795059,3360643
2025-08-14,155.310087,155.484995,153.759769,155.031825,2873176
2025-08-15,155.826860,156.613945,154.745612,155.779158,3291564
2025-08-18,155.683754,156.954856,154.996048,155.031825,2218019
2025-08-19,154.888719,157.623639,154.451449,157.440781,2392568
2025-08-20,157.464632,159.181908,156.991586,158.370972,3136393
2025-08-21,157.782646,158.092710,156.121023,156.327732,1640652
2025-08-22,157.281774,159.173957,156.808728,158.736688,2037437
2025-08-25,158.450476,158.589607,154.260641,154.753563,1543903
2025-08-26,154.300393,155.214683,153.839432,154.292442,2823977
2025-08-27,153.950577,155.548598,153.950577,155.349839,1673759
2025-08-28,155.270336,155.270336,151.644976,152.050444,2256352
2025-08-29,152.455912,153.473556,151.851685,153.425854,1672211
2025-09-02,153.235046,154.228840,149.490431,149.585835,2050914
2025-09-03,148.313779,150.754537,146.067805,150.746586,4557610
2025-09-04,150.364970,152.328706,148.921981,152.058394,1609832
2025-09-05,151.851685,153.425854,151.716529,152.956784,1564971
2025-09-08,151.835784,152.559266,149.315523,152.312805,3272521
2025-09-09,151.915288,152.893181,151.199756,151.446217,1897517
2025-09-10,150.460374,151.024849,148.639744,149.808445,2346752
2025-09-11,150.190062,152.106096,149.585835,151.501870,1971540
2025-09-12,150.977147,150.977147,148.544339,148.544339,1406389
2025-09-15,148.782850,150.245714,147.467067,147.669801,1678926
2025-09-16,147.478993,149.498381,147.208681,148.043467,1523822
2025-09-17,148.520488,151.072551,148.444960,149.124715,1334431
2025-09-18,149.315523,150.293416,148.699371,149.760743,1412835
2025-09-19,149.601736,150.142360,147.558496,148.703346,3460153
2025-09-22,148.115021,148.894155,146.964764,148.313779,1544240
2025-09-23,148.115021,149.585835,147.725453,148.289928,1580272
2025-09-24,147.725453,148.838502,147.097376,147.916262,1304882
2025-09-25,147.208681,147.562471,141.603684,143.575371,2356078
2025-09-26,143.925186,146.854890,143.750278,146.763461,1592267
2025-09-29,146.763461,146.763461,145.105813,146.286440,1696391
2025-09-30,146.206937,148.862353,145.451653,148.806701,2017570
2025-10-01,149.307573,152.360507,148.210425,151.803983,2957777
2025-10-02,150.301367,152.392309,150.217888,152.328706,1602169
2025-10-03,152.463862,155.294187,152.209451,153.926726,1229071
2025-10-06,154.173187,154.173187,151.609199,152.638770,1374938
2025-10-07,153.083989,153.934677,152.257153,153.068089,1045662
2025-10-08,153.052188,154.316294,152.534779,154.181138,1398701
2025-10-09,154.340145,154.777414,149.506332,150.325218,1549182
2025-10-10,150.579629,151.080501,147.964043,148.321730,1357683
2025-10-13,148.576141,150.460374,147.876510,148.401233,1072715
2025-10-14,147.478993,150.090682,147.478993,149.752793,1484349
2025-10-15,149.140616,150.714785,147.852659,148.488687,1439927
2025-10-16,145.340348,147.375638,142.239712,147.296134,4306113
2025-10-17,147.312035,150.675033,146.715759,150.341118,2444902
2025-10-20,150.484225,153.783620,150.484225,151.851685,2181570
2025-10-21,152.678521,153.171443,149.124794,150.285466,2867986
2025-10-22,150.086707,151.183856,148.975646,149.554034,2715340
2025-10-23,149.927700,150.190062,147.757255,148.297879,2112286
2025-10-24,149.410928,149.881986,147.645950,147.741354,1937485
2025-10-27,147.884460,149.144591,147.097376,148.703346,3221663
2025-10-28,148.747073,148.747073,146.413646,146.453397,1674131
2025-10-29,145.749791,145.749791,143.964938,144.314753,2025768
2025-10-30,143.917236,144.537363,142.144308,142.613378,3424442
2025-10-31,141.730889,142.557726,139.608146,142.080705,3386269
2025-11-03,141.977350,141.977350,139.163006,140.959706,4332511
2025-11-04,140.800699,143.257357,139.131125,142.343066,4189619
2025-11-05,141.190266,141.953499,138.447395,140.236224,5557969
2025-11-06,130.783258,141.230017,129.026230,141.031259,8295817
2025-11-07,140.689394,142.358967,138.904540,141.389024,3859698
2025-11-10,140.578089,144.696370,139.866532,144.410157,3119331
2025-11-11,145.244944,150.317267,144.998483,150.277516,3753140
2025-11-12,151.152054,153.131691,150.309317,152.742124,3578647
2025-11-13,152.400259,155.620151,151.939139,153.473556,5001529
2025-11-14,153.473556,154.634308,152.455912,153.473556,4210033
2025-11-17,152.845479,155.254435,151.191806,151.835784,3808228
2025-11-18,152.018642,154.348095,150.865842,152.909082,2649404
2025-11-19,152.885231,153.640514,149.872048,152.026593,2066096
2025-11-20,150.571679,152.674546,149.502357,150.722735,3256202
2025-11-21,150.993047,156.113073,150.762567,153.219145,3774186
2025-11-24,153.338400,153.888485,151.677572,151.819884,2641706
2025-11-25,152.622869,155.477045,152.019199,155.421392,2536124
2025-11-26,155.095428,155.651952,153.704117,154.157287,1564482
2025-11-28,153.902875,154.825116,153.521259,154.252691,745681
2025-12-01,153.727968,154.848967,152.225351,152.503614,2429416
2025-12-02,153.131691,153.131691,150.611828,151.430316,1936065
2025-12-03,152.129947,154.014180,151.621125,153.894925,1460894
2025-12-04,154.093684,154.316294,152.719545,154.045982,1576223
2025-12-05,154.010205,155.918289,153.986354,154.204989,2244888
2025-12-08,152.646720,153.557035,150.599505,150.659132,2189181
2025-12-09,150.977147,152.106096,149.879998,150.118509,1878888
2025-12-10,150.603480,158.760539,150.142360,157.734944,3507312
2025-12-11,158.005256,159.410083,157.329476,159.348865,2078655
2025-12-12,159.380666,161.193346,157.734944,159.714581,3137115
2025-12-15,159.714581,160.946885,157.822398,159.078553,4668015
2025-12-16,159.181908,159.650978,155.127309,156.136924,2992015
2025-12-17,155.850711,157.798547,154.996048,155.318038,4163660
2025-12-18,155.111329,156.605994,154.451449,154.793315,4175101
2025-12-19,154.475301,156.462888,154.309138,155.500896,6267620
2025-12-22,155.890463,157.496433,155.728514,156.415186,1901985
2025-12-23,156.113073,156.113073,154.888719,155.564498,1308598
2025-12-24,155.826860,156.391335,155.231379,155.922264,538629
2025-12-26,155.890463,156.812703,154.931889,156.089222,1278215
2025-12-29,155.993817,156.212452,154.682010,155.159031,1524810
2025-12-30,154.880768,155.969966,154.682010,155.540647,963488
2025-12-31,155.453194,155.858661,154.268591,154.292442,988762
2026-01-02,154.467350,155.659903,153.028337,154.984123,1715417
2026-01-05,154.332194,159.635078,153.918776,158.180164,2909724
2026-01-06,157.631589,163.868639,157.560036,163.268388,2570379
2026-01-07,163.300189,164.468890,160.612971,161.161545,2582158
2026-01-08,160.032595,164.564295,160.032595,163.125281,1798778
2026-01-09,163.753359,164.072088,160.120049,161.193346,1661880
2026-01-12,161.233098,161.841300,160.080297,161.185396,1737495
2026-01-13,161.121793,161.908878,157.766745,160.215453,1457033
2026-01-14,160.446013,165.081067,159.650978,164.906160,1814775
2026-01-15,164.206529,166.376974,163.435345,165.645542,2730664
2026-01-16,164.631873,166.257719,164.293983,164.659699,2000456
2026-01-20,162.807267,164.047442,161.495460,161.702169,1978056
2026-01-21,163.037827,165.001484,162.286519,163.920316,2191877
2026-01-22,163.816962,165.049266,162.409750,163.809011,2544620
2026-01-23,163.379693,163.395593,155.532697,160.430113,4318401
2026-01-26,161.177446,163.371742,160.795829,161.726020,1557196
2026-01-27,160.390361,163.125281,159.945141,161.710119,2370800
2026-01-28,162.226892,165.367280,159.309113,160.533467,2127234
2026-01-29,159.372716,160.644772,158.211965,159.873588,1832062
2026-01-30,160.390361,162.226892,159.094454,161.773722,3480836
2026-02-02,161.392105,161.877076,159.953092,160.525517,2447860
2026-02-03,161.145644,165.872127,160.529492,164.174728,3631619
2026-02-04,164.651748,169.406058,163.498948,165.263925,3946702
2026-02-05,165.931755,166.949400,163.673855,164.182678,3633256
2026-02-06,164.381437,167.513875,162.902672,166.973251,2822153
2026-02-09,162.187140,168.126051,159.301163,164.882309,4624235
2026-02-10,165.980000,172.575000,164.410000,171.680000,4604657
2026-02-11,170.670000,182.000000,170.670000,180.620000,5939008
2026-02-12,180.870000,182.745000,176.630000,177.810000,8302802
2026-02-13,178.480000,180.230000,175.720000,175.890000,3167457
2026-02-17,176.160000,178.430000,175.510000,177.380000,2237887
2026-02-18,177.390000,182.880000,177.030000,182.680000,2696165
2026-02-19,182.160000,183.040000,180.745000,182.470000,1985096
2026-02-20,181.790000,185.500000,181.590000,185.390000,2740168
2026-02-23,184.750000,186.300000,182.135000,184.340000,3261838
2026-02-24,185.000000,187.350000,182.320000,182.490000,2986914
2026-02-25,183.260000,183.730400,179.350000,180.960000,2506134
2026-02-26,181.840000,182.270000,175.920000,176.660000,3326949
2026-02-27,175.320000,178.010000,174.030000,176.480000,4624940
2026-03-02,174.080000,176.800000,172.240000,176.540000,2124358
2026-03-03,173.230000,174.990000,171.570000,174.210000,2109628
2026-03-04,174.550000,174.800000,170.850000,171.490000,2137411
2026-03-05,169.550000,170.106100,167.820000,169.940000,2856584
2026-03-06,168.260000,169.420000,164.325000,167.120000,2651200
2026-03-09,165.000000,167.055000,161.750000,165.460000,2905126
2026-03-10,164.470000,166.345000,163.300000,163.880000,2528555
2026-03-11,163.560000,164.099200,160.300000,163.170000,4098495
2026-03-12,161.900000,163.140000,158.200000,159.630000,2885625
2026-03-13,161.370000,162.410000,158.930000,159.360000,2559971
2026-03-16,160.610000,161.660000,159.410000,160.270000,2187394
2026-03-17,161.600000,163.440000,161.240000,161.640000,2373915
2026-03-18,159.840000,160.030000,156.350000,158.080000,2083390
2026-03-19,157.510000,159.112500,156.450000,156.530000,2424164
2026-03-20,156.460000,158.110000,153.745000,154.130000,3723752
2026-03-23,156.680000,158.100000,155.410000,156.230000,2284890
2026-03-24,154.670000,157.045000,154.090000,155.920000,2220109
2026-03-25,157.470000,158.785000,155.020000,158.270000,1853286
2026-03-26,156.830000,160.190000,156.310000,157.380000,2370009
2026-03-27,158.150000,158.150000,154.380000,154.510000,2032059
2026-03-30,154.680000,155.260000,153.180000,154.690000,1855940
